time,Washington,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Turner (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Turner (J. Wall gains possession)
11:45.0,M. Gortat misses 2-pt shot from 12 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Teague
11:24.0,,,0-0,,Turnover by M. Turner (bad pass; steal by M. Morris)
11:18.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Wall),3,3-0,,
11:02.0,,,3-0,,M. Turner misses 2-pt shot from 20 ft
11:01.0,,,3-0,,Offensive rebound by K. Seraphin
10:47.0,,,3-0,,Turnover by K. Seraphin (3 sec)
10:35.0,M. Gortat misses 2-pt shot from 10 ft,,3-0,,
10:34.0,,,3-0,,Defensive rebound by P. George
10:21.0,,,3-0,,M. Turner misses 2-pt shot from 9 ft
10:20.0,Defensive rebound by Team,,3-0,,
10:13.0,B. Beal misses 3-pt shot from 26 ft,,3-0,,
10:13.0,,,3-0,,Defensive rebound by P. George
10:03.0,,,3-0,,M. Turner misses 3-pt shot from 26 ft
10:02.0,Defensive rebound by O. Porter,,3-0,,
9:48.0,J. Wall misses 3-pt shot from 29 ft,,3-0,,
9:47.0,,,3-0,,Defensive rebound by P. George
9:42.0,Personal foul by B. Beal (drawn by P. George),,3-0,,
9:27.0,,,3-0,,Turnover by J. Teague (traveling)
9:17.0,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall),3,6-0,,
9:02.0,,,6-2,2,J. Teague makes 2-pt shot from 7 ft
8:39.0,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal),3,9-2,,
8:26.0,,,9-2,,Turnover by P. George (bad pass)
8:12.0,M. Morris misses 2-pt shot from 15 ft (block by M. Turner),,9-2,,
8:10.0,,,9-2,,Defensive rebound by M. Turner
8:06.0,,,9-4,2,G. Robinson makes 2-pt shot from 7 ft
7:54.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,11-4,,
7:44.0,,,11-4,,Turnover by J. Teague (bad pass; steal by M. Morris)
7:38.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,14-4,,
7:38.0,,,14-4,,Indiana full timeout
7:24.0,,,14-4,,P. George misses 3-pt shot from 28 ft
7:23.0,Defensive rebound by O. Porter,,14-4,,
7:06.0,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall),3,17-4,,
6:48.0,,,17-6,2,K. Seraphin makes 2-pt shot from 17 ft (assist by P. George)
6:30.0,M. Morris makes 3-pt shot from 23 ft (assist by B. Beal),3,20-6,,
6:21.0,,,20-8,2,K. Seraphin makes 2-pt shot from 7 ft (assist by J. Teague)
5:54.0,J. Wall misses 2-pt shot from 19 ft,,20-8,,
5:53.0,,,20-8,,Defensive rebound by M. Turner
5:36.0,,,20-8,,K. Seraphin misses 2-pt shot from 14 ft
5:35.0,Defensive rebound by J. Wall,,20-8,,
5:27.0,J. Wall misses 2-pt shot from 1 ft,,20-8,,
5:26.0,,,20-8,,Defensive rebound by M. Turner
5:23.0,Violation by B. Beal (kicked ball),,20-8,,
5:23.0,J. Smith enters the game for M. Morris,,20-8,,
5:16.0,Personal foul by J. Wall (drawn by M. Turner),,20-8,,
5:07.0,,,20-11,3,G. Robinson makes 3-pt shot from 23 ft (assist by J. Teague)
4:52.0,Shooting foul by G. Robinson (drawn by B. Beal),,20-11,,
4:52.0,B. Beal misses free throw 1 of 2,,20-11,,
4:52.0,Offensive rebound by Team,,20-11,,
4:52.0,B. Beal makes free throw 2 of 2,1,21-11,,
4:52.0,,,20-11,,M. Ellis enters the game for G. Robinson
4:36.0,,,21-13,2,M. Turner makes 2-pt shot from 7 ft (assist by P. George)
4:36.0,,,21-13,,Shooting foul by J. Smith (drawn by M. Turner)
4:36.0,,,21-14,1,M. Turner makes free throw 1 of 1
4:23.0,M. Gortat makes 2-pt shot from 17 ft (assist by O. Porter),2,23-14,,
4:12.0,,,23-17,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
3:55.0,B. Beal makes 2-pt shot from 23 ft,2,25-17,,
3:32.0,,,25-17,,J. Teague misses 3-pt shot from 24 ft
3:32.0,,,25-17,,Offensive rebound by M. Turner
