time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. K. Towns (J. Nelson gains possession),,,,Jump ball: M. Plumlee vs. K. Towns (J. Nelson gains possession)
11:36.0,,,0-0,,G. Harris misses 2-pt shot from 20 ft
11:35.0,,,0-0,,Offensive rebound by Team
11:35.0,,,0-0,,Turnover by Team (shot clock)
11:17.0,Shooting foul by M. Plumlee (drawn by K. Towns),,0-0,,
11:17.0,K. Towns makes free throw 1 of 2,1,1-0,,
11:17.0,K. Towns makes free throw 2 of 2,1,2-0,,
10:58.0,,,2-2,2,J. Nelson makes 2-pt shot from 21 ft (assist by J. Hernangomez)
10:41.0,A. Wiggins makes 2-pt shot from 19 ft,2,4-2,,
10:24.0,,,4-4,2,N. Jokic makes 2-pt shot from 4 ft (assist by G. Harris)
10:09.0,Shooting foul by J. Hernangomez (drawn by A. Wiggins),,4-4,,
10:09.0,A. Wiggins misses free throw 1 of 2,,4-4,,
10:09.0,Offensive rebound by Team,,4-4,,
10:09.0,A. Wiggins makes free throw 2 of 2,1,5-4,,
9:58.0,,,5-4,,J. Nelson misses 2-pt shot from 13 ft
9:57.0,Defensive rebound by Team,,5-4,,
9:39.0,R. Rubio misses 3-pt shot from 24 ft,,5-4,,
9:36.0,Offensive rebound by K. Towns,,5-4,,
9:36.0,K. Towns makes 2-pt shot from 2 ft,2,7-4,,
9:25.0,,,7-6,2,J. Nelson makes 2-pt shot from 3 ft
9:10.0,A. Wiggins makes 3-pt shot from 27 ft,3,10-6,,
9:00.0,,,10-6,,Shooting foul by A. Wiggins (drawn by G. Harris)
9:00.0,,,10-7,1,G. Harris makes free throw 1 of 2
9:00.0,,,10-8,1,G. Harris makes free throw 2 of 2
8:52.0,Turnover by R. Rubio (bad pass; steal by N. Jokic),,10-8,,
8:51.0,Personal foul by G. Dieng (drawn by N. Jokic),,10-8,,
8:38.0,,,10-8,,J. Nelson misses 2-pt shot from 23 ft
