time,Miami,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession),,,,Jump ball: M. Gortat vs. H. Whiteside (J. Wall gains possession)
11:46.0,,,0-2,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
11:26.0,D. Williams makes 3-pt shot from 25 ft (assist by D. Waiters),3,3-2,,
11:12.0,,,3-4,2,B. Beal makes 2-pt shot from 7 ft (assist by J. Wall)
10:55.0,D. Waiters makes 2-pt shot from 18 ft,2,5-4,,
10:43.0,,,5-6,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
10:25.0,D. Williams makes 2-pt shot from 17 ft (assist by D. Waiters),2,7-6,,
10:10.0,,,7-8,2,M. Morris makes 2-pt shot from 17 ft (assist by B. Beal)
9:51.0,D. Williams misses 3-pt shot from 24 ft,,7-8,,
9:50.0,,,7-8,,Defensive rebound by O. Porter
9:43.0,,,7-8,,M. Morris misses 3-pt shot from 27 ft
9:42.0,Defensive rebound by G. Dragic,,7-8,,
9:22.0,Shooting foul by B. Beal (drawn by G. Dragic),,7-8,,
9:22.0,G. Dragic makes free throw 1 of 2,1,8-8,,
9:22.0,G. Dragic makes free throw 2 of 2,1,9-8,,
9:13.0,,,9-8,,J. Wall misses 2-pt shot from 15 ft
9:12.0,Defensive rebound by G. Dragic,,9-8,,
8:57.0,H. Whiteside makes 2-pt shot at rim (assist by D. Waiters),2,11-8,,
8:47.0,,,11-10,2,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall)
8:24.0,Offensive charge foul by D. Williams,,11-10,,
8:24.0,Turnover by D. Williams (offensive foul),,11-10,,
8:13.0,,,11-12,2,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall)
8:12.0,Miami full timeout,,11-12,,
8:00.0,Turnover by J. Richardson (lost ball; steal by O. Porter),,11-12,,
7:46.0,,,11-14,2,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall)
7:23.0,D. Williams makes 2-pt shot from 22 ft (assist by D. Waiters),2,13-14,,
7:11.0,,,13-14,,B. Beal misses 2-pt shot from 16 ft (block by J. Richardson)
7:10.0,Defensive rebound by D. Williams,,13-14,,
7:01.0,Turnover by G. Dragic (step out of bounds),,13-14,,
6:51.0,Violation by H. Whiteside (def goaltending),,13-14,,
6:51.0,,,13-16,2,M. Morris makes 2-pt shot from 10 ft (assist by B. Beal)
6:37.0,H. Whiteside misses 2-pt shot from 12 ft,,13-16,,
6:36.0,Offensive rebound by D. Williams,,13-16,,
6:32.0,D. Williams misses 2-pt shot from 3 ft,,13-16,,
6:31.0,Offensive rebound by D. Williams,,13-16,,
6:29.0,D. Williams misses 2-pt shot from 1 ft,,13-16,,
6:29.0,Offensive rebound by J. Richardson,,13-16,,
6:26.0,D. Waiters misses 2-pt shot from 2 ft (block by M. Gortat),,13-16,,
6:26.0,,,13-16,,Defensive rebound by B. Beal
6:10.0,Personal foul by D. Waiters (drawn by M. Gortat),,13-16,,
6:10.0,,,13-16,,Turnover by B. Beal (lost ball)
6:00.0,H. Whiteside makes 2-pt shot from 3 ft,2,15-16,,
5:45.0,,,15-16,,M. Gortat misses 2-pt shot from 4 ft
5:44.0,Defensive rebound by J. Richardson,,15-16,,
5:41.0,Shooting foul by B. Beal (drawn by G. Dragic),,15-16,,
5:41.0,G. Dragic makes free throw 1 of 2,1,16-16,,
5:41.0,G. Dragic makes free throw 2 of 2,1,17-16,,
5:41.0,,,16-16,,M. Thornton enters the game for B. Beal
5:33.0,Personal foul by G. Dragic (drawn by M. Morris),,17-16,,
5:20.0,,,17-16,,O. Porter misses 2-pt shot from 18 ft
5:19.0,,,17-16,,Offensive rebound by O. Porter
5:19.0,,,17-16,,O. Porter misses 2-pt shot from 1 ft
5:18.0,,,17-16,,Offensive rebound by Team
5:15.0,,,17-16,,Turnover by M. Thornton (lost ball; steal by J. Richardson)
5:10.0,G. Dragic makes 2-pt shot from 4 ft,2,19-16,,
5:00.0,,,19-18,2,J. Wall makes 2-pt shot from 5 ft
4:36.0,D. Waiters makes 2-pt shot from 15 ft,2,21-18,,
4:22.0,,,21-20,2,M. Morris makes 2-pt shot from 8 ft
4:03.0,J. Johnson enters the game for D. Williams,,21-20,,
4:03.0,T. Johnson enters the game for J. Richardson,,21-20,,
4:03.0,,,21-20,,K. Oubre enters the game for M. Morris
3:58.0,H. Whiteside makes 2-pt shot from 3 ft (assist by T. Johnson),2,23-20,,
3:41.0,,,23-20,,K. Oubre misses 3-pt shot from 23 ft
3:39.0,,,23-20,,Offensive rebound by M. Gortat
3:33.0,,,23-23,3,J. Wall makes 3-pt shot from 25 ft
3:12.0,J. Johnson misses 3-pt shot from 23 ft,,23-23,,
3:12.0,,,23-23,,Defensive rebound by J. Wall
3:07.0,,,23-25,2,J. Wall makes 2-pt shot from 3 ft
2:50.0,Turnover by G. Dragic (lost ball),,23-25,,
2:50.0,,,23-25,,Washington full timeout
2:50.0,,,23-25,,T. Satoransky enters the game for J. Wall
2:50.0,W. Reed enters the game for H. Whiteside,,23-25,,
2:37.0,,,23-28,3,O. Porter makes 3-pt shot from 25 ft (assist by T. Satoransky)
2:15.0,G. Dragic makes 3-pt shot from 23 ft,3,26-28,,
2:01.0,,,26-28,,K. Oubre misses 2-pt shot from 5 ft
2:00.0,,,26-28,,Offensive rebound by K. Oubre
1:57.0,,,26-28,,K. Oubre misses 2-pt shot from 4 ft
1:57.0,Defensive rebound by T. Johnson,,26-28,,
1:53.0,T. Johnson misses 2-pt shot from 3 ft,,26-28,,
1:52.0,Offensive rebound by Team,,26-28,,
1:52.0,R. McGruder enters the game for D. Waiters,,26-28,,
1:52.0,,,26-28,,A. Nicholson enters the game for M. Gortat
1:49.0,J. Johnson makes 2-pt shot from 3 ft,2,28-28,,
1:49.0,Shooting foul by K. Oubre (drawn by J. Johnson),,28-28,,
1:49.0,J. Johnson makes free throw 1 of 1,1,29-28,,
1:34.0,,,29-30,2,T. Satoransky makes 2-pt shot from 2 ft
1:21.0,Turnover by R. McGruder (bad pass; steal by O. Porter),,29-30,,
1:07.0,,,29-32,2,T. Satoransky makes 2-pt shot from 21 ft
0:58.0,G. Dragic makes 2-pt shot from 3 ft,2,31-32,,
0:47.0,,,31-32,,O. Porter misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by R. McGruder,,31-32,,
0:33.0,J. Richardson enters the game for G. Dragic,,31-32,,
0:27.0,J. Johnson makes 2-pt shot from 2 ft,2,33-32,,
0:04.0,,,33-34,2,M. Thornton makes 2-pt shot from 9 ft (assist by T. Satoransky)
0:04.0,,,33-34,,Shooting foul by R. McGruder (drawn by M. Thornton)
0:04.0,,,33-35,1,M. Thornton makes free throw 1 of 1
0:01.0,Turnover by T. Johnson (lost ball; steal by O. Porter),,33-35,,
0:00.0,,,33-35,,O. Porter misses 3-pt shot from 38 ft
0:00.0,,,33-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson),2,35-35,,
11:34.0,,,35-35,,Offensive foul by K. Oubre
11:34.0,,,35-35,,Turnover by K. Oubre (offensive foul)
11:34.0,,,35-35,,B. Beal enters the game for O. Porter
11:15.0,Turnover by J. Johnson (bad pass; steal by A. Nicholson),,35-35,,
11:05.0,,,35-37,2,A. Nicholson makes 2-pt shot from 7 ft (assist by M. Thornton)
10:46.0,Offensive charge foul by W. Reed,,35-37,,
10:46.0,Turnover by W. Reed (offensive foul),,35-37,,
10:31.0,Personal foul by W. Reed (drawn by A. Nicholson),,35-37,,
10:16.0,,,35-37,,B. Beal misses 2-pt shot from 6 ft
10:16.0,,,35-37,,Offensive rebound by K. Oubre
10:09.0,,,35-40,3,B. Beal makes 3-pt shot from 25 ft
10:09.0,Miami full timeout,,35-40,,
10:09.0,H. Whiteside enters the game for W. Reed,,35-40,,
9:55.0,T. Johnson misses 2-pt shot from 19 ft,,35-40,,
9:54.0,,,35-40,,Defensive rebound by K. Oubre
9:40.0,,,35-42,2,A. Nicholson makes 2-pt shot from 5 ft
9:13.0,Turnover by Team (shot clock),,35-42,,
8:58.0,,,35-42,,A. Nicholson misses 2-pt shot from 5 ft
8:57.0,Defensive rebound by J. Richardson,,35-42,,
8:46.0,T. Johnson misses 3-pt shot from 26 ft,,35-42,,
8:44.0,Offensive rebound by Team,,35-42,,
8:44.0,Official timeout,,35-42,,
8:36.0,,,35-42,,Personal foul by A. Nicholson (drawn by H. Whiteside)
8:22.0,T. Johnson misses 2-pt shot from 22 ft,,35-42,,
8:20.0,Offensive rebound by R. McGruder,,35-42,,
8:04.0,J. Richardson misses 3-pt shot from 26 ft,,35-42,,
8:03.0,Offensive rebound by T. Johnson,,35-42,,
7:55.0,J. Johnson makes 2-pt shot at rim,2,37-42,,
7:40.0,,,37-44,2,B. Beal makes 2-pt shot from 11 ft
7:28.0,,,37-44,,Personal foul by A. Nicholson (drawn by H. Whiteside)
7:28.0,,,37-44,,J. Wall enters the game for T. Satoransky
7:28.0,,,37-44,,M. Morris enters the game for K. Oubre
7:28.0,,,37-44,,M. Gortat enters the game for A. Nicholson
7:17.0,R. McGruder misses 3-pt shot from 25 ft,,37-44,,
7:16.0,Offensive rebound by J. Johnson,,37-44,,
7:15.0,J. Johnson makes 2-pt shot from 2 ft,2,39-44,,
6:55.0,,,39-44,,M. Thornton misses 2-pt shot from 2 ft
6:54.0,Defensive rebound by J. Richardson,,39-44,,
6:51.0,R. McGruder makes 2-pt shot from 4 ft,2,41-44,,
6:51.0,Shooting foul by J. Wall (drawn by R. McGruder),,41-44,,
6:51.0,R. McGruder makes free throw 1 of 1,1,42-44,,
6:51.0,D. Waiters enters the game for J. Richardson,,41-44,,
6:32.0,,,42-46,2,B. Beal makes 2-pt shot from 17 ft
