time,Boston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Johnson (A. Horford gains possession),,,,Jump ball: M. Gasol vs. A. Johnson (A. Horford gains possession)
11:39.0,A. Horford makes 2-pt shot from 4 ft,2,2-0,,
11:22.0,,,2-0,,M. Gasol misses 2-pt shot from 8 ft
11:19.0,Defensive rebound by A. Johnson,,2-0,,
11:09.0,A. Horford misses 2-pt shot from 7 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by Team
10:49.0,,,2-0,,M. Conley misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by J. Crowder,,2-0,,
10:37.0,I. Thomas misses 3-pt shot from 25 ft,,2-0,,
10:36.0,,,2-0,,Defensive rebound by J. Green
10:14.0,,,2-0,,T. Allen misses 3-pt shot from 24 ft
10:13.0,,,2-0,,Offensive rebound by J. Ennis
10:10.0,,,2-0,,J. Ennis misses 2-pt shot from 2 ft
10:10.0,,,2-0,,Offensive rebound by J. Green
10:10.0,,,2-0,,Shooting foul by A. Johnson (drawn by J. Green)
10:10.0,,,2-1,1,J. Green makes free throw 1 of 2
10:10.0,,,2-2,1,J. Green makes free throw 2 of 2
10:00.0,A. Bradley makes 2-pt shot from 20 ft (assist by A. Johnson),2,4-2,,
9:40.0,,,4-4,2,M. Gasol makes 2-pt shot from 5 ft (assist by J. Ennis)
9:13.0,A. Horford misses 2-pt shot from 7 ft,,4-4,,
9:11.0,,,4-4,,Defensive rebound by M. Gasol
8:51.0,,,4-4,,Turnover by M. Conley (bad pass)
8:38.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,6-4,,
8:20.0,,,6-4,,Turnover by M. Gasol (bad pass)
8:07.0,I. Thomas makes 2-pt shot from 21 ft (assist by A. Johnson),2,8-4,,
7:51.0,,,8-4,,M. Gasol misses 2-pt shot from 16 ft
7:48.0,,,8-4,,Offensive rebound by J. Green
7:35.0,,,8-4,,M. Conley misses 2-pt shot from 23 ft
7:34.0,Defensive rebound by J. Crowder,,8-4,,
7:23.0,Shooting foul by M. Conley (drawn by I. Thomas),,8-4,,
7:23.0,I. Thomas makes free throw 1 of 2,1,9-4,,
7:23.0,I. Thomas makes free throw 2 of 2,1,10-4,,
7:14.0,Personal foul by A. Bradley (drawn by J. Ennis),,10-4,,
7:02.0,,,10-4,,M. Conley misses 3-pt shot from 24 ft
7:00.0,,,10-4,,Offensive rebound by J. Ennis
6:57.0,,,10-4,,J. Ennis misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by A. Horford,,10-4,,
6:48.0,A. Bradley misses 2-pt shot from 21 ft,,10-4,,
6:45.0,,,10-4,,Defensive rebound by J. Green
6:29.0,,,10-4,,M. Gasol misses 2-pt shot from 5 ft
6:27.0,,,10-4,,Offensive rebound by T. Allen
6:26.0,,,10-4,,T. Allen misses 2-pt shot from 2 ft
6:25.0,,,10-4,,Offensive rebound by T. Allen
6:23.0,,,10-6,2,T. Allen makes 2-pt shot from 3 ft
6:03.0,J. Crowder misses 2-pt shot from 22 ft,,10-6,,
6:02.0,Offensive rebound by A. Horford,,10-6,,
5:54.0,A. Johnson misses 2-pt shot from 5 ft,,10-6,,
5:53.0,Offensive rebound by Team,,10-6,,
5:53.0,,,10-6,,Memphis full timeout
5:53.0,,,10-6,,T. Daniels enters the game for J. Ennis
5:53.0,,,10-6,,V. Carter enters the game for T. Allen
5:53.0,J. Jerebko enters the game for A. Johnson,,10-6,,
5:45.0,A. Horford misses 2-pt shot from 17 ft,,10-6,,
5:44.0,,,10-6,,Defensive rebound by J. Green
5:23.0,,,10-6,,M. Gasol misses 2-pt shot from 7 ft
5:20.0,,,10-6,,Offensive rebound by J. Green
5:20.0,,,10-8,2,J. Green makes 2-pt shot from 2 ft
5:06.0,J. Crowder misses 3-pt shot from 25 ft,,10-8,,
5:06.0,,,10-8,,Defensive rebound by T. Daniels
4:57.0,,,10-11,3,M. Gasol makes 3-pt shot from 25 ft (assist by V. Carter)
4:42.0,Turnover by J. Crowder (bad pass; steal by V. Carter),,10-11,,
4:35.0,,,10-13,2,T. Daniels makes 2-pt shot from 22 ft (assist by M. Gasol)
4:19.0,A. Horford makes 2-pt shot at rim (assist by A. Bradley),2,12-13,,
4:01.0,,,12-13,,T. Daniels misses 2-pt shot from 3 ft
3:59.0,Defensive rebound by A. Horford,,12-13,,
3:47.0,A. Bradley misses 3-pt shot from 25 ft,,12-13,,
3:46.0,,,12-13,,Defensive rebound by V. Carter
3:38.0,,,12-13,,T. Daniels misses 3-pt shot from 23 ft
3:38.0,,,12-13,,Offensive rebound by Team
3:38.0,Loose ball foul by J. Jerebko (drawn by J. Green),,12-13,,
3:38.0,,,12-13,,A. Harrison enters the game for M. Conley
3:38.0,J. Brown enters the game for J. Crowder,,12-13,,
3:38.0,M. Smart enters the game for I. Thomas,,12-13,,
3:31.0,,,12-13,,A. Harrison misses 3-pt shot from 25 ft
3:30.0,,,12-13,,Offensive rebound by J. Green
3:30.0,Loose ball foul by J. Jerebko (drawn by J. Green),,12-13,,
3:20.0,,,12-13,,V. Carter misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by Team,,12-13,,
3:20.0,,,12-13,,Loose ball foul by M. Gasol (drawn by J. Brown)
3:20.0,,,12-13,,Technical foul by M. Gasol (drawn by J. Brown)
3:20.0,A. Bradley makes technical free throw,1,13-13,,
3:08.0,A. Bradley makes 2-pt shot from 23 ft (assist by M. Smart),2,15-13,,
2:52.0,,,15-13,,Shooting foul by A. Horford (drawn by M. Gasol)
2:52.0,Boston full timeout,,15-13,,
2:52.0,,,15-14,1,M. Gasol makes free throw 1 of 2
2:52.0,,,15-15,1,M. Gasol makes free throw 2 of 2
2:40.0,Turnover by A. Bradley (traveling),,15-15,,
2:40.0,,,15-15,,Z. Randolph enters the game for M. Gasol
2:29.0,,,15-15,,Shooting foul by A. Horford (drawn by T. Daniels)
