time,Houston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Davis (J. Holiday gains possession),,,,Jump ball: C. Capela vs. A. Davis (J. Holiday gains possession)
11:40.0,,,0-2,2,S. Hill makes 2-pt shot from 6 ft (assist by J. Holiday)
11:21.0,P. Beverley misses 2-pt shot from 5 ft,,0-2,,
11:18.0,Offensive rebound by C. Capela,,0-2,,
11:15.0,Turnover by Team (shot clock),,0-2,,
11:15.0,,,0-2,,J. Holiday misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by J. Harden,,0-2,,
10:49.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,3-2,,
10:35.0,,,3-2,,A. Davis misses 2-pt shot from 10 ft
10:29.0,Defensive rebound by P. Beverley,,3-2,,
10:22.0,P. Beverley misses 2-pt shot from 3 ft,,3-2,,
10:21.0,,,3-2,,Defensive rebound by A. Davis
10:12.0,,,3-5,3,S. Hill makes 3-pt shot from 26 ft (assist by J. Holiday)
10:01.0,P. Beverley misses 3-pt shot from 24 ft,,3-5,,
10:00.0,,,3-5,,Defensive rebound by A. Davis
9:53.0,,,3-5,,S. Hill misses 3-pt shot from 27 ft
9:52.0,Defensive rebound by T. Ariza,,3-5,,
9:39.0,J. Harden misses 3-pt shot from 26 ft,,3-5,,
9:38.0,,,3-5,,Defensive rebound by A. Davis
9:31.0,,,3-7,2,W. Selden makes 2-pt shot at rim (assist by A. Davis)
9:18.0,Shooting foul by A. Davis (drawn by C. Capela),,3-7,,
9:18.0,C. Capela misses free throw 1 of 2,,3-7,,
9:18.0,Offensive rebound by Team,,3-7,,
9:18.0,C. Capela misses free throw 2 of 2,,3-7,,
9:17.0,,,3-7,,Defensive rebound by A. Davis
9:04.0,,,3-7,,Shooting foul by R. Anderson (drawn by J. Holiday)
9:04.0,,,3-8,1,J. Holiday makes free throw 1 of 2
9:04.0,,,3-8,,J. Holiday misses free throw 2 of 2
9:02.0,Defensive rebound by T. Ariza,,3-8,,
8:51.0,T. Ariza makes 2-pt shot from 3 ft (assist by J. Harden),2,5-8,,
8:40.0,,,5-8,,Turnover by W. Selden (step out of bounds)
8:27.0,J. Harden makes 2-pt shot from 4 ft,2,7-8,,
8:17.0,,,7-8,,J. Holiday misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by T. Ariza,,7-8,,
7:51.0,Turnover by J. Harden (bad pass; steal by A. Davis),,7-8,,
7:46.0,,,7-10,2,D. Cunningham makes 2-pt shot from 2 ft (assist by S. Hill)
7:40.0,,,7-10,,Personal foul by J. Holiday (drawn by J. Harden)
7:36.0,Shooting foul by J. Holiday (drawn by J. Harden),,7-10,,
7:36.0,J. Harden makes free throw 1 of 3,1,8-10,,
7:36.0,J. Harden makes free throw 2 of 3,1,9-10,,
7:36.0,J. Harden misses free throw 3 of 3,,9-10,,
7:36.0,,,9-10,,T. Frazier enters the game for J. Holiday
7:35.0,,,9-10,,Defensive rebound by A. Davis
7:20.0,,,9-13,3,T. Frazier makes 3-pt shot from 26 ft (assist by S. Hill)
7:09.0,R. Anderson misses 3-pt shot from 27 ft,,9-13,,
7:08.0,,,9-13,,Defensive rebound by D. Cunningham
6:55.0,,,9-13,,A. Davis misses 2-pt shot from 14 ft
6:54.0,Defensive rebound by J. Harden,,9-13,,
6:50.0,Turnover by J. Harden (bad pass),,9-13,,
6:42.0,Personal foul by T. Ariza (drawn by A. Davis),,9-13,,
6:35.0,,,9-13,,W. Selden misses 3-pt shot from 26 ft
6:34.0,,,9-13,,Offensive rebound by A. Davis
6:33.0,,,9-13,,Turnover by W. Selden (offensive foul)
6:33.0,,,9-13,,Offensive charge foul by W. Selden
6:22.0,J. Harden makes 2-pt shot from 4 ft,2,11-13,,
6:01.0,,,11-16,3,W. Selden makes 3-pt shot from 25 ft (assist by D. Cunningham)
5:48.0,P. Beverley misses 3-pt shot from 23 ft,,11-16,,
5:47.0,,,11-16,,Defensive rebound by S. Hill
5:41.0,,,11-18,2,D. Cunningham makes 2-pt shot at rim (assist by S. Hill)
5:32.0,Shooting foul by T. Frazier (drawn by P. Beverley),,11-18,,
5:32.0,,,11-18,,New Orleans full timeout
5:32.0,P. Beverley makes free throw 1 of 2,1,12-18,,
5:32.0,P. Beverley makes free throw 2 of 2,1,13-18,,
5:15.0,,,13-18,,D. Cunningham misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by T. Ariza,,13-18,,
5:06.0,T. Ariza misses 3-pt shot from 25 ft,,13-18,,
5:05.0,,,13-18,,Defensive rebound by T. Frazier
4:57.0,,,13-21,3,S. Hill makes 3-pt shot from 24 ft (assist by T. Frazier)
4:44.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,16-21,,
4:27.0,,,16-21,,T. Frazier misses 3-pt shot from 25 ft
4:25.0,Defensive rebound by J. Harden,,16-21,,
4:19.0,C. Capela misses 2-pt shot from 1 ft,,16-21,,
4:18.0,,,16-21,,Defensive rebound by D. Cunningham
4:14.0,,,16-21,,Offensive charge foul by S. Hill
4:14.0,,,16-21,,Turnover by S. Hill (offensive foul)
4:14.0,E. Gordon enters the game for R. Anderson,,16-21,,
4:14.0,L. Williams enters the game for P. Beverley,,16-21,,
4:14.0,,,16-21,,E. Moore enters the game for W. Selden
4:05.0,E. Gordon misses 2-pt shot from 2 ft (block by A. Davis),,16-21,,
4:04.0,Offensive rebound by E. Gordon,,16-21,,
4:04.0,E. Gordon misses 2-pt shot from 1 ft,,16-21,,
4:03.0,,,16-21,,Defensive rebound by E. Moore
3:54.0,Def 3 sec tech foul by C. Capela,,16-21,,
3:54.0,,,16-22,1,A. Davis makes technical free throw
3:40.0,,,16-22,,Turnover by A. Davis (lost ball; steal by T. Ariza)
3:36.0,Turnover by J. Harden (bad pass; steal by D. Cunningham),,16-22,,
3:32.0,,,16-22,,E. Moore misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by T. Ariza,,16-22,,
3:25.0,Turnover by T. Ariza (bad pass; steal by S. Hill),,16-22,,
3:11.0,,,16-22,,Shooting foul by C. Capela (drawn by D. Cunningham)
3:11.0,,,16-23,1,D. Cunningham makes free throw 1 of 2
3:11.0,,,16-23,,D. Cunningham misses free throw 2 of 2
3:11.0,M. Harrell enters the game for C. Capela,,16-23,,
3:10.0,Defensive rebound by J. Harden,,16-23,,
3:00.0,L. Williams misses 3-pt shot from 26 ft,,16-23,,
3:00.0,,,16-23,,Defensive rebound by A. Davis
2:47.0,,,16-25,2,A. Davis makes 2-pt shot at rim
2:26.0,T. Ariza makes 3-pt shot from 26 ft (assist by E. Gordon),3,19-25,,
2:08.0,,,19-28,3,S. Hill makes 3-pt shot from 25 ft (assist by T. Frazier)
2:03.0,J. Harden misses 2-pt shot from 3 ft,,19-28,,
2:00.0,,,19-28,,Defensive rebound by D. Cunningham
1:52.0,,,19-31,3,S. Hill makes 3-pt shot from 27 ft (assist by E. Moore)
1:43.0,Shooting foul by T. Frazier (drawn by L. Williams),,19-31,,
1:43.0,Houston full timeout,,19-31,,
1:43.0,L. Williams makes free throw 1 of 3,1,20-31,,
1:43.0,L. Williams misses free throw 2 of 3,,20-31,,
1:43.0,Offensive rebound by Team,,20-31,,
1:43.0,L. Williams makes free throw 3 of 3,1,21-31,,
1:43.0,,,19-31,,J. Crawford enters the game for D. Cunningham
1:19.0,,,21-31,,J. Crawford misses 2-pt shot from 9 ft
1:18.0,,,21-31,,Offensive rebound by J. Crawford
1:16.0,,,21-31,,J. Crawford misses 2-pt shot from 7 ft
1:16.0,Defensive rebound by T. Ariza,,21-31,,
1:16.0,Loose ball foul by M. Harrell (drawn by A. Davis),,21-31,,
1:16.0,Turnover by M. Harrell (offensive foul),,21-31,,
1:04.0,,,21-31,,A. Davis misses 2-pt shot from 8 ft
1:01.0,Defensive rebound by M. Harrell,,21-31,,
0:58.0,M. Harrell makes 2-pt shot from 2 ft (assist by J. Harden),2,23-31,,
0:43.0,,,23-33,2,T. Frazier makes 2-pt shot from 5 ft
0:36.0,L. Williams misses 2-pt shot from 2 ft,,23-33,,
0:33.0,,,23-33,,Defensive rebound by E. Moore
0:27.0,,,23-33,,T. Frazier misses 3-pt shot from 27 ft
0:26.0,Defensive rebound by J. Harden,,23-33,,
0:07.0,J. Harden misses 3-pt shot from 26 ft,,23-33,,
0:06.0,,,23-33,,Defensive rebound by A. Davis
0:00.0,,,23-36,3,E. Moore makes 3-pt shot from 24 ft (assist by T. Frazier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,E. Gordon makes 2-pt shot from 2 ft,2,25-36,,
11:40.0,Shooting foul by A. Ajinca (drawn by E. Gordon),,25-36,,
11:40.0,E. Gordon makes free throw 1 of 1,1,26-36,,
11:27.0,,,26-38,2,T. Frazier makes 2-pt shot from 16 ft (assist by J. Crawford)
11:17.0,E. Gordon makes 3-pt shot from 26 ft (assist by P. Beverley),3,29-38,,
10:52.0,,,29-38,,E. Moore misses 3-pt shot from 24 ft
