time,Milwaukee,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Maker (J. Crowder gains possession),,,,Jump ball: A. Johnson vs. T. Maker (J. Crowder gains possession)
11:45.0,,,0-0,,A. Horford misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by T. Snell,,0-0,,
11:33.0,M. Brogdon misses 3-pt shot from 25 ft,,0-0,,
11:32.0,Offensive rebound by K. Middleton,,0-0,,
11:22.0,K. Middleton makes 2-pt shot from 9 ft,2,2-0,,
11:12.0,,,2-0,,Turnover by A. Johnson (bad pass)
10:52.0,K. Middleton misses 2-pt shot from 19 ft,,2-0,,
10:51.0,,,2-0,,Defensive rebound by A. Johnson
10:38.0,,,2-0,,J. Crowder misses 3-pt shot from 25 ft
10:37.0,,,2-0,,Offensive rebound by A. Horford
10:29.0,,,2-2,2,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford)
10:11.0,G. Antetokounmpo makes 3-pt shot from 27 ft (assist by K. Middleton),3,5-2,,
9:57.0,,,5-2,,A. Horford misses 2-pt shot from 6 ft (block by G. Antetokounmpo)
9:56.0,Defensive rebound by M. Brogdon,,5-2,,
9:50.0,G. Antetokounmpo makes 3-pt shot from 26 ft,3,8-2,,
9:39.0,,,8-2,,Turnover by I. Thomas (lost ball; steal by K. Middleton)
9:35.0,K. Middleton misses 2-pt shot from 1 ft (block by A. Johnson),,8-2,,
9:34.0,Offensive rebound by G. Antetokounmpo,,8-2,,
9:20.0,T. Snell misses 3-pt shot from 25 ft,,8-2,,
9:19.0,,,8-2,,Defensive rebound by A. Bradley
9:05.0,,,8-2,,J. Crowder misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by M. Brogdon,,8-2,,
8:56.0,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon),3,11-2,,
8:55.0,,,11-2,,Boston full timeout
8:37.0,,,11-2,,Turnover by J. Crowder (bad pass; steal by G. Antetokounmpo)
8:32.0,G. Antetokounmpo misses 2-pt shot at rim,,11-2,,
8:31.0,,,11-2,,Defensive rebound by A. Horford
8:22.0,,,11-2,,J. Crowder misses 2-pt shot from 21 ft
8:21.0,,,11-2,,Offensive rebound by A. Horford
8:18.0,,,11-2,,A. Bradley misses 3-pt shot from 25 ft
8:18.0,,,11-2,,Offensive rebound by Team
8:04.0,,,11-4,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson)
7:38.0,K. Middleton makes 3-pt shot from 25 ft (assist by M. Brogdon),3,14-4,,
7:22.0,,,14-4,,Shooting foul by M. Brogdon (drawn by I. Thomas)
7:22.0,,,14-5,1,I. Thomas makes free throw 1 of 2
7:22.0,,,14-6,1,I. Thomas makes free throw 2 of 2
7:22.0,,,14-5,,M. Smart enters the game for A. Johnson
7:04.0,,,14-6,,Personal block foul by I. Thomas (drawn by M. Brogdon)
6:50.0,K. Middleton misses 2-pt shot from 11 ft,,14-6,,
6:49.0,,,14-6,,Defensive rebound by A. Bradley
6:42.0,Violation by T. Maker (kicked ball),,14-6,,
6:42.0,G. Monroe enters the game for T. Maker,,14-6,,
6:31.0,,,14-6,,M. Smart misses 3-pt shot from 26 ft
6:30.0,,,14-6,,Offensive rebound by J. Crowder
6:25.0,,,14-8,2,A. Bradley makes 2-pt shot from 17 ft (assist by M. Smart)
6:03.0,M. Brogdon misses 2-pt shot from 9 ft,,14-8,,
6:02.0,,,14-8,,Defensive rebound by A. Horford
5:54.0,,,14-8,,A. Bradley misses 2-pt shot from 10 ft
5:53.0,Defensive rebound by K. Middleton,,14-8,,
5:46.0,K. Middleton misses 2-pt shot from 11 ft,,14-8,,
5:45.0,,,14-8,,Defensive rebound by M. Smart
5:35.0,,,14-11,3,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart)
5:15.0,Offensive foul by K. Middleton,,14-11,,
5:15.0,Turnover by K. Middleton (offensive foul),,14-11,,
5:02.0,,,14-14,3,I. Thomas makes 3-pt shot from 26 ft (assist by J. Crowder)
5:02.0,Milwaukee full timeout,,14-14,,
5:02.0,,,14-14,,T. Zeller enters the game for A. Horford
5:02.0,M. Dellavedova enters the game for K. Middleton,,14-14,,
5:02.0,M. Teletovic enters the game for M. Brogdon,,14-14,,
4:45.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,16-14,,
4:19.0,,,16-17,3,M. Smart makes 3-pt shot from 28 ft
4:01.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by M. Smart),,16-17,,
