time,Dallas,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Noel (Y. Ferrell gains possession),,,,Jump ball: A. Len vs. N. Noel (Y. Ferrell gains possession)
11:42.0,Turnover by W. Matthews (lost ball; steal by T. Warren),,0-0,,
11:27.0,,,0-0,,D. Booker misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by W. Matthews,,0-0,,
11:12.0,N. Noel makes 2-pt shot from 3 ft (assist by D. Finney-Smith),2,2-0,,
11:12.0,Shooting foul by A. Len (drawn by N. Noel),,2-0,,
11:12.0,N. Noel makes free throw 1 of 1,1,3-0,,
10:46.0,,,3-2,2,T. Warren makes 2-pt shot from 23 ft
10:34.0,D. Finney-Smith makes 2-pt shot from 1 ft (assist by N. Noel),2,5-2,,
10:24.0,,,5-2,,T. Ulis misses 2-pt shot from 21 ft
10:22.0,,,5-2,,Offensive rebound by A. Len
10:15.0,,,5-5,3,D. Booker makes 3-pt shot from 26 ft
10:02.0,D. Nowitzki misses 2-pt shot from 20 ft,,5-5,,
10:02.0,Offensive rebound by Team,,5-5,,
9:43.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Finney-Smith),3,8-5,,
9:30.0,,,8-5,,Turnover by D. Booker (bad pass)
9:14.0,D. Nowitzki makes 2-pt shot from 1 ft,2,10-5,,
9:14.0,Shooting foul by T. Warren (drawn by D. Nowitzki),,10-5,,
9:14.0,D. Nowitzki makes free throw 1 of 1,1,11-5,,
9:05.0,,,11-5,,Shooting foul by D. Finney-Smith (drawn by D. Booker)
9:05.0,,,11-6,1,D. Booker makes free throw 1 of 2
9:05.0,,,11-7,1,D. Booker makes free throw 2 of 2
8:56.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by W. Matthews),3,14-7,,
8:42.0,,,14-10,3,M. Chriss makes 3-pt shot from 25 ft (assist by T. Ulis)
8:27.0,W. Matthews misses 3-pt shot from 24 ft,,14-10,,
8:27.0,,,14-10,,Defensive rebound by D. Booker
8:23.0,,,14-12,2,T. Warren makes 2-pt shot at rim (assist by D. Booker)
8:23.0,,,14-12,,Shooting foul by D. Nowitzki
8:23.0,,,14-13,1,T. Warren makes free throw 1 of 1
8:11.0,D. Nowitzki misses 2-pt shot from 13 ft,,14-13,,
8:10.0,,,14-13,,Defensive rebound by A. Len
7:56.0,,,14-15,2,A. Len makes 2-pt shot from 1 ft (assist by M. Chriss)
7:38.0,W. Matthews misses 3-pt shot from 25 ft,,14-15,,
7:38.0,,,14-15,,Defensive rebound by Team
7:30.0,,,14-15,,D. Booker misses 2-pt shot from 22 ft
7:28.0,,,14-15,,Offensive rebound by A. Len
7:28.0,,,14-17,2,A. Len makes 2-pt shot at rim
7:03.0,Y. Ferrell misses 3-pt shot from 24 ft,,14-17,,
7:02.0,,,14-17,,Defensive rebound by M. Chriss
7:00.0,,,14-17,,Shooting foul by D. Finney-Smith (drawn by M. Chriss)
7:00.0,,,14-18,1,M. Chriss makes free throw 1 of 2
7:00.0,Violation by D. Nowitzki (lane),,14-18,,
7:00.0,,,14-19,1,M. Chriss makes free throw 2 of 2
7:00.0,N. Brussino enters the game for D. Finney-Smith,,14-18,,
6:45.0,D. Nowitzki misses 2-pt shot from 15 ft,,14-19,,
6:44.0,,,14-19,,Defensive rebound by T. Warren
6:27.0,,,14-22,3,T. Warren makes 3-pt shot from 23 ft (assist by T. Ulis)
6:27.0,Dallas full timeout,,14-22,,
6:11.0,D. Nowitzki misses 2-pt shot from 16 ft,,14-22,,
6:10.0,Offensive rebound by N. Noel,,14-22,,
6:06.0,N. Brussino misses 3-pt shot from 26 ft,,14-22,,
6:05.0,,,14-22,,Defensive rebound by D. Booker
5:50.0,,,14-24,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
5:26.0,D. Nowitzki misses 2-pt shot from 19 ft,,14-24,,
5:26.0,,,14-24,,Defensive rebound by M. Chriss
5:05.0,,,14-24,,D. Booker misses 3-pt shot from 26 ft
5:05.0,Defensive rebound by Y. Ferrell,,14-24,,
4:56.0,W. Matthews makes 2-pt shot from 19 ft,2,16-24,,
4:35.0,,,16-26,2,M. Chriss makes 2-pt shot from 5 ft (assist by D. Booker)
4:15.0,W. Matthews misses 3-pt shot from 26 ft,,16-26,,
4:13.0,,,16-26,,Defensive rebound by T. Warren
4:06.0,,,16-28,2,T. Warren makes 2-pt shot from 21 ft
3:50.0,Y. Ferrell makes 3-pt shot from 24 ft,3,19-28,,
3:41.0,,,19-28,,M. Chriss misses 2-pt shot from 21 ft
3:40.0,Defensive rebound by D. Nowitzki,,19-28,,
3:38.0,Turnover by D. Nowitzki (bad pass; steal by T. Warren),,19-28,,
3:35.0,,,19-28,,Shooting foul by N. Noel (drawn by A. Len)
3:35.0,,,19-28,,A. Len misses free throw 1 of 2
3:35.0,,,19-28,,Offensive rebound by Team
3:35.0,,,19-29,1,A. Len makes free throw 2 of 2
3:19.0,Y. Ferrell makes 2-pt shot from 8 ft (assist by N. Brussino),2,21-29,,
3:07.0,,,21-29,,Turnover by T. Ulis (lost ball)
3:07.0,,,21-29,,D. Bender enters the game for A. Len
2:53.0,N. Noel misses 2-pt shot from 3 ft,,21-29,,
2:53.0,Offensive rebound by Y. Ferrell,,21-29,,
2:49.0,Y. Ferrell makes 3-pt shot from 22 ft,3,24-29,,
2:38.0,,,24-29,,Turnover by D. Booker (bad pass; steal by N. Noel)
2:33.0,N. Brussino makes 2-pt shot from 1 ft (assist by N. Noel),2,26-29,,
2:33.0,,,26-29,,Phoenix full timeout
2:33.0,,,26-29,,J. Dudley enters the game for M. Chriss
2:33.0,,,26-29,,D. Jones enters the game for T. Ulis
2:33.0,S. Mejri enters the game for N. Noel,,26-29,,
2:33.0,D. Harris enters the game for Y. Ferrell,,26-29,,
2:17.0,Shooting block foul by S. Mejri,,26-29,,
2:17.0,,,26-30,1,T. Warren makes free throw 1 of 2
2:17.0,,,26-31,1,T. Warren makes free throw 2 of 2
2:03.0,W. Matthews makes 2-pt shot from 22 ft,2,28-31,,
1:48.0,,,28-33,2,D. Jones makes 2-pt shot from 1 ft (assist by J. Dudley)
1:33.0,N. Brussino misses 3-pt shot from 22 ft,,28-33,,
1:32.0,,,28-33,,Defensive rebound by D. Bender
1:31.0,Personal foul by N. Brussino (drawn by J. Dudley),,28-33,,
1:31.0,,,28-34,1,J. Dudley makes free throw 1 of 2
1:31.0,,,28-35,1,J. Dudley makes free throw 2 of 2
1:31.0,D. Powell enters the game for D. Nowitzki,,28-34,,
1:14.0,Turnover by D. Harris (bad pass; steal by D. Bender),,28-35,,
1:02.0,,,28-35,,D. Bender misses 2-pt shot from 1 ft
1:02.0,,,28-35,,Offensive rebound by D. Bender
1:02.0,,,28-37,2,D. Bender makes 2-pt shot from 1 ft
0:46.0,D. Harris misses 3-pt shot from 25 ft,,28-37,,
0:45.0,Offensive rebound by S. Mejri,,28-37,,
0:39.0,W. Matthews misses 3-pt shot from 26 ft,,28-37,,
0:39.0,,,28-37,,Defensive rebound by T. Warren
0:33.0,,,28-37,,D. Booker misses 3-pt shot from 31 ft
0:27.0,Defensive rebound by D. Harris,,28-37,,
0:11.0,Shooting foul by D. Jones (drawn by S. Mejri),,28-37,,
0:11.0,S. Mejri makes free throw 1 of 2,1,29-37,,
0:11.0,S. Mejri misses free throw 2 of 2,,29-37,,
0:11.0,,,29-37,,Defensive rebound by J. Dudley
0:01.0,,,29-40,3,T. Warren makes 3-pt shot from 24 ft (assist by D. Booker)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-42,2,A. Williams makes 2-pt shot from 10 ft (assist by T. Ulis)
11:27.0,W. Matthews misses 3-pt shot from 26 ft,,29-42,,
11:26.0,,,29-42,,Defensive rebound by D. Bender
11:18.0,,,29-45,3,T. Ulis makes 3-pt shot from 26 ft
10:55.0,D. Harris makes 3-pt shot from 25 ft (assist by W. Matthews),3,32-45,,
10:38.0,,,32-45,,Offensive charge foul by D. Jones
10:38.0,,,32-45,,Turnover by D. Jones (offensive foul)
10:21.0,D. Powell makes 2-pt shot from 3 ft (assist by D. Nowitzki),2,34-45,,
10:06.0,,,34-45,,Shooting foul by W. Matthews (drawn by A. Williams)
10:06.0,,,34-47,2,A. Williams makes 2-pt shot from 1 ft (assist by T. Ulis)
10:06.0,,,34-48,1,A. Williams makes free throw 1 of 1
9:48.0,D. Nowitzki misses 2-pt shot from 16 ft,,34-48,,
9:47.0,Offensive rebound by S. Mejri,,34-48,,
9:47.0,S. Mejri makes 2-pt shot at rim,2,36-48,,
9:37.0,,,36-48,,Shooting foul by D. Nowitzki (drawn by A. Williams)
9:37.0,,,36-49,1,A. Williams makes free throw 1 of 2
9:37.0,,,36-49,,A. Williams misses free throw 2 of 2
9:37.0,Defensive rebound by D. Powell,,36-49,,
9:21.0,D. Powell makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,39-49,,
9:17.0,,,39-49,,Turnover by T. Ulis (bad pass)
9:17.0,,,39-49,,Inbound foul by D. Jones
9:17.0,D. Nowitzki makes free throw 1 of 1,1,40-49,,
9:06.0,D. Harris makes 3-pt shot from 25 ft,3,43-49,,
8:44.0,,,43-49,,T. Ulis misses 2-pt shot from 12 ft
8:40.0,Defensive rebound by S. Mejri,,43-49,,
8:33.0,D. Harris misses 3-pt shot from 25 ft,,43-49,,
8:33.0,,,43-49,,Defensive rebound by Team
8:32.0,Official timeout,,43-49,,
8:32.0,N. Brussino enters the game for W. Matthews,,43-49,,
8:22.0,,,43-51,2,A. Williams makes 2-pt shot from 3 ft (assist by D. Bender)
8:06.0,Shooting foul by D. Bender (drawn by D. Powell),,43-51,,
8:06.0,D. Powell misses free throw 1 of 2,,43-51,,
8:06.0,Offensive rebound by Team,,43-51,,
8:06.0,D. Powell makes free throw 2 of 2,1,44-51,,
7:54.0,,,44-51,,D. Bender misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by D. Powell,,44-51,,
7:38.0,D. Nowitzki makes 2-pt shot from 15 ft,2,46-51,,
7:19.0,,,46-51,,Turnover by T. Ulis (bad pass)
7:19.0,,,46-51,,D. Booker enters the game for D. Jones
7:05.0,D. Harris makes 3-pt shot from 25 ft (assist by D. Powell),3,49-51,,
6:51.0,,,49-53,2,D. Booker makes 2-pt shot from 16 ft (assist by D. Bender)
6:30.0,D. Nowitzki misses 2-pt shot from 19 ft,,49-53,,
6:29.0,,,49-53,,Defensive rebound by T. Ulis
6:22.0,,,49-53,,T. Ulis misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by D. Nowitzki,,49-53,,
6:11.0,S. Mejri makes 2-pt shot at rim (assist by D. Harris),2,51-53,,
6:01.0,Personal foul by D. Harris (drawn by A. Williams),,51-53,,
6:01.0,D. Finney-Smith enters the game for D. Harris,,51-53,,
6:01.0,Y. Ferrell enters the game for D. Nowitzki,,51-53,,
5:52.0,,,51-53,,A. Williams misses 2-pt shot from 9 ft
5:52.0,,,51-53,,Offensive rebound by A. Williams
5:49.0,,,51-55,2,A. Williams makes 2-pt shot from 1 ft
