time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. D. Cousins (R. Anderson gains possession),,,,Jump ball: C. Capela vs. D. Cousins (R. Anderson gains possession)
11:37.0,C. Capela makes 2-pt shot from 6 ft (assist by T. Ariza),2,2-0,,
11:12.0,,,2-0,,D. Cousins misses 2-pt shot from 4 ft
11:12.0,Defensive rebound by J. Harden,,2-0,,
11:00.0,P. Beverley misses 3-pt shot from 23 ft,,2-0,,
10:59.0,Offensive rebound by C. Capela,,2-0,,
10:58.0,C. Capela makes 2-pt shot from 2 ft,2,4-0,,
10:40.0,,,4-0,,D. Cousins misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by T. Ariza,,4-0,,
10:25.0,Turnover by R. Anderson (bad pass; steal by R. Gay),,4-0,,
10:23.0,Personal foul by P. Beverley (drawn by R. Gay),,4-0,,
10:08.0,,,4-0,,D. Collison misses 2-pt shot from 8 ft
10:08.0,Defensive rebound by C. Capela,,4-0,,
9:59.0,Turnover by J. Harden (bad pass),,4-0,,
9:41.0,,,4-0,,R. Gay misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by P. Beverley,,4-0,,
9:32.0,R. Anderson misses 3-pt shot from 26 ft,,4-0,,
9:31.0,,,4-0,,Defensive rebound by M. Barnes
9:29.0,Personal foul by R. Anderson (drawn by D. Cousins),,4-0,,
9:14.0,,,4-2,2,D. Cousins makes 2-pt shot from 2 ft
9:00.0,Shooting foul by D. Cousins (drawn by C. Capela),,4-2,,
9:00.0,C. Capela makes free throw 1 of 2,1,5-2,,
9:00.0,C. Capela misses free throw 2 of 2,,5-2,,
8:59.0,,,5-2,,Defensive rebound by D. Cousins
8:47.0,,,5-5,3,T. Lawson makes 3-pt shot from 25 ft
8:33.0,T. Ariza makes 3-pt shot from 23 ft (assist by R. Anderson),3,8-5,,
8:21.0,,,8-5,,T. Lawson misses 2-pt shot from 6 ft
8:20.0,Defensive rebound by P. Beverley,,8-5,,
8:15.0,,,8-5,,Personal foul by M. Barnes (drawn by T. Ariza)
8:07.0,P. Beverley makes 3-pt shot from 25 ft (assist by R. Anderson),3,11-5,,
8:03.0,,,11-5,,Sacramento full timeout
8:03.0,,,11-5,,A. Afflalo enters the game for T. Lawson
7:50.0,,,11-5,,A. Afflalo misses 3-pt shot from 23 ft
7:50.0,Defensive rebound by P. Beverley,,11-5,,
7:42.0,J. Harden misses 3-pt shot from 25 ft,,11-5,,
7:42.0,Offensive rebound by P. Beverley,,11-5,,
7:38.0,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley),3,14-5,,
7:19.0,,,14-7,2,D. Cousins makes 2-pt shot from 21 ft
7:08.0,T. Ariza misses 3-pt shot from 25 ft,,14-7,,
7:07.0,Offensive rebound by C. Capela,,14-7,,
6:57.0,T. Ariza makes 3-pt shot from 25 ft (assist by R. Anderson),3,17-7,,
6:41.0,,,17-7,,D. Collison misses 3-pt shot from 23 ft
6:40.0,Defensive rebound by J. Harden,,17-7,,
6:30.0,T. Ariza misses 3-pt shot from 24 ft,,17-7,,
6:30.0,,,17-7,,Defensive rebound by D. Cousins
6:17.0,,,17-9,2,D. Cousins makes 2-pt shot from 3 ft (assist by R. Gay)
6:02.0,C. Capela makes 2-pt shot from 4 ft (assist by P. Beverley),2,19-9,,
5:43.0,,,19-9,,D. Cousins misses 2-pt shot from 3 ft
5:42.0,Defensive rebound by T. Ariza,,19-9,,
5:34.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,22-9,,
5:12.0,,,22-9,,A. Afflalo misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by C. Capela,,22-9,,
5:01.0,Turnover by C. Capela (bad pass; steal by R. Gay),,22-9,,
4:57.0,,,22-11,2,M. Barnes makes 2-pt shot from 3 ft (assist by D. Collison)
4:44.0,J. Harden misses 3-pt shot from 25 ft,,22-11,,
4:44.0,Offensive rebound by P. Beverley,,22-11,,
4:37.0,Shooting foul by A. Afflalo (drawn by J. Harden),,22-11,,
4:37.0,J. Harden makes free throw 1 of 3,1,23-11,,
4:37.0,J. Harden makes free throw 2 of 3,1,24-11,,
4:37.0,J. Harden makes free throw 3 of 3,1,25-11,,
4:37.0,E. Gordon enters the game for C. Capela,,24-11,,
4:37.0,N. Hilario enters the game for P. Beverley,,24-11,,
4:26.0,,,25-14,3,M. Barnes makes 3-pt shot from 25 ft
4:07.0,E. Gordon misses 3-pt shot from 24 ft,,25-14,,
4:06.0,,,25-14,,Defensive rebound by D. Cousins
4:02.0,,,25-14,,Shooting foul by R. Anderson (drawn by D. Collison)
4:02.0,,,25-15,1,D. Collison makes free throw 1 of 2
4:02.0,,,25-16,1,D. Collison makes free throw 2 of 2
4:02.0,S. Dekker enters the game for R. Anderson,,25-15,,
4:02.0,,,25-15,,B. McLemore enters the game for R. Gay
3:49.0,E. Gordon misses 3-pt shot from 24 ft,,25-16,,
3:49.0,,,25-16,,Defensive rebound by D. Cousins
3:40.0,,,25-18,2,D. Cousins makes 2-pt shot from 3 ft
