time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: J. Embiid vs. N. Vucevic (E. Payton gains possession)
11:44.0,N. Vucevic misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by R. Covington
11:30.0,,,0-0,,G. Henderson misses 2-pt shot from 2 ft
11:30.0,Defensive rebound by E. Fournier,,0-0,,
11:23.0,A. Gordon misses 2-pt shot from 7 ft (block by R. Covington),,0-0,,
11:21.0,,,0-0,,Defensive rebound by R. Covington
11:13.0,,,0-0,,D. Saric misses 2-pt shot from 5 ft
11:11.0,,,0-0,,Offensive rebound by J. Embiid
11:10.0,,,0-0,,J. Embiid misses 2-pt shot from 3 ft
11:08.0,,,0-0,,Offensive rebound by G. Henderson
11:06.0,,,0-0,,G. Henderson misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by S. Ibaka,,0-0,,
10:49.0,A. Gordon misses 3-pt shot from 25 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by S. Rodriguez
10:32.0,,,0-0,,R. Covington misses 2-pt shot from 2 ft
10:31.0,,,0-0,,Offensive rebound by Team
10:17.0,,,0-3,3,S. Rodriguez makes 3-pt shot from 24 ft (assist by J. Embiid)
10:02.0,Turnover by E. Fournier (bad pass),,0-3,,
9:51.0,,,0-3,,J. Embiid misses 2-pt shot at rim
9:50.0,,,0-3,,Offensive rebound by Team
9:44.0,,,0-5,2,G. Henderson makes 2-pt shot at rim
9:44.0,,,0-5,,Shooting foul by N. Vucevic (drawn by G. Henderson)
9:44.0,,,0-6,1,G. Henderson makes free throw 1 of 1
9:24.0,E. Fournier misses 3-pt shot from 28 ft,,0-6,,
9:23.0,,,0-6,,Defensive rebound by D. Saric
9:03.0,,,0-8,2,S. Rodriguez makes 2-pt shot from 20 ft
8:37.0,Turnover by E. Payton (bad pass; steal by R. Covington),,0-8,,
8:31.0,,,0-10,2,G. Henderson makes 2-pt shot from 4 ft (assist by R. Covington)
8:30.0,Orlando full timeout,,0-10,,
8:30.0,,,0-10,,N. Stauskas enters the game for R. Covington
8:30.0,,,0-10,,R. Holmes enters the game for J. Embiid
8:14.0,S. Ibaka misses 2-pt shot from 6 ft,,0-10,,
8:11.0,Offensive rebound by A. Gordon,,0-10,,
8:10.0,A. Gordon makes 2-pt shot from 2 ft,2,2-10,,
7:57.0,,,2-12,2,G. Henderson makes 2-pt shot at rim (assist by R. Holmes)
7:43.0,E. Payton misses 3-pt shot from 25 ft,,2-12,,
7:42.0,,,2-12,,Defensive rebound by G. Henderson
7:30.0,,,2-14,2,G. Henderson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
7:25.0,E. Fournier misses 2-pt shot from 3 ft,,2-14,,
7:24.0,,,2-14,,Defensive rebound by R. Holmes
