time,Portland,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (C. McCollum gains possession)
11:45.0,M. Plumlee misses 2-pt shot from 13 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by T. Chandler
11:28.0,,,0-3,3,J. Dudley makes 3-pt shot from 25 ft (assist by E. Bledsoe)
11:08.0,M. Plumlee misses 2-pt shot from 1 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by J. Dudley
11:01.0,,,0-3,,T. Chandler misses 2-pt shot at rim
10:57.0,Defensive rebound by M. Plumlee,,0-3,,
10:50.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu),3,3-3,,
10:25.0,,,3-3,,E. Bledsoe misses 3-pt shot from 26 ft
10:21.0,Defensive rebound by M. Plumlee,,3-3,,
10:15.0,D. Lillard misses 2-pt shot from 14 ft,,3-3,,
10:13.0,Offensive rebound by M. Plumlee,,3-3,,
10:09.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee),3,6-3,,
9:42.0,,,6-3,,Shooting foul by C. McCollum (drawn by D. Booker)
9:42.0,,,6-3,,D. Booker misses free throw 1 of 2
9:42.0,,,6-3,,Offensive rebound by Team
9:42.0,,,6-3,,D. Booker misses free throw 2 of 2
9:41.0,Defensive rebound by M. Plumlee,,6-3,,
9:20.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,9-3,,
8:57.0,,,9-3,,D. Booker misses 2-pt shot from 5 ft
8:57.0,,,9-3,,Offensive rebound by Team
8:55.0,,,9-3,,Turnover by J. Dudley (lost ball; steal by A. Aminu)
8:55.0,,,9-3,,Loose ball foul by J. Dudley (drawn by A. Aminu)
8:42.0,C. McCollum makes 2-pt shot from 15 ft (assist by M. Plumlee),2,11-3,,
8:36.0,,,11-3,,Phoenix full timeout
8:31.0,,,11-3,,T. Warren misses 2-pt shot from 13 ft
8:29.0,,,11-3,,Offensive rebound by T. Warren
8:28.0,,,11-3,,T. Warren misses 2-pt shot from 3 ft (block by M. Harkless)
8:26.0,,,11-3,,Offensive rebound by E. Bledsoe
8:17.0,,,11-3,,D. Booker misses 2-pt shot from 16 ft
8:15.0,Defensive rebound by A. Aminu,,11-3,,
8:03.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,14-3,,
7:51.0,,,14-6,3,D. Booker makes 3-pt shot from 26 ft (assist by J. Dudley)
7:27.0,Turnover by M. Harkless (lost ball; steal by T. Warren),,14-6,,
7:23.0,,,14-8,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley)
7:08.0,Shooting foul by D. Booker (drawn by C. McCollum),,14-8,,
7:08.0,C. McCollum makes free throw 1 of 2,1,15-8,,
7:08.0,C. McCollum makes free throw 2 of 2,1,16-8,,
6:58.0,,,16-10,2,T. Warren makes 2-pt shot from 17 ft
6:45.0,M. Plumlee makes 2-pt shot from 15 ft (assist by C. McCollum),2,18-10,,
6:17.0,,,18-12,2,D. Booker makes 2-pt shot from 1 ft
6:05.0,C. McCollum makes 2-pt shot from 16 ft (assist by M. Harkless),2,20-12,,
5:57.0,,,20-12,,Shooting foul by M. Plumlee (drawn by T. Chandler)
5:57.0,,,20-13,1,T. Chandler makes free throw 1 of 2
5:57.0,,,20-14,1,T. Chandler makes free throw 2 of 2
5:57.0,,,20-13,,P. Tucker enters the game for J. Dudley
5:44.0,C. McCollum misses 3-pt shot from 29 ft,,20-14,,
5:41.0,,,20-14,,Defensive rebound by T. Chandler
5:33.0,,,20-16,2,T. Warren makes 2-pt shot from 3 ft
5:06.0,M. Plumlee misses 2-pt shot from 2 ft,,20-16,,
5:04.0,,,20-16,,Defensive rebound by T. Chandler
5:01.0,,,20-16,,Turnover by E. Bledsoe (lost ball; steal by M. Harkless)
5:01.0,,,20-16,,Personal take foul by P. Tucker (drawn by M. Harkless)
5:01.0,E. Turner enters the game for M. Harkless,,20-16,,
5:01.0,A. Crabbe enters the game for C. McCollum,,20-16,,
5:01.0,,,20-16,,A. Len enters the game for T. Chandler
4:45.0,Turnover by E. Turner (bad pass; steal by P. Tucker),,20-16,,
4:42.0,,,20-16,,Turnover by P. Tucker (bad pass)
4:30.0,A. Aminu misses 3-pt shot from 26 ft,,20-16,,
4:28.0,,,20-16,,Defensive rebound by Team
4:28.0,,,20-16,,B. Knight enters the game for E. Bledsoe
4:16.0,Personal foul by D. Lillard (drawn by B. Knight),,20-16,,
4:16.0,M. Leonard enters the game for M. Plumlee,,20-16,,
4:05.0,,,20-16,,P. Tucker misses 2-pt shot from 4 ft (block by A. Aminu)
4:05.0,Defensive rebound by Team,,20-16,,
3:47.0,Shooting foul by A. Len (drawn by D. Lillard),,20-16,,
3:47.0,D. Lillard makes free throw 1 of 2,1,21-16,,
3:47.0,D. Lillard makes free throw 2 of 2,1,22-16,,
3:30.0,,,22-16,,D. Booker misses 3-pt shot from 23 ft
3:28.0,Defensive rebound by A. Aminu,,22-16,,
3:19.0,D. Lillard makes 2-pt shot from 18 ft,2,24-16,,
