time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Booker vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: T. Booker vs. J. Valanciunas (D. Carroll gains possession)
11:42.0,,,0-0,,D. DeRozan misses 3-pt shot from 23 ft
11:42.0,Defensive rebound by J. Lin,,0-0,,
11:24.0,L. Scola misses 2-pt shot from 20 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by D. Carroll
11:18.0,,,0-2,2,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry)
11:00.0,L. Scola misses 2-pt shot from 8 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by P. Siakam
10:53.0,,,0-2,,Turnover by P. Siakam (step out of bounds)
10:41.0,T. Booker misses 3-pt shot from 23 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by K. Lowry
10:27.0,,,0-2,,D. DeRozan misses 2-pt shot from 6 ft
10:27.0,,,0-2,,Offensive rebound by J. Valanciunas
10:26.0,,,0-2,,J. Valanciunas misses 2-pt shot from 3 ft
10:25.0,,,0-2,,Offensive rebound by J. Valanciunas
10:25.0,,,0-4,2,J. Valanciunas makes 2-pt shot from 1 ft
10:13.0,J. Lin makes 3-pt shot from 25 ft,3,3-4,,
9:55.0,,,3-4,,D. DeRozan misses 2-pt shot from 8 ft
9:55.0,,,3-4,,Offensive rebound by Team
9:48.0,,,3-7,3,K. Lowry makes 3-pt shot from 25 ft (assist by P. Siakam)
9:31.0,,,3-7,,Personal foul by D. DeRozan (drawn by B. Bogdanovic)
9:31.0,,,3-7,,Violation by Team (jump ball)
9:25.0,T. Booker makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,5-7,,
9:01.0,,,5-9,2,D. Carroll makes 2-pt shot from 11 ft
8:50.0,B. Bogdanovic misses 3-pt shot from 27 ft,,5-9,,
8:50.0,,,5-9,,Defensive rebound by Team
8:39.0,,,5-9,,D. Carroll misses 2-pt shot from 15 ft
8:39.0,Defensive rebound by T. Booker,,5-9,,
8:27.0,T. Booker makes 2-pt shot from 3 ft,2,7-9,,
8:07.0,,,7-11,2,D. DeRozan makes 2-pt shot at rim (assist by P. Siakam)
7:50.0,Turnover by T. Booker (bad pass; steal by D. Carroll),,7-11,,
7:44.0,,,7-13,2,D. Carroll makes 2-pt shot from 6 ft
7:18.0,Turnover by Team (shot clock),,7-13,,
7:18.0,J. Harris enters the game for S. Kilpatrick,,7-13,,
7:03.0,,,7-13,,Shooting foul by B. Bogdanovic (drawn by D. DeRozan)
7:03.0,,,7-14,1,D. DeRozan makes free throw 1 of 2
7:03.0,,,7-15,1,D. DeRozan makes free throw 2 of 2
6:44.0,L. Scola misses 2-pt shot from 5 ft (block by P. Siakam),,7-15,,
6:43.0,,,7-15,,Defensive rebound by K. Lowry
6:39.0,,,7-15,,Turnover by K. Lowry (bad pass; steal by T. Booker)
6:35.0,Turnover by T. Booker (bad pass),,7-15,,
6:16.0,,,7-15,,Turnover by D. Carroll (traveling)
6:04.0,L. Scola misses 3-pt shot from 25 ft,,7-15,,
6:03.0,Offensive rebound by T. Booker,,7-15,,
5:58.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by T. Booker),3,10-15,,
5:39.0,,,10-15,,D. DeRozan misses 2-pt shot from 8 ft
5:36.0,Defensive rebound by J. Lin,,10-15,,
5:31.0,J. Lin makes 2-pt shot from 23 ft,2,12-15,,
5:30.0,,,12-15,,Toronto full timeout
5:30.0,J. Hamilton enters the game for L. Scola,,12-15,,
5:18.0,,,12-17,2,D. DeRozan makes 2-pt shot from 6 ft
5:10.0,Shooting foul by P. Siakam (drawn by B. Bogdanovic),,12-17,,
5:10.0,B. Bogdanovic makes free throw 1 of 2,1,13-17,,
5:10.0,B. Bogdanovic makes free throw 2 of 2,1,14-17,,
5:00.0,,,14-17,,D. DeRozan misses 2-pt shot from 7 ft
4:59.0,Defensive rebound by J. Hamilton,,14-17,,
4:52.0,J. Harris makes 3-pt shot from 23 ft (assist by J. Lin),3,17-17,,
4:31.0,,,17-17,,K. Lowry misses 2-pt shot from 9 ft
4:31.0,Defensive rebound by T. Booker,,17-17,,
4:23.0,J. Harris misses 3-pt shot from 26 ft,,17-17,,
4:23.0,,,17-17,,Defensive rebound by J. Valanciunas
4:04.0,,,17-20,3,D. Carroll makes 3-pt shot from 26 ft (assist by D. DeRozan)
3:47.0,T. Booker makes 2-pt shot from 6 ft,2,19-20,,
3:33.0,Personal foul by J. Harris (drawn by D. DeRozan),,19-20,,
3:33.0,R. Hollis-Jefferson enters the game for T. Booker,,19-20,,
3:33.0,S. Dinwiddie enters the game for J. Lin,,19-20,,
3:33.0,,,19-20,,C. Joseph enters the game for K. Lowry
3:33.0,,,19-20,,N. Powell enters the game for P. Siakam
3:33.0,,,19-20,,L. Nogueira enters the game for D. Carroll
3:23.0,,,19-22,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by C. Joseph)
3:12.0,J. Hamilton misses 2-pt shot from 15 ft,,19-22,,
3:12.0,Offensive rebound by R. Hollis-Jefferson,,19-22,,
3:08.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,19-22,,
3:07.0,,,19-22,,Defensive rebound by J. Valanciunas
2:49.0,,,19-22,,Shooting foul by R. Hollis-Jefferson (drawn by N. Powell)
2:49.0,Brooklyn full timeout,,19-22,,
2:49.0,,,19-23,1,N. Powell makes free throw 1 of 2
2:49.0,,,19-24,1,N. Powell makes free throw 2 of 2
2:49.0,,,19-22,,T. Ross enters the game for J. Valanciunas
2:49.0,C. LeVert enters the game for B. Bogdanovic,,19-22,,
2:32.0,Turnover by C. LeVert (bad pass; steal by N. Powell),,19-24,,
2:16.0,,,19-24,,D. DeRozan misses 2-pt shot from 8 ft
2:16.0,Defensive rebound by R. Hollis-Jefferson,,19-24,,
2:08.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft (block by L. Nogueira),,19-24,,
2:07.0,,,19-24,,Defensive rebound by C. Joseph
2:03.0,,,19-24,,Turnover by C. Joseph (bad pass; steal by C. LeVert)
