time,Toronto,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,B. Lopez misses 2-pt shot from 2 ft
12:00.0,Jump ball: B. Lopez vs. J. Valanciunas (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. J. Valanciunas (I. Whitehead gains possession)
11:42.0,,,0-0,,Offensive rebound by B. Lopez
11:41.0,,,0-2,2,B. Lopez makes 2-pt shot at rim
11:41.0,,,0-2,,Shooting foul by J. Valanciunas (drawn by B. Lopez)
11:41.0,,,0-3,1,B. Lopez makes free throw 1 of 1
11:23.0,Turnover by J. Valanciunas (discontinued dribble),,0-3,,
10:59.0,,,0-3,,I. Whitehead misses 2-pt shot from 10 ft
10:57.0,Defensive rebound by N. Powell,,0-3,,
10:52.0,N. Powell misses 2-pt shot from 8 ft,,0-3,,
10:51.0,Offensive rebound by Team,,0-3,,
10:49.0,J. Valanciunas makes 2-pt shot from 14 ft (assist by K. Lowry),2,2-3,,
10:29.0,,,2-3,,B. Lopez misses 3-pt shot from 24 ft
10:28.0,Defensive rebound by K. Lowry,,2-3,,
10:20.0,K. Lowry makes 2-pt shot from 8 ft,2,4-3,,
10:04.0,,,4-3,,B. Lopez misses 2-pt shot from 9 ft
10:03.0,Defensive rebound by P. Siakam,,4-3,,
9:57.0,K. Lowry misses 3-pt shot from 25 ft,,4-3,,
9:56.0,,,4-3,,Defensive rebound by R. Hollis-Jefferson
9:46.0,,,4-5,2,B. Lopez makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
9:46.0,,,4-5,,Shooting foul by P. Siakam (drawn by B. Lopez)
9:46.0,,,4-6,1,B. Lopez makes free throw 1 of 1
9:33.0,N. Powell misses 2-pt shot from 1 ft,,4-6,,
9:32.0,Offensive rebound by N. Powell,,4-6,,
9:31.0,N. Powell misses 2-pt shot from 2 ft,,4-6,,
9:30.0,,,4-6,,Defensive rebound by R. Hollis-Jefferson
9:22.0,,,4-6,,B. Bogdanovic misses 2-pt shot from 13 ft
9:20.0,Defensive rebound by J. Valanciunas,,4-6,,
9:12.0,J. Valanciunas misses 2-pt shot from 19 ft,,4-6,,
9:11.0,,,4-6,,Defensive rebound by B. Bogdanovic
9:06.0,,,4-6,,Turnover by B. Bogdanovic (lost ball)
8:54.0,D. Carroll misses 3-pt shot from 26 ft,,4-6,,
8:53.0,,,4-6,,Defensive rebound by B. Lopez
8:45.0,,,4-6,,Turnover by R. Hollis-Jefferson (traveling)
8:34.0,,,4-6,,Personal block foul by I. Whitehead (drawn by N. Powell)
8:24.0,D. Carroll misses 2-pt shot from 18 ft,,4-6,,
8:23.0,,,4-6,,Defensive rebound by I. Whitehead
8:17.0,,,4-6,,B. Bogdanovic misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by J. Valanciunas,,4-6,,
8:10.0,K. Lowry makes 2-pt shot from 2 ft,2,6-6,,
