time,Miami,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. H. Whiteside (J. Green gains possession),,,,Jump ball: M. Gasol vs. H. Whiteside (J. Green gains possession)
11:46.0,,,0-0,,M. Gasol misses 2-pt shot from 20 ft
11:46.0,Defensive rebound by J. Richardson,,0-0,,
11:37.0,J. Richardson makes 3-pt shot from 26 ft (assist by D. Waiters),3,3-0,,
11:19.0,,,3-0,,Shooting foul by J. Richardson (drawn by A. Harrison)
11:19.0,,,3-1,1,A. Harrison makes free throw 1 of 2
11:19.0,,,3-2,1,A. Harrison makes free throw 2 of 2
10:58.0,R. McGruder makes 2-pt shot at rim (assist by H. Whiteside),2,5-2,,
10:45.0,,,5-2,,T. Daniels misses 3-pt shot from 30 ft
10:45.0,Defensive rebound by Team,,5-2,,
10:27.0,D. Williams misses 3-pt shot from 25 ft,,5-2,,
10:26.0,,,5-2,,Defensive rebound by A. Harrison
10:17.0,,,5-4,2,J. Green makes 2-pt shot from 2 ft
10:06.0,,,5-4,,Personal foul by A. Harrison (drawn by J. Richardson)
9:56.0,R. McGruder makes 3-pt shot from 23 ft (assist by J. Richardson),3,8-4,,
9:43.0,,,8-4,,A. Harrison misses 2-pt shot from 17 ft
9:41.0,,,8-4,,Offensive rebound by J. Green
9:41.0,,,8-4,,J. Green misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by H. Whiteside,,8-4,,
9:33.0,D. Waiters makes 2-pt shot from 18 ft,2,10-4,,
9:21.0,,,10-4,,Turnover by T. Daniels (bad pass; steal by D. Waiters)
9:20.0,,,10-4,,Personal take foul by T. Daniels (drawn by D. Waiters)
9:10.0,D. Williams misses 2-pt shot from 2 ft (block by M. Gasol),,10-4,,
9:07.0,,,10-4,,Defensive rebound by J. Green
9:02.0,Personal foul by R. McGruder (drawn by J. Green),,10-4,,
8:50.0,,,10-6,2,J. Green makes 2-pt shot from 1 ft (assist by A. Harrison)
8:28.0,D. Waiters makes 3-pt shot from 24 ft (assist by D. Williams),3,13-6,,
8:06.0,,,13-6,,T. Allen misses 3-pt shot from 24 ft
8:06.0,Defensive rebound by D. Williams,,13-6,,
7:51.0,J. Richardson misses 3-pt shot from 25 ft,,13-6,,
7:51.0,,,13-6,,Defensive rebound by J. Green
7:34.0,,,13-6,,T. Allen misses 3-pt shot from 26 ft
7:33.0,,,13-6,,Offensive rebound by A. Harrison
7:27.0,,,13-6,,Shooting foul by D. Waiters (drawn by A. Harrison)
7:27.0,,,13-7,1,A. Harrison makes free throw 1 of 2
7:27.0,,,13-8,1,A. Harrison makes free throw 2 of 2
7:27.0,,,13-7,,D. Davis enters the game for M. Gasol
7:04.0,R. McGruder misses 3-pt shot from 24 ft,,13-8,,
7:03.0,,,13-8,,Defensive rebound by Team
6:52.0,,,13-8,,A. Harrison misses 2-pt shot from 16 ft
6:51.0,Defensive rebound by D. Williams,,13-8,,
6:33.0,D. Waiters makes 2-pt shot from 1 ft,2,15-8,,
6:16.0,,,15-8,,Offensive foul by J. Green
6:16.0,,,15-8,,Turnover by J. Green (offensive foul)
6:16.0,T. Johnson enters the game for J. Richardson,,15-8,,
6:16.0,,,15-8,,V. Carter enters the game for T. Daniels
5:59.0,T. Johnson makes 2-pt shot from 2 ft,2,17-8,,
5:53.0,,,17-8,,Memphis full timeout
5:40.0,,,17-8,,Turnover by D. Davis (bad pass; steal by D. Williams)
5:33.0,Shooting foul by V. Carter (drawn by T. Johnson),,17-8,,
5:33.0,T. Johnson makes free throw 1 of 2,1,18-8,,
5:33.0,T. Johnson makes free throw 2 of 2,1,19-8,,
5:33.0,,,18-8,,J. Martin enters the game for J. Green
5:20.0,,,19-8,,A. Harrison misses 2-pt shot from 3 ft (block by H. Whiteside)
5:19.0,Defensive rebound by R. McGruder,,19-8,,
5:02.0,R. McGruder misses 3-pt shot from 23 ft,,19-8,,
5:01.0,Offensive rebound by D. Waiters,,19-8,,
5:00.0,Shooting foul by J. Martin (drawn by D. Waiters),,19-8,,
5:00.0,D. Waiters makes free throw 1 of 2,1,20-8,,
5:00.0,D. Waiters makes free throw 2 of 2,1,21-8,,
5:00.0,,,20-8,,W. Baldwin enters the game for T. Allen
4:34.0,,,21-8,,W. Baldwin misses 2-pt shot from 2 ft
4:32.0,,,21-8,,Offensive rebound by D. Davis
4:32.0,,,21-10,2,D. Davis makes 2-pt shot from 2 ft
4:21.0,Miami full timeout,,21-10,,
4:21.0,J. Johnson enters the game for D. Williams,,21-10,,
4:21.0,,,21-10,,M. Conley enters the game for A. Harrison
4:07.0,H. Whiteside misses 2-pt shot from 16 ft,,21-10,,
4:06.0,,,21-10,,Defensive rebound by V. Carter
3:54.0,,,21-10,,Shooting foul by H. Whiteside (drawn by V. Carter)
3:54.0,,,21-11,1,V. Carter makes free throw 1 of 2
3:54.0,,,21-12,1,V. Carter makes free throw 2 of 2
3:44.0,J. Johnson misses 2-pt shot from 9 ft,,21-12,,
3:44.0,Offensive rebound by Team,,21-12,,
3:44.0,,,21-12,,Loose ball foul by V. Carter (drawn by H. Whiteside)
3:44.0,H. Whiteside misses free throw 1 of 2,,21-12,,
3:44.0,Offensive rebound by Team,,21-12,,
3:44.0,H. Whiteside makes free throw 2 of 2,1,22-12,,
3:24.0,,,22-12,,V. Carter misses 2-pt shot from 22 ft
