time,Dallas,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Thompson (D. Nowitzki gains possession),,,,Jump ball: A. Bogut vs. T. Thompson (D. Nowitzki gains possession)
11:49.0,,,0-0,,Violation by J. Smith (kicked ball)
11:42.0,H. Barnes makes 2-pt shot from 6 ft (assist by A. Bogut),2,2-0,,
11:33.0,,,2-0,,Turnover by L. James (bad pass)
11:21.0,D. Nowitzki misses 2-pt shot from 21 ft,,2-0,,
11:21.0,,,2-0,,Defensive rebound by K. Love
11:06.0,,,2-0,,J. Smith misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by H. Barnes,,2-0,,
10:57.0,A. Bogut misses 2-pt shot from 8 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by J. Smith
10:48.0,,,2-3,3,J. Smith makes 3-pt shot from 26 ft (assist by L. James)
10:27.0,D. Williams misses 3-pt shot from 25 ft,,2-3,,
10:27.0,,,2-3,,Defensive rebound by T. Thompson
10:17.0,,,2-3,,J. Smith misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by D. Nowitzki,,2-3,,
10:09.0,H. Barnes misses 2-pt shot from 6 ft,,2-3,,
10:06.0,,,2-3,,Defensive rebound by T. Thompson
9:56.0,,,2-3,,K. Love misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by W. Matthews,,2-3,,
9:44.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-3,,
9:43.0,,,2-3,,Defensive rebound by T. Thompson
9:24.0,,,2-3,,J. Smith misses 2-pt shot from 14 ft
9:24.0,,,2-3,,Offensive rebound by Team
9:18.0,,,2-6,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
8:58.0,D. Williams misses 2-pt shot from 21 ft,,2-6,,
8:58.0,,,2-6,,Defensive rebound by L. James
8:51.0,,,2-6,,L. James misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by D. Williams,,2-6,,
8:41.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews),2,4-6,,
8:27.0,,,4-9,3,K. Irving makes 3-pt shot from 26 ft
8:16.0,D. Williams misses 2-pt shot from 1 ft,,4-9,,
8:15.0,,,4-9,,Defensive rebound by T. Thompson
7:58.0,,,4-9,,L. James misses 2-pt shot from 14 ft
7:56.0,Defensive rebound by D. Williams,,4-9,,
7:47.0,D. Williams makes 2-pt shot from 8 ft (assist by W. Matthews),2,6-9,,
7:33.0,,,6-9,,J. Smith misses 3-pt shot from 29 ft
7:33.0,Defensive rebound by D. Nowitzki,,6-9,,
7:26.0,Turnover by W. Matthews (lost ball; steal by L. James),,6-9,,
7:19.0,,,6-9,,Shooting foul by A. Bogut (drawn by T. Thompson)
7:19.0,,,6-10,1,T. Thompson makes free throw 1 of 2
7:19.0,,,6-10,,T. Thompson misses free throw 2 of 2
7:17.0,Defensive rebound by A. Bogut,,6-10,,
6:57.0,D. Nowitzki misses 2-pt shot from 16 ft,,6-10,,
6:56.0,Offensive rebound by A. Bogut,,6-10,,
6:51.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by W. Matthews),2,8-10,,
6:38.0,,,8-12,2,K. Irving makes 2-pt shot from 2 ft
6:37.0,Dallas full timeout,,8-12,,
6:37.0,D. Finney-Smith enters the game for D. Nowitzki,,8-12,,
6:15.0,Turnover by A. Bogut (bad pass; steal by J. Smith),,8-12,,
6:11.0,,,8-12,,Shooting foul by A. Bogut (drawn by T. Thompson)
6:11.0,,,8-13,1,T. Thompson makes free throw 1 of 2
6:11.0,,,8-14,1,T. Thompson makes free throw 2 of 2
6:11.0,S. Mejri enters the game for A. Bogut,,8-13,,
5:58.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Williams),2,10-14,,
5:39.0,,,10-16,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
5:24.0,W. Matthews misses 3-pt shot from 26 ft,,10-16,,
5:24.0,,,10-16,,Defensive rebound by Team
5:11.0,,,10-18,2,T. Thompson makes 2-pt shot from 2 ft (assist by L. James)
4:52.0,Turnover by D. Williams (bad pass; steal by J. Smith),,10-18,,
4:49.0,S. Curry enters the game for D. Williams,,10-18,,
4:35.0,,,10-18,,K. Love misses 2-pt shot from 5 ft (block by S. Mejri)
4:35.0,,,10-18,,Offensive rebound by Team
4:32.0,,,10-18,,K. Love misses 3-pt shot from 26 ft
4:31.0,Defensive rebound by S. Mejri,,10-18,,
4:23.0,W. Matthews misses 2-pt shot from 21 ft,,10-18,,
4:23.0,,,10-18,,Defensive rebound by L. James
4:16.0,,,10-20,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
4:16.0,,,10-20,,Shooting foul by S. Curry (drawn by K. Irving)
4:16.0,,,10-21,1,K. Irving makes free throw 1 of 1
4:16.0,,,10-20,,C. Andersen enters the game for T. Thompson
3:58.0,D. Finney-Smith misses 2-pt shot from 20 ft,,10-21,,
3:57.0,,,10-21,,Defensive rebound by K. Love
3:34.0,,,10-24,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
3:23.0,W. Matthews makes 3-pt shot from 26 ft (assist by S. Mejri),3,13-24,,
3:07.0,,,13-24,,Shooting foul by D. Finney-Smith (drawn by L. James)
3:07.0,,,13-25,1,L. James makes free throw 1 of 2
3:07.0,,,13-26,1,L. James makes free throw 2 of 2
3:07.0,,,13-25,,I. Shumpert enters the game for J. Smith
3:07.0,D. Nowitzki enters the game for H. Barnes,,13-25,,
2:55.0,S. Mejri misses 2-pt shot from 1 ft,,13-26,,
2:54.0,,,13-26,,Defensive rebound by K. Love
2:47.0,,,13-26,,K. Love misses 2-pt shot at rim (block by S. Mejri)
2:45.0,,,13-26,,Offensive rebound by C. Andersen
2:45.0,,,13-26,,C. Andersen misses 2-pt shot from 1 ft
2:45.0,,,13-26,,Offensive rebound by C. Andersen
2:36.0,,,13-29,3,K. Irving makes 3-pt shot from 23 ft (assist by K. Love)
2:36.0,Dallas full timeout,,13-29,,
2:36.0,,,13-29,,Cleveland full timeout
2:36.0,,,13-29,,R. Jefferson enters the game for L. James
2:19.0,D. Nowitzki misses 3-pt shot from 25 ft,,13-29,,
2:19.0,,,13-29,,Defensive rebound by R. Jefferson
1:56.0,,,13-31,2,K. Irving makes 2-pt shot from 4 ft
1:41.0,D. Finney-Smith makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,16-31,,
1:29.0,Personal foul by D. Nowitzki (drawn by K. Love),,16-31,,
1:29.0,,,16-32,1,K. Love makes free throw 1 of 2
1:29.0,,,16-33,1,K. Love makes free throw 2 of 2
1:04.0,D. Finney-Smith misses 2-pt shot from 17 ft,,16-33,,
1:03.0,,,16-33,,Defensive rebound by K. Irving
0:56.0,Violation by D. Finney-Smith (kicked ball),,16-33,,
0:56.0,J. Gibson enters the game for W. Matthews,,16-33,,
0:54.0,,,16-33,,Turnover by K. Love (bad pass)
0:40.0,,,16-33,,Personal foul by I. Shumpert (drawn by J. Gibson)
0:31.0,D. Nowitzki misses 3-pt shot from 26 ft,,16-33,,
0:29.0,,,16-33,,Defensive rebound by Team
0:11.0,,,16-36,3,K. Irving makes 3-pt shot from 25 ft
0:07.0,J. Gibson misses 3-pt shot from 25 ft,,16-36,,
0:06.0,,,16-36,,Defensive rebound by I. Shumpert
0:01.0,,,16-36,,I. Shumpert misses 3-pt shot from 26 ft
0:00.0,,,16-36,,Offensive rebound by K. Love
0:00.0,,,16-36,,K. Love misses 2-pt shot from 1 ft
0:00.0,,,16-36,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,16-39,3,I. Shumpert makes 3-pt shot from 24 ft (assist by C. Andersen)
11:27.0,Turnover by J. Gibson (bad pass),,16-39,,
11:16.0,,,16-39,,R. Jefferson misses 3-pt shot from 24 ft
11:16.0,Defensive rebound by S. Curry,,16-39,,
11:16.0,,,16-39,,Personal foul by C. Andersen (drawn by S. Curry)
11:16.0,,,16-39,,T. Thompson enters the game for C. Andersen
11:16.0,D. Williams enters the game for J. Gibson,,16-39,,
11:06.0,S. Curry makes 2-pt shot from 18 ft (assist by D. Williams),2,18-39,,
10:52.0,,,18-41,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
10:28.0,D. Williams makes 2-pt shot from 20 ft,2,20-41,,
10:22.0,,,20-41,,Turnover by L. James (bad pass)
10:13.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,22-41,,
9:53.0,,,22-41,,L. James misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by S. Curry,,22-41,,
9:45.0,H. Barnes misses 3-pt shot from 26 ft,,22-41,,
9:43.0,,,22-41,,Defensive rebound by I. Shumpert
9:35.0,,,22-41,,M. Dunleavy misses 3-pt shot from 26 ft
9:35.0,,,22-41,,Offensive rebound by T. Thompson
9:23.0,,,22-43,2,L. James makes 2-pt shot from 1 ft (assist by M. Dunleavy)
9:12.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,24-43,,
8:58.0,,,24-46,3,R. Jefferson makes 3-pt shot from 25 ft (assist by I. Shumpert)
8:57.0,Dallas full timeout,,24-46,,
8:57.0,A. Bogut enters the game for D. Nowitzki,,24-46,,
8:48.0,H. Barnes misses 2-pt shot from 16 ft,,24-46,,
8:48.0,,,24-46,,Defensive rebound by T. Thompson
8:31.0,,,24-46,,L. James misses 2-pt shot from 21 ft
8:31.0,Defensive rebound by A. Bogut,,24-46,,
8:13.0,D. Williams misses 2-pt shot from 2 ft,,24-46,,
8:12.0,,,24-46,,Defensive rebound by T. Thompson
8:02.0,,,24-46,,M. Dunleavy misses 3-pt shot from 28 ft (block by J. Anderson)
8:01.0,Defensive rebound by A. Bogut,,24-46,,
7:53.0,J. Anderson misses 2-pt shot from 19 ft,,24-46,,
7:52.0,,,24-46,,Defensive rebound by T. Thompson
7:44.0,,,24-46,,Shooting foul by J. Anderson (drawn by L. James)
7:44.0,,,24-47,1,L. James makes free throw 1 of 2
7:44.0,,,24-48,1,L. James makes free throw 2 of 2
7:25.0,H. Barnes misses 2-pt shot from 17 ft,,24-48,,
7:25.0,Offensive rebound by A. Bogut,,24-48,,
7:09.0,J. Anderson misses 3-pt shot from 26 ft,,24-48,,
7:08.0,,,24-48,,Defensive rebound by L. James
6:54.0,Personal foul by D. Williams (drawn by M. Dunleavy),,24-48,,
6:54.0,N. Brussino enters the game for J. Anderson,,24-48,,
6:40.0,,,24-48,,Turnover by I. Shumpert (bad pass; steal by N. Brussino)
6:32.0,H. Barnes makes 2-pt shot from 14 ft (assist by N. Brussino),2,26-48,,
6:17.0,,,26-48,,Shooting foul by S. Curry (drawn by R. Jefferson)
6:17.0,,,26-49,1,R. Jefferson makes free throw 1 of 2
6:17.0,,,26-50,1,R. Jefferson makes free throw 2 of 2
6:17.0,,,26-49,,K. Love enters the game for L. James
6:17.0,,,26-49,,K. Irving enters the game for T. Thompson
6:17.0,J. Gibson enters the game for S. Curry,,26-49,,
5:51.0,N. Brussino misses 3-pt shot from 28 ft,,26-50,,
5:51.0,,,26-50,,Defensive rebound by R. Jefferson
5:43.0,,,26-50,,Shooting foul by D. Williams (drawn by I. Shumpert)
5:43.0,Official timeout,,26-50,,
5:43.0,,,26-51,1,I. Shumpert makes free throw 1 of 2
5:43.0,,,26-52,1,I. Shumpert makes free throw 2 of 2
5:43.0,,,26-50,,J. Smith enters the game for R. Jefferson
5:43.0,D. Nowitzki enters the game for H. Barnes,,26-50,,
5:43.0,W. Matthews enters the game for J. Gibson,,26-51,,
5:43.0,,,26-51,,T. Thompson enters the game for M. Dunleavy
5:25.0,D. Nowitzki misses 3-pt shot from 23 ft,,26-52,,
5:25.0,,,26-52,,Defensive rebound by J. Smith
5:19.0,,,26-52,,Turnover by K. Irving (bad pass)
5:10.0,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Williams),2,28-52,,
4:46.0,,,28-54,2,K. Love makes 2-pt shot from 8 ft (assist by J. Smith)
4:33.0,D. Nowitzki misses 2-pt shot from 15 ft (block by K. Irving),,28-54,,
4:31.0,,,28-54,,Defensive rebound by I. Shumpert
4:22.0,,,28-57,3,K. Love makes 3-pt shot from 25 ft (assist by I. Shumpert)
4:09.0,Turnover by W. Matthews (lost ball),,28-57,,
4:09.0,Violation by Team (delay of game),,28-57,,
4:00.0,,,28-57,,I. Shumpert misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by N. Brussino,,28-57,,
3:44.0,A. Bogut misses 2-pt shot from 3 ft (block by I. Shumpert),,28-57,,
3:44.0,,,28-57,,Defensive rebound by Team
3:44.0,,,28-57,,L. James enters the game for I. Shumpert
3:32.0,Personal foul by D. Nowitzki (drawn by K. Love),,28-57,,
3:32.0,,,28-58,1,K. Love makes free throw 1 of 2
3:32.0,,,28-59,1,K. Love makes free throw 2 of 2
3:32.0,S. Curry enters the game for D. Williams,,28-58,,
3:22.0,Turnover by S. Curry (bad pass; steal by T. Thompson),,28-59,,
3:18.0,,,28-61,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
3:18.0,,,28-61,,Shooting foul by N. Brussino (drawn by L. James)
3:18.0,,,28-62,1,L. James makes free throw 1 of 1
3:18.0,H. Barnes enters the game for N. Brussino,,28-61,,
3:09.0,,,28-62,,Personal foul by J. Smith (drawn by W. Matthews)
3:02.0,H. Barnes misses 2-pt shot from 19 ft,,28-62,,
3:01.0,,,28-62,,Defensive rebound by K. Love
