time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: L. Aldridge vs. M. Gasol (Z. Randolph gains possession)
11:37.0,J. Ennis makes 3-pt shot from 24 ft (assist by M. Gasol),3,3-0,,
11:12.0,,,3-0,,Turnover by T. Parker (lost ball; steal by M. Conley)
11:11.0,Turnover by M. Conley (lost ball; steal by T. Parker),,3-0,,
11:09.0,,,3-2,2,T. Parker makes 2-pt shot from 1 ft
10:48.0,V. Carter misses 2-pt shot from 7 ft,,3-2,,
10:45.0,,,3-2,,Defensive rebound by D. Lee
10:36.0,,,3-2,,L. Aldridge misses 2-pt shot from 17 ft
10:35.0,Defensive rebound by V. Carter,,3-2,,
10:17.0,J. Ennis makes 2-pt shot at rim (assist by V. Carter),2,5-2,,
9:55.0,,,5-2,,T. Parker misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by Z. Randolph,,5-2,,
9:39.0,Z. Randolph misses 2-pt shot from 22 ft,,5-2,,
9:38.0,Offensive rebound by J. Ennis,,5-2,,
9:26.0,V. Carter misses 2-pt shot from 12 ft,,5-2,,
9:25.0,,,5-2,,Defensive rebound by T. Parker
9:17.0,,,5-2,,T. Parker misses 2-pt shot from 20 ft
9:15.0,,,5-2,,Offensive rebound by D. Lee
9:11.0,,,5-4,2,D. Lee makes 2-pt shot from 2 ft
8:53.0,,,5-4,,Def 3 sec tech foul by K. Leonard
8:53.0,M. Conley misses technical free throw,,5-4,,
8:53.0,Offensive rebound by Team,,5-4,,
8:45.0,M. Conley makes 3-pt shot from 25 ft,3,8-4,,
8:27.0,,,8-4,,L. Aldridge misses 2-pt shot from 14 ft
8:25.0,Defensive rebound by Z. Randolph,,8-4,,
8:12.0,J. Ennis misses 2-pt shot from 1 ft,,8-4,,
8:10.0,,,8-4,,Defensive rebound by D. Green
7:50.0,,,8-4,,D. Lee misses 2-pt shot from 10 ft
7:50.0,Defensive rebound by V. Carter,,8-4,,
7:44.0,,,8-4,,Personal foul by K. Leonard (drawn by M. Gasol)
7:30.0,Z. Randolph misses 2-pt shot from 18 ft,,8-4,,
7:29.0,,,8-4,,Defensive rebound by L. Aldridge
7:18.0,,,8-4,,Turnover by K. Leonard (bad pass; steal by M. Conley)
7:05.0,M. Conley makes 2-pt shot from 10 ft,2,10-4,,
7:04.0,,,10-4,,San Antonio full timeout
6:43.0,,,10-6,2,D. Lee makes 2-pt shot at rim (assist by K. Leonard)
6:23.0,Turnover by M. Gasol (bad pass; steal by L. Aldridge),,10-6,,
6:18.0,Personal foul by J. Ennis (drawn by K. Leonard),,10-6,,
6:06.0,,,10-6,,L. Aldridge misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by V. Carter,,10-6,,
5:54.0,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter),2,12-6,,
5:30.0,,,12-6,,Shooting foul by Z. Randolph (drawn by T. Parker)
5:30.0,,,12-7,1,T. Parker makes free throw 1 of 2
5:30.0,,,12-8,1,T. Parker makes free throw 2 of 2
5:30.0,J. Green enters the game for Z. Randolph,,12-7,,
5:30.0,A. Harrison enters the game for M. Conley,,12-7,,
5:30.0,,,12-7,,M. Ginobili enters the game for D. Green
5:30.0,,,12-7,,P. Gasol enters the game for D. Lee
5:17.0,A. Harrison makes 2-pt shot from 22 ft,2,14-8,,
5:04.0,,,14-8,,T. Parker misses 2-pt shot from 8 ft
5:03.0,Defensive rebound by A. Harrison,,14-8,,
4:45.0,A. Harrison misses 3-pt shot from 26 ft,,14-8,,
4:45.0,,,14-8,,Defensive rebound by P. Gasol
4:40.0,,,14-10,2,M. Ginobili makes 2-pt shot from 6 ft
4:40.0,,,14-10,,Shooting foul by J. Green (drawn by M. Ginobili)
4:40.0,,,14-11,1,M. Ginobili makes free throw 1 of 1
4:40.0,,,14-10,,P. Mills enters the game for T. Parker
4:27.0,Turnover by V. Carter (bad pass),,14-11,,
4:17.0,Violation by M. Gasol (kicked ball),,14-11,,
4:17.0,W. Selden enters the game for V. Carter,,14-11,,
4:07.0,,,14-14,3,M. Ginobili makes 3-pt shot from 24 ft (assist by P. Gasol)
