time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Jordan (R. Felton gains possession),,,,Jump ball: T. Chandler vs. D. Jordan (R. Felton gains possession)
11:43.0,,,0-0,,J. Redick misses 2-pt shot from 6 ft (block by M. Chriss)
11:41.0,,,0-0,,Offensive rebound by J. Redick
11:36.0,,,0-2,2,J. Redick makes 2-pt shot from 12 ft
11:17.0,M. Chriss misses 2-pt shot from 4 ft (block by D. Jordan),,0-2,,
11:15.0,Offensive rebound by M. Chriss,,0-2,,
11:13.0,D. Booker misses 3-pt shot from 27 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by R. Felton
11:01.0,,,0-2,,R. Felton misses 2-pt shot from 19 ft
10:58.0,,,0-2,,Offensive rebound by L. Mbah a Moute
10:44.0,,,0-4,2,L. Mbah a Moute makes 2-pt shot from 2 ft
10:39.0,Turnover by E. Bledsoe (bad pass),,0-4,,
10:20.0,,,0-4,,Turnover by L. Mbah a Moute (lost ball)
10:00.0,T. Chandler makes 2-pt shot from 4 ft (assist by E. Bledsoe),2,2-4,,
9:45.0,Personal foul by T. Warren,,2-4,,
9:41.0,,,2-4,,Turnover by R. Felton (bad pass; steal by E. Bledsoe)
9:38.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,4-4,,
9:38.0,,,4-4,,LA Clippers full timeout
9:21.0,,,4-4,,J. Redick misses 3-pt shot from 28 ft
9:19.0,Defensive rebound by T. Warren,,4-4,,
9:01.0,Turnover by E. Bledsoe (bad pass),,4-4,,
8:45.0,,,4-6,2,J. Redick makes 2-pt shot from 8 ft (assist by R. Felton)
8:27.0,E. Bledsoe misses 2-pt shot from 15 ft,,4-6,,
8:24.0,,,4-6,,Defensive rebound by L. Mbah a Moute
8:10.0,,,4-6,,A. Rivers misses 2-pt shot from 5 ft
8:10.0,,,4-6,,Offensive rebound by D. Jordan
8:10.0,,,4-6,,Shooting foul by M. Chriss (drawn by D. Jordan)
8:10.0,,,4-7,1,D. Jordan makes free throw 1 of 2
8:10.0,,,4-7,,D. Jordan misses free throw 2 of 2
8:09.0,Defensive rebound by T. Warren,,4-7,,
8:08.0,,,4-7,,Personal foul by L. Mbah a Moute
7:59.0,D. Booker misses 2-pt shot from 19 ft,,4-7,,
7:56.0,Offensive rebound by T. Chandler,,4-7,,
7:55.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Chandler),3,7-7,,
7:38.0,,,7-9,2,J. Redick makes 2-pt shot from 20 ft (assist by A. Rivers)
7:26.0,E. Bledsoe misses 2-pt shot from 3 ft,,7-9,,
7:24.0,,,7-9,,Defensive rebound by D. Jordan
7:20.0,,,7-12,3,J. Redick makes 3-pt shot from 29 ft (assist by D. Jordan)
7:20.0,Phoenix full timeout,,7-12,,
7:04.0,Turnover by D. Booker (bad pass),,7-12,,
6:50.0,,,7-12,,Offensive foul by L. Mbah a Moute
6:50.0,,,7-12,,Turnover by L. Mbah a Moute (offensive foul)
6:42.0,E. Bledsoe makes 2-pt shot from 13 ft,2,9-12,,
6:24.0,,,9-12,,R. Felton misses 3-pt shot from 24 ft
6:23.0,,,9-12,,Offensive rebound by D. Jordan
