time,Boston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. K. Koufos (A. Afflalo gains possession),,,,Jump ball: A. Johnson vs. K. Koufos (A. Afflalo gains possession)
11:39.0,Personal foul by A. Horford (drawn by A. Tolliver),,0-0,,
11:26.0,,,0-0,,D. Collison misses 2-pt shot from 18 ft
11:25.0,Defensive rebound by A. Johnson,,0-0,,
11:08.0,A. Horford makes 2-pt shot from 11 ft,2,2-0,,
10:51.0,,,2-0,,A. Tolliver misses 2-pt shot from 12 ft
10:46.0,,,2-0,,Offensive rebound by K. Koufos
10:46.0,,,2-0,,K. Koufos misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by A. Horford,,2-0,,
10:43.0,Turnover by A. Horford (bad pass; steal by D. Collison),,2-0,,
10:37.0,,,2-0,,Turnover by A. Afflalo (bad pass)
10:24.0,Shooting foul by K. Koufos (drawn by J. Brown),,2-0,,
10:24.0,J. Brown makes free throw 1 of 2,1,3-0,,
10:24.0,J. Brown makes free throw 2 of 2,1,4-0,,
9:59.0,,,4-2,2,A. Afflalo makes 2-pt shot from 22 ft (assist by T. Lawson)
9:46.0,I. Thomas makes 3-pt shot from 26 ft,3,7-2,,
9:27.0,,,7-4,2,D. Collison makes 2-pt shot from 3 ft (assist by K. Koufos)
9:12.0,I. Thomas misses 3-pt shot from 25 ft,,7-4,,
9:11.0,,,7-4,,Defensive rebound by A. Afflalo
9:05.0,,,7-6,2,T. Lawson makes 2-pt shot from 7 ft
8:42.0,A. Johnson misses 2-pt shot from 8 ft,,7-6,,
8:42.0,,,7-6,,Defensive rebound by A. Tolliver
8:23.0,,,7-6,,D. Collison misses 2-pt shot from 20 ft
8:22.0,Defensive rebound by A. Horford,,7-6,,
8:22.0,Turnover by A. Horford (bad pass; steal by T. Lawson),,7-6,,
8:17.0,,,7-6,,T. Lawson misses 2-pt shot from 8 ft
