time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. P. Gasol (R. Anderson gains possession),,,,Jump ball: C. Capela vs. P. Gasol (R. Anderson gains possession)
11:45.0,,,0-0,,C. Brewer misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by L. Aldridge,,0-0,,
11:29.0,,,0-0,,Personal foul by J. Harden (drawn by P. Gasol)
11:14.0,P. Gasol misses 2-pt shot from 17 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by J. Harden
11:04.0,,,0-0,,J. Harden misses 2-pt shot from 8 ft
11:03.0,,,0-0,,Offensive rebound by J. Harden
10:59.0,,,0-0,,R. Anderson misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by P. Gasol,,0-0,,
10:49.0,P. Gasol misses 2-pt shot from 16 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by J. Harden
10:45.0,,,0-0,,Turnover by J. Harden (bad pass; steal by K. Leonard)
10:38.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Green),2,2-0,,
10:19.0,,,2-0,,C. Capela misses 2-pt shot from 6 ft
10:18.0,Defensive rebound by Team,,2-0,,
9:59.0,L. Aldridge misses 2-pt shot from 17 ft,,2-0,,
9:59.0,,,2-0,,Defensive rebound by C. Capela
9:39.0,,,2-0,,R. Anderson misses 2-pt shot from 16 ft
9:38.0,,,2-0,,Offensive rebound by C. Capela
9:33.0,,,2-0,,C. Capela misses 2-pt shot from 2 ft
9:29.0,Defensive rebound by L. Aldridge,,2-0,,
9:25.0,T. Parker makes 2-pt shot from 3 ft,2,4-0,,
9:25.0,Shooting foul by C. Brewer (drawn by T. Parker),,4-0,,
9:25.0,T. Parker misses free throw 1 of 1,,4-0,,
9:25.0,,,4-0,,Defensive rebound by C. Capela
9:09.0,,,4-0,,T. Ariza misses 3-pt shot from 26 ft
9:08.0,,,4-0,,Offensive rebound by C. Capela
9:05.0,,,4-0,,C. Capela misses 2-pt shot from 1 ft
9:01.0,,,4-0,,Offensive rebound by C. Capela
8:57.0,,,4-2,2,C. Capela makes 2-pt shot from 3 ft
8:45.0,K. Leonard misses 2-pt shot from 13 ft,,4-2,,
8:44.0,,,4-2,,Defensive rebound by C. Capela
8:36.0,,,4-2,,Shooting foul by D. Green (drawn by T. Ariza)
8:36.0,,,4-3,1,T. Ariza makes free throw 1 of 2
8:36.0,,,4-3,,T. Ariza misses free throw 2 of 2
8:36.0,Defensive rebound by P. Gasol,,4-3,,
8:09.0,D. Green misses 2-pt shot from 22 ft,,4-3,,
8:08.0,Offensive rebound by Team,,4-3,,
8:08.0,Turnover by Team (shot clock),,4-3,,
8:05.0,Personal foul by K. Leonard (drawn by R. Anderson),,4-3,,
8:01.0,,,4-6,3,T. Ariza makes 3-pt shot from 24 ft (assist by C. Capela)
7:40.0,K. Leonard makes 2-pt shot from 17 ft (assist by P. Gasol),2,6-6,,
7:34.0,,,6-9,3,R. Anderson makes 3-pt shot from 29 ft (assist by J. Harden)
7:13.0,Turnover by D. Green (bad pass; steal by C. Brewer),,6-9,,
7:09.0,,,6-11,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Brewer)
7:09.0,San Antonio full timeout,,6-11,,
6:58.0,Offensive charge foul by P. Gasol,,6-11,,
6:58.0,Turnover by P. Gasol (offensive foul),,6-11,,
6:58.0,P. Mills enters the game for T. Parker,,6-11,,
6:45.0,Personal foul by L. Aldridge (drawn by R. Anderson),,6-11,,
6:36.0,,,6-11,,R. Anderson misses 2-pt shot from 6 ft (block by D. Green)
6:32.0,Defensive rebound by P. Gasol,,6-11,,
6:25.0,P. Mills misses 3-pt shot from 23 ft,,6-11,,
6:22.0,,,6-11,,Defensive rebound by J. Harden
6:07.0,,,6-11,,C. Brewer misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by L. Aldridge,,6-11,,
5:56.0,D. Green makes 3-pt shot from 26 ft (assist by P. Gasol),3,9-11,,
5:50.0,,,9-11,,Turnover by J. Harden (bad pass)
5:50.0,D. Lee enters the game for P. Gasol,,9-11,,
5:50.0,,,9-11,,N. Hilario enters the game for C. Capela
5:50.0,,,9-11,,E. Gordon enters the game for C. Brewer
5:28.0,K. Leonard makes 2-pt shot from 5 ft,2,11-11,,
5:10.0,,,11-11,,T. Ariza misses 3-pt shot from 26 ft
5:09.0,Defensive rebound by P. Mills,,11-11,,
5:01.0,P. Mills makes 3-pt shot from 24 ft (assist by D. Green),3,14-11,,
4:45.0,,,14-11,,E. Gordon misses 3-pt shot from 25 ft
4:44.0,Defensive rebound by L. Aldridge,,14-11,,
4:36.0,K. Leonard misses 3-pt shot from 26 ft,,14-11,,
4:35.0,,,14-11,,Defensive rebound by R. Anderson
4:20.0,,,14-11,,Turnover by R. Anderson (traveling)
4:20.0,J. Simmons enters the game for D. Green,,14-11,,
4:05.0,K. Leonard makes 2-pt shot from 3 ft (assist by L. Aldridge),2,16-11,,
3:48.0,,,16-13,2,T. Ariza makes 2-pt shot from 4 ft (assist by E. Gordon)
3:27.0,K. Leonard makes 2-pt shot from 1 ft,2,18-13,,
3:15.0,,,18-13,,N. Hilario misses 2-pt shot from 18 ft
3:14.0,,,18-13,,Offensive rebound by J. Harden
3:12.0,,,18-15,2,J. Harden makes 2-pt shot from 1 ft
2:46.0,D. Lee makes 2-pt shot from 3 ft (assist by P. Mills),2,20-15,,
2:24.0,,,20-15,,J. Harden misses 2-pt shot from 6 ft (block by J. Simmons)
2:23.0,Defensive rebound by L. Aldridge,,20-15,,
2:16.0,L. Aldridge misses 2-pt shot from 20 ft,,20-15,,
2:15.0,,,20-15,,Defensive rebound by E. Gordon
2:05.0,,,20-15,,T. Ariza misses 3-pt shot from 26 ft
2:04.0,Defensive rebound by P. Mills,,20-15,,
1:54.0,,,20-15,,Houston full timeout
1:54.0,,,20-15,,S. Dekker enters the game for R. Anderson
1:54.0,P. Gasol enters the game for L. Aldridge,,20-15,,
1:47.0,K. Leonard makes 2-pt shot from 9 ft,2,22-15,,
1:29.0,,,22-15,,Offensive charge foul by E. Gordon
1:29.0,,,22-15,,Turnover by E. Gordon (offensive foul)
1:29.0,M. Ginobili enters the game for K. Leonard,,22-15,,
1:17.0,M. Ginobili makes 2-pt shot from 8 ft,2,24-15,,
1:08.0,,,24-15,,Shooting foul by P. Gasol (drawn by N. Hilario)
1:08.0,,,24-16,1,N. Hilario makes free throw 1 of 2
1:08.0,,,24-17,1,N. Hilario makes free throw 2 of 2
1:08.0,,,24-16,,K. McDaniels enters the game for T. Ariza
1:08.0,D. Dedmon enters the game for P. Gasol,,24-16,,
0:51.0,D. Dedmon misses 2-pt shot from 6 ft,,24-17,,
0:50.0,Offensive rebound by Team,,24-17,,
0:32.0,M. Ginobili misses 2-pt shot from 21 ft,,24-17,,
0:31.0,,,24-17,,Defensive rebound by J. Harden
0:11.0,,,24-17,,Shooting foul by J. Simmons (drawn by J. Harden)
0:11.0,,,24-18,1,J. Harden makes free throw 1 of 2
0:11.0,,,24-19,1,J. Harden makes free throw 2 of 2
0:03.0,J. Simmons makes 2-pt shot from 7 ft (assist by P. Mills),2,26-19,,
0:00.0,,,26-22,3,J. Harden makes 3-pt shot from 39 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,26-22,,Personal foul by S. Dekker (drawn by D. Lee)
11:43.0,D. Lee misses 2-pt shot from 10 ft (block by N. Hilario),,26-22,,
11:41.0,,,26-22,,Defensive rebound by E. Gordon
11:36.0,,,26-22,,Turnover by E. Gordon (lost ball; steal by D. Dedmon)
11:31.0,P. Mills misses 3-pt shot from 26 ft,,26-22,,
11:30.0,,,26-22,,Defensive rebound by S. Dekker
11:08.0,,,26-22,,K. McDaniels misses 2-pt shot from 6 ft (block by D. Lee)
11:05.0,Defensive rebound by D. Lee,,26-22,,
11:02.0,M. Ginobili makes 2-pt shot from 2 ft (assist by J. Simmons),2,28-22,,
10:41.0,,,28-22,,K. McDaniels misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by D. Lee,,28-22,,
10:25.0,,,28-22,,Personal foul by K. McDaniels
10:25.0,T. Parker enters the game for P. Mills,,28-22,,
10:22.0,Shooting foul by S. Dekker (drawn by D. Lee),,28-22,,
10:22.0,D. Lee makes free throw 1 of 2,1,29-22,,
10:22.0,D. Lee makes free throw 2 of 2,1,30-22,,
