time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. K. Towns (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. K. Towns (D. Cousins gains possession)
11:37.0,,,0-2,2,D. Cousins makes 2-pt shot from 22 ft (assist by R. Gay)
11:12.0,Z. LaVine makes 3-pt shot from 25 ft,3,3-2,,
10:48.0,,,3-4,2,R. Gay makes 2-pt shot from 19 ft
10:36.0,A. Wiggins misses 2-pt shot from 4 ft,,3-4,,
10:35.0,Offensive rebound by G. Dieng,,3-4,,
10:30.0,Z. LaVine misses 3-pt shot from 26 ft,,3-4,,
10:29.0,,,3-4,,Defensive rebound by K. Koufos
10:18.0,,,3-4,,A. Afflalo misses 2-pt shot from 13 ft
10:18.0,Defensive rebound by G. Dieng,,3-4,,
10:15.0,Z. LaVine misses 2-pt shot from 2 ft (block by A. Afflalo),,3-4,,
10:15.0,Offensive rebound by Team,,3-4,,
10:07.0,Shooting foul by K. Koufos (drawn by G. Dieng),,3-4,,
10:07.0,G. Dieng makes free throw 1 of 2,1,4-4,,
10:07.0,G. Dieng makes free throw 2 of 2,1,5-4,,
9:47.0,,,5-6,2,K. Koufos makes 2-pt shot from 6 ft (assist by T. Lawson)
9:34.0,A. Wiggins misses 3-pt shot from 25 ft,,5-6,,
9:33.0,,,5-6,,Defensive rebound by K. Koufos
9:27.0,,,5-6,,R. Gay misses 2-pt shot from 4 ft (block by A. Wiggins)
9:27.0,,,5-6,,Offensive rebound by Team
9:24.0,,,5-6,,T. Lawson misses 2-pt shot from 16 ft
9:23.0,Defensive rebound by A. Wiggins,,5-6,,
9:05.0,K. Towns misses 2-pt shot from 8 ft,,5-6,,
9:04.0,,,5-6,,Defensive rebound by K. Koufos
8:53.0,,,5-6,,D. Cousins misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by G. Dieng,,5-6,,
8:50.0,,,5-6,,Personal foul by D. Cousins (drawn by K. Towns)
8:46.0,,,5-6,,Personal foul by A. Afflalo (drawn by Z. LaVine)
8:38.0,R. Rubio makes 2-pt shot from 17 ft (assist by G. Dieng),2,7-6,,
8:24.0,,,7-6,,Shooting foul by K. Towns (drawn by D. Cousins)
8:24.0,,,7-7,1,D. Cousins makes free throw 1 of 2
8:24.0,,,7-8,1,D. Cousins makes free throw 2 of 2
8:10.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,9-8,,
7:47.0,,,9-8,,T. Lawson misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by G. Dieng,,9-8,,
7:43.0,Turnover by A. Wiggins (lost ball; steal by T. Lawson),,9-8,,
7:33.0,,,9-8,,D. Cousins misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by Z. LaVine,,9-8,,
7:19.0,G. Dieng makes 2-pt shot from 19 ft (assist by Z. LaVine),2,11-8,,
7:11.0,,,11-8,,Sacramento full timeout
