time,Detroit,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Butler vs. A. Drummond (T. Harris gains possession),,,,Jump ball: J. Butler vs. A. Drummond (T. Harris gains possession)
11:35.0,M. Morris misses 3-pt shot from 25 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by N. Mirotic
11:14.0,,,0-2,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by J. Butler)
10:56.0,Turnover by T. Harris (bad pass; steal by J. Lauvergne),,0-2,,
10:41.0,Personal foul by A. Drummond (drawn by J. Butler),,0-2,,
10:35.0,,,0-2,,J. Lauvergne misses 3-pt shot from 26 ft
10:34.0,Defensive rebound by I. Smith,,0-2,,
10:26.0,A. Drummond misses 2-pt shot from 11 ft,,0-2,,
10:25.0,Offensive rebound by M. Morris,,0-2,,
10:25.0,M. Morris makes 2-pt shot from 1 ft,2,2-2,,
10:02.0,,,2-2,,Turnover by N. Mirotic (bad pass; steal by I. Smith)
9:55.0,M. Morris misses 3-pt shot from 24 ft,,2-2,,
9:54.0,,,2-2,,Defensive rebound by J. Lauvergne
9:41.0,,,2-2,,R. Rondo misses 2-pt shot from 11 ft
9:39.0,,,2-2,,Offensive rebound by J. Lauvergne
9:39.0,,,2-4,2,J. Lauvergne makes 2-pt shot from 1 ft
9:25.0,Turnover by T. Harris (bad pass; steal by N. Mirotic),,2-4,,
9:20.0,,,2-4,,P. Zipser misses 2-pt shot from 3 ft
9:19.0,,,2-4,,Offensive rebound by J. Butler
9:19.0,,,2-6,2,J. Butler makes 2-pt shot from 1 ft
8:59.0,I. Smith makes 3-pt shot from 23 ft (assist by T. Harris),3,5-6,,
8:40.0,,,5-6,,N. Mirotic misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by M. Morris,,5-6,,
8:34.0,I. Smith misses 2-pt shot from 2 ft,,5-6,,
8:33.0,Offensive rebound by A. Drummond,,5-6,,
8:33.0,A. Drummond makes 2-pt shot at rim,2,7-6,,
8:19.0,Personal foul by I. Smith (drawn by P. Zipser),,7-6,,
8:09.0,,,7-8,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Lauvergne)
7:55.0,A. Drummond makes 2-pt shot from 1 ft (assist by I. Smith),2,9-8,,
7:36.0,,,9-10,2,J. Butler makes 2-pt shot from 18 ft
7:19.0,M. Morris misses 2-pt shot from 16 ft,,9-10,,
7:18.0,Offensive rebound by M. Morris,,9-10,,
7:16.0,M. Morris makes 2-pt shot from 13 ft,2,11-10,,
7:03.0,,,11-12,2,P. Zipser makes 2-pt shot from 20 ft (assist by J. Lauvergne)
6:45.0,T. Harris misses 2-pt shot from 2 ft (block by P. Zipser),,11-12,,
6:42.0,Offensive rebound by A. Drummond,,11-12,,
6:42.0,A. Drummond misses 2-pt shot from 1 ft,,11-12,,
6:41.0,,,11-12,,Defensive rebound by P. Zipser
6:34.0,,,11-12,,J. Lauvergne misses 2-pt shot from 6 ft
6:33.0,,,11-12,,Offensive rebound by N. Mirotic
6:31.0,,,11-12,,N. Mirotic misses 2-pt shot from 14 ft
6:30.0,Defensive rebound by A. Drummond,,11-12,,
6:22.0,T. Harris makes 2-pt shot from 2 ft (assist by I. Smith),2,13-12,,
6:03.0,,,13-12,,J. Lauvergne misses 2-pt shot from 10 ft
6:02.0,Defensive rebound by A. Drummond,,13-12,,
5:52.0,A. Drummond misses 2-pt shot from 9 ft,,13-12,,
5:51.0,,,13-12,,Defensive rebound by J. Butler
5:39.0,,,13-12,,P. Zipser misses 3-pt shot from 23 ft
5:38.0,,,13-12,,Offensive rebound by J. Butler
5:32.0,,,13-14,2,P. Zipser makes 2-pt shot from 2 ft (assist by R. Rondo)
5:24.0,Detroit full timeout,,13-14,,
5:09.0,I. Smith misses 2-pt shot from 18 ft,,13-14,,
5:08.0,,,13-14,,Defensive rebound by J. Lauvergne
4:45.0,,,13-17,3,R. Rondo makes 3-pt shot from 25 ft (assist by J. Butler)
4:32.0,T. Harris misses 3-pt shot from 25 ft,,13-17,,
