time,Washington,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (J. Wall gains possession)
11:46.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal),3,3-0,,
11:29.0,,,3-0,,J. Redick misses 3-pt shot from 26 ft
11:27.0,Defensive rebound by O. Porter,,3-0,,
11:14.0,M. Gortat misses 2-pt shot from 3 ft,,3-0,,
11:12.0,,,3-0,,Defensive rebound by D. Jordan
11:10.0,Personal foul by M. Morris (drawn by B. Griffin),,3-0,,
11:06.0,,,3-0,,Turnover by B. Griffin (bad pass; steal by M. Gortat)
11:02.0,J. Wall makes 2-pt shot at rim (assist by M. Gortat),2,5-0,,
10:45.0,,,5-0,,B. Griffin misses 2-pt shot from 8 ft
10:43.0,Defensive rebound by M. Morris,,5-0,,
10:32.0,M. Morris misses 3-pt shot from 26 ft,,5-0,,
10:30.0,Offensive rebound by M. Gortat,,5-0,,
10:28.0,M. Gortat misses 2-pt shot from 8 ft,,5-0,,
10:25.0,,,5-0,,Defensive rebound by D. Jordan
10:18.0,,,5-0,,Shooting foul by B. Beal (drawn by L. Mbah a Moute)
10:18.0,,,5-2,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by B. Griffin)
10:18.0,,,5-3,1,L. Mbah a Moute makes free throw 1 of 1
10:06.0,J. Wall makes 2-pt shot from 15 ft,2,7-3,,
9:58.0,,,7-5,2,C. Paul makes 2-pt shot from 16 ft
9:43.0,B. Beal makes 2-pt shot from 12 ft,2,9-5,,
9:26.0,,,9-5,,Turnover by J. Redick (lost ball)
9:16.0,M. Gortat misses 2-pt shot at rim,,9-5,,
9:14.0,,,9-5,,Defensive rebound by L. Mbah a Moute
9:10.0,,,9-7,2,B. Griffin makes 2-pt shot at rim
8:49.0,O. Porter misses 2-pt shot from 6 ft,,9-7,,
8:46.0,,,9-7,,Defensive rebound by D. Jordan
8:37.0,,,9-9,2,C. Paul makes 2-pt shot from 14 ft (assist by B. Griffin)
8:20.0,Turnover by M. Gortat (lost ball; steal by B. Griffin),,9-9,,
8:10.0,,,9-11,2,D. Jordan makes 2-pt shot from 3 ft (assist by B. Griffin)
8:10.0,,,9-11,,Shooting foul by J. Wall (drawn by D. Jordan)
8:10.0,,,9-12,1,D. Jordan makes free throw 1 of 1
8:00.0,Turnover by J. Wall (lost ball; steal by C. Paul),,9-12,,
7:54.0,,,9-15,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
7:52.0,Washington full timeout,,9-15,,
7:33.0,O. Porter makes 2-pt shot from 13 ft,2,11-15,,
7:17.0,,,11-15,,Shooting foul by M. Morris (drawn by D. Jordan)
7:17.0,,,11-16,1,D. Jordan makes free throw 1 of 2
7:17.0,,,11-16,,D. Jordan misses free throw 2 of 2
7:17.0,Defensive rebound by J. Smith,,11-16,,
7:17.0,J. Smith enters the game for M. Morris,,11-16,,
6:52.0,B. Beal misses 3-pt shot from 27 ft,,11-16,,
6:52.0,Offensive rebound by Team,,11-16,,
