time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas,,,,Jump ball: D. Howard vs. J. Valanciunas
11:39.0,Turnover by S. Ibaka (bad pass; steal by K. Bazemore),,0-0,,
11:35.0,,,0-0,,K. Bazemore misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by J. Valanciunas,,0-0,,
11:24.0,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan),3,3-0,,
10:59.0,,,3-0,,Turnover by K. Bazemore (bad pass; steal by D. Carroll)
10:47.0,J. Valanciunas misses 2-pt shot from 5 ft (block by D. Howard),,3-0,,
10:45.0,,,3-0,,Defensive rebound by P. Millsap
10:41.0,,,3-2,2,P. Millsap makes 2-pt shot from 2 ft
10:23.0,S. Ibaka makes 2-pt shot from 18 ft (assist by C. Joseph),2,5-2,,
10:05.0,,,5-4,2,P. Millsap makes 2-pt shot from 20 ft (assist by T. Hardaway)
9:40.0,D. Carroll misses 3-pt shot from 23 ft,,5-4,,
9:39.0,,,5-4,,Defensive rebound by P. Millsap
9:32.0,Personal foul by D. Carroll (drawn by P. Millsap),,5-4,,
9:23.0,,,5-7,3,P. Millsap makes 3-pt shot from 22 ft (assist by D. Howard)
9:04.0,J. Valanciunas misses 2-pt shot from 1 ft,,5-7,,
9:03.0,Offensive rebound by J. Valanciunas,,5-7,,
9:03.0,J. Valanciunas makes 2-pt shot from 1 ft,2,7-7,,
8:44.0,,,7-9,2,K. Bazemore makes 2-pt shot from 16 ft (assist by T. Hardaway)
8:30.0,C. Joseph makes 2-pt shot from 20 ft (assist by D. DeRozan),2,9-9,,
8:09.0,,,9-9,,K. Bazemore misses 3-pt shot from 24 ft
8:08.0,,,9-9,,Offensive rebound by D. Howard
8:06.0,,,9-9,,Turnover by D. Howard (lost ball; steal by J. Valanciunas)
8:00.0,Turnover by D. DeRozan (bad pass; steal by T. Hardaway),,9-9,,
7:48.0,,,9-11,2,P. Millsap makes 2-pt shot from 12 ft
7:28.0,J. Valanciunas misses 2-pt shot from 17 ft,,9-11,,
7:26.0,,,9-11,,Defensive rebound by D. Schroder
7:16.0,,,9-11,,D. Howard misses 2-pt shot from 1 ft
7:12.0,,,9-11,,Offensive rebound by D. Howard
7:05.0,,,9-11,,T. Hardaway misses 2-pt shot from 9 ft
7:01.0,Defensive rebound by S. Ibaka,,9-11,,
6:59.0,Turnover by S. Ibaka (lost ball; steal by D. Howard),,9-11,,
6:50.0,,,9-11,,D. Schroder misses 3-pt shot from 26 ft
6:47.0,,,9-11,,Offensive rebound by K. Bazemore
6:41.0,,,9-13,2,D. Howard makes 2-pt shot at rim (assist by D. Schroder)
6:17.0,J. Valanciunas misses 2-pt shot from 16 ft,,9-13,,
6:15.0,,,9-13,,Defensive rebound by D. Howard
6:09.0,,,9-13,,Turnover by D. Schroder (lost ball; steal by C. Joseph)
6:01.0,D. DeRozan makes 2-pt shot from 1 ft (assist by C. Joseph),2,11-13,,
5:52.0,,,11-13,,Atlanta full timeout
5:52.0,,,11-13,,T. Sefolosha enters the game for T. Hardaway
5:44.0,,,11-13,,Shooting foul by J. Valanciunas (drawn by D. Howard)
5:44.0,,,11-13,,D. Howard misses free throw 1 of 2
5:44.0,,,11-13,,Offensive rebound by Team
5:44.0,,,11-14,1,D. Howard makes free throw 2 of 2
5:20.0,D. DeRozan misses 3-pt shot from 26 ft,,11-14,,
5:19.0,Offensive rebound by J. Valanciunas,,11-14,,
5:05.0,S. Ibaka makes 2-pt shot from 18 ft,2,13-14,,
4:45.0,,,13-14,,P. Millsap misses 2-pt shot from 2 ft (block by S. Ibaka)
4:45.0,,,13-14,,Offensive rebound by Team
4:45.0,P. Tucker enters the game for D. Carroll,,13-14,,
4:32.0,,,13-14,,T. Sefolosha misses 2-pt shot from 17 ft
4:29.0,Defensive rebound by D. DeRozan,,13-14,,
4:20.0,J. Valanciunas makes 2-pt shot from 17 ft (assist by D. DeRozan),2,15-14,,
4:04.0,,,15-14,,D. Schroder misses 2-pt shot from 16 ft
4:02.0,Defensive rebound by J. Valanciunas,,15-14,,
3:50.0,C. Joseph makes 3-pt shot from 25 ft (assist by S. Ibaka),3,18-14,,
3:35.0,,,18-14,,K. Bazemore misses 3-pt shot from 24 ft
3:34.0,Defensive rebound by D. DeRozan,,18-14,,
3:28.0,P. Tucker misses 3-pt shot from 24 ft,,18-14,,
3:25.0,Offensive rebound by S. Ibaka,,18-14,,
3:16.0,S. Ibaka misses 2-pt shot from 10 ft,,18-14,,
3:13.0,,,18-14,,Defensive rebound by D. Howard
3:04.0,,,18-16,2,D. Schroder makes 2-pt shot from 16 ft
2:55.0,Toronto full timeout,,18-16,,
2:55.0,,,18-16,,E. Ilyasova enters the game for D. Howard
2:55.0,,,18-16,,T. Hardaway enters the game for K. Bazemore
2:55.0,P. Patterson enters the game for J. Valanciunas,,18-16,,
2:55.0,D. Wright enters the game for C. Joseph,,18-16,,
2:36.0,D. DeRozan misses 2-pt shot from 18 ft,,18-16,,
2:34.0,,,18-16,,Defensive rebound by T. Sefolosha
2:26.0,Violation by D. Wright (kicked ball),,18-16,,
2:22.0,Personal foul by D. Wright (drawn by D. Schroder),,18-16,,
2:22.0,,,18-16,,J. Calderon enters the game for D. Schroder
2:10.0,,,18-18,2,P. Millsap makes 2-pt shot from 20 ft
1:50.0,,,18-18,,Personal foul by J. Calderon (drawn by D. Wright)
1:50.0,N. Powell enters the game for D. DeRozan,,18-18,,
1:50.0,D. Carroll enters the game for S. Ibaka,,18-18,,
1:37.0,P. Patterson misses 3-pt shot from 30 ft,,18-18,,
1:36.0,Offensive rebound by Team,,18-18,,
1:36.0,Turnover by Team (shot clock),,18-18,,
1:22.0,,,18-18,,T. Sefolosha misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by N. Powell,,18-18,,
1:11.0,Turnover by N. Powell (bad pass; steal by T. Hardaway),,18-18,,
1:06.0,,,18-18,,E. Ilyasova misses 2-pt shot from 1 ft
1:04.0,,,18-18,,Offensive rebound by T. Hardaway
1:03.0,,,18-18,,T. Hardaway misses 2-pt shot from 1 ft (block by D. Carroll)
1:02.0,Defensive rebound by D. Wright,,18-18,,
1:01.0,Shooting foul by T. Sefolosha (drawn by D. Wright),,18-18,,
1:01.0,D. Wright misses free throw 1 of 2,,18-18,,
1:01.0,Offensive rebound by Team,,18-18,,
1:01.0,D. Wright makes free throw 2 of 2,1,19-18,,
0:48.0,,,19-18,,Turnover by P. Millsap (offensive foul)
0:48.0,,,19-18,,Offensive charge foul by P. Millsap
0:32.0,P. Patterson misses 2-pt shot from 20 ft,,19-18,,
0:31.0,,,19-18,,Defensive rebound by T. Sefolosha
0:18.0,,,19-18,,J. Calderon misses 3-pt shot from 26 ft
0:17.0,Defensive rebound by N. Powell,,19-18,,
0:01.0,N. Powell misses 3-pt shot from 25 ft,,19-18,,
0:00.0,Offensive rebound by Team,,19-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,19-20,2,T. Hardaway makes 2-pt shot from 16 ft (assist by J. Calderon)
11:32.0,D. Wright misses 2-pt shot from 7 ft (block by D. Howard),,19-20,,
11:31.0,,,19-20,,Defensive rebound by T. Waller-Prince
11:26.0,,,19-22,2,T. Hardaway makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
11:00.0,Turnover by N. Powell (bad pass; steal by T. Waller-Prince),,19-22,,
10:49.0,,,19-22,,E. Ilyasova misses 2-pt shot from 21 ft
10:48.0,Defensive rebound by J. Valanciunas,,19-22,,
10:40.0,N. Powell makes 2-pt shot from 6 ft,2,21-22,,
10:40.0,Shooting foul by D. Howard (drawn by N. Powell),,21-22,,
10:40.0,N. Powell makes free throw 1 of 1,1,22-22,,
10:29.0,,,22-22,,Shooting foul by D. Wright (drawn by D. Howard)
10:29.0,,,22-23,1,D. Howard makes free throw 1 of 2
10:29.0,,,22-23,,D. Howard misses free throw 2 of 2
10:27.0,Defensive rebound by P. Tucker,,22-23,,
10:16.0,Shooting foul by E. Ilyasova (drawn by N. Powell),,22-23,,
10:16.0,N. Powell misses free throw 1 of 2,,22-23,,
10:16.0,Offensive rebound by Team,,22-23,,
10:16.0,N. Powell makes free throw 2 of 2,1,23-23,,
