time,San Antonio,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. M. Leonard (N. Vonleh gains possession),,,,Jump ball: D. Dedmon vs. M. Leonard (N. Vonleh gains possession)
11:32.0,,,0-3,3,S. Napier makes 3-pt shot from 25 ft (assist by P. Connaughton)
11:14.0,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker),2,2-3,,
10:53.0,,,2-3,,Turnover by S. Napier (bad pass)
10:38.0,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker),2,4-3,,
10:19.0,,,4-5,2,M. Leonard makes 2-pt shot from 20 ft (assist by E. Turner)
10:05.0,L. Aldridge misses 2-pt shot from 20 ft,,4-5,,
10:03.0,,,4-5,,Defensive rebound by S. Napier
9:52.0,,,4-8,3,S. Napier makes 3-pt shot from 26 ft
9:31.0,K. Leonard makes 2-pt shot from 20 ft,2,6-8,,
9:03.0,,,6-11,3,M. Leonard makes 3-pt shot from 24 ft (assist by E. Turner)
8:42.0,Turnover by K. Leonard (lost ball; steal by E. Turner),,6-11,,
8:39.0,,,6-13,2,P. Connaughton makes 2-pt shot at rim (assist by E. Turner)
8:22.0,D. Green makes 2-pt shot from 18 ft (assist by T. Parker),2,8-13,,
7:59.0,,,8-13,,E. Turner misses 2-pt shot from 7 ft (block by L. Aldridge)
7:57.0,,,8-13,,Offensive rebound by E. Turner
7:54.0,,,8-13,,E. Turner misses 3-pt shot from 24 ft
7:54.0,,,8-13,,Offensive rebound by N. Vonleh
7:49.0,,,8-16,3,P. Connaughton makes 3-pt shot from 26 ft (assist by N. Vonleh)
7:34.0,Shooting foul by S. Napier (drawn by D. Dedmon),,8-16,,
7:34.0,D. Dedmon makes free throw 1 of 2,1,9-16,,
7:34.0,D. Dedmon misses free throw 2 of 2,,9-16,,
7:33.0,,,9-16,,Defensive rebound by M. Leonard
7:13.0,,,9-16,,S. Napier misses 2-pt shot from 22 ft
7:11.0,Defensive rebound by D. Green,,9-16,,
6:56.0,D. Green misses 3-pt shot from 26 ft,,9-16,,
6:55.0,Offensive rebound by D. Dedmon,,9-16,,
6:43.0,L. Aldridge misses 2-pt shot from 18 ft,,9-16,,
