time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (D. Russell gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (D. Russell gains possession)
11:42.0,,,0-2,2,N. Young makes 2-pt shot from 21 ft (assist by D. Russell)
11:18.0,W. Matthews misses 2-pt shot from 21 ft,,0-2,,
11:16.0,,,0-2,,Defensive rebound by J. Randle
11:10.0,,,0-5,3,N. Young makes 3-pt shot from 25 ft (assist by D. Russell)
10:46.0,J. Barea makes 3-pt shot from 25 ft (assist by W. Matthews),3,3-5,,
10:32.0,,,3-5,,J. Randle misses 2-pt shot from 5 ft
10:31.0,Defensive rebound by A. Bogut,,3-5,,
10:16.0,H. Barnes misses 3-pt shot from 25 ft,,3-5,,
10:15.0,,,3-5,,Defensive rebound by T. Mozgov
10:07.0,,,3-5,,Shooting foul by J. Barea (drawn by N. Young)
10:07.0,,,3-6,1,N. Young makes free throw 1 of 3
10:07.0,,,3-7,1,N. Young makes free throw 2 of 3
10:07.0,,,3-8,1,N. Young makes free throw 3 of 3
9:59.0,,,3-8,,Violation by T. Mozgov (def goaltending)
9:59.0,J. Barea makes 2-pt shot from 3 ft,2,5-8,,
9:43.0,,,5-11,3,N. Young makes 3-pt shot from 24 ft (assist by D. Russell)
9:41.0,Dallas full timeout,,5-11,,
9:16.0,W. Matthews misses 3-pt shot from 25 ft,,5-11,,
9:14.0,Offensive rebound by J. Barea,,5-11,,
9:08.0,D. Finney-Smith makes 3-pt shot from 23 ft (assist by W. Matthews),3,8-11,,
8:45.0,,,8-13,2,N. Young makes 2-pt shot from 19 ft (assist by T. Mozgov)
8:18.0,H. Barnes makes 2-pt shot from 19 ft (assist by W. Matthews),2,10-13,,
7:52.0,,,10-13,,L. Deng misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by J. Barea,,10-13,,
7:42.0,J. Barea makes 2-pt shot at rim,2,12-13,,
7:26.0,,,12-15,2,J. Randle makes 2-pt shot from 19 ft (assist by D. Russell)
7:14.0,A. Bogut misses 2-pt shot from 7 ft,,12-15,,
7:11.0,,,12-15,,Defensive rebound by J. Randle
7:01.0,,,12-15,,D. Russell misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by D. Finney-Smith,,12-15,,
6:50.0,H. Barnes makes 2-pt shot from 17 ft (assist by D. Finney-Smith),2,14-15,,
6:31.0,,,14-17,2,T. Mozgov makes 2-pt shot at rim (assist by L. Deng)
6:13.0,J. Barea misses 3-pt shot from 25 ft,,14-17,,
6:12.0,,,14-17,,Defensive rebound by L. Deng
6:03.0,,,14-17,,Shooting foul by H. Barnes (drawn by J. Randle)
