time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. K. Towns (G. Dieng gains possession),,,,Jump ball: A. Davis vs. K. Towns (G. Dieng gains possession)
11:47.0,Shooting foul by S. Hill (drawn by A. Wiggins),,0-0,,
11:47.0,A. Wiggins makes free throw 1 of 2,1,1-0,,
11:47.0,A. Wiggins makes free throw 2 of 2,1,2-0,,
11:34.0,,,2-2,2,D. Cousins makes 2-pt shot from 2 ft (assist by S. Hill)
11:19.0,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio),2,4-2,,
10:55.0,,,4-4,2,S. Hill makes 2-pt shot from 3 ft (assist by D. Cousins)
10:42.0,K. Towns makes 3-pt shot from 26 ft (assist by R. Rubio),3,7-4,,
10:30.0,Personal foul by G. Dieng (drawn by D. Cousins),,7-4,,
10:18.0,,,7-4,,D. Cousins misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by B. Rush,,7-4,,
10:06.0,G. Dieng makes 2-pt shot at rim (assist by R. Rubio),2,9-4,,
9:51.0,,,9-4,,S. Hill misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by G. Dieng,,9-4,,
9:32.0,R. Rubio misses 2-pt shot from 19 ft,,9-4,,
9:30.0,Offensive rebound by G. Dieng,,9-4,,
9:24.0,R. Rubio makes 3-pt shot from 25 ft (assist by B. Rush),3,12-4,,
9:14.0,,,12-4,,Shooting foul by R. Rubio (drawn by J. Holiday)
9:14.0,,,12-4,,J. Holiday misses free throw 1 of 2
9:14.0,,,12-4,,Offensive rebound by Team
9:14.0,,,12-5,1,J. Holiday makes free throw 2 of 2
9:02.0,B. Rush misses 3-pt shot from 26 ft,,12-5,,
9:02.0,,,12-5,,Defensive rebound by A. Davis
8:48.0,,,12-5,,T. Frazier misses 2-pt shot from 2 ft
8:47.0,Defensive rebound by A. Wiggins,,12-5,,
8:40.0,R. Rubio makes 2-pt shot from 16 ft,2,14-5,,
8:26.0,,,14-7,2,D. Cousins makes 2-pt shot from 3 ft
8:12.0,R. Rubio misses 3-pt shot from 25 ft,,14-7,,
8:11.0,,,14-7,,Defensive rebound by D. Cousins
7:59.0,,,14-7,,Shooting foul by K. Towns (drawn by A. Davis)
7:59.0,,,14-8,1,A. Davis makes free throw 1 of 2
7:59.0,,,14-9,1,A. Davis makes free throw 2 of 2
7:47.0,K. Towns misses 2-pt shot from 17 ft,,14-9,,
7:46.0,,,14-9,,Defensive rebound by D. Cousins
7:37.0,,,14-11,2,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins)
7:23.0,K. Towns makes 2-pt shot at rim (assist by B. Rush),2,16-11,,
7:07.0,,,16-13,2,A. Davis makes 2-pt shot from 7 ft (assist by T. Frazier)
6:51.0,B. Rush makes 3-pt shot from 25 ft (assist by K. Towns),3,19-13,,
6:32.0,,,19-15,2,D. Cousins makes 2-pt shot from 6 ft
6:19.0,G. Dieng makes 2-pt shot from 19 ft (assist by B. Rush),2,21-15,,
6:12.0,,,21-18,3,J. Holiday makes 3-pt shot from 26 ft (assist by T. Frazier)
5:56.0,Turnover by G. Dieng (traveling),,21-18,,
5:56.0,,,21-18,,New Orleans full timeout
5:44.0,,,21-18,,Turnover by A. Davis (lost ball; steal by B. Rush)
5:21.0,B. Rush misses 3-pt shot from 26 ft,,21-18,,
5:20.0,,,21-18,,Defensive rebound by A. Davis
5:06.0,,,21-18,,A. Davis misses 2-pt shot from 23 ft
5:05.0,Defensive rebound by R. Rubio,,21-18,,
4:49.0,A. Wiggins misses 3-pt shot from 29 ft,,21-18,,
4:47.0,,,21-18,,Defensive rebound by T. Frazier
4:38.0,,,21-18,,A. Davis misses 2-pt shot from 5 ft (block by G. Dieng)
4:37.0,Defensive rebound by K. Towns,,21-18,,
4:31.0,Turnover by R. Rubio (bad pass; steal by D. Cousins),,21-18,,
4:25.0,,,21-18,,S. Hill misses 2-pt shot from 1 ft
4:25.0,,,21-18,,Offensive rebound by A. Davis
4:25.0,,,21-18,,Turnover by A. Davis (offensive goaltending)
4:09.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,23-18,,
4:00.0,,,23-18,,J. Holiday misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by G. Dieng,,23-18,,
3:40.0,K. Towns makes 3-pt shot from 22 ft (assist by R. Rubio),3,26-18,,
3:21.0,,,26-21,3,T. Frazier makes 3-pt shot from 25 ft (assist by D. Cousins)
3:04.0,Shooting foul by D. Cousins (drawn by G. Dieng),,26-21,,
