time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. N. Vucevic (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. N. Vucevic (G. Antetokounmpo gains possession)
11:43.0,J. Parker makes 2-pt shot from 12 ft (assist by G. Antetokounmpo),2,2-0,,
11:27.0,,,2-0,,N. Vucevic misses 2-pt shot from 14 ft
11:25.0,Defensive rebound by G. Antetokounmpo,,2-0,,
11:04.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,2-0,,
11:03.0,Offensive rebound by J. Parker,,2-0,,
11:00.0,J. Parker misses 2-pt shot from 16 ft,,2-0,,
10:58.0,,,2-0,,Defensive rebound by N. Vucevic
10:52.0,,,2-0,,A. Gordon misses 2-pt shot at rim (block by J. Henson)
10:52.0,,,2-0,,Offensive rebound by Team
10:41.0,,,2-0,,N. Vucevic misses 2-pt shot from 18 ft
10:40.0,,,2-0,,Offensive rebound by C. Watson
10:35.0,,,2-0,,C. Watson misses 2-pt shot from 15 ft
10:33.0,Defensive rebound by J. Henson,,2-0,,
10:08.0,M. Brogdon makes 3-pt shot from 25 ft (assist by J. Parker),3,5-0,,
10:01.0,,,5-0,,Shooting foul by T. Snell (drawn by E. Payton)
10:01.0,,,5-1,1,E. Payton makes free throw 1 of 2
10:01.0,,,5-2,1,E. Payton makes free throw 2 of 2
9:44.0,J. Parker makes 3-pt shot from 25 ft (assist by M. Brogdon),3,8-2,,
9:32.0,,,8-2,,Turnover by S. Ibaka (traveling)
9:20.0,M. Brogdon misses 3-pt shot from 25 ft,,8-2,,
9:19.0,,,8-2,,Defensive rebound by A. Gordon
9:08.0,,,8-2,,Turnover by S. Ibaka (bad pass; steal by M. Brogdon)
9:00.0,J. Parker misses 2-pt shot from 2 ft,,8-2,,
8:58.0,Jump ball: G. Antetokounmpo vs. S. Ibaka,,,,Jump ball: G. Antetokounmpo vs. S. Ibaka
8:58.0,Offensive rebound by Team,,8-2,,
8:50.0,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo),2,10-2,,
8:38.0,,,10-4,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Payton)
8:21.0,J. Henson makes 2-pt shot from 2 ft,2,12-4,,
8:09.0,,,12-4,,E. Payton misses 2-pt shot from 2 ft
8:08.0,,,12-4,,Offensive rebound by N. Vucevic
8:07.0,,,12-4,,N. Vucevic misses 2-pt shot from 1 ft
8:07.0,,,12-4,,Offensive rebound by N. Vucevic
8:05.0,,,12-6,2,N. Vucevic makes 2-pt shot from 5 ft
7:51.0,,,12-6,,Personal foul by C. Watson (drawn by T. Snell)
7:48.0,J. Parker misses 3-pt shot from 26 ft,,12-6,,
7:47.0,,,12-6,,Defensive rebound by A. Gordon
7:44.0,,,12-6,,Shooting foul by G. Antetokounmpo (drawn by A. Gordon)
7:44.0,,,12-7,1,A. Gordon makes free throw 1 of 2
7:44.0,,,12-7,,A. Gordon misses free throw 2 of 2
7:43.0,Defensive rebound by G. Antetokounmpo,,12-7,,
7:28.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by J. Parker),3,15-7,,
7:10.0,,,15-7,,A. Gordon misses 2-pt shot from 2 ft
7:09.0,,,15-7,,Offensive rebound by A. Gordon
7:09.0,,,15-9,2,A. Gordon makes 2-pt shot from 2 ft
7:09.0,,,15-9,,Violation by Team (jump ball)
6:57.0,J. Parker misses 2-pt shot from 18 ft,,15-9,,
6:56.0,Offensive rebound by J. Henson,,15-9,,
6:53.0,J. Henson makes 2-pt shot from 7 ft,2,17-9,,
6:52.0,,,17-9,,Orlando full timeout
6:52.0,M. Beasley enters the game for G. Antetokounmpo,,17-9,,
6:29.0,,,17-9,,E. Payton misses 2-pt shot from 11 ft
6:28.0,Defensive rebound by J. Henson,,17-9,,
6:13.0,Turnover by J. Parker (bad pass; steal by S. Ibaka),,17-9,,
6:04.0,,,17-9,,A. Gordon misses 2-pt shot from 14 ft
6:02.0,Defensive rebound by J. Henson,,17-9,,
5:47.0,T. Snell makes 2-pt shot from 15 ft (assist by J. Henson),2,19-9,,
5:26.0,,,19-9,,C. Watson misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by J. Henson,,19-9,,
5:17.0,J. Parker misses 2-pt shot from 10 ft,,19-9,,
5:16.0,Offensive rebound by Team,,19-9,,
5:16.0,G. Monroe enters the game for J. Henson,,19-9,,
5:16.0,J. Terry enters the game for T. Snell,,19-9,,
5:16.0,,,19-9,,J. Green enters the game for A. Gordon
5:09.0,M. Beasley misses 2-pt shot from 12 ft,,19-9,,
5:08.0,,,19-9,,Defensive rebound by J. Green
5:02.0,,,19-11,2,J. Green makes 2-pt shot from 1 ft
4:48.0,G. Monroe misses 2-pt shot from 2 ft,,19-11,,
4:47.0,Offensive rebound by G. Monroe,,19-11,,
4:40.0,M. Beasley makes 2-pt shot from 11 ft,2,21-11,,
4:21.0,,,21-13,2,N. Vucevic makes 2-pt shot from 7 ft
4:07.0,J. Terry makes 2-pt shot from 14 ft,2,23-13,,
3:54.0,,,23-15,2,S. Ibaka makes 2-pt shot from 15 ft (assist by E. Payton)
3:54.0,,,23-15,,Shooting foul by M. Beasley (drawn by S. Ibaka)
3:54.0,,,23-16,1,S. Ibaka makes free throw 1 of 1
3:54.0,M. Dellavedova enters the game for M. Brogdon,,23-15,,
3:54.0,,,23-15,,D. Augustin enters the game for C. Watson
3:43.0,J. Terry misses 2-pt shot from 3 ft (block by J. Green),,23-16,,
3:41.0,,,23-16,,Defensive rebound by E. Payton
3:34.0,,,23-18,2,N. Vucevic makes 2-pt shot from 2 ft (assist by D. Augustin)
3:19.0,Turnover by J. Parker (offensive foul),,23-18,,
3:19.0,Offensive foul by J. Parker,,23-18,,
3:19.0,,,23-18,,M. Hezonja enters the game for S. Ibaka
3:04.0,,,23-18,,D. Augustin misses 3-pt shot from 24 ft
3:03.0,Defensive rebound by M. Beasley,,23-18,,
