time,New York,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Noah (B. Jennings gains possession),,,,Jump ball: M. Gortat vs. J. Noah (B. Jennings gains possession)
11:42.0,C. Anthony makes 2-pt shot from 13 ft,2,2-0,,
11:18.0,,,2-0,,M. Morris misses 3-pt shot from 27 ft
11:18.0,Defensive rebound by C. Lee,,2-0,,
11:12.0,C. Lee misses 2-pt shot from 5 ft,,2-0,,
11:11.0,Offensive rebound by C. Lee,,2-0,,
11:11.0,W. Hernangomez makes 2-pt shot at rim (assist by C. Lee),2,4-0,,
10:56.0,,,4-0,,B. Beal misses 3-pt shot from 26 ft
10:55.0,Defensive rebound by C. Anthony,,4-0,,
10:43.0,B. Jennings misses 2-pt shot from 14 ft,,4-0,,
10:42.0,Offensive rebound by W. Hernangomez,,4-0,,
10:41.0,W. Hernangomez misses 2-pt shot at rim,,4-0,,
10:39.0,,,4-0,,Defensive rebound by Team
10:17.0,,,4-0,,J. Wall misses 2-pt shot from 13 ft
10:16.0,,,4-0,,Offensive rebound by M. Morris
10:15.0,,,4-2,2,M. Morris makes 2-pt shot from 1 ft
10:01.0,C. Lee misses 3-pt shot from 26 ft,,4-2,,
10:00.0,,,4-2,,Defensive rebound by M. Morris
9:50.0,,,4-2,,B. Beal misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by C. Lee,,4-2,,
9:34.0,C. Lee misses 3-pt shot from 26 ft,,4-2,,
9:33.0,Offensive rebound by J. Noah,,4-2,,
9:29.0,W. Hernangomez makes 2-pt shot from 2 ft (assist by J. Noah),2,6-2,,
9:09.0,,,6-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
8:55.0,B. Jennings makes 3-pt shot from 27 ft (assist by W. Hernangomez),3,9-4,,
8:38.0,,,9-6,2,M. Gortat makes 2-pt shot from 2 ft (assist by M. Morris)
8:27.0,B. Jennings misses 2-pt shot from 6 ft,,9-6,,
8:27.0,Offensive rebound by J. Noah,,9-6,,
8:27.0,,,9-6,,Personal foul by M. Gortat (drawn by J. Noah)
8:22.0,Turnover by J. Noah (bad pass; steal by O. Porter),,9-6,,
8:18.0,,,9-6,,O. Porter misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by Team,,9-6,,
8:18.0,,,9-6,,Loose ball foul by J. Wall (drawn by C. Lee)
7:59.0,C. Anthony makes 2-pt shot from 10 ft,2,11-6,,
7:38.0,,,11-6,,M. Morris misses 2-pt shot at rim
7:37.0,Defensive rebound by J. Noah,,11-6,,
7:27.0,C. Anthony makes 2-pt shot from 19 ft (assist by W. Hernangomez),2,13-6,,
7:25.0,,,13-6,,Washington full timeout
7:12.0,,,13-8,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
6:46.0,C. Anthony misses 2-pt shot from 18 ft,,13-8,,
6:45.0,,,13-8,,Defensive rebound by M. Gortat
6:32.0,,,13-8,,O. Porter misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by J. Noah,,13-8,,
6:24.0,B. Jennings makes 3-pt shot from 26 ft,3,16-8,,
6:05.0,Personal foul by J. Noah (drawn by B. Beal),,16-8,,
6:00.0,,,16-8,,Turnover by O. Porter (bad pass; steal by B. Jennings)
5:53.0,W. Hernangomez misses 2-pt shot at rim,,16-8,,
5:50.0,,,16-8,,Defensive rebound by M. Gortat
5:46.0,,,16-10,2,J. Wall makes 2-pt shot from 1 ft
5:33.0,C. Lee misses 3-pt shot from 26 ft,,16-10,,
5:32.0,,,16-10,,Defensive rebound by Team
5:17.0,,,16-12,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
4:56.0,C. Anthony misses 2-pt shot from 3 ft,,16-12,,
4:55.0,,,16-12,,Defensive rebound by O. Porter
4:51.0,,,16-14,2,J. Wall makes 2-pt shot from 2 ft (assist by O. Porter)
4:51.0,New York full timeout,,16-14,,
4:51.0,,,16-14,,K. Oubre enters the game for M. Morris
4:51.0,K. O'Quinn enters the game for J. Noah,,16-14,,
4:32.0,K. O'Quinn misses 2-pt shot from 19 ft,,16-14,,
4:32.0,,,16-14,,Defensive rebound by J. Wall
4:14.0,,,16-14,,Shooting foul by W. Hernangomez (drawn by B. Beal)
4:14.0,,,16-15,1,B. Beal makes free throw 1 of 2
4:14.0,,,16-16,1,B. Beal makes free throw 2 of 2
4:14.0,M. Kuzminskas enters the game for W. Hernangomez,,16-15,,
4:01.0,C. Anthony makes 2-pt shot from 13 ft,2,18-16,,
3:50.0,,,18-18,2,B. Beal makes 2-pt shot from 21 ft (assist by J. Wall)
3:34.0,Offensive foul by C. Anthony,,18-18,,
3:34.0,Turnover by C. Anthony (offensive foul),,18-18,,
3:20.0,,,18-20,2,M. Gortat makes 2-pt shot at rim (assist by O. Porter)
3:15.0,J. Holiday enters the game for C. Lee,,18-20,,
3:05.0,B. Jennings misses 2-pt shot from 5 ft,,18-20,,
3:04.0,,,18-20,,Defensive rebound by M. Gortat
2:59.0,,,18-20,,B. Beal misses 2-pt shot from 1 ft
2:57.0,,,18-20,,Offensive rebound by J. Wall
2:56.0,,,18-20,,J. Wall misses 2-pt shot at rim
2:55.0,Defensive rebound by K. O'Quinn,,18-20,,
2:51.0,J. Holiday misses 3-pt shot from 28 ft,,18-20,,
