time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. T. Thompson (K. Irving gains possession),,,,Jump ball: J. Hamilton vs. T. Thompson (K. Irving gains possession)
11:45.0,,,0-0,,Turnover by K. Love (lost ball)
11:32.0,J. Hamilton misses 2-pt shot from 19 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by K. Irving
11:23.0,,,0-0,,K. Irving misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by Team,,0-0,,
11:04.0,R. Hollis-Jefferson misses 3-pt shot from 24 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by T. Thompson
10:54.0,,,0-0,,K. Love misses 2-pt shot from 1 ft (block by J. Hamilton)
10:54.0,,,0-0,,Offensive rebound by Team
10:53.0,,,0-0,,K. Love misses 2-pt shot from 1 ft
10:52.0,,,0-0,,Offensive rebound by K. Love
10:44.0,,,0-2,2,K. Love makes 2-pt shot from 7 ft (assist by K. Irving)
10:31.0,J. Hamilton makes 2-pt shot from 3 ft (assist by R. Foye),2,2-2,,
10:18.0,,,2-2,,L. James misses 2-pt shot from 14 ft
10:15.0,Defensive rebound by R. Foye,,2-2,,
10:02.0,R. Hollis-Jefferson makes 2-pt shot from 9 ft (assist by B. Bogdanovic),2,4-2,,
9:54.0,,,4-2,,Shooting foul by S. Dinwiddie (drawn by L. James)
9:54.0,,,4-3,1,L. James makes free throw 1 of 2
9:54.0,,,4-3,,L. James misses free throw 2 of 2
9:54.0,Defensive rebound by J. Hamilton,,4-3,,
9:31.0,R. Foye misses 3-pt shot from 25 ft,,4-3,,
9:31.0,,,4-3,,Defensive rebound by K. Love
9:13.0,,,4-6,3,L. James makes 3-pt shot from 26 ft (assist by T. Thompson)
8:51.0,B. Bogdanovic misses 3-pt shot from 25 ft,,4-6,,
8:51.0,,,4-6,,Defensive rebound by I. Shumpert
8:43.0,,,4-6,,K. Irving misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by R. Hollis-Jefferson,,4-6,,
8:34.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,4-6,,
8:30.0,,,4-6,,Defensive rebound by K. Love
8:24.0,,,4-6,,L. James misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by R. Foye,,4-6,,
8:08.0,Turnover by R. Foye (bad pass; steal by I. Shumpert),,4-6,,
8:04.0,,,4-6,,Turnover by L. James (lost ball; steal by J. Hamilton)
7:52.0,,,4-6,,Personal foul by L. James (drawn by B. Bogdanovic)
7:45.0,B. Bogdanovic misses 3-pt shot from 24 ft,,4-6,,
7:44.0,,,4-6,,Defensive rebound by K. Love
7:41.0,,,4-6,,Turnover by K. Love (bad pass; steal by R. Hollis-Jefferson)
7:36.0,Turnover by R. Hollis-Jefferson (bad pass; steal by I. Shumpert),,4-6,,
7:31.0,,,4-8,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
7:10.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by R. Foye),3,7-8,,
6:56.0,Personal foul by R. Foye (drawn by I. Shumpert),,7-8,,
6:56.0,,,7-9,1,I. Shumpert makes free throw 1 of 3
6:56.0,,,7-9,,I. Shumpert misses free throw 2 of 3
6:56.0,,,7-9,,Offensive rebound by Team
6:56.0,,,7-10,1,I. Shumpert makes free throw 3 of 3
6:43.0,,,7-10,,Personal foul by K. Irving (drawn by R. Hollis-Jefferson)
6:28.0,B. Bogdanovic makes 2-pt shot at rim,2,9-10,,
6:18.0,,,9-12,2,K. Irving makes 2-pt shot from 21 ft
6:07.0,Shooting foul by T. Thompson (drawn by B. Bogdanovic),,9-12,,
6:07.0,B. Bogdanovic makes free throw 1 of 2,1,10-12,,
6:07.0,B. Bogdanovic makes free throw 2 of 2,1,11-12,,
5:55.0,,,11-15,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
5:30.0,B. Bogdanovic misses 3-pt shot from 31 ft,,11-15,,
5:30.0,,,11-15,,Defensive rebound by K. Love
5:13.0,,,11-17,2,L. James makes 2-pt shot from 12 ft
5:13.0,Brooklyn full timeout,,11-17,,
5:13.0,S. Kilpatrick enters the game for B. Bogdanovic,,11-17,,
4:51.0,R. Foye misses 2-pt shot from 17 ft,,11-17,,
4:50.0,,,11-17,,Defensive rebound by K. Love
4:40.0,,,11-17,,K. Love misses 2-pt shot from 20 ft
4:39.0,Defensive rebound by R. Foye,,11-17,,
4:27.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by T. Thompson),,11-17,,
4:25.0,,,11-17,,Defensive rebound by K. Love
4:19.0,,,11-17,,I. Shumpert misses 3-pt shot from 25 ft
4:19.0,,,11-17,,Offensive rebound by T. Thompson
4:16.0,,,11-19,2,T. Thompson makes 2-pt shot from 2 ft
3:56.0,R. Hollis-Jefferson makes 3-pt shot from 23 ft (assist by R. Foye),3,14-19,,
3:39.0,,,14-19,,Turnover by L. James (lost ball; steal by S. Kilpatrick)
3:35.0,S. Kilpatrick misses 2-pt shot at rim,,14-19,,
3:33.0,,,14-19,,Defensive rebound by K. Love
3:21.0,,,14-21,2,L. James makes 2-pt shot from 14 ft
3:03.0,R. Foye makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,17-21,,
2:45.0,,,17-21,,L. James misses 2-pt shot from 21 ft
2:44.0,Defensive rebound by S. Dinwiddie,,17-21,,
2:40.0,S. Dinwiddie misses 2-pt shot from 7 ft (block by K. Irving),,17-21,,
2:39.0,Offensive rebound by Team,,17-21,,
2:39.0,,,17-21,,Cleveland full timeout
2:39.0,L. Scola enters the game for R. Hollis-Jefferson,,17-21,,
2:39.0,B. Bogdanovic enters the game for J. Hamilton,,17-21,,
2:39.0,Q. Acy enters the game for R. Foye,,17-21,,
2:39.0,I. Whitehead enters the game for S. Dinwiddie,,17-21,,
2:39.0,,,17-21,,R. Jefferson enters the game for L. James
2:39.0,,,17-21,,K. Korver enters the game for I. Shumpert
2:27.0,S. Kilpatrick makes 2-pt shot from 18 ft (assist by B. Bogdanovic),2,19-21,,
2:04.0,,,19-23,2,K. Love makes 2-pt shot from 1 ft
1:54.0,B. Bogdanovic makes 2-pt shot at rim (assist by S. Kilpatrick),2,21-23,,
1:40.0,,,21-23,,K. Love misses 3-pt shot from 25 ft (block by Q. Acy)
1:35.0,Defensive rebound by B. Bogdanovic,,21-23,,
1:31.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,23-23,,
1:20.0,,,23-23,,K. Irving misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by Q. Acy,,23-23,,
1:07.0,Q. Acy makes 2-pt shot from 1 ft (assist by B. Bogdanovic),2,25-23,,
0:49.0,,,25-25,2,K. Irving makes 2-pt shot from 15 ft
0:44.0,,,25-25,,Personal foul by R. Jefferson (drawn by B. Bogdanovic)
0:42.0,Offensive foul by L. Scola,,25-25,,
0:42.0,Turnover by L. Scola (offensive foul),,25-25,,
0:29.0,,,25-27,2,T. Thompson makes 2-pt shot from 1 ft (assist by K. Love)
0:06.0,I. Whitehead misses 2-pt shot from 7 ft (block by K. Irving),,25-27,,
0:04.0,,,25-27,,Defensive rebound by T. Thompson
0:00.0,,,25-27,,K. Korver misses 3-pt shot from 24 ft
0:00.0,,,25-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Q. Acy misses 2-pt shot from 9 ft,,25-27,,
11:39.0,,,25-27,,Defensive rebound by C. Frye
11:32.0,,,25-27,,R. Jefferson misses 3-pt shot from 22 ft
11:31.0,Defensive rebound by S. Kilpatrick,,25-27,,
11:24.0,Offensive foul by L. Scola,,25-27,,
11:24.0,Turnover by L. Scola (offensive foul),,25-27,,
11:08.0,,,25-27,,K. Korver misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by Q. Acy,,25-27,,
10:59.0,S. Kilpatrick misses 2-pt shot from 19 ft,,25-27,,
10:59.0,,,25-27,,Defensive rebound by L. James
10:53.0,,,25-29,2,L. James makes 2-pt shot from 2 ft
10:42.0,I. Whitehead misses 2-pt shot from 18 ft,,25-29,,
10:40.0,,,25-29,,Defensive rebound by L. James
10:31.0,,,25-32,3,C. Frye makes 3-pt shot from 25 ft (assist by R. Jefferson)
10:31.0,Brooklyn full timeout,,25-32,,
10:15.0,S. Kilpatrick misses 2-pt shot from 7 ft,,25-32,,
10:14.0,Offensive rebound by L. Scola,,25-32,,
10:07.0,Turnover by Team (shot clock),,25-32,,
9:58.0,,,25-32,,Shooting foul by Q. Acy (drawn by R. Jefferson)
9:58.0,,,25-32,,R. Jefferson misses free throw 1 of 2
9:58.0,,,25-32,,Offensive rebound by Team
9:58.0,,,25-33,1,R. Jefferson makes free throw 2 of 2
9:48.0,S. Kilpatrick misses 2-pt shot from 1 ft,,25-33,,
9:48.0,,,25-33,,Defensive rebound by C. Frye
