time,Dallas,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Johnson (D. Williams gains possession),,,,Jump ball: A. Bogut vs. A. Johnson (D. Williams gains possession)
11:41.0,D. Williams misses 3-pt shot from 25 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by A. Bradley
11:19.0,,,0-3,3,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas)
11:02.0,D. Finney-Smith makes 3-pt shot from 24 ft (assist by A. Bogut),3,3-3,,
10:40.0,,,3-5,2,A. Bradley makes 2-pt shot from 19 ft (assist by I. Thomas)
10:30.0,,,3-5,,Def 3 sec tech foul by A. Johnson
10:30.0,H. Barnes misses technical free throw,,3-5,,
10:30.0,Offensive rebound by Team,,3-5,,
10:18.0,H. Barnes misses 2-pt shot from 13 ft,,3-5,,
10:17.0,Offensive rebound by A. Bogut,,3-5,,
10:16.0,A. Bogut misses 2-pt shot from 2 ft,,3-5,,
10:15.0,,,3-5,,Defensive rebound by A. Johnson
10:10.0,,,3-7,2,I. Thomas makes 2-pt shot from 3 ft
10:10.0,,,3-7,,Shooting foul by W. Matthews (drawn by I. Thomas)
10:10.0,,,3-7,,I. Thomas misses free throw 1 of 1
10:10.0,Defensive rebound by A. Bogut,,3-7,,
9:55.0,Turnover by W. Matthews (lost ball; steal by A. Johnson),,3-7,,
9:50.0,,,3-9,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson)
9:40.0,Dallas full timeout,,3-9,,
9:25.0,D. Williams misses 3-pt shot from 25 ft,,3-9,,
9:24.0,,,3-9,,Defensive rebound by M. Smart
9:21.0,,,3-11,2,A. Bradley makes 2-pt shot from 2 ft (assist by M. Smart)
9:21.0,,,3-11,,Shooting foul by H. Barnes (drawn by A. Bradley)
9:21.0,,,3-11,,A. Bradley misses free throw 1 of 1
9:19.0,,,3-11,,Offensive rebound by A. Johnson
9:11.0,,,3-11,,Turnover by I. Thomas (discontinued dribble)
8:53.0,,,3-11,,Personal foul by I. Thomas (drawn by W. Matthews)
8:45.0,,,3-11,,Personal foul by A. Johnson (drawn by A. Bogut)
8:31.0,D. Finney-Smith misses 3-pt shot from 22 ft,,3-11,,
8:30.0,,,3-11,,Defensive rebound by A. Bradley
8:16.0,,,3-11,,Turnover by A. Bradley (bad pass; steal by A. Bogut)
8:04.0,H. Barnes misses 2-pt shot from 4 ft,,3-11,,
8:03.0,Offensive rebound by D. Finney-Smith,,3-11,,
8:03.0,D. Finney-Smith makes 2-pt shot at rim,2,5-11,,
7:50.0,,,5-11,,I. Thomas misses 2-pt shot from 3 ft (block by A. Bogut)
7:49.0,Defensive rebound by W. Matthews,,5-11,,
