time,New York,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Noah (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. J. Noah (T. Gibson gains possession)
11:39.0,,,0-0,,J. Butler misses 2-pt shot from 18 ft
11:38.0,Defensive rebound by C. Lee,,0-0,,
11:34.0,C. Lee makes 2-pt shot from 1 ft,2,2-0,,
11:15.0,,,2-0,,T. Gibson misses 2-pt shot from 8 ft
11:14.0,,,2-0,,Offensive rebound by R. Lopez
11:13.0,,,2-0,,Shooting foul by K. Porzingis (drawn by R. Lopez)
11:13.0,,,2-1,1,R. Lopez makes free throw 1 of 2
11:13.0,,,2-1,,R. Lopez misses free throw 2 of 2
11:11.0,Defensive rebound by K. Porzingis,,2-1,,
10:55.0,D. Rose misses 2-pt shot from 14 ft,,2-1,,
10:54.0,,,2-1,,Defensive rebound by R. Rondo
10:42.0,,,2-3,2,D. Wade makes 2-pt shot from 20 ft (assist by R. Rondo)
10:29.0,C. Anthony misses 2-pt shot from 20 ft,,2-3,,
10:28.0,,,2-3,,Defensive rebound by R. Rondo
10:20.0,,,2-3,,D. Wade misses 2-pt shot from 2 ft (block by C. Anthony)
10:18.0,,,2-3,,Offensive rebound by D. Wade
10:08.0,,,2-3,,R. Lopez misses 2-pt shot from 8 ft
10:07.0,Defensive rebound by J. Noah,,2-3,,
9:50.0,J. Noah makes 2-pt shot from 1 ft (assist by C. Lee),2,4-3,,
9:30.0,,,4-3,,Turnover by J. Butler (lost ball; steal by J. Noah)
9:24.0,C. Lee makes 2-pt shot from 18 ft (assist by D. Rose),2,6-3,,
9:03.0,,,6-3,,T. Gibson misses 2-pt shot from 20 ft
9:02.0,,,6-3,,Offensive rebound by R. Lopez
8:53.0,,,6-3,,J. Butler misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by D. Rose,,6-3,,
8:42.0,C. Anthony misses 2-pt shot from 2 ft,,6-3,,
8:41.0,Offensive rebound by C. Anthony,,6-3,,
8:41.0,C. Anthony misses 2-pt shot from 1 ft,,6-3,,
8:40.0,Offensive rebound by C. Anthony,,6-3,,
8:39.0,C. Anthony misses 2-pt shot from 2 ft,,6-3,,
8:37.0,Offensive rebound by C. Anthony,,6-3,,
8:37.0,C. Anthony makes 2-pt shot from 1 ft,2,8-3,,
8:29.0,,,8-3,,R. Rondo misses 2-pt shot from 2 ft
8:28.0,Defensive rebound by J. Noah,,8-3,,
8:23.0,D. Rose makes 2-pt shot from 2 ft (assist by J. Noah),2,10-3,,
8:15.0,,,10-3,,R. Rondo misses 2-pt shot from 17 ft
8:14.0,Defensive rebound by C. Lee,,10-3,,
8:02.0,K. Porzingis makes 3-pt shot from 25 ft (assist by J. Noah),3,13-3,,
8:01.0,,,13-3,,Chicago full timeout
7:48.0,,,13-5,2,D. Wade makes 2-pt shot from 8 ft
7:48.0,,,13-5,,Shooting foul by C. Lee (drawn by D. Wade)
7:48.0,,,13-6,1,D. Wade makes free throw 1 of 1
7:36.0,K. Porzingis makes 3-pt shot from 26 ft (assist by C. Anthony),3,16-6,,
7:14.0,,,16-6,,D. Wade misses 2-pt shot from 23 ft
7:12.0,Defensive rebound by D. Rose,,16-6,,
7:09.0,C. Lee makes 2-pt shot from 6 ft (assist by D. Rose),2,18-6,,
6:49.0,,,18-6,,J. Butler misses 3-pt shot from 25 ft
6:48.0,Defensive rebound by K. Porzingis,,18-6,,
6:41.0,K. Porzingis makes 2-pt shot from 1 ft (assist by J. Noah),2,20-6,,
6:41.0,Shooting foul by T. Gibson (drawn by K. Porzingis),,20-6,,
6:41.0,K. Porzingis misses free throw 1 of 1,,20-6,,
6:38.0,Offensive rebound by K. Porzingis,,20-6,,
6:32.0,D. Rose misses 2-pt shot from 19 ft,,20-6,,
6:32.0,Offensive rebound by Team,,20-6,,
6:32.0,,,20-6,,Loose ball foul by D. Wade (drawn by J. Noah)
6:26.0,C. Lee makes 2-pt shot from 11 ft (assist by D. Rose),2,22-6,,
6:09.0,Def 3 sec tech foul by J. Noah,,22-6,,
6:09.0,,,22-7,1,J. Butler makes technical free throw
5:57.0,,,22-7,,Turnover by R. Rondo (traveling)
5:40.0,C. Anthony misses 2-pt shot from 14 ft,,22-7,,
5:39.0,Offensive rebound by J. Noah,,22-7,,
5:39.0,J. Noah misses 2-pt shot from 2 ft,,22-7,,
5:38.0,,,22-7,,Defensive rebound by J. Butler
5:26.0,,,22-7,,T. Gibson misses 2-pt shot from 3 ft
5:25.0,,,22-7,,Offensive rebound by R. Lopez
5:25.0,,,22-7,,R. Lopez misses 2-pt shot from 2 ft
5:23.0,,,22-7,,Offensive rebound by D. Wade
5:22.0,,,22-9,2,D. Wade makes 2-pt shot from 2 ft
5:10.0,Turnover by D. Rose (lost ball; steal by T. Gibson),,22-9,,
5:05.0,,,22-11,2,J. Butler makes 2-pt shot from 2 ft (assist by D. Wade)
4:48.0,K. Porzingis misses 3-pt shot from 24 ft,,22-11,,
4:47.0,,,22-11,,Defensive rebound by R. Rondo
4:40.0,,,22-11,,R. Rondo misses 2-pt shot from 22 ft
4:39.0,,,22-11,,Offensive rebound by T. Gibson
4:37.0,,,22-13,2,T. Gibson makes 2-pt shot from 1 ft
4:30.0,New York full timeout,,22-13,,
4:30.0,,,22-13,,D. McDermott enters the game for D. Wade
4:30.0,M. Ndour enters the game for K. Porzingis,,22-13,,
4:20.0,M. Ndour misses 2-pt shot from 15 ft,,22-13,,
4:18.0,,,22-13,,Defensive rebound by R. Rondo
3:59.0,,,22-15,2,J. Butler makes 2-pt shot from 5 ft
3:45.0,C. Anthony makes 2-pt shot from 13 ft,2,24-15,,
3:24.0,,,24-15,,Shooting foul by M. Ndour (drawn by T. Gibson)
3:24.0,,,24-15,,T. Gibson misses free throw 1 of 2
3:24.0,,,24-15,,Offensive rebound by Team
3:24.0,,,24-15,,T. Gibson misses free throw 2 of 2
3:23.0,,,24-15,,Offensive rebound by D. McDermott
3:17.0,,,24-15,,D. McDermott misses 3-pt shot from 26 ft
3:16.0,Defensive rebound by D. Rose,,24-15,,
3:08.0,D. Rose misses 2-pt shot from 6 ft (block by R. Lopez),,24-15,,
3:08.0,Offensive rebound by Team,,24-15,,
3:08.0,,,24-15,,N. Mirotic enters the game for T. Gibson
2:57.0,Shooting foul by R. Lopez (drawn by C. Anthony),,24-15,,
2:57.0,C. Anthony makes free throw 1 of 2,1,25-15,,
2:57.0,C. Anthony makes free throw 2 of 2,1,26-15,,
2:32.0,,,26-15,,R. Rondo misses 2-pt shot from 17 ft
2:31.0,Defensive rebound by D. Rose,,26-15,,
2:22.0,C. Anthony misses 2-pt shot from 14 ft,,26-15,,
2:21.0,,,26-15,,Defensive rebound by N. Mirotic
2:08.0,,,26-17,2,R. Rondo makes 2-pt shot from 1 ft
1:45.0,D. Rose makes 2-pt shot from 3 ft (assist by C. Anthony),2,28-17,,
1:33.0,Personal foul by M. Ndour (drawn by N. Mirotic),,28-17,,
1:33.0,K. O'Quinn enters the game for J. Noah,,28-17,,
1:33.0,B. Jennings enters the game for D. Rose,,28-17,,
1:22.0,,,28-17,,Shooting foul by M. Ndour (drawn by N. Mirotic)
1:22.0,,,28-18,1,N. Mirotic makes free throw 1 of 2
1:22.0,,,28-19,1,N. Mirotic makes free throw 2 of 2
1:22.0,,,28-18,,D. Wade enters the game for R. Rondo
1:22.0,J. Holiday enters the game for M. Ndour,,28-18,,
1:22.0,,,28-18,,I. Canaan enters the game for J. Butler
1:00.0,C. Anthony misses 2-pt shot from 18 ft,,28-19,,
0:59.0,,,28-19,,Defensive rebound by D. Wade
0:50.0,,,28-19,,Turnover by D. Wade (lost ball; steal by K. O'Quinn)
0:48.0,C. Anthony makes 2-pt shot from 3 ft (assist by B. Jennings),2,30-19,,
0:34.0,,,30-21,2,D. McDermott makes 2-pt shot from 6 ft (assist by R. Lopez)
0:24.0,C. Lee makes 2-pt shot from 21 ft (assist by K. O'Quinn),2,32-21,,
0:01.0,,,32-23,2,D. Wade makes 2-pt shot from 20 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,K. O'Quinn misses 2-pt shot from 2 ft,,32-23,,
11:41.0,,,32-23,,Defensive rebound by N. Mirotic
11:31.0,,,32-26,3,D. Wade makes 3-pt shot from 24 ft
11:16.0,K. O'Quinn makes 2-pt shot at rim (assist by B. Jennings),2,34-26,,
10:55.0,,,34-26,,Turnover by D. McDermott (bad pass; steal by K. O'Quinn)
10:35.0,J. Holiday makes 3-pt shot from 25 ft (assist by C. Lee),3,37-26,,
10:08.0,,,37-26,,N. Mirotic misses 2-pt shot from 6 ft
10:07.0,Defensive rebound by K. O'Quinn,,37-26,,
10:04.0,Turnover by B. Jennings (bad pass),,37-26,,
9:51.0,,,37-29,3,D. Wade makes 3-pt shot from 25 ft (assist by D. McDermott)
9:35.0,K. O'Quinn misses 2-pt shot from 16 ft,,37-29,,
9:34.0,,,37-29,,Defensive rebound by D. McDermott
9:19.0,,,37-31,2,I. Canaan makes 2-pt shot from 20 ft (assist by C. Felicio)
9:04.0,K. O'Quinn makes 2-pt shot from 18 ft (assist by B. Jennings),2,39-31,,
8:49.0,,,39-31,,Shooting foul by C. Lee (drawn by D. Wade)
8:49.0,,,39-31,,Chicago full timeout
8:49.0,,,39-31,,D. Wade misses free throw 1 of 2
8:49.0,,,39-31,,Offensive rebound by Team
8:49.0,,,39-32,1,D. Wade makes free throw 2 of 2
8:49.0,S. Vujacic enters the game for C. Lee,,39-31,,
8:31.0,K. O'Quinn misses 2-pt shot from 17 ft,,39-32,,
8:30.0,,,39-32,,Defensive rebound by D. Wade
8:25.0,,,39-32,,Turnover by D. Wade (lost ball; steal by K. O'Quinn)
8:25.0,,,39-32,,Personal foul by N. Mirotic (drawn by S. Vujacic)
8:04.0,K. Porzingis misses 2-pt shot from 12 ft,,39-32,,
8:03.0,,,39-32,,Defensive rebound by D. Wade
7:47.0,,,39-35,3,D. Wade makes 3-pt shot from 24 ft (assist by C. Felicio)
7:28.0,S. Vujacic misses 3-pt shot from 24 ft,,39-35,,
7:27.0,Offensive rebound by K. O'Quinn,,39-35,,
7:24.0,Shooting foul by C. Felicio (drawn by K. O'Quinn),,39-35,,
7:24.0,K. O'Quinn makes free throw 1 of 2,1,40-35,,
7:24.0,K. O'Quinn misses free throw 2 of 2,,40-35,,
7:24.0,D. Rose enters the game for S. Vujacic,,40-35,,
