time,Boston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. H. Whiteside (T. Zeller gains possession),,,,Jump ball: A. Johnson vs. H. Whiteside (T. Zeller gains possession)
11:38.0,A. Bradley misses 2-pt shot from 2 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by D. Williams
11:22.0,,,0-0,,D. Williams misses 2-pt shot from 10 ft
11:21.0,,,0-0,,Offensive rebound by R. McGruder
11:04.0,,,0-0,,Shooting foul by A. Bradley (drawn by D. Williams)
11:04.0,,,0-0,,D. Williams misses free throw 1 of 2
11:04.0,,,0-0,,Offensive rebound by Team
11:04.0,,,0-1,1,D. Williams makes free throw 2 of 2
10:54.0,T. Zeller misses 2-pt shot from 20 ft,,0-1,,
10:53.0,,,0-1,,Defensive rebound by L. Babbitt
10:41.0,,,0-3,2,G. Dragic makes 2-pt shot from 2 ft
10:30.0,Turnover by I. Thomas (lost ball; steal by G. Dragic),,0-3,,
10:25.0,,,0-5,2,R. McGruder makes 2-pt shot at rim (assist by G. Dragic)
10:07.0,I. Thomas makes 2-pt shot from 19 ft,2,2-5,,
9:45.0,,,2-5,,L. Babbitt misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by A. Bradley,,2-5,,
9:36.0,A. Bradley makes 2-pt shot from 20 ft,2,4-5,,
9:20.0,,,4-5,,R. McGruder misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by T. Zeller,,4-5,,
9:13.0,J. Crowder misses 3-pt shot from 26 ft,,4-5,,
9:12.0,,,4-5,,Defensive rebound by H. Whiteside
8:52.0,,,4-7,2,G. Dragic makes 2-pt shot from 3 ft
8:39.0,I. Thomas makes 2-pt shot from 2 ft,2,6-7,,
8:20.0,,,6-7,,Turnover by H. Whiteside (bad pass; steal by J. Crowder)
8:14.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder),3,9-7,,
7:58.0,,,9-7,,R. McGruder misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by A. Johnson,,9-7,,
7:44.0,T. Zeller misses 2-pt shot from 14 ft,,9-7,,
7:43.0,,,9-7,,Defensive rebound by L. Babbitt
7:35.0,,,9-7,,Shooting foul by A. Johnson (drawn by D. Williams)
7:35.0,,,9-7,,D. Williams misses free throw 1 of 2
7:35.0,,,9-7,,Offensive rebound by Team
7:35.0,,,9-8,1,D. Williams makes free throw 2 of 2
7:29.0,,,9-8,,Personal foul by G. Dragic (drawn by I. Thomas)
7:15.0,I. Thomas misses 2-pt shot from 4 ft,,9-8,,
7:14.0,Offensive rebound by T. Zeller,,9-8,,
7:12.0,Turnover by T. Zeller (bad pass; steal by L. Babbitt),,9-8,,
7:07.0,,,9-10,2,L. Babbitt makes 2-pt shot from 1 ft
6:51.0,J. Crowder misses 2-pt shot from 21 ft,,9-10,,
6:50.0,,,9-10,,Defensive rebound by D. Williams
6:40.0,,,9-10,,G. Dragic misses 2-pt shot from 13 ft
6:39.0,Defensive rebound by J. Crowder,,9-10,,
6:35.0,I. Thomas misses 3-pt shot from 26 ft,,9-10,,
6:34.0,,,9-10,,Defensive rebound by Team
6:20.0,,,9-10,,Turnover by R. McGruder (lost ball; steal by J. Crowder)
6:10.0,Shooting foul by R. McGruder (drawn by J. Crowder),,9-10,,
6:10.0,J. Crowder makes free throw 1 of 3,1,10-10,,
6:10.0,J. Crowder makes free throw 2 of 3,1,11-10,,
6:10.0,J. Crowder makes free throw 3 of 3,1,12-10,,
6:10.0,M. Smart enters the game for T. Zeller,,11-10,,
5:50.0,,,12-12,2,L. Babbitt makes 2-pt shot from 13 ft
5:49.0,Boston full timeout,,12-12,,
5:49.0,,,12-12,,J. Richardson enters the game for R. McGruder
5:35.0,A. Johnson makes 2-pt shot from 3 ft (assist by I. Thomas),2,14-12,,
5:13.0,,,14-12,,Turnover by H. Whiteside (lost ball; steal by M. Smart)
5:01.0,I. Thomas misses 3-pt shot from 25 ft,,14-12,,
5:00.0,,,14-12,,Defensive rebound by H. Whiteside
4:52.0,,,14-12,,D. Williams misses 3-pt shot from 24 ft
4:51.0,,,14-12,,Offensive rebound by Team
4:51.0,J. Brown enters the game for A. Bradley,,14-12,,
4:45.0,,,14-12,,Shooting foul by J. Crowder (drawn by D. Williams)
4:45.0,,,14-12,,D. Williams misses free throw 1 of 2
4:45.0,,,14-12,,Offensive rebound by Team
