time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,M. Turner misses 2-pt shot from 3 ft,,0-0,,
12:00.0,Jump ball: B. Lopez vs. M. Turner (T. Young gains possession),,,,Jump ball: B. Lopez vs. M. Turner (T. Young gains possession)
11:45.0,,,0-0,,Defensive rebound by T. Booker
11:25.0,,,0-2,2,B. Lopez makes 2-pt shot from 7 ft (assist by T. Booker)
11:13.0,Turnover by J. Teague (bad pass),,0-2,,
10:58.0,,,0-2,,B. Lopez misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by P. George,,0-2,,
10:43.0,T. Young misses 2-pt shot from 3 ft,,0-2,,
10:41.0,Offensive rebound by M. Turner,,0-2,,
10:40.0,M. Turner makes 2-pt shot from 2 ft,2,2-2,,
10:33.0,Personal foul by J. Teague (drawn by J. Lin),,2-2,,
10:28.0,,,2-2,,B. Bogdanovic misses 2-pt shot from 1 ft (block by T. Young)
10:27.0,Defensive rebound by Team,,2-2,,
10:19.0,M. Turner misses 2-pt shot from 9 ft,,2-2,,
10:17.0,Offensive rebound by P. George,,2-2,,
10:16.0,P. George misses 2-pt shot from 1 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by T. Booker
10:03.0,,,2-2,,J. Lin misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by T. Young,,2-2,,
9:51.0,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague),2,4-2,,
9:51.0,Shooting foul by T. Booker (drawn by M. Turner),,4-2,,
9:51.0,M. Turner makes free throw 1 of 1,1,5-2,,
9:30.0,,,5-2,,J. Lin misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by T. Young,,5-2,,
9:14.0,T. Young makes 2-pt shot from 5 ft (assist by J. Teague),2,7-2,,
9:04.0,,,7-2,,B. Bogdanovic misses 2-pt shot from 24 ft
9:03.0,Defensive rebound by T. Young,,7-2,,
8:53.0,J. Teague misses 3-pt shot from 24 ft,,7-2,,
8:52.0,,,7-2,,Defensive rebound by T. Booker
8:46.0,,,7-4,2,T. Booker makes 2-pt shot from 1 ft
8:27.0,P. George makes 3-pt shot from 25 ft (assist by J. Teague),3,10-4,,
8:18.0,Personal foul by J. Teague (drawn by B. Lopez),,10-4,,
8:18.0,R. Stuckey enters the game for J. Teague,,10-4,,
8:13.0,,,10-6,2,T. Booker makes 2-pt shot from 1 ft (assist by J. Lin)
7:53.0,P. George misses 2-pt shot from 3 ft,,10-6,,
7:52.0,,,10-6,,Defensive rebound by B. Lopez
7:47.0,,,10-6,,Shooting foul by M. Ellis (drawn by J. Lin)
7:47.0,,,10-7,1,J. Lin makes free throw 1 of 2
7:47.0,,,10-8,1,J. Lin makes free throw 2 of 2
7:35.0,M. Turner misses 2-pt shot from 18 ft,,10-8,,
7:34.0,Offensive rebound by T. Young,,10-8,,
7:20.0,T. Young makes 3-pt shot from 23 ft (assist by M. Ellis),3,13-8,,
7:03.0,,,13-8,,B. Lopez misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by P. George,,13-8,,
7:00.0,P. George makes 2-pt shot from 3 ft,2,15-8,,
7:00.0,Shooting foul by R. Hollis-Jefferson (drawn by P. George),,15-8,,
7:00.0,P. George makes free throw 1 of 1,1,16-8,,
7:00.0,,,15-8,,L. Scola enters the game for T. Booker
7:00.0,,,15-8,,J. Hamilton enters the game for B. Lopez
6:49.0,,,16-10,2,J. Lin makes 2-pt shot from 21 ft
6:40.0,,,16-10,,Personal foul by L. Scola (drawn by M. Turner)
6:31.0,P. George misses 2-pt shot from 15 ft,,16-10,,
6:30.0,Offensive rebound by M. Turner,,16-10,,
6:25.0,M. Ellis makes 2-pt shot from 4 ft (assist by R. Stuckey),2,18-10,,
6:05.0,,,18-12,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by L. Scola)
6:00.0,,,18-12,,Personal foul by B. Bogdanovic (drawn by R. Stuckey)
5:49.0,M. Ellis misses 2-pt shot from 20 ft,,18-12,,
5:48.0,Offensive rebound by M. Turner,,18-12,,
5:42.0,T. Young misses 2-pt shot from 22 ft,,18-12,,
