time,Philadelphia,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Okafor vs. M. Turner (J. Teague gains possession),,,,Jump ball: J. Okafor vs. M. Turner (J. Teague gains possession)
11:41.0,,,0-0,,Turnover by M. Ellis (bad pass; steal by S. Rodriguez)
11:30.0,D. Saric makes 2-pt shot from 1 ft (assist by J. Okafor),2,2-0,,
11:13.0,,,2-2,2,M. Ellis makes 2-pt shot from 2 ft
10:58.0,G. Henderson misses 3-pt shot from 25 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by M. Ellis
10:54.0,,,2-2,,Turnover by M. Ellis (bad pass)
10:38.0,R. Covington misses 3-pt shot from 25 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by P. George
10:27.0,,,2-2,,M. Turner misses 2-pt shot from 14 ft
10:26.0,Defensive rebound by Team,,2-2,,
10:14.0,J. Okafor misses 2-pt shot from 13 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by P. George
10:01.0,,,2-5,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
9:38.0,J. Okafor makes 2-pt shot from 5 ft,2,4-5,,
9:26.0,,,4-7,2,P. George makes 2-pt shot from 2 ft (assist by J. Teague)
9:11.0,G. Henderson makes 2-pt shot from 14 ft,2,6-7,,
8:55.0,,,6-9,2,M. Turner makes 2-pt shot from 21 ft (assist by J. Teague)
8:41.0,R. Covington makes 2-pt shot from 2 ft,2,8-9,,
8:30.0,,,8-9,,P. George misses 2-pt shot from 2 ft (block by R. Covington)
8:28.0,Defensive rebound by G. Henderson,,8-9,,
8:22.0,R. Covington makes 3-pt shot from 28 ft (assist by S. Rodriguez),3,11-9,,
8:10.0,,,11-9,,P. George misses 3-pt shot from 27 ft
8:10.0,Defensive rebound by D. Saric,,11-9,,
8:02.0,R. Holmes enters the game for J. Okafor,,11-9,,
7:59.0,,,11-9,,Personal foul by P. George (drawn by G. Henderson)
7:48.0,D. Saric makes 3-pt shot from 27 ft (assist by G. Henderson),3,14-9,,
7:30.0,,,14-11,2,P. George makes 2-pt shot from 14 ft
7:23.0,Offensive charge foul by G. Henderson,,14-11,,
7:23.0,Turnover by G. Henderson (offensive foul),,14-11,,
7:23.0,,,14-11,,Indiana full timeout
7:23.0,,,14-11,,C. Miles enters the game for M. Ellis
7:12.0,Shooting block foul by D. Saric (drawn by T. Young),,14-11,,
7:12.0,,,14-11,,T. Young misses free throw 1 of 2
7:12.0,,,14-11,,Offensive rebound by Team
7:12.0,,,14-11,,T. Young misses free throw 2 of 2
7:12.0,Defensive rebound by R. Holmes,,14-11,,
6:52.0,G. Henderson makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,16-11,,
6:34.0,,,16-13,2,M. Turner makes 2-pt shot from 4 ft (assist by T. Young)
6:34.0,,,16-13,,Shooting foul by R. Holmes (drawn by M. Turner)
6:34.0,,,16-14,1,M. Turner makes free throw 1 of 1
6:34.0,N. Stauskas enters the game for G. Henderson,,16-13,,
