time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (M. Morris gains possession)
11:40.0,,,0-2,2,M. Gortat makes 2-pt shot from 16 ft
11:19.0,M. Smart misses 3-pt shot from 26 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by J. Wall
11:10.0,,,0-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
10:52.0,M. Smart makes 2-pt shot from 6 ft (assist by A. Horford),2,2-4,,
10:37.0,,,2-4,,Offensive foul by M. Gortat
10:37.0,,,2-4,,Turnover by M. Gortat (offensive foul)
10:22.0,I. Thomas makes 2-pt shot from 2 ft (assist by J. Crowder),2,4-4,,
10:06.0,,,4-6,2,M. Morris makes 2-pt shot from 1 ft (assist by B. Beal)
9:51.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Crowder),2,6-6,,
9:36.0,,,6-9,3,B. Beal makes 3-pt shot from 26 ft
9:19.0,A. Johnson misses 2-pt shot from 10 ft,,6-9,,
9:18.0,,,6-9,,Defensive rebound by M. Morris
9:01.0,,,6-11,2,M. Gortat makes 2-pt shot from 16 ft (assist by B. Beal)
8:46.0,A. Johnson misses 3-pt shot from 27 ft,,6-11,,
8:46.0,,,6-11,,Defensive rebound by Team
8:37.0,,,6-11,,Turnover by B. Beal (lost ball; steal by M. Smart)
8:37.0,,,6-11,,Personal foul by B. Beal (drawn by M. Smart)
8:20.0,M. Smart misses 3-pt shot from 25 ft,,6-11,,
8:19.0,,,6-11,,Defensive rebound by M. Morris
8:13.0,,,6-13,2,J. Wall makes 2-pt shot from 18 ft (assist by M. Morris)
7:58.0,J. Crowder makes 3-pt shot from 25 ft (assist by I. Thomas),3,9-13,,
7:41.0,,,9-13,,Shooting foul by A. Johnson (drawn by M. Morris)
7:41.0,,,9-13,,M. Morris misses free throw 1 of 2
7:41.0,,,9-13,,Offensive rebound by Team
7:41.0,,,9-14,1,M. Morris makes free throw 2 of 2
7:41.0,K. Olynyk enters the game for A. Johnson,,9-13,,
7:31.0,Shooting foul by M. Morris (drawn by I. Thomas),,9-14,,
7:31.0,I. Thomas makes free throw 1 of 2,1,10-14,,
7:31.0,I. Thomas makes free throw 2 of 2,1,11-14,,
7:14.0,,,11-14,,M. Morris misses 3-pt shot from 24 ft
7:13.0,Defensive rebound by J. Crowder,,11-14,,
6:59.0,A. Horford misses 3-pt shot from 25 ft,,11-14,,
6:58.0,,,11-14,,Defensive rebound by M. Morris
6:47.0,Violation by M. Smart (def goaltending),,11-14,,
6:47.0,,,11-16,2,M. Gortat makes 2-pt shot at rim (assist by M. Morris)
6:33.0,I. Thomas misses 3-pt shot from 26 ft,,11-16,,
6:32.0,,,11-16,,Defensive rebound by J. Wall
6:22.0,,,11-16,,M. Morris misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by A. Horford,,11-16,,
6:15.0,Shooting foul by J. Wall (drawn by I. Thomas),,11-16,,
6:15.0,I. Thomas makes free throw 1 of 2,1,12-16,,
6:15.0,I. Thomas makes free throw 2 of 2,1,13-16,,
6:03.0,,,13-18,2,B. Beal makes 2-pt shot from 19 ft
5:48.0,K. Olynyk misses 3-pt shot from 26 ft,,13-18,,
5:47.0,,,13-18,,Defensive rebound by M. Gortat
5:33.0,,,13-18,,M. Morris misses 3-pt shot from 23 ft
5:32.0,Defensive rebound by I. Thomas,,13-18,,
5:26.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,15-18,,
5:25.0,,,15-18,,Washington full timeout
5:25.0,,,15-18,,K. Oubre enters the game for M. Morris
5:25.0,T. Rozier enters the game for M. Smart,,15-18,,
5:15.0,,,15-21,3,O. Porter makes 3-pt shot from 26 ft (assist by J. Wall)
4:55.0,A. Horford makes 2-pt shot from 3 ft (assist by I. Thomas),2,17-21,,
4:41.0,,,17-24,3,B. Beal makes 3-pt shot from 28 ft
4:19.0,Turnover by I. Thomas (bad pass),,17-24,,
4:02.0,,,17-26,2,J. Wall makes 2-pt shot from 17 ft
3:49.0,J. Crowder makes 3-pt shot from 26 ft (assist by A. Horford),3,20-26,,
3:39.0,,,20-26,,Turnover by M. Gortat (traveling)
3:39.0,J. Jerebko enters the game for A. Horford,,20-26,,
3:26.0,I. Thomas makes 2-pt shot from 7 ft,2,22-26,,
3:07.0,,,22-26,,K. Oubre misses 2-pt shot from 9 ft (block by K. Olynyk)
3:06.0,Defensive rebound by J. Jerebko,,22-26,,
2:54.0,T. Rozier misses 2-pt shot from 17 ft,,22-26,,
2:53.0,,,22-26,,Defensive rebound by J. Wall
2:41.0,,,22-26,,Turnover by J. Wall (lost ball; steal by J. Crowder)
2:37.0,,,22-26,,Personal foul by K. Oubre (drawn by T. Rozier)
2:37.0,Boston full timeout,,22-26,,
2:37.0,J. Brown enters the game for I. Thomas,,22-26,,
2:37.0,,,22-26,,T. Satoransky enters the game for B. Beal
2:37.0,,,22-26,,J. Smith enters the game for M. Gortat
2:27.0,K. Olynyk misses 2-pt shot from 21 ft,,22-26,,
2:26.0,,,22-26,,Defensive rebound by O. Porter
2:07.0,,,22-26,,J. Wall misses 2-pt shot from 18 ft
2:06.0,Defensive rebound by J. Brown,,22-26,,
1:47.0,J. Crowder misses 3-pt shot from 24 ft,,22-26,,
1:46.0,Offensive rebound by K. Olynyk,,22-26,,
1:43.0,K. Olynyk makes 2-pt shot from 1 ft,2,24-26,,
1:28.0,,,24-29,3,K. Oubre makes 3-pt shot from 26 ft (assist by T. Satoransky)
1:11.0,T. Rozier misses 3-pt shot from 24 ft,,24-29,,
1:10.0,,,24-29,,Defensive rebound by J. Wall
0:58.0,,,24-29,,Turnover by J. Wall (bad pass; steal by T. Rozier)
0:53.0,T. Rozier misses 2-pt shot at rim (block by K. Oubre),,24-29,,
0:53.0,Offensive rebound by Team,,24-29,,
0:53.0,J. Young enters the game for J. Jerebko,,24-29,,
0:48.0,J. Young misses 3-pt shot from 26 ft,,24-29,,
0:47.0,,,24-29,,Defensive rebound by K. Oubre
0:31.0,,,24-31,2,J. Wall makes 2-pt shot from 16 ft
0:10.0,K. Olynyk misses 3-pt shot from 26 ft,,24-31,,
0:09.0,,,24-31,,Defensive rebound by J. Wall
0:01.0,,,24-33,2,J. Wall makes 2-pt shot from 13 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Brown misses 2-pt shot from 2 ft,,24-33,,
11:37.0,,,24-33,,Defensive rebound by J. Smith
11:22.0,A. Horford enters the game for K. Olynyk,,24-33,,
11:14.0,,,24-35,2,M. Morris makes 2-pt shot from 17 ft (assist by T. Burke)
10:51.0,A. Horford makes 2-pt shot from 14 ft,2,26-35,,
10:33.0,,,26-35,,Shooting foul by A. Horford (drawn by M. Morris)
10:33.0,,,26-36,1,M. Morris makes free throw 1 of 2
10:33.0,,,26-37,1,M. Morris makes free throw 2 of 2
10:17.0,J. Young makes 3-pt shot from 26 ft (assist by A. Horford),3,29-37,,
9:59.0,,,29-39,2,T. Burke makes 2-pt shot from 20 ft (assist by J. Smith)
9:38.0,M. Smart misses 2-pt shot from 6 ft,,29-39,,
9:37.0,,,29-39,,Defensive rebound by M. Morris
9:26.0,,,29-39,,Shooting foul by J. Brown (drawn by J. Smith)
9:26.0,,,29-39,,J. Smith misses free throw 1 of 2
9:26.0,,,29-39,,Offensive rebound by Team
9:26.0,,,29-40,1,J. Smith makes free throw 2 of 2
