time,Toronto,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Maker vs. J. Valanciunas (T. Snell gains possession),,,,Jump ball: T. Maker vs. J. Valanciunas (T. Snell gains possession)
11:48.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 19 ft
11:47.0,,,0-0,,Offensive rebound by T. Maker
11:42.0,,,0-0,,Turnover by G. Antetokounmpo (bad pass; steal by D. Carroll)
11:20.0,K. Lowry misses 3-pt shot from 29 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by T. Snell
11:11.0,,,0-0,,Milwaukee full timeout
11:04.0,,,0-3,3,K. Middleton makes 3-pt shot from 26 ft (assist by M. Brogdon)
10:42.0,J. Valanciunas misses 2-pt shot at rim (block by G. Antetokounmpo),,0-3,,
10:42.0,Offensive rebound by Team,,0-3,,
10:38.0,D. Carroll misses 3-pt shot from 24 ft,,0-3,,
10:37.0,,,0-3,,Defensive rebound by M. Brogdon
10:26.0,,,0-5,2,K. Middleton makes 2-pt shot from 10 ft
10:14.0,Shooting foul by T. Maker (drawn by J. Valanciunas),,0-5,,
10:14.0,J. Valanciunas makes free throw 1 of 2,1,1-5,,
10:14.0,J. Valanciunas makes free throw 2 of 2,1,2-5,,
10:03.0,,,2-7,2,T. Maker makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:47.0,S. Ibaka misses 2-pt shot from 16 ft,,2-7,,
9:46.0,,,2-7,,Defensive rebound by M. Brogdon
9:34.0,,,2-9,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Maker)
9:25.0,Toronto full timeout,,2-9,,
9:17.0,Shooting foul by T. Maker (drawn by K. Lowry),,2-9,,
9:17.0,K. Lowry makes free throw 1 of 2,1,3-9,,
9:17.0,K. Lowry makes free throw 2 of 2,1,4-9,,
9:03.0,,,4-9,,M. Brogdon misses 2-pt shot from 7 ft
9:03.0,,,4-9,,Offensive rebound by Team
8:58.0,,,4-9,,T. Snell misses 3-pt shot from 26 ft
8:57.0,Defensive rebound by K. Lowry,,4-9,,
8:53.0,S. Ibaka makes 2-pt shot at rim (assist by K. Lowry),2,6-9,,
8:34.0,,,6-11,2,K. Middleton makes 2-pt shot from 17 ft (assist by T. Snell)
8:26.0,D. DeRozan misses 2-pt shot from 2 ft,,6-11,,
8:24.0,,,6-11,,Defensive rebound by M. Brogdon
8:15.0,,,6-13,2,K. Middleton makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
7:55.0,S. Ibaka misses 3-pt shot from 28 ft,,6-13,,
7:54.0,,,6-13,,Defensive rebound by M. Brogdon
7:46.0,,,6-13,,K. Middleton misses 3-pt shot from 26 ft
7:45.0,Defensive rebound by D. DeRozan,,6-13,,
7:30.0,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry),2,8-13,,
7:11.0,,,8-15,2,T. Maker makes 2-pt shot at rim (assist by M. Brogdon)
6:57.0,P. Tucker enters the game for J. Valanciunas,,8-15,,
6:48.0,D. Carroll misses 3-pt shot from 26 ft,,8-15,,
6:47.0,,,8-15,,Defensive rebound by G. Antetokounmpo
6:38.0,,,8-15,,T. Maker misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by K. Lowry,,8-15,,
6:37.0,,,8-15,,Personal block foul by T. Snell (drawn by K. Lowry)
6:37.0,,,8-15,,G. Monroe enters the game for T. Maker
6:21.0,S. Ibaka misses 2-pt shot from 21 ft,,8-15,,
6:20.0,,,8-15,,Defensive rebound by G. Antetokounmpo
6:11.0,,,8-15,,Turnover by G. Antetokounmpo (bad pass; steal by P. Tucker)
5:57.0,K. Lowry misses 3-pt shot from 28 ft,,8-15,,
5:56.0,,,8-15,,Defensive rebound by M. Brogdon
