time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. C. Zeller (R. Rondo gains possession),,,,Jump ball: R. Lopez vs. C. Zeller (R. Rondo gains possession)
11:44.0,B. Portis misses 3-pt shot from 25 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by Team
11:20.0,,,0-3,3,M. Williams makes 3-pt shot from 26 ft (assist by C. Zeller)
10:58.0,R. Rondo makes 3-pt shot from 24 ft (assist by D. Wade),3,3-3,,
10:42.0,,,3-3,,J. Lamb misses 2-pt shot from 17 ft
10:41.0,Defensive rebound by J. Butler,,3-3,,
10:31.0,R. Lopez makes 2-pt shot from 2 ft (assist by J. Butler),2,5-3,,
10:31.0,,,5-3,,Charlotte full timeout
10:14.0,,,5-5,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by J. Lamb)
10:14.0,,,5-5,,Shooting foul by B. Portis (drawn by M. Kidd-Gilchrist)
10:14.0,,,5-6,1,M. Kidd-Gilchrist makes free throw 1 of 1
9:59.0,R. Lopez misses 2-pt shot from 4 ft (block by C. Zeller),,5-6,,
9:58.0,,,5-6,,Defensive rebound by K. Walker
9:41.0,,,5-8,2,J. Lamb makes 2-pt shot from 1 ft
9:27.0,D. Wade makes 2-pt shot from 1 ft,2,7-8,,
9:14.0,Personal foul by D. Wade (drawn by C. Zeller),,7-8,,
9:02.0,,,7-8,,C. Zeller misses 2-pt shot from 21 ft
9:01.0,,,7-8,,Offensive rebound by M. Kidd-Gilchrist
8:57.0,,,7-10,2,J. Lamb makes 2-pt shot from 14 ft (assist by M. Kidd-Gilchrist)
8:36.0,D. Wade makes 2-pt shot from 14 ft,2,9-10,,
8:28.0,Personal foul by R. Rondo (drawn by K. Walker),,9-10,,
8:19.0,,,9-10,,C. Zeller misses 2-pt shot from 5 ft
8:18.0,Defensive rebound by B. Portis,,9-10,,
8:15.0,Turnover by R. Rondo (lost ball),,9-10,,
7:59.0,,,9-10,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
7:58.0,Defensive rebound by R. Lopez,,9-10,,
