time,Portland,pts.away,score,pts.home,San Antonio
0:12.0,,,32-22,,Turnover by P. Mills (bad pass; steal by S. Napier)
0:06.0,P. Connaughton misses 2-pt shot from 7 ft (block by J. Simmons),,32-22,,
0:03.0,,,32-22,,Defensive rebound by D. Dedmon
0:00.0,,,32-22,,J. Simmons misses 3-pt shot from 27 ft
0:00.0,,,32-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,32-22,,Personal foul by K. Anderson (drawn by S. Napier)
11:39.0,E. Turner misses 2-pt shot from 18 ft,,32-22,,
11:38.0,,,32-22,,Defensive rebound by L. Aldridge
11:30.0,,,32-22,,T. Parker misses 2-pt shot from 2 ft (block by S. Napier)
11:28.0,,,32-22,,Offensive rebound by P. Gasol
11:22.0,,,32-24,2,P. Gasol makes 2-pt shot from 9 ft
11:00.0,E. Turner makes 2-pt shot from 7 ft,2,34-24,,
10:47.0,,,34-24,,P. Gasol misses 2-pt shot from 20 ft
10:47.0,,,34-24,,Offensive rebound by Team
10:47.0,Loose ball foul by E. Davis (drawn by L. Aldridge),,34-24,,
10:41.0,,,34-26,2,M. Ginobili makes 2-pt shot from 8 ft (assist by K. Anderson)
10:31.0,Turnover by S. Napier (lost ball),,34-26,,
10:14.0,Personal foul by P. Connaughton (drawn by K. Anderson),,34-26,,
10:14.0,A. Aminu enters the game for M. Leonard,,34-26,,
10:14.0,,,34-26,,D. Murray enters the game for K. Anderson
10:06.0,,,34-26,,P. Gasol misses 2-pt shot from 4 ft
10:05.0,Defensive rebound by P. Connaughton,,34-26,,
9:52.0,E. Davis makes 2-pt shot from 2 ft (assist by E. Turner),2,36-26,,
9:34.0,,,36-26,,M. Ginobili misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by E. Turner,,36-26,,
9:30.0,,,36-26,,D. Dedmon enters the game for P. Gasol
9:23.0,E. Turner misses 2-pt shot from 16 ft,,36-26,,
9:22.0,,,36-26,,Defensive rebound by L. Aldridge
9:11.0,Personal foul by P. Connaughton (drawn by D. Murray),,36-26,,
9:11.0,C. McCollum enters the game for S. Napier,,36-26,,
9:11.0,A. Crabbe enters the game for P. Connaughton,,36-26,,
9:05.0,,,36-26,,T. Parker misses 2-pt shot from 17 ft
9:04.0,Defensive rebound by A. Crabbe,,36-26,,
8:52.0,E. Davis makes 2-pt shot at rim (assist by A. Aminu),2,38-26,,
8:45.0,,,38-26,,San Antonio full timeout
8:33.0,,,38-26,,M. Ginobili misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by A. Aminu,,38-26,,
8:21.0,C. McCollum misses 2-pt shot from 15 ft,,38-26,,
8:20.0,,,38-26,,Defensive rebound by L. Aldridge
8:04.0,,,38-26,,D. Murray misses 3-pt shot from 26 ft
8:03.0,,,38-26,,Offensive rebound by L. Aldridge
7:58.0,,,38-26,,J. Simmons enters the game for T. Parker
7:53.0,Personal foul by A. Aminu (drawn by L. Aldridge),,38-26,,
7:38.0,,,38-26,,L. Aldridge misses 2-pt shot from 18 ft
7:38.0,,,38-26,,Offensive rebound by Team
7:38.0,,,38-26,,Turnover by Team (shot clock)
7:26.0,C. McCollum misses 2-pt shot from 19 ft,,38-26,,
7:26.0,,,38-26,,Defensive rebound by D. Dedmon
7:26.0,Personal foul by E. Davis (drawn by D. Dedmon),,38-26,,
7:26.0,,,38-26,,D. Dedmon misses free throw 1 of 2
7:26.0,,,38-26,,Offensive rebound by Team
7:26.0,,,38-27,1,D. Dedmon makes free throw 2 of 2
7:09.0,,,38-27,,Personal block foul by D. Dedmon (drawn by E. Turner)
7:01.0,Shooting foul by D. Dedmon (drawn by C. McCollum),,38-27,,
7:01.0,C. McCollum makes free throw 1 of 2,1,39-27,,
7:01.0,C. McCollum makes free throw 2 of 2,1,40-27,,
7:01.0,,,39-27,,P. Mills enters the game for D. Murray
7:01.0,,,39-27,,D. Lee enters the game for D. Dedmon
7:01.0,M. Plumlee enters the game for E. Davis,,39-27,,
6:51.0,,,40-27,,Turnover by L. Aldridge (lost ball; steal by C. McCollum)
6:45.0,A. Crabbe misses 3-pt shot from 24 ft,,40-27,,
6:44.0,,,40-27,,Defensive rebound by D. Lee
6:38.0,,,40-30,3,M. Ginobili makes 3-pt shot from 24 ft (assist by J. Simmons)
6:22.0,C. McCollum misses 2-pt shot from 1 ft,,40-30,,
6:20.0,,,40-30,,Defensive rebound by L. Aldridge
6:14.0,,,40-30,,M. Ginobili misses 2-pt shot at rim
6:13.0,,,40-30,,Offensive rebound by D. Lee
6:13.0,,,40-32,2,D. Lee makes 2-pt shot from 1 ft
6:13.0,Portland full timeout,,40-32,,
6:01.0,Shooting foul by L. Aldridge (drawn by C. McCollum),,40-32,,
6:01.0,C. McCollum makes free throw 1 of 2,1,41-32,,
6:01.0,C. McCollum makes free throw 2 of 2,1,42-32,,
6:01.0,M. Harkless enters the game for A. Crabbe,,41-32,,
5:52.0,,,42-32,,Turnover by D. Lee (bad pass)
5:43.0,,,42-32,,Personal foul by P. Mills
5:43.0,C. McCollum makes free throw 1 of 2,1,43-32,,
5:43.0,C. McCollum makes free throw 2 of 2,1,44-32,,
5:35.0,Personal foul by E. Turner (drawn by M. Ginobili),,44-32,,
5:35.0,,,44-33,1,M. Ginobili makes free throw 1 of 2
5:35.0,,,44-34,1,M. Ginobili makes free throw 2 of 2
5:35.0,,,44-33,,P. Gasol enters the game for L. Aldridge
5:15.0,M. Plumlee misses 2-pt shot from 17 ft,,44-34,,
5:14.0,Offensive rebound by M. Harkless,,44-34,,
5:14.0,M. Harkless misses 2-pt shot from 2 ft,,44-34,,
5:14.0,Offensive rebound by Team,,44-34,,
5:14.0,,,44-34,,D. Green enters the game for M. Ginobili
5:14.0,A. Crabbe enters the game for A. Aminu,,44-34,,
5:00.0,M. Harkless makes 2-pt shot from 1 ft (assist by E. Turner),2,46-34,,
4:42.0,,,46-36,2,J. Simmons makes 2-pt shot from 18 ft
4:20.0,Shooting foul by D. Green (drawn by M. Plumlee),,46-36,,
4:20.0,M. Plumlee makes free throw 1 of 2,1,47-36,,
4:20.0,M. Plumlee misses free throw 2 of 2,,47-36,,
4:20.0,,,47-36,,K. Anderson enters the game for D. Lee
4:19.0,,,47-36,,Defensive rebound by P. Gasol
4:04.0,Personal foul by M. Harkless (drawn by J. Simmons),,47-36,,
4:04.0,,,47-37,1,J. Simmons makes free throw 1 of 2
4:04.0,,,47-38,1,J. Simmons makes free throw 2 of 2
3:49.0,M. Harkless misses 3-pt shot from 24 ft,,47-38,,
3:47.0,,,47-38,,Defensive rebound by K. Anderson
3:42.0,,,47-38,,J. Simmons misses 2-pt shot from 1 ft (block by M. Harkless)
3:41.0,,,47-38,,Offensive rebound by K. Anderson
3:35.0,,,47-38,,K. Anderson misses 2-pt shot from 8 ft
3:34.0,,,47-38,,Offensive rebound by K. Anderson
3:21.0,Shooting block foul by M. Harkless (drawn by J. Simmons),,47-38,,
3:21.0,,,47-39,1,J. Simmons makes free throw 1 of 2
3:21.0,,,47-40,1,J. Simmons makes free throw 2 of 2
3:03.0,Jump ball: P. Gasol vs. M. Plumlee (P. Mills gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (P. Mills gains possession)
3:03.0,Turnover by C. McCollum (bad pass; steal by P. Gasol),,47-40,,
2:44.0,,,47-42,2,K. Anderson makes 2-pt shot from 11 ft (assist by P. Mills)
2:19.0,E. Turner misses 2-pt shot from 1 ft,,47-42,,
2:18.0,,,47-42,,Defensive rebound by K. Anderson
2:12.0,Official timeout,,47-42,,
2:12.0,E. Davis enters the game for M. Harkless,,47-42,,
2:08.0,,,47-42,,D. Green misses 3-pt shot from 22 ft
2:06.0,Defensive rebound by E. Turner,,47-42,,
2:00.0,M. Plumlee makes 2-pt shot at rim (assist by E. Turner),2,49-42,,
1:38.0,,,49-45,3,D. Green makes 3-pt shot from 23 ft (assist by P. Gasol)
1:22.0,Shooting foul by P. Gasol (drawn by M. Plumlee),,49-45,,
1:22.0,M. Plumlee misses free throw 1 of 2,,49-45,,
1:22.0,Offensive rebound by Team,,49-45,,
1:22.0,M. Plumlee makes free throw 2 of 2,1,50-45,,
1:09.0,,,50-45,,P. Gasol misses 2-pt shot from 4 ft (block by M. Plumlee)
1:08.0,,,50-45,,Offensive rebound by J. Simmons
1:02.0,Personal block foul by M. Plumlee (drawn by P. Gasol),,50-45,,
1:02.0,,,50-46,1,P. Gasol makes free throw 1 of 2
1:02.0,,,50-47,1,P. Gasol makes free throw 2 of 2
0:44.0,A. Crabbe misses 2-pt shot from 7 ft,,50-47,,
0:43.0,,,50-47,,Defensive rebound by D. Green
0:28.0,,,50-47,,Turnover by D. Green (bad pass; steal by A. Crabbe)
0:17.0,Portland full timeout,,50-47,,
0:17.0,,,50-47,,D. Dedmon enters the game for P. Gasol
0:17.0,M. Leonard enters the game for M. Plumlee,,50-47,,
0:17.0,S. Napier enters the game for E. Davis,,50-47,,
0:05.0,C. McCollum makes 2-pt shot from 1 ft,2,52-47,,
0:04.0,,,52-47,,Turnover by D. Dedmon (bad pass; steal by A. Crabbe)
0:00.0,S. Napier misses 3-pt shot from 23 ft,,52-47,,
0:00.0,Offensive rebound by Team,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,C. McCollum makes 2-pt shot from 18 ft (assist by M. Plumlee),2,54-47,,
11:21.0,,,54-50,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
10:58.0,Turnover by M. Harkless (lost ball; steal by K. Anderson),,54-50,,
10:42.0,,,54-52,2,P. Gasol makes 2-pt shot from 7 ft
10:18.0,A. Aminu misses 3-pt shot from 25 ft,,54-52,,
10:17.0,,,54-52,,Defensive rebound by T. Parker
10:07.0,,,54-54,2,T. Parker makes 2-pt shot from 20 ft
9:53.0,C. McCollum misses 3-pt shot from 26 ft,,54-54,,
9:52.0,Offensive rebound by A. Aminu,,54-54,,
9:42.0,M. Plumlee misses 2-pt shot from 15 ft,,54-54,,
9:40.0,,,54-54,,Defensive rebound by P. Gasol
9:31.0,,,54-54,,T. Parker misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by M. Plumlee,,54-54,,
9:19.0,A. Crabbe makes 2-pt shot from 8 ft,2,56-54,,
9:03.0,,,56-54,,K. Anderson misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by M. Plumlee,,56-54,,
8:51.0,Shooting foul by D. Green (drawn by C. McCollum),,56-54,,
8:51.0,C. McCollum makes free throw 1 of 2,1,57-54,,
8:51.0,C. McCollum makes free throw 2 of 2,1,58-54,,
8:37.0,,,58-54,,P. Gasol misses 2-pt shot from 8 ft
8:36.0,Defensive rebound by A. Aminu,,58-54,,
8:28.0,C. McCollum misses 3-pt shot from 26 ft,,58-54,,
8:27.0,,,58-54,,Defensive rebound by T. Parker
8:10.0,,,58-54,,Turnover by L. Aldridge (bad pass; steal by M. Harkless)
7:58.0,A. Aminu misses 2-pt shot from 5 ft,,58-54,,
7:57.0,,,58-54,,Defensive rebound by P. Gasol
7:51.0,,,58-57,3,D. Green makes 3-pt shot from 25 ft
7:38.0,A. Crabbe makes 2-pt shot from 4 ft (assist by M. Plumlee),2,60-57,,
7:38.0,,,60-57,,San Antonio full timeout
7:19.0,,,60-57,,P. Gasol misses 2-pt shot from 8 ft
7:18.0,Defensive rebound by M. Plumlee,,60-57,,
7:06.0,M. Harkless makes 2-pt shot from 4 ft,2,62-57,,
6:50.0,,,62-57,,T. Parker misses 2-pt shot from 3 ft
6:48.0,,,62-57,,Offensive rebound by P. Gasol
6:48.0,,,62-59,2,P. Gasol makes 2-pt shot from 1 ft
6:26.0,A. Aminu makes 2-pt shot at rim (assist by A. Crabbe),2,64-59,,
6:07.0,,,64-61,2,P. Gasol makes 2-pt shot from 18 ft (assist by T. Parker)
5:41.0,C. McCollum makes 2-pt shot from 18 ft,2,66-61,,
5:31.0,,,66-63,2,T. Parker makes 2-pt shot from 1 ft
5:31.0,,,66-63,,Shooting foul by C. McCollum (drawn by T. Parker)
5:31.0,,,66-64,1,T. Parker makes free throw 1 of 1
5:31.0,,,66-63,,M. Ginobili enters the game for K. Anderson
5:31.0,,,66-63,,J. Simmons enters the game for D. Green
5:16.0,Shooting foul by L. Aldridge (drawn by A. Aminu),,66-64,,
5:16.0,A. Aminu misses free throw 1 of 2,,66-64,,
5:16.0,Offensive rebound by Team,,66-64,,
5:16.0,A. Aminu makes free throw 2 of 2,1,67-64,,
5:16.0,,,66-64,,P. Mills enters the game for T. Parker
5:16.0,E. Turner enters the game for A. Crabbe,,66-64,,
5:00.0,Personal foul by M. Harkless (drawn by P. Gasol),,67-64,,
5:00.0,S. Napier enters the game for M. Harkless,,67-64,,
