time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Noel (T. Frazier gains possession),,,,Jump ball: A. Davis vs. N. Noel (T. Frazier gains possession)
11:44.0,,,0-0,,A. Davis misses 2-pt shot from 8 ft
11:43.0,Defensive rebound by N. Noel,,0-0,,
11:24.0,H. Barnes misses 2-pt shot from 11 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by A. Davis
11:17.0,,,0-0,,S. Hill misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by H. Barnes,,0-0,,
10:58.0,W. Matthews misses 2-pt shot from 16 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by S. Hill
10:48.0,,,0-0,,D. Cousins misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by N. Noel,,0-0,,
10:30.0,Shooting foul by J. Holiday (drawn by S. Curry),,0-0,,
10:30.0,S. Curry makes free throw 1 of 2,1,1-0,,
10:30.0,S. Curry makes free throw 2 of 2,1,2-0,,
10:22.0,,,2-0,,Turnover by D. Cousins (offensive foul)
10:22.0,,,2-0,,Offensive foul by D. Cousins
10:04.0,D. Nowitzki misses 2-pt shot from 10 ft (block by J. Holiday),,2-0,,
10:03.0,Offensive rebound by D. Nowitzki,,2-0,,
10:02.0,D. Nowitzki misses 2-pt shot from 16 ft,,2-0,,
10:00.0,,,2-0,,Defensive rebound by D. Cousins
9:53.0,,,2-0,,J. Holiday misses 3-pt shot from 23 ft
9:51.0,,,2-0,,Offensive rebound by A. Davis
9:48.0,,,2-2,2,A. Davis makes 2-pt shot from 2 ft
9:35.0,N. Noel misses 2-pt shot from 14 ft,,2-2,,
9:33.0,,,2-2,,Defensive rebound by A. Davis
9:16.0,,,2-2,,A. Davis misses 2-pt shot from 22 ft
9:14.0,Defensive rebound by S. Curry,,2-2,,
9:07.0,S. Curry misses 2-pt shot from 17 ft,,2-2,,
9:05.0,,,2-2,,Defensive rebound by A. Davis
8:59.0,,,2-2,,S. Hill misses 3-pt shot from 27 ft
8:56.0,Defensive rebound by S. Curry,,2-2,,
8:47.0,W. Matthews misses 3-pt shot from 26 ft (block by J. Holiday),,2-2,,
8:46.0,,,2-2,,Defensive rebound by D. Cousins
8:42.0,,,2-4,2,J. Holiday makes 2-pt shot at rim (assist by D. Cousins)
8:41.0,Dallas full timeout,,2-4,,
8:19.0,N. Noel misses 2-pt shot from 20 ft,,2-4,,
8:18.0,,,2-4,,Defensive rebound by J. Holiday
8:13.0,Violation by N. Noel (kicked ball),,2-4,,
8:01.0,,,2-4,,Shooting foul by H. Barnes (drawn by D. Cousins)
8:01.0,,,2-5,1,D. Cousins makes free throw 1 of 2
8:01.0,,,2-6,1,D. Cousins makes free throw 2 of 2
7:43.0,N. Noel misses 2-pt shot from 4 ft,,2-6,,
7:42.0,,,2-6,,Defensive rebound by A. Davis
7:29.0,,,2-8,2,A. Davis makes 2-pt shot from 2 ft (assist by D. Cousins)
7:10.0,D. Nowitzki makes 2-pt shot from 13 ft (assist by W. Matthews),2,4-8,,
6:58.0,,,4-8,,Shooting foul by N. Noel (drawn by D. Cousins)
6:58.0,,,4-9,1,D. Cousins makes free throw 1 of 2
6:58.0,,,4-10,1,D. Cousins makes free throw 2 of 2
6:48.0,S. Curry makes 2-pt shot from 2 ft (assist by D. Nowitzki),2,6-10,,
6:35.0,,,6-10,,D. Cousins misses 3-pt shot from 25 ft
6:33.0,Defensive rebound by H. Barnes,,6-10,,
6:24.0,D. Nowitzki misses 2-pt shot from 15 ft,,6-10,,
6:22.0,,,6-10,,Defensive rebound by D. Cousins
6:13.0,,,6-10,,Turnover by A. Davis (lost ball)
6:13.0,Dallas full timeout,,6-10,,
6:13.0,Y. Ferrell enters the game for D. Nowitzki,,6-10,,
6:09.0,S. Curry misses 3-pt shot from 24 ft,,6-10,,
6:07.0,,,6-10,,Defensive rebound by A. Davis
5:53.0,,,6-10,,Shooting foul by Y. Ferrell (drawn by S. Hill)
5:53.0,,,6-10,,S. Hill misses free throw 1 of 2
5:53.0,,,6-10,,Offensive rebound by Team
5:53.0,,,6-11,1,S. Hill makes free throw 2 of 2
5:44.0,Y. Ferrell misses 2-pt shot from 21 ft,,6-11,,
5:41.0,,,6-11,,Defensive rebound by J. Holiday
5:30.0,,,6-11,,T. Frazier misses 3-pt shot from 27 ft
5:29.0,Defensive rebound by H. Barnes,,6-11,,
5:08.0,H. Barnes misses 2-pt shot from 3 ft (block by D. Cousins),,6-11,,
5:06.0,,,6-11,,Defensive rebound by J. Holiday
5:01.0,,,6-13,2,J. Holiday makes 2-pt shot from 2 ft
5:01.0,,,6-13,,Shooting foul by S. Curry (drawn by J. Holiday)
5:01.0,,,6-14,1,J. Holiday makes free throw 1 of 1
