time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession),,,,Jump ball: Z. Pachulia vs. K. Towns (G. Dieng gains possession)
11:38.0,Turnover by K. Towns (bad pass; steal by K. Thompson),,0-0,,
11:23.0,,,0-3,3,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry)
11:11.0,A. Wiggins makes 2-pt shot from 2 ft,2,2-3,,
10:57.0,,,2-3,,K. Thompson misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by B. Rush,,2-3,,
10:52.0,Turnover by R. Rubio (step out of bounds),,2-3,,
10:42.0,,,2-3,,K. Thompson misses 2-pt shot from 16 ft
10:42.0,Defensive rebound by G. Dieng,,2-3,,
10:24.0,A. Wiggins misses 3-pt shot from 30 ft,,2-3,,
10:24.0,,,2-3,,Defensive rebound by Z. Pachulia
10:16.0,,,2-3,,S. Curry misses 2-pt shot from 3 ft
10:16.0,Defensive rebound by K. Towns,,2-3,,
10:02.0,R. Rubio misses 3-pt shot from 25 ft,,2-3,,
10:02.0,,,2-3,,Defensive rebound by M. Barnes
9:55.0,,,2-3,,S. Curry misses 3-pt shot from 26 ft
9:54.0,Defensive rebound by G. Dieng,,2-3,,
9:45.0,A. Wiggins misses 2-pt shot from 17 ft,,2-3,,
9:44.0,,,2-3,,Defensive rebound by D. Green
9:35.0,,,2-3,,D. Green misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by R. Rubio,,2-3,,
9:21.0,,,2-3,,Personal foul by D. Green (drawn by K. Towns)
9:12.0,K. Towns makes 2-pt shot from 16 ft (assist by R. Rubio),2,4-3,,
8:59.0,,,4-5,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
8:35.0,A. Wiggins misses 2-pt shot from 20 ft,,4-5,,
8:35.0,,,4-5,,Defensive rebound by Team
8:25.0,,,4-5,,S. Curry misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by A. Wiggins,,4-5,,
8:09.0,Shooting foul by Z. Pachulia (drawn by K. Towns),,4-5,,
8:09.0,K. Towns misses free throw 1 of 2,,4-5,,
8:09.0,Offensive rebound by Team,,4-5,,
8:09.0,K. Towns makes free throw 2 of 2,1,5-5,,
7:56.0,,,5-7,2,K. Thompson makes 2-pt shot from 18 ft
7:38.0,Turnover by R. Rubio (bad pass),,5-7,,
7:31.0,,,5-10,3,M. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
7:15.0,R. Rubio makes 2-pt shot from 17 ft,2,7-10,,
7:09.0,,,7-12,2,M. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
7:01.0,Minnesota full timeout,,7-12,,
6:49.0,K. Towns makes 2-pt shot from 7 ft,2,9-12,,
6:36.0,,,9-12,,Shooting foul by R. Rubio (drawn by S. Curry)
6:36.0,,,9-13,1,S. Curry makes free throw 1 of 2
6:36.0,,,9-13,,S. Curry misses free throw 2 of 2
6:35.0,Defensive rebound by R. Rubio,,9-13,,
6:18.0,K. Towns makes 2-pt shot from 1 ft (assist by A. Wiggins),2,11-13,,
6:12.0,,,11-13,,D. Green misses 2-pt shot from 7 ft
6:11.0,Defensive rebound by G. Dieng,,11-13,,
5:57.0,R. Rubio misses 3-pt shot from 25 ft,,11-13,,
5:56.0,Offensive rebound by G. Dieng,,11-13,,
5:53.0,K. Towns makes 2-pt shot from 2 ft,2,13-13,,
5:42.0,,,13-13,,Turnover by S. Curry (bad pass; steal by K. Towns)
5:38.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,15-13,,
5:30.0,,,15-13,,K. Thompson misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by R. Rubio,,15-13,,
5:19.0,Turnover by A. Wiggins (bad pass; steal by M. Barnes),,15-13,,
5:13.0,,,15-13,,Turnover by K. Thompson (bad pass; steal by R. Rubio)
5:05.0,G. Dieng makes 2-pt shot from 18 ft (assist by R. Rubio),2,17-13,,
5:04.0,,,17-13,,Golden State full timeout
5:04.0,,,17-13,,A. Iguodala enters the game for M. Barnes
5:04.0,,,17-13,,J. McGee enters the game for Z. Pachulia
4:45.0,,,17-13,,Shooting foul by K. Towns (drawn by K. Thompson)
4:45.0,,,17-14,1,K. Thompson makes free throw 1 of 2
4:45.0,,,17-15,1,K. Thompson makes free throw 2 of 2
4:32.0,R. Rubio makes 2-pt shot from 20 ft (assist by G. Dieng),2,19-15,,
4:23.0,,,19-15,,Shooting foul by B. Rush (drawn by K. Thompson)
4:23.0,,,19-16,1,K. Thompson makes free throw 1 of 2
4:23.0,,,19-17,1,K. Thompson makes free throw 2 of 2
4:16.0,Shooting foul by A. Iguodala (drawn by R. Rubio),,19-17,,
4:16.0,R. Rubio makes free throw 1 of 2,1,20-17,,
4:16.0,R. Rubio makes free throw 2 of 2,1,21-17,,
4:16.0,,,20-17,,S. Livingston enters the game for K. Thompson
4:08.0,,,21-19,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
3:47.0,A. Wiggins misses 2-pt shot from 20 ft,,21-19,,
3:46.0,,,21-19,,Defensive rebound by S. Curry
3:40.0,,,21-22,3,S. Curry makes 3-pt shot from 27 ft
3:14.0,R. Rubio makes 2-pt shot from 20 ft (assist by G. Dieng),2,23-22,,
3:04.0,,,23-24,2,S. Curry makes 2-pt shot at rim
3:02.0,O. Casspi enters the game for K. Towns,,23-24,,
3:02.0,S. Muhammad enters the game for B. Rush,,23-24,,
2:48.0,G. Dieng misses 2-pt shot from 4 ft (block by J. McGee),,23-24,,
2:47.0,Offensive rebound by R. Rubio,,23-24,,
2:39.0,R. Rubio misses 2-pt shot from 17 ft,,23-24,,
2:37.0,Offensive rebound by O. Casspi,,23-24,,
2:37.0,O. Casspi makes 2-pt shot from 1 ft,2,25-24,,
2:19.0,,,25-26,2,J. McGee makes 2-pt shot at rim (assist by D. Green)
1:58.0,A. Wiggins misses 3-pt shot from 26 ft,,25-26,,
1:58.0,,,25-26,,Defensive rebound by Team
1:58.0,,,25-26,,M. Barnes enters the game for D. Green
1:48.0,,,25-26,,S. Curry misses 2-pt shot from 20 ft
1:48.0,Defensive rebound by A. Wiggins,,25-26,,
1:32.0,R. Rubio misses 2-pt shot from 19 ft,,25-26,,
1:31.0,,,25-26,,Defensive rebound by M. Barnes
1:26.0,,,25-28,2,A. Iguodala makes 2-pt shot from 2 ft (assist by M. Barnes)
1:06.0,A. Wiggins misses 2-pt shot from 3 ft,,25-28,,
1:04.0,Offensive rebound by G. Dieng,,25-28,,
1:04.0,,,25-28,,Flagrant foul type 1 by J. McGee (drawn by G. Dieng)
1:04.0,,,25-28,,Technical foul by J. McGee (drawn by G. Dieng)
1:04.0,Technical foul by G. Dieng,,25-28,,
1:04.0,G. Dieng makes flagrant free throw 1 of 2,1,26-28,,
1:04.0,G. Dieng makes flagrant free throw 2 of 2,1,27-28,,
0:54.0,G. Dieng misses 3-pt shot from 24 ft,,27-28,,
0:54.0,,,27-28,,Defensive rebound by S. Curry
0:47.0,,,27-28,,Shooting foul by O. Casspi (drawn by S. Livingston)
0:47.0,,,27-29,1,S. Livingston makes free throw 1 of 2
0:47.0,,,27-30,1,S. Livingston makes free throw 2 of 2
0:32.0,A. Wiggins makes 2-pt shot from 21 ft (assist by G. Dieng),2,29-30,,
0:19.0,,,29-32,2,A. Iguodala makes 2-pt shot from 19 ft (assist by M. Barnes)
0:04.0,A. Wiggins makes 2-pt shot from 3 ft,2,31-32,,
0:04.0,Shooting foul by M. Barnes (drawn by A. Wiggins),,31-32,,
0:04.0,A. Wiggins makes free throw 1 of 1,1,32-32,,
0:04.0,,,31-32,,D. Green enters the game for J. McGee
0:04.0,,,31-32,,K. Thompson enters the game for S. Livingston
0:04.0,K. Dunn enters the game for G. Dieng,,31-32,,
0:00.0,,,32-32,,S. Curry misses 3-pt shot from 29 ft
0:00.0,,,32-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,32-32,,K. Thompson misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by K. Towns,,32-32,,
11:35.0,K. Dunn misses 2-pt shot from 19 ft,,32-32,,
11:35.0,Offensive rebound by K. Towns,,32-32,,
11:32.0,Shooting foul by M. Barnes (drawn by K. Towns),,32-32,,
11:32.0,K. Towns makes 2-pt shot from 2 ft,2,34-32,,
11:32.0,K. Towns makes free throw 1 of 1,1,35-32,,
11:12.0,,,35-34,2,D. West makes 2-pt shot from 3 ft (assist by K. Thompson)
10:52.0,K. Towns misses 2-pt shot from 8 ft,,35-34,,
10:52.0,,,35-34,,Defensive rebound by M. Barnes
10:44.0,,,35-37,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:30.0,Turnover by O. Casspi (bad pass),,35-37,,
10:12.0,,,35-39,2,K. Thompson makes 2-pt shot from 17 ft (assist by D. West)
9:51.0,S. Muhammad misses 2-pt shot from 13 ft,,35-39,,
9:51.0,,,35-39,,Defensive rebound by Team
9:35.0,,,35-42,3,A. Iguodala makes 3-pt shot from 24 ft (assist by D. West)
9:27.0,Minnesota full timeout,,35-42,,
9:17.0,T. Jones misses 2-pt shot from 20 ft,,35-42,,
9:16.0,,,35-42,,Defensive rebound by I. Clark
9:13.0,,,35-42,,Shooting foul by T. Jones (drawn by A. Iguodala)
9:13.0,,,35-43,1,A. Iguodala makes free throw 1 of 2
9:13.0,,,35-44,1,A. Iguodala makes free throw 2 of 2
8:58.0,S. Muhammad makes 3-pt shot from 26 ft (assist by O. Casspi),3,38-44,,
8:38.0,,,38-44,,Turnover by A. Iguodala (bad pass; steal by K. Dunn)
8:31.0,S. Muhammad misses 2-pt shot at rim,,38-44,,
8:31.0,,,38-44,,Defensive rebound by D. West
8:26.0,,,38-46,2,M. Barnes makes 2-pt shot from 1 ft (assist by D. West)
8:13.0,T. Jones misses 2-pt shot from 10 ft,,38-46,,
8:12.0,,,38-46,,Defensive rebound by A. Iguodala
8:05.0,,,38-46,,K. Thompson misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by O. Casspi,,38-46,,
8:00.0,S. Muhammad makes 2-pt shot from 2 ft,2,40-46,,
8:00.0,Shooting foul by M. Barnes (drawn by S. Muhammad),,40-46,,
8:00.0,S. Muhammad makes free throw 1 of 1,1,41-46,,
8:00.0,R. Rubio enters the game for T. Jones,,40-46,,
8:00.0,,,40-46,,D. Green enters the game for M. Barnes
7:49.0,,,41-48,2,I. Clark makes 2-pt shot from 2 ft (assist by D. West)
7:26.0,O. Casspi makes 2-pt shot from 3 ft (assist by K. Towns),2,43-48,,
7:06.0,,,43-48,,I. Clark misses 2-pt shot from 19 ft
7:05.0,,,43-48,,Offensive rebound by I. Clark
6:58.0,,,43-51,3,K. Thompson makes 3-pt shot from 27 ft (assist by A. Iguodala)
6:35.0,S. Muhammad makes 2-pt shot from 8 ft (assist by R. Rubio),2,45-51,,
6:35.0,Shooting foul by A. Iguodala (drawn by S. Muhammad),,45-51,,
6:35.0,S. Muhammad makes free throw 1 of 1,1,46-51,,
6:35.0,G. Dieng enters the game for O. Casspi,,45-51,,
6:35.0,,,45-51,,S. Livingston enters the game for A. Iguodala
6:15.0,,,46-51,,D. Green misses 3-pt shot from 26 ft
6:15.0,Defensive rebound by K. Towns,,46-51,,
5:54.0,K. Towns misses 2-pt shot from 7 ft (block by D. Green),,46-51,,
5:53.0,Offensive rebound by Team,,46-51,,
5:53.0,Official timeout,,46-51,,
5:53.0,,,46-51,,S. Curry enters the game for K. Thompson
5:50.0,R. Rubio misses 3-pt shot from 23 ft,,46-51,,
5:49.0,,,46-51,,Defensive rebound by Team
5:32.0,,,46-51,,Shooting foul by S. Muhammad (drawn by D. Green)
5:32.0,,,46-52,1,D. Green makes free throw 1 of 2
5:32.0,,,46-53,1,D. Green makes free throw 2 of 2
5:32.0,A. Wiggins enters the game for K. Dunn,,46-52,,
5:32.0,,,46-52,,P. McCaw enters the game for I. Clark
5:19.0,Turnover by A. Wiggins (lost ball; steal by S. Curry),,46-53,,
5:15.0,,,46-55,2,P. McCaw makes 2-pt shot from 2 ft (assist by S. Livingston)
5:04.0,Shooting foul by S. Curry (drawn by R. Rubio),,46-55,,
5:04.0,R. Rubio makes 2-pt shot from 20 ft,2,48-55,,
5:04.0,R. Rubio makes free throw 1 of 1,1,49-55,,
4:56.0,,,49-57,2,D. Green makes 2-pt shot at rim (assist by D. West)
4:47.0,Minnesota full timeout,,49-57,,
4:47.0,,,49-57,,Z. Pachulia enters the game for D. West
4:31.0,,,49-57,,Personal foul by P. McCaw (drawn by K. Towns)
4:31.0,K. Towns makes free throw 1 of 2,1,50-57,,
4:31.0,K. Towns makes free throw 2 of 2,1,51-57,,
4:20.0,,,51-57,,Turnover by S. Livingston (bad pass; steal by A. Wiggins)
4:17.0,A. Wiggins makes 2-pt shot from 1 ft,2,53-57,,
4:17.0,Shooting foul by S. Livingston (drawn by A. Wiggins),,53-57,,
4:17.0,A. Wiggins makes free throw 1 of 1,1,54-57,,
4:17.0,,,54-57,,Golden State full timeout
4:17.0,,,54-57,,K. Thompson enters the game for S. Livingston
4:02.0,,,54-60,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
3:35.0,R. Rubio misses 2-pt shot from 19 ft,,54-60,,
3:34.0,Offensive rebound by S. Muhammad,,54-60,,
3:34.0,Turnover by Team (shot clock),,54-60,,
3:26.0,,,54-60,,S. Curry misses 2-pt shot from 3 ft (block by K. Towns)
