time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Lopez,,,,Jump ball: J. Henson vs. R. Lopez
11:43.0,,,0-3,3,G. Antetokounmpo makes 3-pt shot from 30 ft (assist by J. Parker)
11:17.0,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo),,0-3,,
11:11.0,,,0-3,,Shooting foul by T. Gibson (drawn by J. Parker)
11:11.0,,,0-3,,J. Parker misses free throw 1 of 2
11:11.0,,,0-3,,Offensive rebound by Team
11:11.0,,,0-3,,J. Parker misses free throw 2 of 2
11:10.0,Defensive rebound by R. Rondo,,0-3,,
10:52.0,T. Gibson makes 2-pt shot from 2 ft (assist by R. Rondo),2,2-3,,
10:37.0,,,2-5,2,J. Henson makes 2-pt shot from 4 ft (assist by G. Antetokounmpo)
10:21.0,T. Gibson misses 2-pt shot from 4 ft,,2-5,,
10:19.0,,,2-5,,Defensive rebound by J. Henson
10:12.0,,,2-7,2,G. Antetokounmpo makes 2-pt shot from 21 ft
9:52.0,J. Butler makes 2-pt shot from 15 ft (assist by R. Lopez),2,4-7,,
9:37.0,,,4-7,,T. Snell misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by R. Rondo,,4-7,,
9:19.0,R. Lopez makes 2-pt shot from 3 ft (assist by D. Wade),2,6-7,,
9:04.0,,,6-10,3,J. Parker makes 3-pt shot from 27 ft (assist by M. Dellavedova)
8:52.0,J. Butler makes 2-pt shot from 15 ft,2,8-10,,
8:39.0,,,8-10,,J. Henson misses 2-pt shot from 1 ft
8:37.0,Defensive rebound by D. Wade,,8-10,,
8:21.0,T. Gibson misses 2-pt shot from 11 ft,,8-10,,
8:20.0,,,8-10,,Defensive rebound by J. Parker
8:15.0,,,8-12,2,J. Parker makes 2-pt shot from 1 ft
7:58.0,R. Lopez misses 2-pt shot from 6 ft,,8-12,,
7:55.0,,,8-12,,Defensive rebound by G. Antetokounmpo
7:53.0,,,8-14,2,J. Parker makes 2-pt shot from 1 ft (assist by T. Snell)
7:53.0,,,8-14,,Shooting foul by J. Butler (drawn by J. Parker)
7:53.0,,,8-14,,J. Parker misses free throw 1 of 1
7:51.0,Defensive rebound by T. Gibson,,8-14,,
7:38.0,Turnover by R. Rondo (bad pass),,8-14,,
7:38.0,,,8-14,,M. Brogdon enters the game for M. Dellavedova
7:28.0,,,8-16,2,G. Antetokounmpo makes 2-pt shot from 19 ft
7:27.0,Chicago full timeout,,8-16,,
7:03.0,J. Butler makes 2-pt shot at rim,2,10-16,,
6:46.0,,,10-16,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:45.0,Defensive rebound by R. Lopez,,10-16,,
6:34.0,J. Butler misses 2-pt shot from 4 ft,,10-16,,
6:32.0,,,10-16,,Defensive rebound by G. Antetokounmpo
6:28.0,,,10-18,2,M. Brogdon makes 2-pt shot from 1 ft
6:10.0,,,10-18,,M. Teletovic enters the game for G. Antetokounmpo
6:04.0,R. Rondo misses 3-pt shot from 27 ft,,10-18,,
6:02.0,,,10-18,,Defensive rebound by J. Henson
5:52.0,,,10-21,3,J. Parker makes 3-pt shot from 25 ft (assist by M. Brogdon)
5:30.0,D. Wade makes 2-pt shot from 3 ft (assist by T. Gibson),2,12-21,,
5:17.0,,,12-21,,Shooting foul by D. Wade (drawn by J. Henson)
5:17.0,,,12-21,,J. Henson misses free throw 1 of 2
5:17.0,,,12-21,,Offensive rebound by Team
5:17.0,,,12-21,,Turnover by M. Teletovic (lane violation.)
5:17.0,D. McDermott enters the game for D. Wade,,12-21,,
5:06.0,Turnover by R. Rondo (bad pass; steal by J. Henson),,12-21,,
5:02.0,,,12-23,2,J. Parker makes 2-pt shot at rim (assist by J. Henson)
4:40.0,R. Lopez misses 2-pt shot from 18 ft,,12-23,,
4:38.0,,,12-23,,Defensive rebound by T. Snell
4:25.0,,,12-23,,J. Henson misses 2-pt shot at rim
4:23.0,,,12-23,,Offensive rebound by M. Brogdon
4:15.0,,,12-23,,Turnover by M. Brogdon (lost ball; steal by R. Rondo)
4:08.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,14-23,,
3:47.0,,,14-23,,T. Snell misses 2-pt shot from 9 ft
3:46.0,Defensive rebound by D. McDermott,,14-23,,
3:29.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Lopez),2,16-23,,
3:29.0,,,16-23,,Milwaukee full timeout
3:29.0,B. Portis enters the game for T. Gibson,,16-23,,
3:29.0,,,16-23,,G. Monroe enters the game for J. Parker
3:29.0,,,16-23,,J. Terry enters the game for J. Henson
3:29.0,,,16-23,,G. Antetokounmpo enters the game for T. Snell
3:12.0,,,16-23,,G. Monroe misses 2-pt shot from 6 ft
3:11.0,Defensive rebound by D. McDermott,,16-23,,
2:47.0,R. Rondo misses 2-pt shot from 9 ft,,16-23,,
2:45.0,,,16-23,,Defensive rebound by G. Monroe
2:26.0,,,16-25,2,M. Teletovic makes 2-pt shot from 12 ft
2:14.0,D. McDermott makes 2-pt shot from 1 ft (assist by R. Rondo),2,18-25,,
1:53.0,,,18-25,,G. Monroe misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by B. Portis,,18-25,,
1:47.0,Turnover by D. McDermott (traveling),,18-25,,
1:47.0,,,18-25,,M. Dellavedova enters the game for M. Brogdon
1:47.0,D. Wade enters the game for J. Butler,,18-25,,
1:47.0,D. Valentine enters the game for R. Rondo,,18-25,,
1:31.0,Personal block foul by D. Valentine (drawn by M. Dellavedova),,18-25,,
1:24.0,,,18-25,,M. Teletovic misses 2-pt shot from 15 ft
1:23.0,Defensive rebound by D. Wade,,18-25,,
1:14.0,B. Portis misses 3-pt shot from 26 ft,,18-25,,
1:12.0,Offensive rebound by R. Lopez,,18-25,,
1:12.0,R. Lopez misses 2-pt shot at rim,,18-25,,
1:11.0,,,18-25,,Defensive rebound by G. Monroe
1:02.0,,,18-25,,G. Antetokounmpo misses 2-pt shot from 17 ft
1:01.0,Defensive rebound by B. Portis,,18-25,,
0:49.0,D. McDermott misses 2-pt shot from 5 ft (block by J. Terry),,18-25,,
0:47.0,,,18-25,,Defensive rebound by G. Antetokounmpo
0:46.0,,,18-25,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by R. Lopez,,18-25,,
0:38.0,C. Felicio enters the game for R. Lopez,,18-25,,
0:32.0,Turnover by D. Valentine (bad pass; steal by G. Monroe),,18-25,,
0:29.0,,,18-27,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Teletovic)
0:06.0,D. Valentine misses 3-pt shot from 27 ft,,18-27,,
0:05.0,Offensive rebound by Team,,18-27,,
0:05.0,Turnover by Team (shot clock),,18-27,,
0:02.0,,,18-30,3,G. Antetokounmpo makes 3-pt shot from 28 ft (assist by M. Dellavedova)
0:00.0,B. Portis misses 3-pt shot from 39 ft,,18-30,,
0:00.0,Offensive rebound by Team,,18-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,D. Valentine makes 3-pt shot from 25 ft (assist by D. Wade),3,21-30,,
11:23.0,,,21-32,2,G. Monroe makes 2-pt shot from 1 ft (assist by J. Terry)
11:23.0,,,21-32,,Shooting foul by B. Portis (drawn by G. Monroe)
11:23.0,,,21-33,1,G. Monroe makes free throw 1 of 1
11:01.0,B. Portis misses 2-pt shot from 14 ft,,21-33,,
11:00.0,Offensive rebound by C. Felicio,,21-33,,
11:00.0,Shooting foul by J. Terry (drawn by C. Felicio),,21-33,,
11:00.0,C. Felicio misses free throw 1 of 2,,21-33,,
11:00.0,Offensive rebound by Team,,21-33,,
11:00.0,C. Felicio makes free throw 2 of 2,1,22-33,,
10:43.0,,,22-33,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:43.0,Defensive rebound by Team,,22-33,,
10:27.0,Turnover by B. Portis (3 sec),,22-33,,
10:18.0,,,22-36,3,M. Teletovic makes 3-pt shot from 28 ft (assist by M. Dellavedova)
10:03.0,Turnover by B. Portis (bad pass),,22-36,,
9:50.0,,,22-38,2,M. Teletovic makes 2-pt shot from 9 ft (assist by M. Dellavedova)
9:45.0,Chicago full timeout,,22-38,,
9:45.0,J. Butler enters the game for B. Portis,,22-38,,
