time,Utah,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. N. Vucevic (D. Favors gains possession),,,,Jump ball: R. Gobert vs. N. Vucevic (D. Favors gains possession)
11:38.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,2-0,,
11:16.0,,,2-0,,Turnover by S. Ibaka (bad pass; steal by D. Favors)
10:58.0,R. Hood misses 2-pt shot from 19 ft,,2-0,,
10:56.0,Offensive rebound by G. Hayward,,2-0,,
10:44.0,D. Exum makes 2-pt shot at rim (assist by R. Hood),2,4-0,,
10:31.0,,,4-2,2,N. Vucevic makes 2-pt shot from 13 ft (assist by J. Green)
10:23.0,,,4-2,,Personal foul by E. Fournier (drawn by R. Hood)
10:12.0,R. Hood misses 2-pt shot from 12 ft,,4-2,,
10:10.0,,,4-2,,Defensive rebound by S. Ibaka
10:05.0,,,4-2,,Turnover by E. Payton (lost ball; steal by D. Favors)
10:01.0,G. Hayward makes 2-pt shot from 1 ft (assist by R. Hood),2,6-2,,
9:47.0,,,6-4,2,E. Fournier makes 2-pt shot from 2 ft
9:30.0,D. Exum misses 2-pt shot from 2 ft,,6-4,,
9:29.0,,,6-4,,Defensive rebound by N. Vucevic
9:15.0,,,6-7,3,S. Ibaka makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:53.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,8-7,,
8:38.0,,,8-7,,S. Ibaka misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by R. Gobert,,8-7,,
8:24.0,G. Hayward misses 3-pt shot from 26 ft,,8-7,,
8:22.0,,,8-7,,Defensive rebound by S. Ibaka
8:15.0,,,8-7,,Turnover by E. Fournier (lost ball; steal by D. Favors)
7:55.0,D. Favors misses 2-pt shot from 16 ft,,8-7,,
7:53.0,,,8-7,,Defensive rebound by S. Ibaka
7:32.0,,,8-7,,E. Fournier misses 2-pt shot from 11 ft (block by R. Gobert)
7:29.0,Defensive rebound by R. Gobert,,8-7,,
7:13.0,R. Hood misses 3-pt shot from 26 ft,,8-7,,
7:11.0,Offensive rebound by R. Gobert,,8-7,,
7:08.0,Jump ball: E. Fournier vs. R. Gobert (R. Hood gains possession),,,,Jump ball: E. Fournier vs. R. Gobert (R. Hood gains possession)
7:00.0,D. Favors makes 2-pt shot from 15 ft (assist by G. Hayward),2,10-7,,
6:40.0,,,10-10,3,E. Fournier makes 3-pt shot from 26 ft (assist by N. Vucevic)
6:32.0,Offensive charge foul by D. Exum,,10-10,,
6:32.0,Turnover by D. Exum (offensive foul),,10-10,,
6:23.0,,,10-10,,Orlando full timeout
6:11.0,,,10-10,,E. Fournier misses 3-pt shot from 23 ft
6:10.0,Defensive rebound by D. Favors,,10-10,,
5:59.0,,,10-10,,Personal foul by E. Payton (drawn by D. Exum)
5:59.0,J. Ingles enters the game for R. Hood,,10-10,,
5:59.0,,,10-10,,A. Gordon enters the game for J. Green
5:59.0,,,10-10,,B. Biyombo enters the game for S. Ibaka
5:43.0,D. Favors makes 2-pt shot from 15 ft,2,12-10,,
5:32.0,,,12-10,,N. Vucevic misses 3-pt shot from 25 ft
5:31.0,Defensive rebound by J. Ingles,,12-10,,
5:23.0,G. Hayward misses 2-pt shot from 16 ft (block by A. Gordon),,12-10,,
5:21.0,,,12-10,,Defensive rebound by N. Vucevic
5:02.0,,,12-10,,N. Vucevic misses 2-pt shot from 3 ft
5:01.0,Defensive rebound by D. Favors,,12-10,,
4:48.0,R. Gobert misses 2-pt shot at rim (block by A. Gordon),,12-10,,
4:48.0,Offensive rebound by R. Gobert,,12-10,,
4:48.0,Shooting foul by N. Vucevic (drawn by R. Gobert),,12-10,,
4:48.0,R. Gobert makes free throw 1 of 2,1,13-10,,
4:48.0,R. Gobert misses free throw 2 of 2,,13-10,,
4:48.0,S. Mack enters the game for D. Exum,,13-10,,
4:47.0,,,13-10,,Defensive rebound by N. Vucevic
4:32.0,,,13-10,,A. Gordon misses 2-pt shot from 12 ft
4:31.0,Defensive rebound by G. Hayward,,13-10,,
4:16.0,R. Gobert makes 2-pt shot from 5 ft (assist by J. Ingles),2,15-10,,
4:05.0,,,15-10,,Shooting foul by G. Hayward (drawn by A. Gordon)
4:05.0,,,15-10,,A. Gordon misses free throw 1 of 2
4:05.0,,,15-10,,Offensive rebound by Team
4:05.0,,,15-11,1,A. Gordon makes free throw 2 of 2
4:05.0,T. Lyles enters the game for D. Favors,,15-10,,
3:57.0,,,15-11,,Personal foul by A. Gordon (drawn by G. Hayward)
3:48.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward),3,18-11,,
3:28.0,,,18-11,,E. Payton misses 2-pt shot from 20 ft
3:27.0,Defensive rebound by G. Hayward,,18-11,,
3:20.0,Shooting foul by E. Payton (drawn by G. Hayward),,18-11,,
3:20.0,G. Hayward makes free throw 1 of 2,1,19-11,,
3:20.0,G. Hayward makes free throw 2 of 2,1,20-11,,
3:20.0,,,19-11,,D. Augustin enters the game for E. Payton
3:02.0,,,20-13,2,E. Fournier makes 2-pt shot from 17 ft
2:47.0,G. Hayward misses 3-pt shot from 26 ft,,20-13,,
2:46.0,,,20-13,,Defensive rebound by B. Biyombo
2:27.0,,,20-13,,N. Vucevic misses 2-pt shot from 11 ft (block by R. Gobert)
2:26.0,Defensive rebound by R. Gobert,,20-13,,
2:13.0,R. Gobert misses 2-pt shot from 6 ft,,20-13,,
2:12.0,,,20-13,,Defensive rebound by N. Vucevic
2:01.0,Personal foul by T. Lyles (drawn by N. Vucevic),,20-13,,
2:01.0,Utah full timeout,,20-13,,
2:01.0,,,20-13,,D. Rudez enters the game for N. Vucevic
1:50.0,,,20-13,,A. Gordon misses 2-pt shot from 17 ft
1:49.0,Defensive rebound by G. Hayward,,20-13,,
1:36.0,Turnover by R. Gobert (bad pass; steal by E. Fournier),,20-13,,
1:31.0,,,20-15,2,D. Augustin makes 2-pt shot from 3 ft (assist by E. Fournier)
1:15.0,T. Lyles misses 2-pt shot from 20 ft,,20-15,,
1:13.0,,,20-15,,Defensive rebound by A. Gordon
1:07.0,,,20-17,2,E. Fournier makes 2-pt shot from 3 ft (assist by D. Augustin)
0:48.0,T. Lyles makes 3-pt shot from 24 ft (assist by G. Hayward),3,23-17,,
0:39.0,Personal foul by S. Mack (drawn by D. Augustin),,23-17,,
0:39.0,J. Withey enters the game for J. Ingles,,23-17,,
0:39.0,J. Johnson enters the game for R. Gobert,,23-17,,
0:30.0,,,23-17,,B. Biyombo misses 2-pt shot from 17 ft
0:29.0,Defensive rebound by T. Lyles,,23-17,,
0:14.0,T. Lyles misses 3-pt shot from 26 ft,,23-17,,
0:13.0,,,23-17,,Defensive rebound by A. Gordon
0:02.0,,,23-17,,E. Fournier misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by Team,,23-17,,
0:00.0,G. Hayward misses 3-pt shot from 34 ft,,23-17,,
0:00.0,Offensive rebound by Team,,23-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,23-20,3,D. Augustin makes 3-pt shot from 26 ft (assist by C. Watson)
11:31.0,Turnover by S. Mack (bad pass; steal by A. Gordon),,23-20,,
11:25.0,,,23-23,3,D. Augustin makes 3-pt shot from 24 ft (assist by A. Gordon)
11:07.0,Turnover by S. Mack (bad pass; steal by D. Rudez),,23-23,,
10:57.0,,,23-23,,D. Augustin misses 2-pt shot from 2 ft (block by J. Withey)
10:57.0,,,23-23,,Offensive rebound by Team
10:49.0,,,23-25,2,A. Gordon makes 2-pt shot from 19 ft (assist by D. Augustin)
10:48.0,Utah full timeout,,23-25,,
10:48.0,D. Favors enters the game for J. Ingles,,23-25,,
10:48.0,D. Exum enters the game for S. Mack,,23-25,,
10:48.0,R. Hood enters the game for J. Withey,,23-25,,
10:36.0,J. Johnson makes 2-pt shot from 10 ft,2,25-25,,
10:10.0,,,25-25,,Turnover by B. Biyombo (3 sec)
9:49.0,J. Johnson misses 2-pt shot from 16 ft,,25-25,,
9:47.0,,,25-25,,Defensive rebound by B. Biyombo
9:36.0,,,25-25,,B. Biyombo misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by D. Favors,,25-25,,
9:24.0,R. Hood misses 2-pt shot from 6 ft,,25-25,,
9:23.0,Offensive rebound by R. Hood,,25-25,,
9:14.0,Turnover by T. Lyles (lost ball),,25-25,,
9:00.0,,,25-25,,B. Biyombo misses 2-pt shot from 8 ft
8:59.0,Defensive rebound by T. Lyles,,25-25,,
8:48.0,Turnover by R. Hood (bad pass; steal by D. Rudez),,25-25,,
8:33.0,,,25-27,2,A. Gordon makes 2-pt shot from 3 ft
8:13.0,T. Lyles misses 3-pt shot from 26 ft,,25-27,,
8:12.0,,,25-27,,Defensive rebound by B. Biyombo
8:08.0,,,25-27,,Turnover by D. Augustin (bad pass; steal by T. Lyles)
7:46.0,Turnover by R. Hood (lost ball; steal by C. Watson),,25-27,,
7:43.0,,,25-27,,Shooting foul by D. Exum (drawn by D. Augustin)
7:43.0,,,25-28,1,D. Augustin makes free throw 1 of 2
7:43.0,,,25-29,1,D. Augustin makes free throw 2 of 2
7:43.0,G. Hayward enters the game for T. Lyles,,25-28,,
7:43.0,,,25-28,,S. Ibaka enters the game for B. Biyombo
7:33.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,27-29,,
7:19.0,,,27-32,3,D. Rudez makes 3-pt shot from 25 ft (assist by D. Augustin)
6:59.0,R. Hood misses 3-pt shot from 26 ft,,27-32,,
6:57.0,,,27-32,,Defensive rebound by A. Gordon
6:46.0,,,27-34,2,A. Gordon makes 2-pt shot from 19 ft
6:44.0,Utah full timeout,,27-34,,
6:44.0,S. Mack enters the game for D. Exum,,27-34,,
6:21.0,S. Mack misses 3-pt shot from 25 ft,,27-34,,
6:20.0,,,27-34,,Defensive rebound by A. Gordon
6:09.0,,,27-34,,Turnover by S. Ibaka (traveling)
5:55.0,D. Favors makes 2-pt shot from 2 ft (assist by G. Hayward),2,29-34,,
5:41.0,,,29-34,,C. Watson misses 2-pt shot from 2 ft
5:40.0,Defensive rebound by J. Johnson,,29-34,,
5:34.0,R. Hood makes 2-pt shot at rim (assist by S. Mack),2,31-34,,
5:34.0,,,31-34,,Orlando full timeout
5:34.0,R. Gobert enters the game for J. Johnson,,31-34,,
5:34.0,,,31-34,,J. Green enters the game for A. Gordon
5:34.0,,,31-34,,E. Fournier enters the game for D. Rudez
5:34.0,,,31-34,,N. Vucevic enters the game for C. Watson
5:17.0,,,31-34,,D. Augustin misses 3-pt shot from 26 ft
5:15.0,Defensive rebound by R. Gobert,,31-34,,
4:52.0,S. Mack misses 2-pt shot from 10 ft,,31-34,,
4:50.0,Offensive rebound by G. Hayward,,31-34,,
4:50.0,G. Hayward makes 2-pt shot at rim,2,33-34,,
4:35.0,,,33-34,,N. Vucevic misses 2-pt shot from 18 ft
4:34.0,Defensive rebound by R. Hood,,33-34,,
4:19.0,Shooting foul by J. Green (drawn by G. Hayward),,33-34,,
4:19.0,G. Hayward makes free throw 1 of 2,1,34-34,,
4:19.0,G. Hayward makes free throw 2 of 2,1,35-34,,
4:19.0,,,34-34,,E. Payton enters the game for D. Augustin
3:56.0,,,35-34,,E. Payton misses 2-pt shot from 8 ft
3:54.0,Defensive rebound by S. Mack,,35-34,,
3:38.0,D. Favors misses 2-pt shot from 10 ft,,35-34,,
3:37.0,Offensive rebound by R. Gobert,,35-34,,
3:37.0,R. Gobert makes 2-pt shot from 1 ft,2,37-34,,
3:19.0,,,37-34,,N. Vucevic misses 2-pt shot from 4 ft
3:19.0,Defensive rebound by Team,,37-34,,
3:07.0,Turnover by S. Mack (bad pass; steal by J. Green),,37-34,,
3:02.0,,,37-34,,J. Green misses 2-pt shot from 6 ft
3:01.0,Defensive rebound by S. Mack,,37-34,,
2:48.0,G. Hayward makes 2-pt shot from 16 ft,2,39-34,,
2:33.0,,,39-34,,S. Ibaka misses 2-pt shot from 18 ft
2:32.0,Defensive rebound by G. Hayward,,39-34,,
2:11.0,S. Mack misses 2-pt shot from 15 ft (block by E. Payton),,39-34,,
2:10.0,,,39-34,,Defensive rebound by E. Payton
2:10.0,Personal foul by R. Hood (drawn by E. Fournier),,39-34,,
2:10.0,Official timeout,,39-34,,
2:10.0,D. Exum enters the game for R. Hood,,39-34,,
2:10.0,J. Ingles enters the game for S. Mack,,39-34,,
1:50.0,,,39-37,3,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic)
1:32.0,D. Exum misses 3-pt shot from 26 ft,,39-37,,
1:31.0,,,39-37,,Defensive rebound by J. Green
1:21.0,,,39-37,,S. Ibaka misses 2-pt shot from 9 ft
1:19.0,Defensive rebound by R. Gobert,,39-37,,
1:05.0,G. Hayward makes 3-pt shot from 24 ft,3,42-37,,
0:42.0,,,42-37,,N. Vucevic misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by D. Favors,,42-37,,
0:34.0,,,42-37,,Personal foul by E. Payton (drawn by J. Ingles)
0:34.0,,,42-37,,D. Augustin enters the game for E. Payton
0:34.0,,,42-37,,B. Biyombo enters the game for N. Vucevic
0:31.0,G. Hayward misses 2-pt shot from 19 ft,,42-37,,
0:29.0,,,42-37,,Defensive rebound by S. Ibaka
0:24.0,,,42-37,,Orlando full timeout
0:24.0,,,42-37,,N. Vucevic enters the game for B. Biyombo
0:10.0,,,42-37,,Shooting foul by D. Exum (drawn by E. Fournier)
0:10.0,,,42-38,1,E. Fournier makes free throw 1 of 2
0:10.0,,,42-38,,E. Fournier misses free throw 2 of 2
0:10.0,Defensive rebound by D. Favors,,42-38,,
0:10.0,,,42-38,,B. Biyombo enters the game for N. Vucevic
0:01.0,D. Exum misses 3-pt shot from 25 ft,,42-38,,
0:00.0,Offensive rebound by Team,,42-38,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,42-38,,S. Ibaka misses 2-pt shot from 9 ft
11:40.0,Defensive rebound by D. Exum,,42-38,,
11:26.0,Turnover by D. Favors (bad pass; steal by E. Fournier),,42-38,,
11:23.0,Personal foul by R. Hood (drawn by E. Fournier),,42-38,,
11:15.0,,,42-40,2,N. Vucevic makes 2-pt shot from 6 ft
10:51.0,D. Favors misses 2-pt shot from 14 ft,,42-40,,
10:50.0,,,42-40,,Defensive rebound by S. Ibaka
10:45.0,,,42-42,2,E. Payton makes 2-pt shot from 2 ft
10:29.0,G. Hayward makes 3-pt shot from 25 ft (assist by D. Favors),3,45-42,,
10:09.0,,,45-42,,J. Green misses 3-pt shot from 27 ft
10:06.0,,,45-42,,Offensive rebound by N. Vucevic
9:56.0,,,45-42,,S. Ibaka misses 2-pt shot from 11 ft (block by D. Favors)
9:54.0,Defensive rebound by D. Favors,,45-42,,
9:43.0,R. Hood misses 3-pt shot from 27 ft,,45-42,,
9:40.0,Offensive rebound by R. Gobert,,45-42,,
9:35.0,R. Gobert misses 2-pt shot from 3 ft (block by S. Ibaka),,45-42,,
9:33.0,,,45-42,,Defensive rebound by E. Payton
9:30.0,Personal foul by D. Favors (drawn by S. Ibaka),,45-42,,
9:25.0,,,45-42,,Turnover by E. Fournier (bad pass; steal by R. Gobert)
9:24.0,R. Gobert makes 2-pt shot at rim,2,47-42,,
9:24.0,,,47-42,,E. Fournier misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by G. Hayward,,47-42,,
9:04.0,G. Hayward misses 2-pt shot from 12 ft,,47-42,,
9:03.0,,,47-42,,Defensive rebound by N. Vucevic
8:46.0,,,47-42,,Turnover by S. Ibaka (bad pass; steal by G. Hayward)
8:44.0,,,47-42,,Personal foul by E. Fournier (drawn by R. Hood)
8:29.0,G. Hayward misses 3-pt shot from 25 ft,,47-42,,
8:28.0,,,47-42,,Defensive rebound by J. Green
8:16.0,,,47-42,,N. Vucevic misses 2-pt shot from 5 ft
8:14.0,,,47-42,,Offensive rebound by S. Ibaka
8:12.0,,,47-42,,S. Ibaka misses 2-pt shot from 8 ft
8:10.0,Defensive rebound by D. Exum,,47-42,,
7:59.0,Turnover by D. Exum (lost ball; steal by E. Payton),,47-42,,
7:51.0,,,47-44,2,J. Green makes 2-pt shot from 3 ft (assist by E. Fournier)
7:31.0,D. Favors makes 2-pt shot from 18 ft (assist by G. Hayward),2,49-44,,
7:15.0,,,49-44,,Shooting foul by D. Exum (drawn by E. Fournier)
7:15.0,,,49-45,1,E. Fournier makes free throw 1 of 2
7:15.0,,,49-46,1,E. Fournier makes free throw 2 of 2
7:15.0,S. Mack enters the game for D. Exum,,49-45,,
6:54.0,D. Favors makes 3-pt shot from 25 ft (assist by S. Mack),3,52-46,,
6:32.0,,,52-46,,Shooting foul by R. Gobert (drawn by J. Green)
6:32.0,,,52-47,1,J. Green makes free throw 1 of 2
6:32.0,,,52-48,1,J. Green makes free throw 2 of 2
6:17.0,Turnover by D. Favors (bad pass),,52-48,,
6:05.0,,,52-48,,J. Green misses 2-pt shot from 18 ft
6:04.0,Defensive rebound by D. Favors,,52-48,,
5:56.0,S. Mack misses 2-pt shot from 20 ft,,52-48,,
5:54.0,,,52-48,,Defensive rebound by E. Fournier
5:49.0,,,52-48,,E. Fournier misses 2-pt shot from 1 ft
5:47.0,,,52-48,,Offensive rebound by S. Ibaka
