time,Minnesota,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. K. Towns (K. O'Quinn gains possession),,,,Jump ball: K. Porzingis vs. K. Towns (K. O'Quinn gains possession)
11:44.0,,,0-0,,K. Porzingis misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by K. Towns,,0-0,,
11:25.0,Turnover by K. Towns (bad pass; steal by J. Holiday),,0-0,,
11:20.0,Personal foul by Z. LaVine (drawn by D. Rose),,0-0,,
11:14.0,,,0-2,2,D. Rose makes 2-pt shot from 10 ft
11:00.0,K. Towns misses 2-pt shot from 14 ft,,0-2,,
10:59.0,Offensive rebound by K. Towns,,0-2,,
10:57.0,K. Towns misses 2-pt shot from 1 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by J. Holiday
10:50.0,,,0-2,,C. Anthony misses 3-pt shot from 25 ft
10:50.0,,,0-2,,Offensive rebound by K. Porzingis
10:44.0,,,0-2,,D. Rose misses 2-pt shot from 15 ft
10:44.0,Defensive rebound by Z. LaVine,,0-2,,
10:30.0,A. Wiggins misses 2-pt shot from 8 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by K. O'Quinn
10:16.0,,,0-2,,Turnover by K. O'Quinn (bad pass; steal by R. Rubio)
10:09.0,R. Rubio misses 2-pt shot at rim (block by K. O'Quinn),,0-2,,
10:08.0,,,0-2,,Defensive rebound by K. Porzingis
10:02.0,,,0-2,,D. Rose misses 2-pt shot from 2 ft (block by K. Towns)
10:00.0,,,0-2,,Offensive rebound by D. Rose
9:59.0,,,0-4,2,D. Rose makes 2-pt shot at rim
9:39.0,G. Dieng misses 2-pt shot from 12 ft,,0-4,,
9:38.0,,,0-4,,Defensive rebound by J. Holiday
9:29.0,,,0-4,,Shooting foul by G. Dieng (drawn by K. Porzingis)
9:29.0,,,0-5,1,K. Porzingis makes free throw 1 of 2
9:29.0,,,0-6,1,K. Porzingis makes free throw 2 of 2
9:16.0,Z. LaVine makes 3-pt shot from 25 ft,3,3-6,,
8:52.0,,,3-9,3,J. Holiday makes 3-pt shot from 24 ft (assist by C. Anthony)
8:38.0,K. Towns misses 2-pt shot from 20 ft,,3-9,,
8:37.0,,,3-9,,Defensive rebound by J. Holiday
8:29.0,,,3-9,,D. Rose misses 2-pt shot from 11 ft
8:28.0,Defensive rebound by G. Dieng,,3-9,,
8:21.0,Z. LaVine makes 2-pt shot from 21 ft,2,5-9,,
8:09.0,,,5-9,,K. Porzingis misses 3-pt shot from 24 ft
8:08.0,,,5-9,,Offensive rebound by Team
8:08.0,Loose ball foul by K. Towns (drawn by K. O'Quinn),,5-9,,
7:53.0,,,5-9,,K. Porzingis misses 2-pt shot from 15 ft
7:52.0,,,5-9,,Offensive rebound by K. O'Quinn
7:48.0,,,5-12,3,C. Anthony makes 3-pt shot from 25 ft (assist by K. O'Quinn)
7:22.0,Z. LaVine misses 3-pt shot from 27 ft,,5-12,,
7:21.0,,,5-12,,Defensive rebound by C. Anthony
7:08.0,,,5-12,,J. Holiday misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by G. Dieng,,5-12,,
6:54.0,K. Towns misses 2-pt shot from 2 ft,,5-12,,
6:53.0,,,5-12,,Defensive rebound by C. Anthony
6:41.0,,,5-12,,J. Holiday misses 2-pt shot from 2 ft
6:41.0,,,5-12,,Offensive rebound by K. O'Quinn
6:38.0,,,5-14,2,K. O'Quinn makes 2-pt shot from 1 ft
6:32.0,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio),2,7-14,,
6:11.0,,,7-14,,K. Porzingis misses 2-pt shot from 10 ft
6:10.0,Defensive rebound by G. Dieng,,7-14,,
6:07.0,Turnover by R. Rubio (bad pass),,7-14,,
5:57.0,Personal foul by R. Rubio (drawn by K. Porzingis),,7-14,,
5:57.0,,,7-14,,New York full timeout
5:54.0,,,7-14,,Offensive foul by C. Anthony
5:54.0,,,7-14,,Turnover by C. Anthony (offensive foul)
5:42.0,Z. LaVine misses 3-pt shot from 28 ft,,7-14,,
5:41.0,,,7-14,,Defensive rebound by K. O'Quinn
5:24.0,,,7-16,2,K. O'Quinn makes 2-pt shot from 2 ft (assist by C. Anthony)
5:13.0,,,7-16,,Def 3 sec tech foul by K. O'Quinn
5:13.0,R. Rubio makes technical free throw,1,8-16,,
5:08.0,A. Wiggins misses 2-pt shot from 21 ft,,8-16,,
5:07.0,Offensive rebound by K. Towns,,8-16,,
5:05.0,K. Towns misses 2-pt shot from 1 ft,,8-16,,
5:03.0,,,8-16,,Defensive rebound by C. Anthony
4:57.0,,,8-18,2,C. Anthony makes 2-pt shot from 20 ft
4:37.0,Turnover by Z. LaVine (bad pass; steal by C. Anthony),,8-18,,
4:24.0,,,8-20,2,D. Rose makes 2-pt shot from 8 ft
4:07.0,,,8-20,,Personal foul by J. Holiday (drawn by A. Wiggins)
4:07.0,,,8-20,,W. Hernangomez enters the game for K. Porzingis
4:07.0,,,8-20,,M. Kuzminskas enters the game for K. O'Quinn
4:07.0,S. Muhammad enters the game for Z. LaVine,,8-20,,
3:55.0,R. Rubio misses 3-pt shot from 25 ft,,8-20,,
3:53.0,,,8-20,,Defensive rebound by J. Holiday
3:48.0,,,8-22,2,J. Holiday makes 2-pt shot at rim (assist by M. Kuzminskas)
3:38.0,,,8-22,,Personal foul by W. Hernangomez (drawn by K. Towns)
3:38.0,C. Aldrich enters the game for G. Dieng,,8-22,,
3:32.0,Turnover by K. Towns (bad pass; steal by J. Holiday),,8-22,,
3:31.0,,,8-22,,Turnover by W. Hernangomez (bad pass)
3:23.0,K. Towns misses 2-pt shot from 14 ft,,8-22,,
3:23.0,,,8-22,,Defensive rebound by M. Kuzminskas
3:16.0,Personal foul by K. Towns (drawn by C. Anthony),,8-22,,
3:16.0,,,8-23,1,C. Anthony makes free throw 1 of 2
3:16.0,,,8-24,1,C. Anthony makes free throw 2 of 2
3:16.0,N. Bjelica enters the game for K. Towns,,8-23,,
2:57.0,R. Rubio makes 2-pt shot from 20 ft,2,10-24,,
2:48.0,,,10-24,,C. Anthony misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by C. Aldrich,,10-24,,
2:36.0,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio),2,12-24,,
2:31.0,,,12-24,,New York full timeout
2:14.0,,,12-24,,C. Anthony misses 2-pt shot from 16 ft
2:13.0,Defensive rebound by A. Wiggins,,12-24,,
2:01.0,Turnover by A. Wiggins (traveling),,12-24,,
2:01.0,Technical foul by Team,,12-24,,
2:01.0,,,12-25,1,J. Holiday makes technical free throw
2:01.0,,,12-24,,K. Porzingis enters the game for C. Anthony
1:47.0,,,12-25,,W. Hernangomez misses 2-pt shot from 3 ft
1:47.0,Defensive rebound by N. Bjelica,,12-25,,
1:37.0,S. Muhammad makes 2-pt shot from 3 ft (assist by R. Rubio),2,14-25,,
