time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Okafor (T. Gibson gains possession),,,,Jump ball: R. Lopez vs. J. Okafor (T. Gibson gains possession)
11:39.0,R. Lopez makes 2-pt shot from 12 ft,2,2-0,,
11:28.0,,,2-0,,Turnover by J. Bayless (bad pass; steal by D. Wade)
11:25.0,D. Wade makes 2-pt shot from 1 ft (assist by R. Rondo),2,4-0,,
11:12.0,,,4-0,,R. Covington misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by T. Gibson,,4-0,,
11:02.0,Offensive foul by R. Lopez,,4-0,,
11:02.0,Turnover by R. Lopez (offensive foul),,4-0,,
10:42.0,,,4-0,,R. Covington misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by R. Rondo,,4-0,,
10:35.0,J. Butler makes 2-pt shot from 18 ft (assist by R. Rondo),2,6-0,,
10:12.0,,,6-0,,E. Ilyasova misses 2-pt shot from 17 ft
10:09.0,Defensive rebound by R. Rondo,,6-0,,
10:01.0,Turnover by T. Gibson (step out of bounds),,6-0,,
9:48.0,,,6-0,,J. Bayless misses 2-pt shot from 14 ft
9:46.0,Defensive rebound by D. Wade,,6-0,,
9:38.0,D. Wade makes 2-pt shot from 16 ft,2,8-0,,
9:37.0,,,8-0,,Philadelphia full timeout
9:20.0,,,8-2,2,J. Okafor makes 2-pt shot from 2 ft
9:04.0,Turnover by T. Gibson (bad pass; steal by R. Covington),,8-2,,
8:43.0,,,8-2,,G. Henderson misses 2-pt shot from 20 ft (block by T. Gibson)
8:41.0,Defensive rebound by J. Butler,,8-2,,
8:37.0,Shooting foul by J. Okafor (drawn by J. Butler),,8-2,,
8:37.0,J. Butler makes free throw 1 of 2,1,9-2,,
8:37.0,J. Butler misses free throw 2 of 2,,9-2,,
8:36.0,,,9-2,,Defensive rebound by G. Henderson
8:20.0,,,9-2,,J. Okafor misses 2-pt shot from 11 ft
8:19.0,Defensive rebound by R. Rondo,,9-2,,
8:09.0,D. Wade misses 2-pt shot from 3 ft (block by R. Covington),,9-2,,
8:09.0,Offensive rebound by Team,,9-2,,
8:05.0,J. Butler misses 2-pt shot from 17 ft,,9-2,,
8:04.0,,,9-2,,Defensive rebound by J. Okafor
7:54.0,,,9-2,,J. Okafor misses 2-pt shot from 17 ft
7:52.0,Defensive rebound by R. Lopez,,9-2,,
7:40.0,T. Gibson makes 2-pt shot from 17 ft (assist by R. Lopez),2,11-2,,
7:18.0,,,11-2,,R. Covington misses 2-pt shot from 3 ft (block by R. Lopez)
7:15.0,,,11-2,,Offensive rebound by R. Covington
7:14.0,,,11-2,,G. Henderson misses 2-pt shot from 13 ft
7:12.0,Defensive rebound by T. Gibson,,11-2,,
6:54.0,R. Rondo misses 2-pt shot from 13 ft,,11-2,,
6:52.0,Offensive rebound by J. Butler,,11-2,,
6:49.0,Turnover by Team (shot clock),,11-2,,
6:35.0,,,11-4,2,J. Okafor makes 2-pt shot at rim (assist by J. Bayless)
6:22.0,Turnover by R. Rondo (lost ball),,11-4,,
6:22.0,,,11-4,,N. Stauskas enters the game for G. Henderson
6:07.0,,,11-6,2,J. Okafor makes 2-pt shot from 1 ft
5:53.0,D. Wade misses 2-pt shot from 14 ft,,11-6,,
5:52.0,Offensive rebound by R. Lopez,,11-6,,
5:52.0,R. Lopez misses 2-pt shot from 2 ft,,11-6,,
5:48.0,,,11-6,,Defensive rebound by J. Bayless
5:44.0,,,11-6,,Offensive foul by R. Covington
5:44.0,,,11-6,,Turnover by R. Covington (offensive foul)
5:44.0,,,11-6,,S. Rodriguez enters the game for J. Bayless
5:44.0,,,11-6,,D. Saric enters the game for E. Ilyasova
5:34.0,,,11-6,,Personal foul by S. Rodriguez (drawn by J. Butler)
5:29.0,Turnover by R. Lopez (bad pass; steal by R. Covington),,11-6,,
5:27.0,,,11-6,,Shooting foul by J. Butler (drawn by R. Covington)
5:27.0,,,11-7,1,R. Covington makes free throw 1 of 2
5:27.0,,,11-8,1,R. Covington makes free throw 2 of 2
5:27.0,N. Mirotic enters the game for T. Gibson,,11-7,,
5:27.0,I. Canaan enters the game for D. Wade,,11-7,,
5:14.0,J. Butler makes 2-pt shot at rim (assist by R. Rondo),2,13-8,,
4:52.0,,,13-8,,S. Rodriguez misses 2-pt shot from 17 ft
4:51.0,Defensive rebound by R. Rondo,,13-8,,
4:35.0,J. Butler makes 3-pt shot from 26 ft (assist by R. Rondo),3,16-8,,
4:19.0,,,16-8,,J. Okafor misses 2-pt shot from 3 ft
4:17.0,Defensive rebound by R. Rondo,,16-8,,
4:10.0,I. Canaan makes 3-pt shot from 25 ft (assist by N. Mirotic),3,19-8,,
3:52.0,,,19-8,,Turnover by N. Stauskas (lost ball; steal by N. Mirotic)
3:48.0,Shooting foul by R. Covington (drawn by N. Mirotic),,19-8,,
3:48.0,N. Mirotic misses free throw 1 of 2,,19-8,,
3:48.0,Offensive rebound by Team,,19-8,,
3:48.0,N. Mirotic makes free throw 2 of 2,1,20-8,,
3:48.0,Violation by Team (delay of game),,20-8,,
3:48.0,,,19-8,,R. Holmes enters the game for J. Okafor
3:48.0,,,19-8,,H. Thompson enters the game for R. Covington
3:48.0,D. Valentine enters the game for R. Rondo,,19-8,,
3:36.0,,,20-10,2,H. Thompson makes 2-pt shot from 1 ft (assist by S. Rodriguez)
3:18.0,,,20-10,,Personal foul by H. Thompson (drawn by J. Butler)
3:18.0,B. Portis enters the game for R. Lopez,,20-10,,
3:08.0,J. Butler misses 2-pt shot from 13 ft,,20-10,,
3:06.0,,,20-10,,Defensive rebound by N. Stauskas
2:56.0,,,20-13,3,H. Thompson makes 3-pt shot from 25 ft (assist by D. Saric)
2:38.0,Turnover by N. Mirotic (bad pass; steal by R. Holmes),,20-13,,
2:14.0,,,20-13,,D. Saric misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by J. Butler,,20-13,,
1:54.0,N. Mirotic misses 3-pt shot from 26 ft,,20-13,,
1:52.0,,,20-13,,Defensive rebound by N. Stauskas
1:43.0,,,20-13,,Offensive foul by S. Rodriguez
1:43.0,,,20-13,,Turnover by S. Rodriguez (offensive foul)
1:43.0,Chicago full timeout,,20-13,,
1:43.0,,,20-13,,T. McConnell enters the game for S. Rodriguez
1:27.0,D. Valentine misses 2-pt shot from 21 ft,,20-13,,
1:25.0,Offensive rebound by B. Portis,,20-13,,
1:17.0,I. Canaan makes 3-pt shot from 25 ft (assist by B. Portis),3,23-13,,
0:54.0,,,23-16,3,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell)
0:41.0,J. Butler misses 2-pt shot from 14 ft,,23-16,,
0:39.0,,,23-16,,Defensive rebound by N. Stauskas
0:23.0,,,23-19,3,R. Holmes makes 3-pt shot from 24 ft (assist by N. Stauskas)
0:02.0,J. Butler misses 2-pt shot from 12 ft,,23-19,,
0:00.0,,,23-19,,Defensive rebound by D. Saric
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-19,,Turnover by R. Holmes (lost ball)
11:34.0,D. Wade misses 2-pt shot from 16 ft,,23-19,,
11:28.0,,,23-19,,Defensive rebound by D. Saric
11:14.0,,,23-22,3,H. Thompson makes 3-pt shot from 26 ft (assist by D. Saric)
10:54.0,B. Portis makes 2-pt shot from 4 ft (assist by N. Mirotic),2,25-22,,
10:44.0,Personal foul by D. Valentine (drawn by N. Stauskas),,25-22,,
10:35.0,,,25-22,,D. Saric misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by D. Valentine,,25-22,,
10:25.0,B. Portis misses 3-pt shot from 24 ft,,25-22,,
10:23.0,,,25-22,,Defensive rebound by D. Saric
10:18.0,,,25-22,,Turnover by D. Saric (bad pass; steal by N. Mirotic)
10:09.0,I. Canaan misses 3-pt shot from 28 ft (block by N. Stauskas),,25-22,,
10:07.0,,,25-22,,Defensive rebound by H. Thompson
10:05.0,,,25-24,2,N. Stauskas makes 2-pt shot from 1 ft (assist by H. Thompson)
9:52.0,,,25-24,,Personal foul by H. Thompson (drawn by D. Wade)
9:52.0,,,25-24,,J. Okafor enters the game for R. Holmes
9:52.0,,,25-24,,G. Henderson enters the game for H. Thompson
9:52.0,R. Lopez enters the game for N. Mirotic,,25-24,,
9:47.0,Shooting foul by G. Henderson (drawn by D. Wade),,25-24,,
9:47.0,D. Wade makes free throw 1 of 2,1,26-24,,
9:47.0,D. Wade misses free throw 2 of 2,,26-24,,
9:46.0,,,26-24,,Defensive rebound by D. Saric
