time,LA Lakers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. K. Porzingis (K. O'Quinn gains possession),,,,Jump ball: T. Black vs. K. Porzingis (K. O'Quinn gains possession)
11:43.0,,,0-2,2,C. Anthony makes 2-pt shot from 9 ft
11:14.0,J. Randle misses 2-pt shot from 20 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by K. O'Quinn
10:59.0,Violation by B. Ingram (kicked ball),,0-2,,
10:51.0,,,0-4,2,C. Anthony makes 2-pt shot from 9 ft (assist by K. O'Quinn)
10:29.0,Shooting foul by K. O'Quinn (drawn by B. Ingram),,0-4,,
10:29.0,B. Ingram misses free throw 1 of 2,,0-4,,
10:29.0,Offensive rebound by Team,,0-4,,
10:29.0,B. Ingram misses free throw 2 of 2,,0-4,,
10:29.0,,,0-4,,Defensive rebound by Team
10:12.0,,,0-4,,Turnover by C. Anthony (lost ball; steal by T. Black)
10:01.0,J. Randle misses 2-pt shot from 3 ft (block by K. Porzingis),,0-4,,
9:58.0,Offensive rebound by J. Randle,,0-4,,
9:57.0,J. Randle makes 2-pt shot from 2 ft,2,2-4,,
9:47.0,,,2-4,,K. O'Quinn misses 2-pt shot from 19 ft
9:47.0,Defensive rebound by B. Ingram,,2-4,,
9:37.0,J. Randle makes 2-pt shot from 5 ft,2,4-4,,
9:20.0,,,4-6,2,C. Anthony makes 2-pt shot from 15 ft
9:11.0,B. Ingram makes 3-pt shot from 24 ft (assist by D. Russell),3,7-6,,
8:51.0,,,7-6,,D. Rose misses 2-pt shot at rim
8:49.0,Defensive rebound by T. Black,,7-6,,
8:41.0,D. Russell makes 2-pt shot from 16 ft,2,9-6,,
8:25.0,,,9-6,,K. Porzingis misses 2-pt shot from 1 ft
8:24.0,,,9-6,,Offensive rebound by K. Porzingis
8:24.0,,,9-6,,K. Porzingis misses 2-pt shot from 2 ft
8:23.0,,,9-6,,Offensive rebound by Team
8:20.0,,,9-6,,D. Rose misses 2-pt shot from 21 ft
8:19.0,Defensive rebound by B. Ingram,,9-6,,
8:11.0,J. Randle makes 2-pt shot from 1 ft (assist by B. Ingram),2,11-6,,
7:59.0,,,11-6,,K. Porzingis misses 2-pt shot from 20 ft (block by J. Randle)
7:57.0,Defensive rebound by N. Young,,11-6,,
7:41.0,D. Russell misses 3-pt shot from 25 ft,,11-6,,
7:40.0,,,11-6,,Defensive rebound by Team
7:40.0,L. Nance enters the game for J. Randle,,11-6,,
7:28.0,Personal foul by N. Young (drawn by C. Lee),,11-6,,
7:20.0,,,11-6,,Offensive foul by K. O'Quinn
7:20.0,,,11-6,,Turnover by K. O'Quinn (offensive foul)
7:01.0,N. Young makes 3-pt shot from 23 ft (assist by L. Nance),3,14-6,,
6:47.0,,,14-8,2,K. O'Quinn makes 2-pt shot from 17 ft
6:33.0,D. Russell misses 2-pt shot from 6 ft,,14-8,,
