time,Oklahoma City,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (A. Harrison gains possession),,,,Jump ball: S. Adams vs. M. Gasol (A. Harrison gains possession)
11:45.0,,,0-2,2,M. Gasol makes 2-pt shot from 12 ft (assist by C. Parsons)
11:23.0,S. Adams misses 2-pt shot from 1 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by M. Gasol
11:15.0,,,0-2,,M. Gasol misses 3-pt shot from 26 ft
11:12.0,,,0-2,,Offensive rebound by J. Green
10:59.0,,,0-2,,M. Gasol misses 2-pt shot from 20 ft
10:59.0,Defensive rebound by A. Roberson,,0-2,,
10:51.0,Turnover by R. Westbrook (bad pass; steal by C. Parsons),,0-2,,
10:35.0,,,0-4,2,M. Gasol makes 2-pt shot at rim (assist by A. Harrison)
10:10.0,R. Westbrook misses 2-pt shot from 12 ft,,0-4,,
10:10.0,,,0-4,,Defensive rebound by T. Allen
10:01.0,,,0-4,,Turnover by T. Allen (lost ball; steal by A. Morrow)
9:59.0,Shooting foul by A. Harrison (drawn by R. Westbrook),,0-4,,
9:59.0,R. Westbrook makes free throw 1 of 2,1,1-4,,
9:59.0,R. Westbrook misses free throw 2 of 2,,1-4,,
9:52.0,Offensive rebound by D. Sabonis,,1-4,,
9:48.0,Turnover by R. Westbrook (bad pass),,1-4,,
9:23.0,,,1-4,,A. Harrison misses 2-pt shot from 8 ft
9:23.0,Defensive rebound by R. Westbrook,,1-4,,
9:07.0,D. Sabonis makes 2-pt shot from 2 ft,2,3-4,,
8:45.0,,,3-4,,C. Parsons misses 3-pt shot from 26 ft
8:45.0,Defensive rebound by R. Westbrook,,3-4,,
8:37.0,Turnover by R. Westbrook (bad pass),,3-4,,
8:18.0,,,3-6,2,C. Parsons makes 2-pt shot from 1 ft
8:02.0,Turnover by R. Westbrook (bad pass; steal by T. Allen),,3-6,,
7:58.0,,,3-8,2,J. Green makes 2-pt shot from 1 ft (assist by T. Allen)
7:58.0,,,3-8,,Shooting foul by D. Sabonis (drawn by J. Green)
7:58.0,,,3-9,1,J. Green makes free throw 1 of 1
7:38.0,D. Sabonis misses 2-pt shot from 5 ft,,3-9,,
7:35.0,Offensive rebound by S. Adams,,3-9,,
7:35.0,S. Adams misses 2-pt shot at rim,,3-9,,
7:34.0,Offensive rebound by S. Adams,,3-9,,
7:34.0,S. Adams makes 2-pt shot from 1 ft,2,5-9,,
7:24.0,,,5-9,,Turnover by M. Gasol (lost ball)
7:15.0,R. Westbrook makes 2-pt shot from 2 ft,2,7-9,,
6:51.0,,,7-9,,Turnover by A. Harrison (lost ball; steal by R. Westbrook)
6:44.0,Oklahoma City full timeout,,7-9,,
6:44.0,,,7-9,,J. Ennis enters the game for C. Parsons
6:37.0,R. Westbrook misses 2-pt shot from 19 ft,,7-9,,
6:36.0,,,7-9,,Defensive rebound by J. Green
6:11.0,,,7-11,2,A. Harrison makes 2-pt shot from 2 ft (assist by M. Gasol)
6:03.0,Offensive foul by R. Westbrook,,7-11,,
6:03.0,Turnover by R. Westbrook (offensive foul),,7-11,,
5:51.0,,,7-11,,Shooting foul by S. Adams (drawn by M. Gasol)
5:51.0,,,7-11,,M. Gasol misses free throw 1 of 2
5:51.0,,,7-11,,Offensive rebound by Team
5:51.0,,,7-12,1,M. Gasol makes free throw 2 of 2
5:51.0,A. Abrines enters the game for A. Morrow,,7-11,,
5:46.0,E. Kanter enters the game for D. Sabonis,,7-12,,
5:41.0,Shooting foul by J. Green (drawn by S. Adams),,7-12,,
5:41.0,S. Adams makes free throw 1 of 2,1,8-12,,
5:41.0,S. Adams makes free throw 2 of 2,1,9-12,,
5:41.0,,,8-12,,V. Carter enters the game for T. Allen
5:16.0,,,9-12,,J. Green misses 2-pt shot from 3 ft
5:16.0,,,9-12,,Offensive rebound by Team
5:16.0,,,9-12,,Turnover by Team (shot clock)
5:01.0,E. Kanter makes 2-pt shot from 2 ft,2,11-12,,
4:40.0,,,11-12,,V. Carter misses 2-pt shot from 1 ft
4:37.0,,,11-12,,Offensive rebound by J. Green
4:37.0,,,11-14,2,J. Green makes 2-pt shot at rim
4:21.0,E. Kanter makes 2-pt shot from 3 ft (assist by S. Adams),2,13-14,,
4:10.0,,,13-16,2,M. Gasol makes 2-pt shot from 5 ft (assist by A. Harrison)
4:10.0,,,13-16,,Shooting foul by E. Kanter (drawn by M. Gasol)
4:10.0,,,13-17,1,M. Gasol makes free throw 1 of 1
4:10.0,,,13-16,,Z. Randolph enters the game for J. Green
4:00.0,Turnover by R. Westbrook (bad pass; steal by V. Carter),,13-17,,
3:51.0,,,13-17,,M. Gasol misses 3-pt shot from 25 ft
3:49.0,Defensive rebound by S. Adams,,13-17,,
3:44.0,R. Westbrook makes 3-pt shot from 26 ft,3,16-17,,
3:22.0,,,16-17,,M. Gasol misses 2-pt shot from 21 ft
3:19.0,Defensive rebound by S. Adams,,16-17,,
3:07.0,R. Westbrook misses 2-pt shot from 13 ft,,16-17,,
3:06.0,,,16-17,,Defensive rebound by M. Gasol
3:04.0,,,16-17,,Turnover by M. Gasol (bad pass; steal by R. Westbrook)
3:00.0,R. Westbrook misses 2-pt shot from 1 ft,,16-17,,
3:00.0,Offensive rebound by R. Westbrook,,16-17,,
2:58.0,R. Westbrook makes 2-pt shot from 1 ft,2,18-17,,
2:51.0,Personal take foul by S. Adams (drawn by A. Harrison),,18-17,,
2:51.0,,,18-17,,Memphis full timeout
2:51.0,Technical foul by Team,,18-17,,
2:51.0,,,18-18,1,M. Gasol makes technical free throw
2:51.0,S. Christon enters the game for R. Westbrook,,18-17,,
2:36.0,,,18-20,2,Z. Randolph makes 2-pt shot from 17 ft
2:17.0,E. Kanter makes 2-pt shot from 1 ft,2,20-20,,
2:02.0,,,20-20,,T. Allen enters the game for A. Harrison
2:02.0,J. Lauvergne enters the game for S. Adams,,20-20,,
2:02.0,,,20-20,,J. Green enters the game for M. Gasol
1:52.0,,,20-20,,Turnover by Team (shot clock)
1:30.0,A. Roberson misses 2-pt shot from 6 ft,,20-20,,
1:28.0,,,20-20,,Defensive rebound by J. Green
1:16.0,,,20-22,2,Z. Randolph makes 2-pt shot from 7 ft
0:56.0,A. Abrines misses 3-pt shot from 26 ft,,20-22,,
0:55.0,,,20-22,,Defensive rebound by V. Carter
0:42.0,,,20-25,3,Z. Randolph makes 3-pt shot from 25 ft (assist by V. Carter)
0:32.0,Shooting foul by V. Carter (drawn by E. Kanter),,20-25,,
0:32.0,E. Kanter misses free throw 1 of 2,,20-25,,
0:32.0,Offensive rebound by Team,,20-25,,
0:32.0,E. Kanter makes free throw 2 of 2,1,21-25,,
0:12.0,,,21-27,2,Z. Randolph makes 2-pt shot from 18 ft
0:01.0,E. Kanter misses 3-pt shot from 26 ft,,21-27,,
0:00.0,Offensive rebound by Team,,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Turnover by S. Christon (bad pass; steal by J. Green),,21-27,,
11:48.0,,,21-29,2,J. Green makes 2-pt shot at rim
11:27.0,N. Collison makes 2-pt shot from 4 ft (assist by S. Christon),2,23-29,,
11:12.0,,,23-29,,Turnover by T. Allen (traveling)
11:12.0,,,23-29,,C. Parsons enters the game for J. Ennis
10:54.0,S. Christon misses 3-pt shot from 24 ft,,23-29,,
10:54.0,Offensive rebound by Team,,23-29,,
10:54.0,,,23-29,,Personal foul by J. Green (drawn by N. Collison)
10:30.0,A. Abrines misses 3-pt shot from 26 ft,,23-29,,
10:30.0,,,23-29,,Defensive rebound by Z. Randolph
10:16.0,,,23-29,,V. Carter misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by E. Kanter,,23-29,,
9:51.0,J. Grant misses 2-pt shot from 22 ft (block by V. Carter),,23-29,,
9:51.0,Offensive rebound by Team,,23-29,,
9:51.0,Turnover by Team (shot clock),,23-29,,
9:51.0,,,23-29,,T. Daniels enters the game for V. Carter
9:39.0,,,23-29,,Turnover by J. Green (traveling)
9:28.0,N. Collison misses 2-pt shot from 9 ft,,23-29,,
9:28.0,,,23-29,,Defensive rebound by Z. Randolph
9:16.0,,,23-31,2,T. Allen makes 2-pt shot from 1 ft
8:59.0,E. Kanter misses 2-pt shot from 13 ft,,23-31,,
8:58.0,Offensive rebound by S. Christon,,23-31,,
8:55.0,N. Collison makes 2-pt shot from 1 ft (assist by S. Christon),2,25-31,,
8:55.0,Shooting foul by T. Allen (drawn by N. Collison),,25-31,,
8:55.0,Oklahoma City full timeout,,25-31,,
8:55.0,N. Collison makes free throw 1 of 1,1,26-31,,
8:55.0,R. Westbrook enters the game for A. Abrines,,25-31,,
