time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:42.0,V. Oladipo misses 3-pt shot from 25 ft,,0-0,,
12:00.0,Jump ball: S. Adams vs. C. Capela (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. C. Capela (R. Westbrook gains possession)
11:42.0,,,0-0,,Defensive rebound by T. Ariza
11:22.0,,,0-0,,R. Anderson misses 3-pt shot from 24 ft
11:21.0,,,0-0,,Offensive rebound by C. Capela
11:13.0,,,0-0,,P. Beverley misses 2-pt shot from 1 ft (block by A. Roberson)
11:12.0,,,0-0,,Offensive rebound by C. Capela
11:11.0,,,0-0,,C. Capela misses 2-pt shot from 3 ft
11:10.0,Defensive rebound by S. Adams,,0-0,,
10:51.0,A. Roberson makes 2-pt shot at rim (assist by S. Adams),2,2-0,,
10:29.0,,,2-2,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:10.0,T. Gibson makes 2-pt shot from 9 ft (assist by R. Westbrook),2,4-2,,
10:00.0,,,4-2,,T. Ariza misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by T. Gibson,,4-2,,
9:49.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,6-2,,
9:37.0,,,6-2,,Shooting foul by T. Gibson (drawn by J. Harden)
9:37.0,,,6-3,1,J. Harden makes free throw 1 of 2
9:37.0,,,6-4,1,J. Harden makes free throw 2 of 2
9:26.0,T. Gibson makes 2-pt shot from 16 ft (assist by R. Westbrook),2,8-4,,
9:11.0,,,8-4,,J. Harden misses 3-pt shot from 27 ft
9:10.0,Defensive rebound by R. Westbrook,,8-4,,
8:56.0,,,8-4,,Violation by C. Capela (kicked ball)
8:52.0,Shooting foul by T. Ariza (drawn by V. Oladipo),,8-4,,
8:52.0,V. Oladipo makes free throw 1 of 2,1,9-4,,
8:52.0,V. Oladipo makes free throw 2 of 2,1,10-4,,
8:29.0,,,10-4,,Turnover by J. Harden (lost ball; steal by R. Westbrook)
8:23.0,R. Westbrook makes 2-pt shot from 2 ft (assist by V. Oladipo),2,12-4,,
8:11.0,,,12-4,,R. Anderson misses 3-pt shot from 27 ft
8:11.0,Defensive rebound by V. Oladipo,,12-4,,
8:00.0,T. Gibson misses 2-pt shot from 8 ft,,12-4,,
7:59.0,Offensive rebound by T. Gibson,,12-4,,
7:58.0,T. Gibson makes 2-pt shot from 5 ft,2,14-4,,
7:47.0,,,14-4,,Turnover by J. Harden (bad pass; steal by R. Westbrook)
7:38.0,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook),2,16-4,,
7:38.0,,,16-4,,Houston full timeout
7:13.0,,,16-4,,J. Harden misses 2-pt shot from 1 ft
7:12.0,,,16-4,,Offensive rebound by C. Capela
7:12.0,,,16-4,,C. Capela misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by R. Westbrook,,16-4,,
7:05.0,R. Westbrook misses 2-pt shot from 2 ft,,16-4,,
7:05.0,Offensive rebound by Team,,16-4,,
