time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. K. Towns (R. Rubio gains possession),,,,Jump ball: D. Nowitzki vs. K. Towns (R. Rubio gains possession)
11:46.0,K. Towns misses 2-pt shot from 3 ft (block by D. Nowitzki),,0-0,,
11:45.0,,,0-0,,Defensive rebound by H. Barnes
11:30.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:30.0,Defensive rebound by R. Rubio,,0-0,,
11:16.0,G. Dieng makes 2-pt shot from 2 ft (assist by K. Towns),2,2-0,,
10:59.0,,,2-2,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Williams)
10:44.0,A. Wiggins misses 3-pt shot from 22 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by W. Matthews
10:27.0,,,2-2,,W. Matthews misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by Z. LaVine,,2-2,,
10:02.0,K. Towns makes 2-pt shot from 11 ft,2,4-2,,
9:41.0,,,4-2,,D. Nowitzki misses 2-pt shot from 19 ft
9:40.0,Defensive rebound by A. Wiggins,,4-2,,
9:27.0,G. Dieng makes 2-pt shot from 13 ft,2,6-2,,
9:10.0,,,6-2,,D. Nowitzki misses 2-pt shot from 17 ft
9:09.0,Defensive rebound by Z. LaVine,,6-2,,
8:59.0,R. Rubio misses 2-pt shot from 22 ft,,6-2,,
8:57.0,,,6-2,,Defensive rebound by H. Barnes
8:42.0,,,6-5,3,D. Williams makes 3-pt shot from 24 ft (assist by W. Matthews)
8:27.0,Turnover by A. Wiggins (offensive foul),,6-5,,
8:27.0,Offensive foul by A. Wiggins,,6-5,,
8:05.0,,,6-5,,W. Matthews misses 3-pt shot from 27 ft
8:04.0,Defensive rebound by K. Towns,,6-5,,
7:53.0,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio),2,8-5,,
7:35.0,,,8-5,,Turnover by W. Matthews (offensive foul)
7:35.0,,,8-5,,Offensive foul by W. Matthews
7:35.0,,,8-5,,S. Mejri enters the game for D. Nowitzki
7:21.0,Turnover by R. Rubio (bad pass; steal by D. Williams),,8-5,,
7:15.0,,,8-5,,D. Williams misses 3-pt shot from 26 ft
7:13.0,Defensive rebound by A. Wiggins,,8-5,,
7:07.0,Turnover by R. Rubio (bad pass; steal by S. Curry),,8-5,,
6:59.0,,,8-8,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Williams)
6:42.0,K. Towns makes 2-pt shot from 19 ft (assist by R. Rubio),2,10-8,,
6:32.0,,,10-8,,H. Barnes misses 3-pt shot from 26 ft
6:31.0,Defensive rebound by K. Towns,,10-8,,
6:10.0,Z. LaVine makes 3-pt shot from 26 ft (assist by A. Wiggins),3,13-8,,
6:09.0,,,13-8,,Dallas full timeout
5:56.0,,,13-8,,S. Curry misses 2-pt shot from 20 ft
5:55.0,,,13-8,,Offensive rebound by S. Mejri
5:52.0,,,13-10,2,S. Mejri makes 2-pt shot from 1 ft
5:32.0,K. Towns makes 3-pt shot from 24 ft (assist by Z. LaVine),3,16-10,,
5:18.0,Shooting block foul by K. Towns (drawn by H. Barnes),,16-10,,
5:18.0,,,16-10,,H. Barnes misses free throw 1 of 2
5:18.0,,,16-10,,Offensive rebound by Team
5:18.0,,,16-11,1,H. Barnes makes free throw 2 of 2
5:18.0,S. Muhammad enters the game for Z. LaVine,,16-10,,
5:13.0,R. Rubio misses 2-pt shot from 1 ft,,16-11,,
5:09.0,,,16-11,,Defensive rebound by S. Mejri
5:05.0,,,16-14,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Williams)
4:35.0,A. Wiggins misses 2-pt shot from 20 ft,,16-14,,
4:34.0,,,16-14,,Defensive rebound by S. Mejri
4:21.0,,,16-16,2,H. Barnes makes 2-pt shot from 4 ft
4:03.0,A. Wiggins makes 3-pt shot from 27 ft (assist by K. Towns),3,19-16,,
3:46.0,,,19-18,2,H. Barnes makes 2-pt shot from 12 ft (assist by D. Williams)
3:28.0,N. Bjelica enters the game for G. Dieng,,19-18,,
3:24.0,K. Towns misses 3-pt shot from 24 ft,,19-18,,
3:24.0,Offensive rebound by A. Wiggins,,19-18,,
3:20.0,A. Wiggins makes 2-pt shot from 10 ft,2,21-18,,
3:15.0,Personal foul by R. Rubio (drawn by D. Williams),,21-18,,
3:15.0,,,21-18,,D. Williams misses free throw 1 of 2
3:15.0,,,21-18,,Offensive rebound by Team
3:15.0,,,21-18,,D. Williams misses free throw 2 of 2
3:15.0,,,21-18,,D. Nowitzki enters the game for H. Barnes
3:15.0,,,21-18,,D. Harris enters the game for S. Curry
3:14.0,Defensive rebound by N. Bjelica,,21-18,,
3:05.0,A. Wiggins misses 2-pt shot from 17 ft,,21-18,,
3:04.0,,,21-18,,Defensive rebound by D. Williams
2:49.0,,,21-18,,Turnover by D. Williams (bad pass; steal by K. Towns)
2:39.0,S. Muhammad misses 2-pt shot from 8 ft,,21-18,,
2:37.0,,,21-18,,Defensive rebound by W. Matthews
2:29.0,,,21-20,2,D. Harris makes 2-pt shot from 10 ft (assist by D. Williams)
2:29.0,,,21-20,,Shooting foul by R. Rubio (drawn by D. Harris)
2:29.0,Minnesota full timeout,,21-20,,
2:29.0,,,21-21,1,D. Harris makes free throw 1 of 1
2:29.0,,,21-20,,J. Barea enters the game for D. Williams
2:29.0,K. Dunn enters the game for R. Rubio,,21-20,,
2:13.0,N. Bjelica makes 2-pt shot from 18 ft (assist by A. Wiggins),2,23-21,,
1:48.0,,,23-23,2,D. Nowitzki makes 2-pt shot from 10 ft
1:29.0,S. Muhammad misses 2-pt shot from 13 ft,,23-23,,
1:27.0,,,23-23,,Defensive rebound by S. Mejri
1:10.0,,,23-23,,D. Nowitzki misses 2-pt shot from 7 ft
1:08.0,Defensive rebound by K. Towns,,23-23,,
