time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (R. Anderson gains possession),,,,Jump ball: C. Capela vs. K. Towns (R. Anderson gains possession)
11:39.0,Turnover by J. Harden (bad pass; steal by Z. LaVine),,0-0,,
11:35.0,,,0-2,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
11:20.0,R. Anderson misses 3-pt shot from 26 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by A. Wiggins
11:07.0,,,0-2,,Turnover by R. Rubio (lost ball; steal by T. Ariza)
10:57.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,3-2,,
10:45.0,,,3-5,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Towns)
10:32.0,R. Anderson misses 3-pt shot from 25 ft,,3-5,,
10:31.0,,,3-5,,Defensive rebound by R. Rubio
10:26.0,,,3-5,,Turnover by Z. LaVine (bad pass; steal by P. Beverley)
10:22.0,Turnover by P. Beverley (bad pass; steal by R. Rubio),,3-5,,
10:18.0,,,3-5,,R. Rubio misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by R. Anderson,,3-5,,
10:09.0,C. Capela makes 2-pt shot from 1 ft (assist by P. Beverley),2,5-5,,
9:53.0,,,5-5,,Z. LaVine misses 3-pt shot from 25 ft
9:52.0,,,5-5,,Offensive rebound by R. Rubio
9:43.0,,,5-7,2,K. Towns makes 2-pt shot from 10 ft
9:34.0,T. Ariza misses 3-pt shot from 25 ft,,5-7,,
9:33.0,,,5-7,,Defensive rebound by Z. LaVine
9:14.0,,,5-9,2,K. Towns makes 2-pt shot from 8 ft (assist by Z. LaVine)
8:59.0,T. Ariza misses 3-pt shot from 23 ft,,5-9,,
8:58.0,,,5-9,,Defensive rebound by G. Dieng
8:51.0,,,5-9,,Turnover by Z. LaVine (bad pass; steal by T. Ariza)
8:30.0,Turnover by T. Ariza (bad pass),,5-9,,
