time,Washington,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession)
11:44.0,M. Gortat misses 2-pt shot from 16 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by J. Hernangomez
11:32.0,,,0-2,2,W. Chandler makes 2-pt shot at rim (assist by M. Plumlee)
11:16.0,B. Beal makes 2-pt shot from 16 ft (assist by J. Wall),2,2-2,,
10:52.0,,,2-2,,J. Nelson misses 2-pt shot from 21 ft
10:52.0,,,2-2,,Offensive rebound by M. Plumlee
10:46.0,,,2-2,,G. Harris misses 3-pt shot from 24 ft
10:45.0,,,2-2,,Offensive rebound by J. Nelson
10:39.0,,,2-4,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Nelson)
10:19.0,M. Morris makes 3-pt shot from 23 ft (assist by M. Gortat),3,5-4,,
10:06.0,,,5-6,2,W. Chandler makes 2-pt shot from 18 ft
9:48.0,J. Wall misses 3-pt shot from 27 ft,,5-6,,
9:47.0,,,5-6,,Defensive rebound by G. Harris
9:40.0,,,5-8,2,G. Harris makes 2-pt shot from 1 ft
9:17.0,M. Gortat misses 2-pt shot from 9 ft,,5-8,,
9:16.0,Offensive rebound by O. Porter,,5-8,,
9:14.0,O. Porter misses 2-pt shot from 3 ft,,5-8,,
9:13.0,,,5-8,,Defensive rebound by J. Hernangomez
9:12.0,,,5-8,,Turnover by W. Chandler (lost ball)
8:58.0,Turnover by M. Gortat (lost ball; steal by W. Chandler),,5-8,,
8:49.0,,,5-8,,G. Harris misses 2-pt shot from 1 ft
8:47.0,,,5-8,,Offensive rebound by M. Plumlee
8:47.0,,,5-8,,M. Plumlee misses 2-pt shot at rim
8:46.0,Defensive rebound by J. Wall,,5-8,,
8:42.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,7-8,,
8:28.0,,,7-8,,W. Chandler misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by J. Wall,,7-8,,
8:22.0,J. Wall makes 2-pt shot from 1 ft,2,9-8,,
8:08.0,,,9-8,,Turnover by M. Plumlee (bad pass; steal by O. Porter)
8:00.0,B. Beal makes 3-pt shot from 27 ft (assist by J. Wall),3,12-8,,
7:40.0,,,12-10,2,M. Plumlee makes 2-pt shot from 20 ft (assist by W. Chandler)
7:27.0,J. Wall makes 2-pt shot from 10 ft,2,14-10,,
7:12.0,,,14-13,3,G. Harris makes 3-pt shot from 24 ft (assist by M. Plumlee)
7:01.0,Turnover by J. Wall (bad pass),,14-13,,
6:47.0,,,14-16,3,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris)
6:39.0,Washington full timeout,,14-16,,
6:39.0,,,14-16,,W. Barton enters the game for J. Hernangomez
6:28.0,O. Porter misses 2-pt shot from 8 ft,,14-16,,
6:27.0,,,14-16,,Defensive rebound by M. Plumlee
6:09.0,,,14-16,,Shooting foul by M. Morris (drawn by M. Plumlee)
6:09.0,,,14-17,1,M. Plumlee makes free throw 1 of 2
6:09.0,,,14-18,1,M. Plumlee makes free throw 2 of 2
5:58.0,Shooting foul by W. Chandler (drawn by M. Morris),,14-18,,
5:58.0,M. Morris makes free throw 1 of 2,1,15-18,,
5:58.0,M. Morris makes free throw 2 of 2,1,16-18,,
5:43.0,,,16-18,,Turnover by J. Nelson (bad pass; steal by J. Wall)
5:38.0,O. Porter misses 2-pt shot from 10 ft,,16-18,,
5:37.0,,,16-18,,Defensive rebound by W. Chandler
5:37.0,Loose ball foul by O. Porter (drawn by W. Chandler),,16-18,,
5:19.0,,,16-18,,M. Plumlee misses 2-pt shot from 2 ft
5:18.0,,,16-18,,Offensive rebound by G. Harris
5:18.0,,,16-20,2,G. Harris makes 2-pt shot at rim
5:07.0,B. Beal makes 3-pt shot from 26 ft,3,19-20,,
4:54.0,,,19-20,,G. Harris misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by M. Gortat,,19-20,,
4:44.0,,,19-20,,Violation by M. Plumlee (def goaltending)
4:44.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,21-20,,
4:44.0,,,21-20,,Denver full timeout
4:44.0,,,21-20,,D. Arthur enters the game for M. Plumlee
4:44.0,B. Bogdanovic enters the game for B. Beal,,21-20,,
4:44.0,B. Jennings enters the game for M. Morris,,21-20,,
4:23.0,,,21-20,,W. Barton misses 3-pt shot from 27 ft
4:21.0,Defensive rebound by M. Gortat,,21-20,,
4:09.0,B. Jennings misses 3-pt shot from 23 ft,,21-20,,
4:08.0,,,21-20,,Defensive rebound by J. Nelson
3:55.0,,,21-20,,J. Nelson misses 3-pt shot from 28 ft
3:55.0,Defensive rebound by B. Bogdanovic,,21-20,,
3:43.0,B. Bogdanovic makes 2-pt shot from 19 ft (assist by B. Jennings),2,23-20,,
3:23.0,,,23-22,2,W. Barton makes 2-pt shot at rim (assist by G. Harris)
3:03.0,O. Porter misses 2-pt shot from 22 ft,,23-22,,
3:02.0,,,23-22,,Defensive rebound by D. Arthur
2:43.0,,,23-24,2,W. Chandler makes 2-pt shot from 8 ft (assist by W. Barton)
2:24.0,M. Gortat makes 2-pt shot from 7 ft,2,25-24,,
2:15.0,,,25-24,,W. Barton misses 2-pt shot from 5 ft
2:15.0,Defensive rebound by M. Gortat,,25-24,,
2:00.0,B. Bogdanovic misses 2-pt shot from 13 ft,,25-24,,
1:59.0,,,25-24,,Defensive rebound by D. Arthur
1:57.0,,,25-26,2,W. Barton makes 2-pt shot from 8 ft
1:57.0,,,25-26,,Shooting foul by B. Bogdanovic (drawn by W. Barton)
1:57.0,,,25-26,,W. Barton misses free throw 1 of 1
1:57.0,,,25-26,,J. Murray enters the game for J. Nelson
1:57.0,,,25-26,,J. Hernangomez enters the game for G. Harris
1:57.0,K. Oubre enters the game for O. Porter,,25-26,,
1:57.0,I. Mahinmi enters the game for M. Gortat,,25-26,,
1:42.0,Defensive rebound by I. Mahinmi,,25-26,,
1:39.0,J. Wall makes 2-pt shot from 2 ft,2,27-26,,
1:34.0,J. Wall makes 2-pt shot from 1 ft,2,29-26,,
1:34.0,Shooting foul by D. Arthur (drawn by J. Wall),,29-26,,
1:34.0,,,29-26,,W. Chandler misses 3-pt shot from 25 ft
1:34.0,Defensive rebound by K. Oubre,,29-26,,
1:34.0,J. Wall misses free throw 1 of 1,,29-26,,
1:34.0,,,29-26,,E. Mudiay enters the game for W. Chandler
1:31.0,,,29-26,,Defensive rebound by J. Hernangomez
1:14.0,,,29-28,2,J. Hernangomez makes 2-pt shot from 4 ft (assist by E. Mudiay)
0:59.0,K. Oubre misses 3-pt shot from 23 ft,,29-28,,
0:55.0,,,29-28,,Defensive rebound by D. Arthur
0:47.0,,,29-28,,Turnover by W. Barton (bad pass; steal by B. Bogdanovic)
0:43.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,31-28,,
0:28.0,,,31-28,,E. Mudiay misses 2-pt shot from 4 ft
0:27.0,Defensive rebound by I. Mahinmi,,31-28,,
0:06.0,J. Wall makes 2-pt shot from 18 ft,2,33-28,,
0:05.0,,,33-28,,Turnover by D. Arthur (bad pass; steal by B. Jennings)
0:02.0,B. Jennings makes 2-pt shot from 3 ft,2,35-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,35-28,,W. Barton misses 2-pt shot from 1 ft
11:43.0,Defensive rebound by I. Mahinmi,,35-28,,
11:32.0,B. Bogdanovic misses 2-pt shot from 4 ft (block by D. Arthur),,35-28,,
11:31.0,Offensive rebound by Team,,35-28,,
11:28.0,Shooting foul by E. Mudiay (drawn by B. Bogdanovic),,35-28,,
11:28.0,B. Bogdanovic makes free throw 1 of 2,1,36-28,,
11:28.0,B. Bogdanovic makes free throw 2 of 2,1,37-28,,
11:13.0,Personal foul by B. Bogdanovic,,37-28,,
11:04.0,,,37-28,,W. Barton misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by K. Oubre,,37-28,,
10:58.0,Shooting foul by J. Murray (drawn by B. Jennings),,37-28,,
