time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. M. Turner (A. Horford gains possession),,,,Jump ball: A. Johnson vs. M. Turner (A. Horford gains possession)
11:40.0,A. Bradley makes 2-pt shot from 19 ft,2,2-0,,
11:23.0,,,2-0,,Turnover by J. Teague (bad pass; steal by A. Bradley)
11:18.0,A. Bradley misses 2-pt shot from 3 ft,,2-0,,
11:17.0,,,2-0,,Defensive rebound by G. Robinson
11:10.0,,,2-0,,T. Young misses 3-pt shot from 24 ft
11:09.0,Defensive rebound by A. Horford,,2-0,,
10:58.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Horford),2,4-0,,
10:44.0,,,4-2,2,J. Teague makes 2-pt shot from 11 ft
10:26.0,A. Johnson makes 3-pt shot from 27 ft (assist by I. Thomas),3,7-2,,
10:13.0,,,7-2,,Turnover by G. Robinson (lost ball; steal by A. Bradley)
10:03.0,A. Horford makes 2-pt shot from 18 ft (assist by I. Thomas),2,9-2,,
9:45.0,,,9-2,,Shooting foul by I. Thomas (drawn by J. Teague)
9:45.0,,,9-3,1,J. Teague makes free throw 1 of 2
9:45.0,,,9-4,1,J. Teague makes free throw 2 of 2
9:33.0,I. Thomas misses 3-pt shot from 24 ft,,9-4,,
9:32.0,,,9-4,,Defensive rebound by P. George
9:20.0,,,9-4,,M. Turner misses 2-pt shot from 22 ft
9:19.0,Defensive rebound by A. Johnson,,9-4,,
9:18.0,,,9-4,,Personal foul by P. George (drawn by A. Johnson)
9:09.0,Turnover by J. Crowder (bad pass; steal by P. George),,9-4,,
9:03.0,,,9-4,,G. Robinson misses 2-pt shot from 2 ft
9:02.0,,,9-4,,Offensive rebound by M. Turner
9:02.0,,,9-6,2,M. Turner makes 2-pt shot from 2 ft
8:46.0,I. Thomas makes 3-pt shot from 26 ft,3,12-6,,
8:35.0,,,12-8,2,J. Teague makes 2-pt shot from 3 ft
8:21.0,Turnover by J. Crowder (bad pass),,12-8,,
8:10.0,,,12-10,2,P. George makes 2-pt shot from 21 ft
7:47.0,I. Thomas misses 3-pt shot from 27 ft,,12-10,,
7:47.0,,,12-10,,Defensive rebound by G. Robinson
7:37.0,,,12-12,2,T. Young makes 2-pt shot from 19 ft (assist by J. Teague)
7:12.0,J. Crowder makes 3-pt shot from 27 ft (assist by I. Thomas),3,15-12,,
6:55.0,Shooting block foul by A. Johnson (drawn by P. George),,15-12,,
6:55.0,,,15-13,1,P. George makes free throw 1 of 2
6:55.0,,,15-14,1,P. George makes free throw 2 of 2
6:36.0,A. Horford misses 3-pt shot from 25 ft,,15-14,,
6:36.0,,,15-14,,Defensive rebound by T. Young
6:18.0,,,15-16,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
6:03.0,J. Crowder misses 2-pt shot from 9 ft,,15-16,,
6:02.0,,,15-16,,Defensive rebound by T. Young
5:56.0,,,15-16,,Shooting foul by J. Crowder (drawn by T. Young)
5:56.0,,,15-16,,Indiana full timeout
5:56.0,,,15-16,,T. Young misses free throw 1 of 2
5:56.0,,,15-16,,Offensive rebound by Team
5:56.0,,,15-16,,T. Young misses free throw 2 of 2
5:56.0,Defensive rebound by K. Olynyk,,15-16,,
