time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Withey (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. J. Withey (R. Westbrook gains possession)
11:32.0,,,0-0,,S. Adams misses 2-pt shot from 18 ft
11:31.0,Defensive rebound by G. Hayward,,0-0,,
11:08.0,Turnover by G. Hill (bad pass; steal by S. Adams),,0-0,,
11:03.0,,,0-0,,R. Westbrook misses 2-pt shot from 3 ft
11:02.0,Defensive rebound by J. Withey,,0-0,,
10:41.0,J. Johnson misses 2-pt shot from 15 ft,,0-0,,
10:41.0,,,0-0,,Defensive rebound by A. Roberson
10:33.0,,,0-2,2,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:09.0,G. Hayward misses 2-pt shot from 13 ft,,0-2,,
10:08.0,,,0-2,,Defensive rebound by R. Westbrook
10:05.0,,,0-2,,Turnover by R. Westbrook (bad pass; steal by G. Hayward)
9:49.0,R. Hood makes 2-pt shot from 12 ft,2,2-2,,
9:27.0,,,2-4,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
9:14.0,G. Hill misses 2-pt shot from 8 ft,,2-4,,
9:13.0,,,2-4,,Defensive rebound by S. Adams
9:06.0,,,2-6,2,T. Gibson makes 2-pt shot from 2 ft (assist by R. Westbrook)
8:41.0,J. Johnson makes 2-pt shot from 1 ft,2,4-6,,
8:18.0,,,4-9,3,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook)
8:03.0,Offensive foul by G. Hayward,,4-9,,
8:03.0,Turnover by G. Hayward (offensive foul),,4-9,,
8:03.0,B. Diaw enters the game for J. Withey,,4-9,,
7:43.0,,,4-9,,V. Oladipo misses 3-pt shot from 25 ft
7:42.0,Defensive rebound by J. Johnson,,4-9,,
7:37.0,,,4-9,,Personal foul by S. Adams (drawn by G. Hill)
7:37.0,J. Withey enters the game for B. Diaw,,4-9,,
7:24.0,G. Hill misses 2-pt shot from 23 ft,,4-9,,
7:24.0,,,4-9,,Defensive rebound by R. Westbrook
7:17.0,,,4-9,,R. Westbrook misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by R. Hood,,4-9,,
6:58.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,7-9,,
6:43.0,,,7-9,,A. Roberson misses 3-pt shot from 23 ft
6:42.0,,,7-9,,Offensive rebound by S. Adams
6:38.0,,,7-9,,Turnover by S. Adams (lost ball; steal by J. Withey)
6:27.0,J. Withey misses 2-pt shot from 2 ft (block by R. Westbrook),,7-9,,
6:26.0,,,7-9,,Defensive rebound by R. Westbrook
6:17.0,,,7-9,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
6:01.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Hill),3,10-9,,
5:48.0,,,10-11,2,T. Gibson makes 2-pt shot from 6 ft (assist by R. Westbrook)
5:48.0,,,10-11,,Shooting foul by J. Johnson (drawn by T. Gibson)
5:48.0,,,10-11,,Oklahoma City full timeout
5:48.0,,,10-12,1,T. Gibson makes free throw 1 of 1
5:48.0,,,10-11,,A. Abrines enters the game for V. Oladipo
5:48.0,,,10-11,,E. Kanter enters the game for S. Adams
5:48.0,J. Ingles enters the game for J. Johnson,,10-11,,
5:48.0,T. Lyles enters the game for J. Withey,,10-11,,
5:48.0,B. Diaw enters the game for R. Hood,,10-11,,
5:31.0,T. Lyles misses 2-pt shot from 8 ft (block by E. Kanter),,10-12,,
5:30.0,,,10-12,,Defensive rebound by R. Westbrook
5:16.0,Violation by J. Ingles (kicked ball),,10-12,,
5:04.0,,,10-15,3,R. Westbrook makes 3-pt shot from 25 ft
4:48.0,T. Lyles misses 3-pt shot from 24 ft,,10-15,,
4:48.0,,,10-15,,Defensive rebound by E. Kanter
4:45.0,Personal foul by T. Lyles (drawn by T. Gibson),,10-15,,
4:45.0,,,10-15,,D. Sabonis enters the game for T. Gibson
4:38.0,,,10-17,2,A. Abrines makes 2-pt shot from 1 ft
4:20.0,G. Hayward misses 2-pt shot from 2 ft,,10-17,,
4:19.0,Offensive rebound by G. Hayward,,10-17,,
4:19.0,G. Hayward misses 2-pt shot from 2 ft,,10-17,,
4:18.0,,,10-17,,Defensive rebound by D. Sabonis
4:09.0,,,10-17,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
4:03.0,G. Hayward makes 2-pt shot from 1 ft,2,12-17,,
3:43.0,,,12-17,,E. Kanter misses 2-pt shot from 1 ft
3:42.0,,,12-17,,Offensive rebound by E. Kanter
3:42.0,,,12-19,2,E. Kanter makes 2-pt shot from 2 ft
3:25.0,Shooting foul by D. Sabonis (drawn by G. Hill),,12-19,,
3:25.0,G. Hill makes free throw 1 of 2,1,13-19,,
3:25.0,G. Hill makes free throw 2 of 2,1,14-19,,
3:14.0,,,14-21,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:55.0,B. Diaw makes 2-pt shot from 1 ft,2,16-21,,
2:45.0,,,16-24,3,R. Westbrook makes 3-pt shot from 25 ft
2:43.0,Utah full timeout,,16-24,,
2:43.0,,,16-24,,S. Christon enters the game for R. Westbrook
2:43.0,D. Exum enters the game for G. Hill,,16-24,,
2:27.0,D. Exum makes 3-pt shot from 25 ft (assist by J. Ingles),3,19-24,,
2:02.0,,,19-24,,Turnover by A. Roberson (traveling)
1:52.0,,,19-24,,Personal foul by A. Abrines (drawn by B. Diaw)
1:39.0,G. Hayward misses 3-pt shot from 24 ft,,19-24,,
1:39.0,,,19-24,,Defensive rebound by E. Kanter
1:22.0,Violation by G. Hayward (kicked ball),,19-24,,
1:22.0,R. Hood enters the game for G. Hayward,,19-24,,
1:22.0,A. Burks enters the game for T. Lyles,,19-24,,
1:22.0,,,19-24,,V. Oladipo enters the game for A. Roberson
1:14.0,,,19-27,3,V. Oladipo makes 3-pt shot from 25 ft
0:43.0,J. Ingles makes 2-pt shot from 15 ft,2,21-27,,
0:32.0,,,21-27,,V. Oladipo misses 2-pt shot from 1 ft (block by B. Diaw)
0:32.0,,,21-27,,Offensive rebound by Team
0:23.0,,,21-27,,S. Christon misses 2-pt shot at rim
0:21.0,Defensive rebound by A. Burks,,21-27,,
0:21.0,,,21-27,,Personal foul by E. Kanter (drawn by A. Burks)
0:21.0,A. Burks makes free throw 1 of 2,1,22-27,,
0:21.0,A. Burks makes free throw 2 of 2,1,23-27,,
0:13.0,Personal foul by J. Ingles (drawn by V. Oladipo),,23-27,,
0:00.0,,,23-29,2,V. Oladipo makes 2-pt shot from 14 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,D. Exum makes 2-pt shot from 4 ft,2,25-29,,
11:23.0,,,25-31,2,E. Kanter makes 2-pt shot at rim
11:04.0,A. Burks misses 2-pt shot from 2 ft,,25-31,,
11:02.0,,,25-31,,Defensive rebound by Team
10:48.0,,,25-31,,Turnover by E. Kanter (bad pass; steal by J. Withey)
10:41.0,R. Hood misses 2-pt shot from 5 ft,,25-31,,
10:41.0,,,25-31,,Defensive rebound by Team
10:25.0,,,25-31,,S. Christon misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by A. Burks,,25-31,,
10:17.0,A. Burks makes 2-pt shot from 1 ft,2,27-31,,
9:55.0,,,27-33,2,E. Kanter makes 2-pt shot from 3 ft (assist by D. Sabonis)
9:43.0,Shooting foul by D. Sabonis (drawn by D. Exum),,27-33,,
9:43.0,D. Exum makes free throw 1 of 2,1,28-33,,
9:43.0,D. Exum makes free throw 2 of 2,1,29-33,,
9:43.0,B. Diaw enters the game for J. Withey,,28-33,,
9:29.0,,,29-33,,V. Oladipo misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by R. Hood,,29-33,,
9:16.0,A. Burks makes 3-pt shot from 25 ft (assist by B. Diaw),3,32-33,,
8:53.0,,,32-33,,V. Oladipo misses 2-pt shot from 2 ft
8:52.0,,,32-33,,Offensive rebound by V. Oladipo
8:51.0,,,32-35,2,V. Oladipo makes 2-pt shot from 2 ft
8:31.0,B. Diaw makes 2-pt shot from 9 ft,2,34-35,,
8:16.0,,,34-38,3,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Sabonis)
8:16.0,Utah full timeout,,34-38,,
8:16.0,,,34-38,,S. Adams enters the game for E. Kanter
8:16.0,,,34-38,,R. Westbrook enters the game for V. Oladipo
8:16.0,J. Ingles enters the game for R. Hood,,34-38,,
8:00.0,A. Burks misses 2-pt shot from 17 ft,,34-38,,
7:59.0,,,34-38,,Defensive rebound by R. Westbrook
7:41.0,,,34-38,,S. Adams misses 2-pt shot from 7 ft
7:40.0,Defensive rebound by A. Burks,,34-38,,
7:35.0,,,34-38,,Personal foul by D. Sabonis (drawn by D. Exum)
7:35.0,D. Exum makes free throw 1 of 2,1,35-38,,
7:35.0,D. Exum misses free throw 2 of 2,,35-38,,
7:35.0,,,35-38,,T. Gibson enters the game for D. Sabonis
7:34.0,,,35-38,,Defensive rebound by S. Christon
7:24.0,,,35-38,,R. Westbrook misses 2-pt shot from 8 ft
7:23.0,Defensive rebound by B. Diaw,,35-38,,
7:15.0,Turnover by B. Diaw (bad pass; steal by S. Adams),,35-38,,
7:12.0,,,35-38,,Shooting foul by J. Johnson (drawn by R. Westbrook)
7:12.0,,,35-39,1,R. Westbrook makes free throw 1 of 3
7:12.0,,,35-40,1,R. Westbrook makes free throw 2 of 3
7:12.0,,,35-40,,R. Westbrook misses free throw 3 of 3
7:12.0,T. Lyles enters the game for J. Johnson,,35-40,,
7:12.0,G. Hayward enters the game for A. Burks,,35-40,,
7:12.0,,,35-40,,V. Oladipo enters the game for D. McDermott
7:12.0,,,35-40,,A. Roberson enters the game for S. Christon
7:11.0,Defensive rebound by B. Diaw,,35-40,,
7:03.0,D. Exum makes 2-pt shot from 1 ft,2,37-40,,
6:46.0,,,37-42,2,V. Oladipo makes 2-pt shot at rim
6:32.0,G. Hayward misses 2-pt shot from 16 ft,,37-42,,
6:32.0,,,37-42,,Defensive rebound by T. Gibson
6:24.0,,,37-42,,R. Westbrook misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by G. Hayward,,37-42,,
5:59.0,Turnover by Team (shot clock),,37-42,,
5:59.0,Official timeout,,37-42,,
5:59.0,J. Withey enters the game for B. Diaw,,37-42,,
5:59.0,G. Hill enters the game for D. Exum,,37-42,,
5:52.0,,,37-42,,Shooting foul by T. Lyles (drawn by S. Adams)
5:52.0,,,37-43,1,S. Adams makes free throw 1 of 2
5:52.0,,,37-43,,S. Adams misses free throw 2 of 2
5:52.0,,,37-43,,Offensive rebound by T. Gibson
5:46.0,,,37-43,,R. Westbrook misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by J. Ingles,,37-43,,
5:28.0,Turnover by G. Hayward (bad pass),,37-43,,
5:13.0,,,37-45,2,T. Gibson makes 2-pt shot from 2 ft
4:49.0,G. Hill makes 2-pt shot from 2 ft,2,39-45,,
4:28.0,,,39-45,,T. Gibson misses 2-pt shot from 1 ft (block by T. Lyles)
4:27.0,,,39-45,,Offensive rebound by S. Adams
4:23.0,,,39-48,3,R. Westbrook makes 3-pt shot from 24 ft (assist by V. Oladipo)
4:05.0,T. Lyles makes 3-pt shot from 23 ft (assist by J. Withey),3,42-48,,
3:52.0,,,42-48,,V. Oladipo misses 2-pt shot from 2 ft
3:52.0,Defensive rebound by J. Withey,,42-48,,
3:40.0,T. Lyles misses 3-pt shot from 23 ft,,42-48,,
3:39.0,,,42-48,,Defensive rebound by R. Westbrook
3:25.0,,,42-48,,R. Westbrook misses 2-pt shot from 17 ft
3:24.0,,,42-48,,Offensive rebound by R. Westbrook
3:16.0,,,42-51,3,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook)
3:15.0,Utah full timeout,,42-51,,
3:15.0,R. Hood enters the game for J. Ingles,,42-51,,
3:15.0,J. Johnson enters the game for T. Lyles,,42-51,,
3:04.0,J. Johnson misses 3-pt shot from 24 ft,,42-51,,
3:04.0,,,42-51,,Defensive rebound by R. Westbrook
2:48.0,,,42-51,,V. Oladipo misses 3-pt shot from 22 ft
2:47.0,,,42-51,,Offensive rebound by S. Adams
2:43.0,,,42-51,,S. Adams misses 2-pt shot from 4 ft
2:43.0,Defensive rebound by J. Withey,,42-51,,
2:32.0,Turnover by R. Hood (lost ball; steal by A. Roberson),,42-51,,
2:28.0,,,42-51,,Shooting foul by G. Hill (drawn by A. Roberson)
2:28.0,,,42-51,,Oklahoma City full timeout
2:28.0,,,42-51,,A. Roberson misses free throw 1 of 2
2:28.0,,,42-51,,Offensive rebound by Team
2:28.0,,,42-52,1,A. Roberson makes free throw 2 of 2
2:13.0,G. Hayward misses 2-pt shot from 14 ft,,42-52,,
2:12.0,,,42-52,,Defensive rebound by T. Gibson
2:01.0,,,42-54,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
1:43.0,Turnover by G. Hill (bad pass; steal by V. Oladipo),,42-54,,
1:39.0,,,42-56,2,V. Oladipo makes 2-pt shot at rim
1:17.0,,,42-56,,Shooting block foul by V. Oladipo (drawn by R. Hood)
1:17.0,R. Hood makes free throw 1 of 2,1,43-56,,
1:17.0,R. Hood makes free throw 2 of 2,1,44-56,,
1:03.0,,,44-58,2,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook)
0:46.0,Shooting foul by A. Roberson (drawn by G. Hayward),,44-58,,
0:46.0,G. Hayward makes free throw 1 of 3,1,45-58,,
0:46.0,,,45-58,,Oklahoma City full timeout
0:46.0,G. Hayward misses free throw 2 of 3,,45-58,,
0:46.0,Offensive rebound by Team,,45-58,,
0:46.0,G. Hayward makes free throw 3 of 3,1,46-58,,
0:46.0,B. Diaw enters the game for J. Withey,,45-58,,
0:31.0,,,46-60,2,T. Gibson makes 2-pt shot from 2 ft
0:19.0,G. Hayward makes 2-pt shot from 2 ft,2,48-60,,
0:02.0,,,48-60,,R. Westbrook misses 3-pt shot from 25 ft
0:00.0,,,48-60,,Offensive rebound by Team
0:00.0,J. Bolomboy enters the game for J. Johnson,,48-60,,
0:00.0,J. Withey enters the game for B. Diaw,,48-60,,
0:00.0,,,48-60,,A. Abrines enters the game for A. Roberson
0:00.0,,,48-62,2,R. Westbrook makes 2-pt shot from 3 ft (assist by A. Abrines)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Johnson misses 2-pt shot from 5 ft,,48-62,,
11:43.0,Offensive rebound by J. Johnson,,48-62,,
11:43.0,J. Johnson misses 2-pt shot from 2 ft,,48-62,,
11:42.0,,,48-62,,Defensive rebound by S. Adams
11:29.0,,,48-64,2,T. Gibson makes 2-pt shot from 15 ft (assist by R. Westbrook)
11:12.0,G. Hill makes 2-pt shot from 19 ft (assist by J. Johnson),2,50-64,,
