time,Memphis,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (T. Harris gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (T. Harris gains possession)
11:47.0,,,0-0,,M. Morris misses 2-pt shot from 18 ft
11:47.0,Defensive rebound by M. Gasol,,0-0,,
11:23.0,C. Parsons misses 2-pt shot at rim,,0-0,,
11:22.0,,,0-0,,Defensive rebound by A. Drummond
11:13.0,,,0-0,,Turnover by A. Drummond (bad pass; steal by T. Allen)
11:03.0,J. Green makes 2-pt shot from 13 ft (assist by T. Allen),2,2-0,,
10:41.0,,,2-0,,M. Morris misses 3-pt shot from 26 ft
10:41.0,,,2-0,,Offensive rebound by A. Drummond
10:35.0,,,2-0,,Turnover by A. Drummond (bad pass; steal by M. Conley)
10:30.0,C. Parsons misses 2-pt shot from 1 ft,,2-0,,
10:29.0,,,2-0,,Defensive rebound by R. Jackson
10:21.0,,,2-2,2,T. Harris makes 2-pt shot from 12 ft (assist by R. Jackson)
10:05.0,M. Conley misses 3-pt shot from 27 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by A. Drummond
9:52.0,,,2-5,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Jackson)
9:31.0,M. Gasol makes 2-pt shot from 18 ft (assist by T. Allen),2,4-5,,
9:27.0,,,4-5,,Detroit full timeout
9:27.0,,,4-5,,I. Smith enters the game for R. Jackson
9:17.0,,,4-5,,M. Morris misses 3-pt shot from 27 ft
9:17.0,Defensive rebound by C. Parsons,,4-5,,
8:54.0,J. Green misses 2-pt shot from 4 ft (block by T. Harris),,4-5,,
8:53.0,,,4-5,,Defensive rebound by T. Harris
8:51.0,,,4-5,,Turnover by T. Harris (lost ball)
8:33.0,M. Conley makes 3-pt shot from 26 ft (assist by M. Gasol),3,7-5,,
8:12.0,,,7-5,,M. Morris misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by C. Parsons,,7-5,,
7:54.0,M. Gasol misses 3-pt shot from 26 ft,,7-5,,
7:54.0,,,7-5,,Defensive rebound by K. Caldwell-Pope
7:49.0,,,7-5,,Turnover by A. Drummond (traveling)
7:25.0,T. Allen misses 2-pt shot from 19 ft,,7-5,,
7:24.0,,,7-5,,Defensive rebound by A. Drummond
7:06.0,,,7-8,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by I. Smith)
