time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (J. Teague gains possession),,,,Jump ball: T. Thompson vs. M. Turner (J. Teague gains possession)
11:36.0,,,0-2,2,M. Turner makes 2-pt shot from 18 ft (assist by J. Teague)
11:17.0,K. Irving makes 2-pt shot from 17 ft (assist by L. James),2,2-2,,
11:02.0,,,2-4,2,T. Young makes 2-pt shot from 1 ft (assist by P. George)
10:48.0,K. Irving misses 2-pt shot from 19 ft,,2-4,,
10:47.0,,,2-4,,Defensive rebound by P. George
10:26.0,,,2-4,,Turnover by T. Young (3 sec)
10:15.0,L. James makes 2-pt shot from 19 ft (assist by K. Irving),2,4-4,,
9:50.0,,,4-4,,P. George misses 3-pt shot from 26 ft
9:49.0,Defensive rebound by L. James,,4-4,,
9:39.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,7-4,,
9:25.0,,,7-6,2,M. Turner makes 2-pt shot from 2 ft (assist by T. Young)
9:02.0,K. Love misses 2-pt shot from 17 ft,,7-6,,
9:01.0,Offensive rebound by Team,,7-6,,
9:01.0,,,7-6,,Loose ball foul by M. Turner (drawn by T. Thompson)
8:51.0,,,7-6,,Def 3 sec tech foul by M. Turner
8:51.0,K. Irving makes technical free throw,1,8-6,,
8:44.0,Turnover by K. Irving (bad pass; steal by M. Turner),,8-6,,
8:35.0,,,8-9,3,J. Teague makes 3-pt shot from 27 ft (assist by P. George)
8:15.0,K. Irving misses 2-pt shot from 1 ft,,8-9,,
8:14.0,Offensive rebound by T. Thompson,,8-9,,
8:14.0,T. Thompson misses 2-pt shot from 1 ft,,8-9,,
8:14.0,Offensive rebound by T. Thompson,,8-9,,
8:09.0,T. Thompson makes 2-pt shot from 4 ft (assist by L. James),2,10-9,,
7:59.0,,,10-9,,P. George misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by K. Irving,,10-9,,
7:44.0,J. Smith misses 3-pt shot from 25 ft,,10-9,,
7:43.0,,,10-9,,Defensive rebound by T. Young
7:39.0,,,10-9,,Shooting foul by L. James
7:39.0,,,10-10,1,C. Miles makes free throw 1 of 2
7:39.0,,,10-11,1,C. Miles makes free throw 2 of 2
7:29.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving),3,13-11,,
7:08.0,,,13-11,,T. Young misses 2-pt shot from 4 ft (block by T. Thompson)
7:08.0,Defensive rebound by L. James,,13-11,,
7:01.0,L. James misses 2-pt shot from 8 ft,,13-11,,
7:00.0,Offensive rebound by T. Thompson,,13-11,,
6:55.0,J. Smith misses 3-pt shot from 25 ft,,13-11,,
6:54.0,Offensive rebound by L. James,,13-11,,
6:47.0,,,13-11,,Personal foul by C. Miles
6:43.0,K. Love misses 3-pt shot from 27 ft,,13-11,,
6:41.0,,,13-11,,Defensive rebound by P. George
6:34.0,,,13-14,3,T. Young makes 3-pt shot from 23 ft (assist by P. George)
6:11.0,Turnover by L. James (bad pass; steal by P. George),,13-14,,
6:04.0,,,13-14,,P. George misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by K. Irving,,13-14,,
6:00.0,Turnover by K. Irving (lost ball; steal by M. Turner),,13-14,,
5:56.0,,,13-16,2,T. Young makes 2-pt shot from 2 ft (assist by P. George)
5:56.0,Cleveland full timeout,,13-16,,
5:40.0,K. Love misses 2-pt shot from 7 ft,,13-16,,
5:39.0,Offensive rebound by T. Thompson,,13-16,,
5:30.0,K. Love makes 2-pt shot from 1 ft,2,15-16,,
5:10.0,,,15-16,,P. George misses 2-pt shot from 3 ft
5:09.0,Defensive rebound by K. Love,,15-16,,
5:03.0,Turnover by K. Irving (bad pass),,15-16,,
5:03.0,,,15-16,,L. Stephenson enters the game for C. Miles
4:47.0,,,15-19,3,L. Stephenson makes 3-pt shot from 28 ft (assist by J. Teague)
4:25.0,,,15-19,,Def 3 sec tech foul by M. Turner
4:25.0,K. Irving makes technical free throw,1,16-19,,
4:25.0,,,16-19,,K. Seraphin enters the game for M. Turner
4:25.0,C. Frye enters the game for T. Thompson,,16-19,,
4:11.0,L. James makes 3-pt shot from 25 ft,3,19-19,,
3:53.0,,,19-19,,L. Stephenson misses 2-pt shot from 2 ft
3:53.0,Defensive rebound by C. Frye,,19-19,,
3:42.0,K. Love misses 3-pt shot from 27 ft,,19-19,,
3:41.0,,,19-19,,Defensive rebound by L. Stephenson
3:38.0,,,19-19,,Turnover by L. Stephenson (bad pass; steal by C. Frye)
3:32.0,Offensive charge foul by K. Love,,19-19,,
3:32.0,Turnover by K. Love (offensive foul),,19-19,,
3:32.0,R. Jefferson enters the game for K. Love,,19-19,,
3:32.0,I. Shumpert enters the game for J. Smith,,19-19,,
3:21.0,Personal block foul by I. Shumpert (drawn by P. George),,19-19,,
3:12.0,,,19-21,2,K. Seraphin makes 2-pt shot from 12 ft
3:01.0,L. James misses 3-pt shot from 26 ft,,19-21,,
3:00.0,,,19-21,,Defensive rebound by P. George
2:45.0,,,19-23,2,P. George makes 2-pt shot from 11 ft
2:42.0,Cleveland full timeout,,19-23,,
2:42.0,,,19-23,,Indiana full timeout
2:42.0,,,19-23,,G. Robinson enters the game for P. George
2:42.0,K. Korver enters the game for L. James,,19-23,,
2:42.0,,,19-23,,C. Miles enters the game for T. Young
2:27.0,K. Irving misses 3-pt shot from 25 ft,,19-23,,
2:26.0,,,19-23,,Defensive rebound by G. Robinson
2:12.0,,,19-25,2,L. Stephenson makes 2-pt shot from 19 ft (assist by K. Seraphin)
1:59.0,K. Korver misses 3-pt shot from 25 ft,,19-25,,
1:58.0,,,19-25,,Defensive rebound by L. Stephenson
1:53.0,,,19-25,,Shooting foul by I. Shumpert (drawn by K. Seraphin)
1:53.0,,,19-26,1,K. Seraphin makes free throw 1 of 2
1:53.0,,,19-27,1,K. Seraphin makes free throw 2 of 2
