time,Cleveland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. T. Thompson (C. Anthony gains possession),,,,Jump ball: J. Noah vs. T. Thompson (C. Anthony gains possession)
11:37.0,,,0-0,,K. Porzingis misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by K. Love,,0-0,,
11:28.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,3-0,,
11:15.0,,,3-2,2,K. Porzingis makes 2-pt shot at rim (assist by J. Noah)
10:55.0,K. Love makes 2-pt shot from 19 ft,2,5-2,,
10:38.0,,,5-2,,K. Porzingis misses 2-pt shot from 2 ft
10:37.0,,,5-2,,Offensive rebound by J. Noah
10:37.0,,,5-2,,J. Noah misses 2-pt shot from 1 ft
10:36.0,Defensive rebound by T. Thompson,,5-2,,
10:19.0,K. Love misses 3-pt shot from 25 ft,,5-2,,
10:18.0,,,5-2,,Defensive rebound by B. Jennings
10:13.0,,,5-2,,C. Lee misses 3-pt shot from 23 ft
10:12.0,Defensive rebound by K. Love,,5-2,,
10:08.0,Shooting foul by K. Porzingis (drawn by L. James),,5-2,,
10:08.0,L. James makes free throw 1 of 2,1,6-2,,
10:08.0,L. James makes free throw 2 of 2,1,7-2,,
9:47.0,,,7-4,2,C. Anthony makes 2-pt shot from 16 ft
9:29.0,D. Liggins makes 3-pt shot from 26 ft (assist by K. Love),3,10-4,,
9:13.0,,,10-7,3,C. Lee makes 3-pt shot from 23 ft (assist by B. Jennings)
9:02.0,K. Irving makes 2-pt shot from 18 ft,2,12-7,,
8:53.0,,,12-10,3,K. Porzingis makes 3-pt shot from 26 ft (assist by B. Jennings)
8:35.0,L. James misses 2-pt shot from 7 ft (block by C. Anthony),,12-10,,
8:34.0,Offensive rebound by K. Love,,12-10,,
8:27.0,L. James makes 2-pt shot from 16 ft,2,14-10,,
8:04.0,,,14-12,2,C. Anthony makes 2-pt shot from 10 ft
7:50.0,T. Thompson misses 2-pt shot from 1 ft,,14-12,,
7:49.0,,,14-12,,Defensive rebound by J. Noah
7:41.0,Shooting block foul by D. Liggins (drawn by J. Noah),,14-12,,
7:41.0,,,14-13,1,J. Noah makes free throw 1 of 2
7:41.0,,,14-13,,J. Noah misses free throw 2 of 2
7:40.0,Defensive rebound by T. Thompson,,14-13,,
