time,San Antonio,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Howard,,,,Jump ball: P. Gasol vs. D. Howard
11:50.0,,,0-0,,D. Schroder misses 2-pt shot from 2 ft (block by L. Aldridge)
11:48.0,Defensive rebound by D. Green,,0-0,,
11:28.0,P. Gasol makes 3-pt shot from 23 ft (assist by L. Aldridge),3,3-0,,
11:09.0,,,3-0,,Shooting foul by D. Green (drawn by D. Howard)
11:09.0,,,3-1,1,D. Howard makes free throw 1 of 2
11:09.0,,,3-2,1,D. Howard makes free throw 2 of 2
10:56.0,T. Parker misses 2-pt shot from 13 ft (block by D. Schroder),,3-2,,
10:54.0,,,3-2,,Defensive rebound by P. Millsap
10:41.0,,,3-2,,P. Millsap misses 2-pt shot from 7 ft
10:40.0,Defensive rebound by P. Gasol,,3-2,,
10:23.0,L. Aldridge misses 2-pt shot from 18 ft,,3-2,,
10:21.0,,,3-2,,Defensive rebound by P. Millsap
10:14.0,,,3-2,,T. Sefolosha misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by P. Gasol,,3-2,,
9:56.0,T. Parker makes 2-pt shot from 1 ft,2,5-2,,
9:36.0,,,5-2,,K. Bazemore misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by L. Aldridge,,5-2,,
9:25.0,K. Leonard misses 3-pt shot from 24 ft,,5-2,,
9:23.0,Offensive rebound by L. Aldridge,,5-2,,
9:17.0,Turnover by T. Parker (lost ball),,5-2,,
9:00.0,,,5-2,,T. Sefolosha misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by P. Gasol,,5-2,,
8:43.0,L. Aldridge makes 3-pt shot from 23 ft (assist by K. Leonard),3,8-2,,
8:29.0,,,8-2,,D. Howard misses 2-pt shot from 19 ft
8:27.0,,,8-2,,Offensive rebound by T. Sefolosha
8:23.0,,,8-4,2,D. Schroder makes 2-pt shot from 15 ft (assist by D. Howard)
8:05.0,Turnover by P. Gasol (bad pass),,8-4,,
8:05.0,K. Anderson enters the game for K. Leonard,,8-4,,
7:54.0,,,8-6,2,D. Schroder makes 2-pt shot from 17 ft
7:35.0,Turnover by P. Gasol (lost ball; steal by K. Bazemore),,8-6,,
7:23.0,,,8-6,,P. Millsap misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by K. Anderson,,8-6,,
7:08.0,,,8-6,,Personal foul by K. Bazemore (drawn by D. Green)
7:08.0,,,8-6,,K. Korver enters the game for T. Sefolosha
7:00.0,T. Parker makes 2-pt shot from 2 ft,2,10-6,,
6:51.0,Personal foul by P. Gasol (drawn by D. Howard),,10-6,,
6:51.0,P. Mills enters the game for T. Parker,,10-6,,
6:43.0,,,10-6,,K. Bazemore misses 2-pt shot from 3 ft
6:41.0,Defensive rebound by L. Aldridge,,10-6,,
6:38.0,Turnover by K. Anderson (lost ball; steal by K. Korver),,10-6,,
6:24.0,,,10-6,,K. Bazemore misses 3-pt shot from 26 ft
6:23.0,Defensive rebound by L. Aldridge,,10-6,,
6:07.0,P. Gasol misses 2-pt shot from 2 ft (block by K. Korver),,10-6,,
6:06.0,Offensive rebound by P. Gasol,,10-6,,
6:04.0,P. Gasol makes 2-pt shot from 10 ft,2,12-6,,
6:04.0,,,12-6,,Atlanta full timeout
6:04.0,D. Lee enters the game for P. Gasol,,12-6,,
6:04.0,M. Ginobili enters the game for D. Green,,12-6,,
6:04.0,K. Leonard enters the game for K. Anderson,,12-6,,
5:42.0,,,12-6,,D. Howard misses 2-pt shot from 2 ft
5:41.0,Defensive rebound by L. Aldridge,,12-6,,
5:35.0,Turnover by M. Ginobili (bad pass; steal by K. Bazemore),,12-6,,
5:32.0,,,12-6,,Shooting foul by P. Mills (drawn by K. Bazemore)
5:32.0,,,12-6,,K. Bazemore misses free throw 1 of 2
5:32.0,,,12-6,,Offensive rebound by Team
5:32.0,,,12-7,1,K. Bazemore makes free throw 2 of 2
5:20.0,P. Mills misses 2-pt shot from 1 ft,,12-7,,
5:18.0,,,12-7,,Defensive rebound by P. Millsap
4:59.0,,,12-9,2,D. Howard makes 2-pt shot from 1 ft (assist by D. Schroder)
4:47.0,Shooting foul by P. Millsap (drawn by M. Ginobili),,12-9,,
4:47.0,M. Ginobili makes free throw 1 of 2,1,13-9,,
4:47.0,M. Ginobili makes free throw 2 of 2,1,14-9,,
4:47.0,,,13-9,,T. Sefolosha enters the game for K. Bazemore
4:38.0,,,14-9,,D. Schroder misses 2-pt shot from 12 ft (block by K. Leonard)
4:36.0,,,14-9,,Offensive rebound by D. Schroder
4:35.0,,,14-9,,Turnover by D. Schroder (bad pass; steal by M. Ginobili)
4:30.0,P. Mills misses 2-pt shot from 1 ft,,14-9,,
4:29.0,Offensive rebound by L. Aldridge,,14-9,,
4:28.0,L. Aldridge makes 2-pt shot from 1 ft,2,16-9,,
4:15.0,,,16-12,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder)
4:00.0,M. Ginobili makes 3-pt shot from 23 ft (assist by L. Aldridge),3,19-12,,
3:42.0,,,19-14,2,P. Millsap makes 2-pt shot from 18 ft (assist by D. Schroder)
3:31.0,P. Mills misses 2-pt shot from 1 ft,,19-14,,
