time,Indiana,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Turner (D. Favors gains possession),,,,Jump ball: R. Gobert vs. M. Turner (D. Favors gains possession)
11:46.0,,,0-0,,Shooting foul by J. Teague (drawn by G. Hill)
11:46.0,,,0-1,1,G. Hill makes free throw 1 of 2
11:46.0,,,0-2,1,G. Hill makes free throw 2 of 2
11:32.0,M. Turner misses 2-pt shot from 13 ft,,0-2,,
11:32.0,,,0-2,,Defensive rebound by D. Favors
11:18.0,,,0-4,2,D. Favors makes 2-pt shot from 14 ft (assist by G. Hill)
10:52.0,T. Young makes 2-pt shot from 2 ft,2,2-4,,
10:36.0,,,2-7,3,G. Hayward makes 3-pt shot from 25 ft (assist by G. Hill)
10:23.0,P. George misses 2-pt shot from 8 ft,,2-7,,
10:23.0,Offensive rebound by M. Turner,,2-7,,
10:05.0,P. George makes 3-pt shot from 24 ft (assist by J. Teague),3,5-7,,
9:54.0,Personal foul by P. George (drawn by G. Hayward),,5-7,,
9:47.0,,,5-9,2,G. Hayward makes 2-pt shot from 20 ft
9:38.0,,,5-9,,Personal foul by G. Hill (drawn by P. George)
9:25.0,P. George misses 2-pt shot from 16 ft,,5-9,,
9:25.0,,,5-9,,Defensive rebound by J. Ingles
9:05.0,,,5-9,,D. Favors misses 2-pt shot from 3 ft
9:05.0,,,5-9,,Offensive rebound by R. Gobert
8:53.0,,,5-9,,G. Hill misses 3-pt shot from 25 ft
8:52.0,,,5-9,,Offensive rebound by D. Favors
8:50.0,,,5-11,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
8:35.0,G. Robinson misses 2-pt shot from 6 ft,,5-11,,
8:34.0,,,5-11,,Defensive rebound by R. Gobert
8:26.0,,,5-13,2,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles)
8:26.0,Indiana full timeout,,5-13,,
8:15.0,T. Young makes 2-pt shot from 3 ft (assist by J. Teague),2,7-13,,
7:59.0,,,7-15,2,G. Hill makes 2-pt shot from 21 ft (assist by J. Ingles)
7:37.0,J. Teague misses 2-pt shot from 19 ft,,7-15,,
7:37.0,,,7-15,,Defensive rebound by R. Gobert
7:25.0,,,7-15,,Turnover by D. Favors (lost ball)
7:09.0,P. George makes 3-pt shot from 24 ft,3,10-15,,
6:49.0,,,10-15,,G. Hill misses 2-pt shot from 21 ft
6:48.0,,,10-15,,Offensive rebound by Team
6:45.0,,,10-15,,J. Ingles misses 2-pt shot from 21 ft
6:44.0,Defensive rebound by P. George,,10-15,,
6:38.0,T. Young makes 2-pt shot from 21 ft (assist by P. George),2,12-15,,
6:23.0,,,12-17,2,G. Hayward makes 2-pt shot from 22 ft
6:12.0,Turnover by M. Turner (bad pass; steal by J. Ingles),,12-17,,
6:09.0,,,12-19,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
5:51.0,P. George makes 2-pt shot from 8 ft,2,14-19,,
5:40.0,,,14-19,,Turnover by G. Hill (bad pass; steal by J. Teague)
5:34.0,G. Robinson misses 2-pt shot from 2 ft,,14-19,,
5:33.0,,,14-19,,Defensive rebound by G. Hill
5:21.0,,,14-19,,D. Favors misses 2-pt shot from 14 ft
5:20.0,,,14-19,,Offensive rebound by Team
5:20.0,A. Jefferson enters the game for G. Robinson,,14-19,,
5:20.0,M. Ellis enters the game for M. Turner,,14-19,,
5:20.0,,,14-19,,R. Neto enters the game for G. Hill
5:20.0,,,14-19,,T. Lyles enters the game for D. Favors
5:15.0,,,14-19,,Shooting foul by A. Jefferson (drawn by G. Hayward)
5:15.0,,,14-20,1,G. Hayward makes free throw 1 of 2
5:15.0,,,14-21,1,G. Hayward makes free throw 2 of 2
5:15.0,,,14-20,,A. Burks enters the game for J. Ingles
4:59.0,T. Young misses 2-pt shot from 12 ft,,14-21,,
4:58.0,,,14-21,,Defensive rebound by Team
4:41.0,,,14-21,,Turnover by R. Neto (bad pass; steal by T. Young)
4:37.0,Turnover by T. Young (bad pass),,14-21,,
4:22.0,,,14-23,2,G. Hayward makes 2-pt shot from 16 ft
4:22.0,,,14-23,,Shooting foul by P. George (drawn by G. Hayward)
4:22.0,,,14-23,,G. Hayward misses free throw 1 of 1
4:22.0,Defensive rebound by T. Young,,14-23,,
4:22.0,C. Miles enters the game for T. Young,,14-23,,
4:22.0,T. Young enters the game for P. George,,14-23,,
4:07.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,16-23,,
3:54.0,,,16-23,,Turnover by T. Lyles (bad pass; steal by J. Teague)
3:47.0,C. Miles misses 3-pt shot from 24 ft,,16-23,,
3:46.0,,,16-23,,Defensive rebound by A. Burks
3:37.0,,,16-25,2,A. Burks makes 2-pt shot from 22 ft
3:13.0,Shooting foul by A. Burks (drawn by C. Miles),,16-25,,
3:13.0,C. Miles misses free throw 1 of 2,,16-25,,
3:13.0,Offensive rebound by Team,,16-25,,
3:13.0,C. Miles makes free throw 2 of 2,1,17-25,,
3:13.0,,,16-25,,J. Johnson enters the game for G. Hayward
3:13.0,A. Brooks enters the game for J. Teague,,16-25,,
2:57.0,,,17-25,,R. Neto misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by C. Miles,,17-25,,
2:46.0,Turnover by A. Brooks (bad pass; steal by R. Neto),,17-25,,
2:41.0,,,17-25,,R. Neto misses 2-pt shot from 2 ft (block by T. Young)
2:41.0,,,17-25,,Offensive rebound by Team
2:41.0,,,17-25,,Utah full timeout
2:41.0,L. Allen enters the game for T. Young,,17-25,,
2:41.0,,,17-25,,D. Favors enters the game for R. Gobert
2:35.0,,,17-27,2,A. Burks makes 2-pt shot from 13 ft (assist by J. Johnson)
2:18.0,C. Miles misses 3-pt shot from 24 ft,,17-27,,
2:17.0,,,17-27,,Defensive rebound by D. Favors
2:07.0,,,17-27,,T. Lyles misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by A. Jefferson,,17-27,,
1:55.0,M. Ellis misses 2-pt shot from 21 ft,,17-27,,
1:55.0,,,17-27,,Defensive rebound by D. Favors
1:44.0,,,17-27,,T. Lyles misses 2-pt shot from 6 ft
1:43.0,,,17-27,,Offensive rebound by D. Favors
1:41.0,,,17-27,,D. Favors misses 2-pt shot from 11 ft
1:40.0,Defensive rebound by A. Jefferson,,17-27,,
1:29.0,A. Jefferson makes 2-pt shot from 18 ft (assist by A. Brooks),2,19-27,,
1:13.0,,,19-27,,Turnover by J. Johnson (lost ball; steal by C. Miles)
1:05.0,C. Miles misses 2-pt shot from 1 ft,,19-27,,
1:03.0,,,19-27,,Defensive rebound by J. Johnson
0:56.0,,,19-30,3,A. Burks makes 3-pt shot from 23 ft (assist by T. Lyles)
0:40.0,A. Jefferson makes 2-pt shot from 8 ft (assist by C. Miles),2,21-30,,
0:26.0,,,21-30,,J. Johnson misses 3-pt shot from 25 ft
0:26.0,,,21-30,,Offensive rebound by Team
0:26.0,Loose ball foul by A. Jefferson (drawn by D. Favors),,21-30,,
0:26.0,,,21-31,1,D. Favors makes free throw 1 of 2
0:26.0,,,21-31,,D. Favors misses free throw 2 of 2
0:26.0,,,21-31,,G. Hill enters the game for R. Neto
0:25.0,Defensive rebound by L. Allen,,21-31,,
0:10.0,,,21-31,,Personal foul by A. Burks (drawn by M. Ellis)
0:06.0,A. Jefferson misses 2-pt shot from 3 ft (block by D. Favors),,21-31,,
0:05.0,,,21-31,,Defensive rebound by T. Lyles
0:02.0,,,21-34,3,G. Hill makes 3-pt shot from 26 ft (assist by T. Lyles)
0:01.0,Turnover by C. Miles (bad pass; steal by T. Lyles),,21-34,,
0:01.0,,,21-34,,T. Lyles misses 2-pt shot from 20 ft
0:00.0,,,21-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Jefferson makes 2-pt shot from 1 ft,2,23-34,,
11:44.0,Shooting foul by D. Favors (drawn by A. Jefferson),,23-34,,
11:44.0,A. Jefferson makes free throw 1 of 1,1,24-34,,
11:26.0,,,24-34,,T. Lyles misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by A. Jefferson,,24-34,,
11:18.0,A. Brooks misses 3-pt shot from 25 ft,,24-34,,
11:17.0,Offensive rebound by Team,,24-34,,
11:11.0,A. Brooks makes 2-pt shot from 6 ft,2,26-34,,
11:03.0,Personal foul by C. Miles (drawn by J. Johnson),,26-34,,
10:55.0,,,26-36,2,T. Lyles makes 2-pt shot from 3 ft (assist by D. Favors)
10:35.0,A. Brooks misses 3-pt shot from 26 ft,,26-36,,
10:35.0,,,26-36,,Defensive rebound by A. Burks
10:28.0,,,26-38,2,A. Burks makes 2-pt shot from 5 ft
10:18.0,Turnover by A. Jefferson (bad pass; steal by T. Lyles),,26-38,,
10:17.0,Personal foul by C. Miles (drawn by T. Lyles),,26-38,,
10:17.0,P. George enters the game for L. Allen,,26-38,,
10:00.0,,,26-40,2,D. Favors makes 2-pt shot at rim (assist by T. Lyles)
9:35.0,,,26-40,,Shooting block foul by A. Burks (drawn by M. Ellis)
9:35.0,M. Ellis misses free throw 1 of 2,,26-40,,
9:35.0,Offensive rebound by Team,,26-40,,
9:35.0,M. Ellis makes free throw 2 of 2,1,27-40,,
9:35.0,,,26-40,,J. Ingles enters the game for A. Burks
9:35.0,J. Teague enters the game for A. Brooks,,26-40,,
9:35.0,M. Turner enters the game for A. Jefferson,,26-40,,
9:22.0,,,27-43,3,G. Hill makes 3-pt shot from 25 ft
9:04.0,P. George misses 2-pt shot from 17 ft,,27-43,,
9:03.0,,,27-43,,Defensive rebound by D. Favors
8:53.0,,,27-43,,T. Lyles misses 3-pt shot from 26 ft
8:53.0,Defensive rebound by M. Ellis,,27-43,,
8:35.0,M. Ellis makes 2-pt shot from 12 ft,2,29-43,,
8:29.0,,,29-43,,Utah full timeout
8:29.0,T. Young enters the game for C. Miles,,29-43,,
8:29.0,,,29-43,,B. Diaw enters the game for T. Lyles
8:19.0,,,29-43,,Turnover by D. Favors (3 sec)
7:59.0,M. Ellis makes 3-pt shot from 24 ft (assist by J. Teague),3,32-43,,
7:46.0,,,32-45,2,J. Johnson makes 2-pt shot from 1 ft (assist by B. Diaw)
7:28.0,Turnover by M. Ellis (bad pass; steal by J. Ingles),,32-45,,
7:12.0,,,32-45,,Shooting foul by M. Turner (drawn by D. Favors)
7:12.0,,,32-45,,D. Favors misses free throw 1 of 2
7:12.0,,,32-45,,Offensive rebound by Team
7:12.0,,,32-46,1,D. Favors makes free throw 2 of 2
7:12.0,,,32-45,,G. Hayward enters the game for J. Johnson
7:12.0,,,32-45,,R. Neto enters the game for G. Hill
6:57.0,M. Turner makes 3-pt shot from 24 ft (assist by J. Teague),3,35-46,,
6:39.0,,,35-48,2,J. Ingles makes 2-pt shot from 2 ft (assist by D. Favors)
6:25.0,J. Teague misses 2-pt shot from 10 ft,,35-48,,
6:24.0,,,35-48,,Defensive rebound by D. Favors
6:12.0,,,35-50,2,D. Favors makes 2-pt shot from 2 ft (assist by J. Ingles)
6:10.0,Turnover by M. Turner (inbound),,35-50,,
6:10.0,,,35-50,,R. Gobert enters the game for D. Favors
6:07.0,,,35-50,,Shooting foul by P. George (drawn by G. Hayward)
6:07.0,,,35-51,1,G. Hayward makes free throw 1 of 2
6:07.0,,,35-52,1,G. Hayward makes free throw 2 of 2
6:07.0,C. Miles enters the game for P. George,,35-51,,
5:48.0,C. Miles makes 2-pt shot from 15 ft (assist by M. Turner),2,37-52,,
5:28.0,,,37-52,,R. Neto misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by T. Young,,37-52,,
5:20.0,J. Teague makes 2-pt shot from 1 ft,2,39-52,,
5:04.0,,,39-52,,B. Diaw misses 2-pt shot from 4 ft
5:04.0,Defensive rebound by C. Miles,,39-52,,
4:52.0,T. Young makes 2-pt shot from 3 ft,2,41-52,,
4:35.0,,,41-52,,B. Diaw misses 2-pt shot from 23 ft
4:35.0,Defensive rebound by J. Teague,,41-52,,
4:26.0,Turnover by M. Ellis (bad pass; steal by J. Ingles),,41-52,,
4:16.0,,,41-52,,J. Ingles misses 3-pt shot from 27 ft
4:16.0,,,41-52,,Offensive rebound by R. Gobert
4:06.0,,,41-52,,Utah full timeout
4:06.0,,,41-52,,Utah full timeout
4:06.0,,,41-52,,A. Burks enters the game for J. Ingles
4:06.0,,,41-52,,G. Hill enters the game for R. Neto
3:57.0,,,41-54,2,G. Hayward makes 2-pt shot from 2 ft
3:39.0,M. Turner misses 2-pt shot from 14 ft,,41-54,,
3:39.0,,,41-54,,Defensive rebound by G. Hayward
3:20.0,,,41-56,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
2:57.0,T. Young makes 3-pt shot from 24 ft (assist by M. Ellis),3,44-56,,
2:42.0,,,44-56,,G. Hayward misses 2-pt shot from 19 ft
2:42.0,Defensive rebound by M. Turner,,44-56,,
2:32.0,J. Teague makes 2-pt shot from 6 ft,2,46-56,,
2:12.0,,,46-56,,R. Gobert misses 2-pt shot from 4 ft
2:11.0,,,46-56,,Offensive rebound by G. Hill
2:09.0,,,46-56,,G. Hill misses 2-pt shot from 2 ft
2:08.0,,,46-56,,Offensive rebound by R. Gobert
2:08.0,,,46-56,,Shooting foul by M. Turner (drawn by R. Gobert)
2:08.0,Indiana full timeout,,46-56,,
2:08.0,Violation by Team (jump ball),,46-56,,
2:08.0,,,46-57,1,R. Gobert makes free throw 1 of 2
2:08.0,,,46-58,1,R. Gobert makes free throw 2 of 2
2:08.0,,,46-56,,J. Johnson enters the game for B. Diaw
2:08.0,,,46-56,,J. Ingles enters the game for A. Burks
