time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Plumlee (G. Hill gains possession),,,,Jump ball: R. Gobert vs. M. Plumlee (G. Hill gains possession)
11:44.0,R. Hood makes 2-pt shot from 19 ft (assist by R. Gobert),2,2-0,,
11:27.0,,,2-3,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
11:19.0,,,2-3,,Personal foul by C. McCollum (drawn by R. Hood)
11:10.0,Offensive foul by R. Gobert,,2-3,,
11:10.0,Turnover by R. Gobert (offensive foul),,2-3,,
10:53.0,,,2-6,3,D. Lillard makes 3-pt shot from 26 ft
10:39.0,Shooting foul by M. Plumlee (drawn by R. Hood),,2-6,,
10:39.0,R. Hood makes free throw 1 of 2,1,3-6,,
10:39.0,R. Hood makes free throw 2 of 2,1,4-6,,
10:13.0,,,4-8,2,C. McCollum makes 2-pt shot from 17 ft
9:52.0,G. Hill makes 2-pt shot from 19 ft (assist by J. Johnson),2,6-8,,
9:40.0,,,6-8,,C. McCollum misses 2-pt shot at rim (block by R. Hood)
9:39.0,Defensive rebound by J. Johnson,,6-8,,
9:19.0,G. Hill makes 3-pt shot from 25 ft (assist by J. Johnson),3,9-8,,
8:51.0,,,9-8,,M. Plumlee misses 2-pt shot from 14 ft
8:50.0,Defensive rebound by R. Gobert,,9-8,,
8:41.0,Shooting foul by D. Lillard (drawn by G. Hill),,9-8,,
8:41.0,G. Hill makes free throw 1 of 2,1,10-8,,
8:41.0,G. Hill makes free throw 2 of 2,1,11-8,,
8:26.0,,,11-8,,D. Lillard misses 2-pt shot from 10 ft
8:25.0,Defensive rebound by R. Gobert,,11-8,,
8:12.0,Shooting foul by M. Plumlee (drawn by R. Gobert),,11-8,,
8:12.0,R. Gobert makes free throw 1 of 2,1,12-8,,
8:12.0,R. Gobert makes free throw 2 of 2,1,13-8,,
7:53.0,,,13-10,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
7:32.0,J. Johnson makes 2-pt shot from 17 ft (assist by R. Gobert),2,15-10,,
7:20.0,,,15-10,,Turnover by M. Harkless (step out of bounds)
7:01.0,G. Hill makes 2-pt shot from 15 ft,2,17-10,,
6:48.0,Violation by R. Gobert (kicked ball),,17-10,,
6:48.0,J. Ingles enters the game for J. Johnson,,17-10,,
6:48.0,T. Lyles enters the game for B. Diaw,,17-10,,
6:44.0,,,17-13,3,C. McCollum makes 3-pt shot from 29 ft (assist by M. Harkless)
6:19.0,T. Lyles misses 2-pt shot from 19 ft,,17-13,,
6:18.0,,,17-13,,Defensive rebound by M. Harkless
6:08.0,,,17-13,,Shooting foul by J. Ingles (drawn by D. Lillard)
6:08.0,,,17-14,1,D. Lillard makes free throw 1 of 2
6:08.0,,,17-15,1,D. Lillard makes free throw 2 of 2
5:54.0,T. Lyles misses 2-pt shot from 19 ft,,17-15,,
5:53.0,,,17-15,,Defensive rebound by D. Lillard
5:50.0,Personal foul by R. Hood (drawn by D. Lillard),,17-15,,
5:50.0,,,17-15,,Portland full timeout
5:50.0,,,17-15,,E. Turner enters the game for M. Harkless
5:50.0,,,17-15,,A. Crabbe enters the game for C. McCollum
5:34.0,,,17-15,,M. Plumlee misses 2-pt shot from 2 ft
5:34.0,Defensive rebound by T. Lyles,,17-15,,
5:20.0,Turnover by T. Lyles (traveling),,17-15,,
5:07.0,,,17-18,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
4:48.0,G. Hill misses 2-pt shot from 14 ft,,17-18,,
4:47.0,,,17-18,,Defensive rebound by E. Turner
4:35.0,Violation by R. Gobert (kicked ball),,17-18,,
4:35.0,,,17-18,,E. Davis enters the game for M. Plumlee
4:35.0,S. Mack enters the game for R. Hood,,17-18,,
4:23.0,,,17-18,,E. Davis misses 2-pt shot from 2 ft (block by G. Hill)
4:22.0,Jump ball: E. Davis vs. G. Hill,,,,Jump ball: E. Davis vs. G. Hill
4:22.0,,,17-18,,Offensive rebound by Team
4:18.0,,,17-20,2,D. Lillard makes 2-pt shot from 17 ft (assist by E. Turner)
3:58.0,J. Ingles makes 2-pt shot from 3 ft (assist by S. Mack),2,19-20,,
3:38.0,,,19-20,,A. Crabbe misses 2-pt shot from 11 ft
3:38.0,Defensive rebound by R. Gobert,,19-20,,
3:30.0,S. Mack makes 2-pt shot from 19 ft,2,21-20,,
3:05.0,,,21-20,,A. Aminu misses 2-pt shot from 3 ft
3:05.0,,,21-20,,Offensive rebound by E. Davis
3:05.0,,,21-22,2,E. Davis makes 2-pt shot from 1 ft
2:59.0,Utah full timeout,,21-22,,
2:59.0,,,21-22,,C. McCollum enters the game for D. Lillard
2:59.0,,,21-22,,N. Vonleh enters the game for A. Aminu
2:59.0,R. Hood enters the game for G. Hill,,21-22,,
2:55.0,R. Hood makes 2-pt shot from 1 ft,2,23-22,,
2:55.0,,,23-22,,Shooting block foul by E. Davis (drawn by R. Hood)
2:55.0,R. Hood makes free throw 1 of 1,1,24-22,,
2:42.0,,,24-22,,E. Turner misses 2-pt shot from 13 ft
2:41.0,Defensive rebound by R. Hood,,24-22,,
2:33.0,R. Hood misses 2-pt shot from 2 ft (block by E. Davis),,24-22,,
2:33.0,Offensive rebound by Team,,24-22,,
2:26.0,S. Mack misses 2-pt shot from 20 ft,,24-22,,
2:26.0,,,24-22,,Defensive rebound by A. Crabbe
2:13.0,,,24-24,2,N. Vonleh makes 2-pt shot from 22 ft (assist by A. Crabbe)
1:52.0,R. Gobert makes 2-pt shot at rim (assist by T. Lyles),2,26-24,,
1:34.0,,,26-24,,E. Turner misses 2-pt shot from 16 ft
1:34.0,Defensive rebound by S. Mack,,26-24,,
1:21.0,T. Lyles misses 2-pt shot from 7 ft,,26-24,,
1:21.0,,,26-24,,Defensive rebound by Team
1:21.0,J. Withey enters the game for R. Gobert,,26-24,,
1:05.0,,,26-26,2,N. Vonleh makes 2-pt shot from 21 ft (assist by E. Turner)
0:40.0,D. Exum enters the game for J. Ingles,,26-26,,
0:40.0,Turnover by Team (shot clock),,26-26,,
0:29.0,,,26-26,,Turnover by C. McCollum (bad pass; steal by S. Mack)
0:22.0,Turnover by T. Lyles (bad pass; steal by C. McCollum),,26-26,,
0:06.0,,,26-26,,C. McCollum misses 2-pt shot from 4 ft
0:06.0,Defensive rebound by J. Withey,,26-26,,
0:00.0,R. Hood misses 3-pt shot from 25 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-28,2,C. McCollum makes 2-pt shot from 14 ft
11:49.0,,,26-28,,Shooting foul by J. Withey (drawn by C. McCollum)
11:49.0,,,26-29,1,C. McCollum makes free throw 1 of 1
11:32.0,J. Johnson misses 2-pt shot from 19 ft,,26-29,,
11:31.0,,,26-29,,Defensive rebound by N. Vonleh
11:19.0,,,26-29,,Turnover by C. McCollum (bad pass; steal by J. Withey)
11:07.0,B. Diaw misses 2-pt shot from 1 ft,,26-29,,
11:07.0,,,26-29,,Defensive rebound by E. Turner
10:57.0,,,26-29,,E. Turner misses 2-pt shot from 10 ft
10:57.0,,,26-29,,Offensive rebound by E. Davis
10:57.0,,,26-29,,Shooting foul by B. Diaw (drawn by E. Davis)
