time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (L. James gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (L. James gains possession)
11:44.0,,,0-3,3,J. Smith makes 3-pt shot from 24 ft (assist by L. James)
11:26.0,K. Thompson misses 2-pt shot from 12 ft,,0-3,,
11:25.0,,,0-3,,Defensive rebound by T. Thompson
11:15.0,,,0-6,3,K. Irving makes 3-pt shot from 25 ft
11:09.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by S. Curry),2,2-6,,
11:00.0,,,2-8,2,K. Irving makes 2-pt shot from 14 ft
10:47.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,5-8,,
10:32.0,,,5-8,,K. Irving misses 3-pt shot from 27 ft
10:32.0,Defensive rebound by Team,,5-8,,
10:23.0,D. Green misses 2-pt shot from 5 ft,,5-8,,
10:22.0,Offensive rebound by D. Green,,5-8,,
10:14.0,K. Durant misses 3-pt shot from 26 ft,,5-8,,
10:13.0,,,5-8,,Defensive rebound by K. Irving
9:58.0,,,5-8,,L. James misses 2-pt shot from 13 ft
9:57.0,,,5-8,,Offensive rebound by T. Thompson
9:56.0,,,5-10,2,L. James makes 2-pt shot from 2 ft (assist by T. Thompson)
9:56.0,,,5-10,,Shooting foul by Z. Pachulia (drawn by L. James)
9:56.0,,,5-11,1,L. James makes free throw 1 of 1
9:51.0,Turnover by S. Curry (lost ball),,5-11,,
9:40.0,,,5-11,,T. Thompson misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by Z. Pachulia,,5-11,,
9:33.0,S. Curry misses 3-pt shot from 25 ft,,5-11,,
9:31.0,,,5-11,,Defensive rebound by L. James
9:26.0,,,5-11,,K. Love misses 3-pt shot from 25 ft
9:25.0,,,5-11,,Offensive rebound by L. James
9:22.0,,,5-14,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
9:22.0,Golden State full timeout,,5-14,,
9:11.0,Turnover by D. Green (bad pass; steal by J. Smith),,5-14,,
9:02.0,,,5-16,2,K. Love makes 2-pt shot from 2 ft (assist by L. James)
8:51.0,Shooting foul by K. Irving (drawn by Z. Pachulia),,5-16,,
8:51.0,Z. Pachulia makes free throw 1 of 2,1,6-16,,
8:51.0,Z. Pachulia misses free throw 2 of 2,,6-16,,
8:50.0,,,6-16,,Defensive rebound by T. Thompson
8:33.0,,,6-16,,J. Smith misses 3-pt shot from 27 ft
8:32.0,,,6-16,,Offensive rebound by T. Thompson
8:29.0,,,6-19,3,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson)
8:12.0,K. Thompson makes 3-pt shot from 23 ft (assist by K. Durant),3,9-19,,
7:54.0,,,9-19,,Shooting foul by K. Thompson (drawn by K. Love)
7:54.0,,,9-20,1,K. Love makes free throw 1 of 2
7:54.0,,,9-21,1,K. Love makes free throw 2 of 2
7:51.0,Turnover by S. Curry (bad pass),,9-21,,
7:38.0,,,9-24,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
7:29.0,Shooting foul by T. Thompson (drawn by D. Green),,9-24,,
7:29.0,D. Green makes free throw 1 of 2,1,10-24,,
7:29.0,D. Green makes free throw 2 of 2,1,11-24,,
7:29.0,A. Iguodala enters the game for Z. Pachulia,,10-24,,
7:12.0,,,11-24,,K. Love misses 2-pt shot from 4 ft
7:11.0,,,11-24,,Offensive rebound by T. Thompson
7:11.0,,,11-26,2,T. Thompson makes 2-pt shot from 1 ft
6:57.0,D. Green misses 3-pt shot from 26 ft,,11-26,,
6:57.0,,,11-26,,Defensive rebound by L. James
6:54.0,,,11-26,,Shooting foul by D. Green (drawn by L. James)
6:54.0,,,11-26,,L. James misses free throw 1 of 2
6:54.0,,,11-26,,Offensive rebound by Team
6:54.0,,,11-27,1,L. James makes free throw 2 of 2
6:38.0,A. Iguodala makes 2-pt shot from 18 ft,2,13-27,,
6:11.0,,,13-27,,J. Smith misses 2-pt shot from 23 ft
6:10.0,Defensive rebound by D. Green,,13-27,,
6:06.0,D. Green misses 2-pt shot from 6 ft,,13-27,,
6:05.0,,,13-27,,Defensive rebound by L. James
6:01.0,Personal foul by S. Curry (drawn by K. Love),,13-27,,
5:45.0,,,13-27,,L. James misses 2-pt shot from 3 ft (block by D. Green)
5:45.0,,,13-27,,Offensive rebound by Team
5:40.0,,,13-29,2,K. Irving makes 2-pt shot from 5 ft (assist by L. James)
5:27.0,,,13-29,,Cleveland full timeout
