time,Miami,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. H. Whiteside (G. Dieng gains possession),,,,Jump ball: K. Towns vs. H. Whiteside (G. Dieng gains possession)
11:42.0,,,0-0,,A. Wiggins misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by H. Whiteside,,0-0,,
11:24.0,H. Whiteside misses 2-pt shot from 8 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by G. Dieng
11:11.0,,,0-0,,Turnover by R. Rubio (bad pass; steal by H. Whiteside)
11:00.0,D. Waiters misses 3-pt shot from 27 ft,,0-0,,
10:59.0,Offensive rebound by H. Whiteside,,0-0,,
10:58.0,H. Whiteside makes 2-pt shot from 1 ft,2,2-0,,
10:43.0,,,2-2,2,K. Towns makes 2-pt shot from 20 ft (assist by R. Rubio)
10:26.0,L. Babbitt misses 3-pt shot from 25 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by A. Wiggins
10:16.0,,,2-2,,K. Towns misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by H. Whiteside,,2-2,,
10:08.0,D. Waiters makes 2-pt shot from 1 ft,2,4-2,,
9:58.0,Personal foul by L. Babbitt (drawn by K. Towns),,4-2,,
9:54.0,,,4-2,,Turnover by K. Towns (bad pass)
9:39.0,G. Dragic makes 3-pt shot from 25 ft (assist by R. McGruder),3,7-2,,
9:15.0,,,7-2,,G. Dieng misses 2-pt shot from 7 ft (block by H. Whiteside)
9:13.0,Defensive rebound by D. Waiters,,7-2,,
8:57.0,Turnover by G. Dragic (bad pass),,7-2,,
8:47.0,,,7-2,,R. Rubio misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by H. Whiteside,,7-2,,
8:32.0,H. Whiteside makes 2-pt shot from 5 ft (assist by G. Dragic),2,9-2,,
8:16.0,,,9-4,2,K. Towns makes 2-pt shot from 8 ft
8:02.0,L. Babbitt makes 3-pt shot from 24 ft (assist by G. Dragic),3,12-4,,
7:42.0,,,12-6,2,G. Dieng makes 2-pt shot at rim
7:42.0,,,12-6,,Shooting foul by L. Babbitt (drawn by G. Dieng)
7:42.0,,,12-7,1,G. Dieng makes free throw 1 of 1
7:42.0,J. Johnson enters the game for L. Babbitt,,12-6,,
7:23.0,J. Johnson makes 2-pt shot from 1 ft (assist by H. Whiteside),2,14-7,,
7:11.0,,,14-10,3,B. Rush makes 3-pt shot from 24 ft (assist by R. Rubio)
