time,Memphis,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gasol (J. Green gains possession),,,,Jump ball: A. Davis vs. M. Gasol (J. Green gains possession)
11:40.0,M. Conley misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by S. Hill
11:14.0,,,0-0,,D. Cousins misses 2-pt shot from 4 ft (block by V. Carter)
11:14.0,,,0-0,,Offensive rebound by Team
11:14.0,,,0-0,,Turnover by Team (shot clock)
11:00.0,J. Green makes 2-pt shot from 2 ft (assist by M. Gasol),2,2-0,,
10:50.0,,,2-0,,Shooting foul by V. Carter (drawn by S. Hill)
10:50.0,,,2-1,1,S. Hill makes free throw 1 of 2
10:50.0,,,2-2,1,S. Hill makes free throw 2 of 2
10:29.0,W. Selden misses 3-pt shot from 26 ft,,2-2,,
10:27.0,,,2-2,,Defensive rebound by D. Cousins
10:16.0,,,2-2,,J. Holiday misses 3-pt shot from 25 ft
10:15.0,Defensive rebound by J. Green,,2-2,,
10:06.0,M. Gasol misses 2-pt shot from 20 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by A. Davis
9:56.0,,,2-2,,A. Davis misses 2-pt shot at rim
9:54.0,Defensive rebound by M. Conley,,2-2,,
9:34.0,V. Carter makes 2-pt shot from 6 ft,2,4-2,,
9:14.0,,,4-2,,A. Davis misses 2-pt shot from 7 ft
9:11.0,Defensive rebound by W. Selden,,4-2,,
9:04.0,M. Gasol makes 2-pt shot from 17 ft (assist by V. Carter),2,6-2,,
8:43.0,,,6-2,,Shooting foul by J. Green (drawn by S. Hill)
8:43.0,,,6-2,,S. Hill misses free throw 1 of 2
8:43.0,,,6-2,,Offensive rebound by Team
8:43.0,,,6-3,1,S. Hill makes free throw 2 of 2
8:32.0,Turnover by M. Gasol (lost ball; steal by T. Frazier),,6-3,,
8:24.0,,,6-5,2,A. Davis makes 2-pt shot at rim (assist by S. Hill)
8:03.0,M. Conley makes 2-pt shot from 2 ft,2,8-5,,
7:52.0,,,8-5,,Turnover by A. Davis (lost ball; steal by W. Selden)
7:46.0,W. Selden makes 2-pt shot from 2 ft (assist by J. Green),2,10-5,,
7:39.0,,,10-5,,J. Holiday misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by M. Gasol,,10-5,,
7:30.0,W. Selden misses 3-pt shot from 26 ft,,10-5,,
7:29.0,,,10-5,,Defensive rebound by D. Cousins
7:14.0,,,10-5,,J. Holiday misses 2-pt shot from 4 ft
7:11.0,,,10-5,,Offensive rebound by J. Holiday
7:11.0,,,10-5,,J. Holiday misses 2-pt shot from 1 ft
7:10.0,Defensive rebound by M. Gasol,,10-5,,
6:59.0,V. Carter misses 3-pt shot from 23 ft,,10-5,,
6:58.0,,,10-5,,Defensive rebound by A. Davis
6:48.0,,,10-8,3,D. Cousins makes 3-pt shot from 28 ft (assist by J. Holiday)
6:40.0,Memphis full timeout,,10-8,,
6:31.0,V. Carter misses 2-pt shot from 2 ft,,10-8,,
6:31.0,,,10-8,,Defensive rebound by S. Hill
6:26.0,,,10-8,,Turnover by T. Frazier (bad pass; steal by V. Carter)
6:11.0,M. Conley makes 2-pt shot from 6 ft,2,12-8,,
5:55.0,,,12-10,2,D. Cousins makes 2-pt shot from 6 ft (assist by T. Frazier)
5:39.0,M. Conley misses 2-pt shot from 2 ft,,12-10,,
5:38.0,,,12-10,,Defensive rebound by A. Davis
5:29.0,,,12-10,,Shooting foul by J. Green (drawn by D. Cousins)
5:29.0,,,12-11,1,D. Cousins makes free throw 1 of 2
5:29.0,,,12-12,1,D. Cousins makes free throw 2 of 2
5:29.0,Z. Randolph enters the game for J. Green,,12-11,,
5:29.0,J. Ennis enters the game for W. Selden,,12-11,,
5:29.0,A. Harrison enters the game for M. Conley,,12-11,,
5:29.0,,,12-11,,E. Moore enters the game for S. Hill
5:12.0,Z. Randolph misses 2-pt shot from 1 ft (block by D. Cousins),,12-12,,
5:11.0,,,12-12,,Defensive rebound by D. Cousins
5:02.0,,,12-14,2,E. Moore makes 2-pt shot from 3 ft
4:40.0,M. Gasol makes 2-pt shot from 15 ft (assist by V. Carter),2,14-14,,
4:31.0,,,14-16,2,J. Holiday makes 2-pt shot from 2 ft
4:16.0,Turnover by A. Harrison (bad pass; steal by T. Frazier),,14-16,,
4:09.0,,,14-16,,J. Holiday misses 2-pt shot at rim
4:07.0,Defensive rebound by A. Harrison,,14-16,,
3:50.0,V. Carter misses 3-pt shot from 29 ft,,14-16,,
3:48.0,Offensive rebound by Z. Randolph,,14-16,,
3:45.0,Z. Randolph misses 2-pt shot from 2 ft,,14-16,,
3:42.0,,,14-16,,Defensive rebound by D. Cousins
3:42.0,,,14-16,,Offensive foul by A. Davis
3:42.0,,,14-16,,Turnover by A. Davis (offensive foul)
3:33.0,,,14-16,,Personal foul by E. Moore (drawn by V. Carter)
3:33.0,T. Daniels enters the game for V. Carter,,14-16,,
3:33.0,,,14-16,,A. Ajinca enters the game for A. Davis
3:22.0,A. Harrison makes 3-pt shot from 26 ft (assist by T. Daniels),3,17-16,,
3:11.0,,,17-16,,T. Frazier misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by Z. Randolph,,17-16,,
3:03.0,M. Gasol makes 2-pt shot from 3 ft,2,19-16,,
3:03.0,Shooting foul by D. Cousins (drawn by M. Gasol),,19-16,,
3:03.0,M. Gasol misses free throw 1 of 1,,19-16,,
3:01.0,,,19-16,,Defensive rebound by A. Ajinca
2:52.0,,,19-16,,E. Moore misses 3-pt shot from 23 ft
2:51.0,Defensive rebound by Z. Randolph,,19-16,,
2:34.0,Z. Randolph misses 2-pt shot from 3 ft (block by D. Cousins),,19-16,,
2:33.0,Offensive rebound by Z. Randolph,,19-16,,
2:30.0,Z. Randolph makes 2-pt shot from 2 ft,2,21-16,,
2:17.0,,,21-16,,D. Cousins misses 3-pt shot from 26 ft
2:17.0,Defensive rebound by M. Gasol,,21-16,,
2:04.0,Z. Randolph misses 2-pt shot from 19 ft,,21-16,,
2:04.0,,,21-16,,Defensive rebound by A. Ajinca
1:53.0,Personal foul by M. Gasol (drawn by D. Cousins),,21-16,,
1:53.0,,,21-16,,New Orleans full timeout
1:53.0,,,21-16,,D. Motiejunas enters the game for D. Cousins
1:53.0,,,21-16,,J. Crawford enters the game for T. Frazier
1:42.0,,,21-18,2,E. Moore makes 2-pt shot from 2 ft
1:17.0,Z. Randolph misses 3-pt shot from 26 ft,,21-18,,
1:16.0,,,21-18,,Defensive rebound by A. Ajinca
1:07.0,,,21-21,3,J. Crawford makes 3-pt shot from 26 ft
0:44.0,J. Ennis misses 3-pt shot from 24 ft,,21-21,,
0:42.0,,,21-21,,Defensive rebound by A. Ajinca
0:31.0,,,21-21,,J. Holiday misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by T. Daniels,,21-21,,
0:13.0,A. Harrison makes 2-pt shot from 20 ft,2,23-21,,
0:00.0,,,23-21,,E. Moore misses 2-pt shot from 16 ft
0:00.0,,,23-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by M. Conley (drawn by D. Motiejunas),,23-21,,
