time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Jokic (D. Gallinari gains possession),,,,Jump ball: M. Gasol vs. N. Jokic (D. Gallinari gains possession)
11:39.0,,,0-0,,W. Chandler misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by J. Green,,0-0,,
11:22.0,M. Gasol misses 2-pt shot from 11 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by N. Jokic
11:04.0,,,0-0,,G. Harris misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by J. Green,,0-0,,
10:52.0,Turnover by J. Green (lost ball; steal by G. Harris),,0-0,,
10:46.0,,,0-0,,G. Harris misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by M. Conley,,0-0,,
10:37.0,,,0-0,,Personal foul by W. Chandler (drawn by M. Gasol)
10:32.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,2-0,,
10:16.0,,,2-3,3,W. Chandler makes 3-pt shot from 24 ft (assist by N. Jokic)
10:06.0,T. Allen misses 2-pt shot from 4 ft,,2-3,,
10:05.0,,,2-3,,Defensive rebound by N. Jokic
9:56.0,,,2-3,,N. Jokic misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by M. Conley,,2-3,,
9:53.0,Turnover by M. Conley (bad pass; steal by N. Jokic),,2-3,,
9:50.0,Personal foul by T. Allen (drawn by N. Jokic),,2-3,,
9:33.0,,,2-3,,J. Nelson misses 3-pt shot from 26 ft
9:33.0,,,2-3,,Offensive rebound by W. Chandler
9:29.0,,,2-3,,W. Chandler misses 2-pt shot from 3 ft (block by M. Gasol)
9:28.0,,,2-3,,Offensive rebound by W. Chandler
9:24.0,,,2-3,,W. Chandler misses 2-pt shot from 21 ft
9:23.0,Defensive rebound by C. Parsons,,2-3,,
9:06.0,J. Green misses 3-pt shot from 23 ft,,2-3,,
9:05.0,Offensive rebound by J. Green,,2-3,,
9:02.0,Shooting foul by N. Jokic (drawn by J. Green),,2-3,,
9:02.0,J. Green makes free throw 1 of 2,1,3-3,,
9:02.0,J. Green makes free throw 2 of 2,1,4-3,,
