time,Denver,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. H. Whiteside (J. Richardson gains possession),,,,Jump ball: N. Jokic vs. H. Whiteside (J. Richardson gains possession)
11:40.0,,,0-0,,H. Whiteside misses 2-pt shot from 7 ft
11:39.0,Defensive rebound by Team,,0-0,,
11:33.0,Turnover by J. Murray (bad pass),,0-0,,
11:23.0,,,0-0,,J. Richardson misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by N. Jokic,,0-0,,
11:15.0,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic),3,3-0,,
11:05.0,,,3-0,,G. Dragic misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by N. Jokic,,3-0,,
11:00.0,Turnover by N. Jokic (bad pass),,3-0,,
10:51.0,,,3-0,,Shooting foul by N. Jokic (drawn by H. Whiteside)
10:51.0,,,3-0,,H. Whiteside misses free throw 1 of 2
10:51.0,,,3-0,,Offensive rebound by Team
10:51.0,,,3-1,1,H. Whiteside makes free throw 2 of 2
10:35.0,K. Faried misses 2-pt shot from 3 ft (block by H. Whiteside),,3-1,,
10:34.0,Offensive rebound by Team,,3-1,,
10:28.0,G. Harris makes 2-pt shot from 2 ft,2,5-1,,
10:08.0,,,5-3,2,L. Babbitt makes 2-pt shot from 15 ft (assist by G. Dragic)
9:52.0,D. Gallinari misses 3-pt shot from 24 ft,,5-3,,
9:51.0,,,5-3,,Defensive rebound by G. Dragic
9:47.0,,,5-5,2,G. Dragic makes 2-pt shot from 1 ft
9:31.0,N. Jokic misses 2-pt shot from 8 ft,,5-5,,
9:30.0,Offensive rebound by N. Jokic,,5-5,,
9:29.0,N. Jokic makes 2-pt shot from 2 ft,2,7-5,,
9:29.0,Shooting foul by H. Whiteside (drawn by N. Jokic),,7-5,,
9:29.0,N. Jokic makes free throw 1 of 1,1,8-5,,
9:14.0,,,8-5,,H. Whiteside misses 2-pt shot from 8 ft
9:13.0,Defensive rebound by K. Faried,,8-5,,
9:07.0,,,8-5,,Personal foul by L. Babbitt (drawn by N. Jokic)
9:00.0,J. Murray makes 3-pt shot from 25 ft (assist by N. Jokic),3,11-5,,
8:50.0,,,11-7,2,G. Dragic makes 2-pt shot from 7 ft
8:31.0,K. Faried misses 2-pt shot from 4 ft (block by H. Whiteside),,11-7,,
8:30.0,,,11-7,,Defensive rebound by H. Whiteside
8:14.0,,,11-9,2,R. McGruder makes 2-pt shot from 2 ft
7:57.0,J. Murray misses 2-pt shot from 10 ft,,11-9,,
7:56.0,Offensive rebound by K. Faried,,11-9,,
7:52.0,K. Faried makes 2-pt shot from 3 ft,2,13-9,,
7:34.0,,,13-12,3,G. Dragic makes 3-pt shot from 24 ft (assist by R. McGruder)
7:12.0,N. Jokic makes 2-pt shot from 6 ft,2,15-12,,
6:54.0,,,15-12,,Turnover by G. Dragic (lost ball; steal by J. Murray)
6:53.0,,,15-12,,Personal foul by G. Dragic (drawn by N. Jokic)
6:53.0,,,15-12,,T. Johnson enters the game for L. Babbitt
6:53.0,,,15-12,,J. Johnson enters the game for G. Dragic
6:33.0,N. Jokic makes 2-pt shot from 7 ft,2,17-12,,
6:20.0,,,17-15,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. Johnson)
6:13.0,,,17-15,,Personal block foul by J. Johnson (drawn by D. Gallinari)
6:07.0,N. Jokic makes 2-pt shot from 17 ft (assist by G. Harris),2,19-15,,
5:49.0,,,19-17,2,J. Richardson makes 2-pt shot from 1 ft (assist by T. Johnson)
5:39.0,N. Jokic makes 2-pt shot from 2 ft,2,21-17,,
5:26.0,,,21-17,,Turnover by J. Johnson (bad pass; steal by K. Faried)
5:25.0,,,21-17,,Personal foul by J. Richardson (drawn by G. Harris)
5:25.0,,,21-17,,Miami full timeout
5:25.0,G. Harris makes free throw 1 of 2,1,22-17,,
5:25.0,G. Harris misses free throw 2 of 2,,22-17,,
5:25.0,E. Mudiay enters the game for K. Faried,,21-17,,
5:25.0,W. Chandler enters the game for J. Murray,,21-17,,
5:24.0,,,22-17,,Defensive rebound by H. Whiteside
5:09.0,,,22-19,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Johnson)
4:55.0,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic),2,24-19,,
4:41.0,,,24-19,,T. Johnson misses 2-pt shot from 20 ft
4:40.0,Defensive rebound by E. Mudiay,,24-19,,
4:21.0,D. Gallinari misses 2-pt shot from 19 ft,,24-19,,
4:20.0,,,24-19,,Defensive rebound by H. Whiteside
4:04.0,,,24-21,2,H. Whiteside makes 2-pt shot from 3 ft (assist by R. McGruder)
3:45.0,D. Gallinari makes 2-pt shot from 20 ft,2,26-21,,
3:24.0,,,26-21,,T. Johnson misses 2-pt shot from 3 ft (block by W. Chandler)
3:23.0,Defensive rebound by N. Jokic,,26-21,,
3:11.0,W. Chandler makes 3-pt shot from 25 ft (assist by G. Harris),3,29-21,,
2:46.0,,,29-21,,T. Johnson misses 2-pt shot from 20 ft
2:45.0,Defensive rebound by N. Jokic,,29-21,,
2:39.0,Shooting foul by T. Johnson (drawn by E. Mudiay),,29-21,,
2:39.0,Denver full timeout,,29-21,,
2:39.0,E. Mudiay makes free throw 1 of 2,1,30-21,,
2:39.0,E. Mudiay makes free throw 2 of 2,1,31-21,,
2:39.0,M. Plumlee enters the game for N. Jokic,,29-21,,
2:39.0,,,29-21,,O. White enters the game for R. McGruder
2:39.0,,,29-21,,G. Dragic enters the game for J. Richardson
2:23.0,Personal foul by M. Plumlee (drawn by H. Whiteside),,31-21,,
2:13.0,,,31-23,2,J. Johnson makes 2-pt shot at rim (assist by T. Johnson)
1:58.0,D. Gallinari misses 2-pt shot from 5 ft (block by O. White),,31-23,,
1:57.0,Offensive rebound by D. Gallinari,,31-23,,
1:55.0,D. Gallinari makes 2-pt shot from 1 ft,2,33-23,,
1:33.0,,,33-23,,H. Whiteside misses 2-pt shot from 5 ft
1:32.0,Defensive rebound by W. Chandler,,33-23,,
1:23.0,,,33-23,,W. Reed enters the game for H. Whiteside
