time,New Orleans,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Johnson (J. Holiday gains possession),,,,Jump ball: A. Davis vs. A. Johnson (J. Holiday gains possession)
11:43.0,Shooting foul by A. Horford (drawn by A. Davis),,0-0,,
11:43.0,A. Davis misses free throw 1 of 2,,0-0,,
11:43.0,Offensive rebound by Team,,0-0,,
11:43.0,A. Davis makes free throw 2 of 2,1,1-0,,
11:25.0,,,1-0,,A. Horford misses 2-pt shot from 14 ft
11:24.0,Defensive rebound by A. Davis,,1-0,,
11:14.0,A. Davis makes 2-pt shot from 21 ft (assist by J. Holiday),2,3-0,,
10:49.0,,,3-0,,A. Horford misses 2-pt shot from 15 ft
10:48.0,Defensive rebound by A. Davis,,3-0,,
10:39.0,B. Hield makes 3-pt shot from 25 ft (assist by J. Holiday),3,6-0,,
10:23.0,,,6-0,,I. Thomas misses 2-pt shot from 19 ft
10:22.0,Defensive rebound by A. Davis,,6-0,,
10:14.0,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday),2,8-0,,
9:59.0,,,8-0,,Turnover by M. Smart (bad pass; steal by J. Holiday)
9:52.0,D. Cunningham misses 3-pt shot from 23 ft,,8-0,,
9:51.0,,,8-0,,Defensive rebound by M. Smart
9:36.0,,,8-2,2,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford)
9:20.0,B. Hield misses 2-pt shot from 2 ft,,8-2,,
9:19.0,,,8-2,,Defensive rebound by J. Crowder
9:11.0,,,8-4,2,I. Thomas makes 2-pt shot from 4 ft
9:02.0,J. Holiday makes 2-pt shot from 1 ft,2,10-4,,
8:43.0,,,10-4,,A. Horford misses 2-pt shot from 13 ft
8:42.0,Defensive rebound by B. Hield,,10-4,,
8:32.0,Shooting foul by A. Johnson (drawn by A. Davis),,10-4,,
8:32.0,A. Davis makes free throw 1 of 2,1,11-4,,
8:32.0,A. Davis makes free throw 2 of 2,1,12-4,,
8:21.0,,,12-4,,Turnover by A. Johnson (lost ball; steal by D. Cunningham)
8:18.0,D. Cunningham misses 2-pt shot from 1 ft (block by A. Johnson),,12-4,,
8:17.0,Offensive rebound by Team,,12-4,,
8:14.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,14-4,,
7:51.0,,,14-7,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart)
7:33.0,S. Hill misses 3-pt shot from 24 ft,,14-7,,
7:32.0,,,14-7,,Defensive rebound by I. Thomas
7:23.0,,,14-7,,I. Thomas misses 2-pt shot from 4 ft (block by S. Hill)
7:20.0,Defensive rebound by B. Hield,,14-7,,
7:08.0,A. Davis misses 2-pt shot from 10 ft,,14-7,,
7:07.0,,,14-7,,Defensive rebound by J. Crowder
6:53.0,,,14-7,,J. Crowder misses 2-pt shot from 8 ft
6:52.0,Defensive rebound by J. Holiday,,14-7,,
6:47.0,,,14-7,,Personal foul by A. Johnson (drawn by A. Davis)
6:47.0,,,14-7,,K. Olynyk enters the game for A. Johnson
6:44.0,J. Holiday misses 3-pt shot from 27 ft,,14-7,,
6:43.0,,,14-7,,Defensive rebound by K. Olynyk
6:33.0,,,14-10,3,I. Thomas makes 3-pt shot from 26 ft (assist by K. Olynyk)
6:28.0,New Orleans full timeout,,14-10,,
6:19.0,Turnover by A. Davis (lost ball; steal by M. Smart),,14-10,,
6:15.0,,,14-12,2,M. Smart makes 2-pt shot from 1 ft
6:15.0,,,14-12,,Shooting foul by J. Holiday (drawn by M. Smart)
6:15.0,,,14-13,1,M. Smart makes free throw 1 of 1
5:54.0,J. Holiday makes 2-pt shot from 2 ft (assist by B. Hield),2,16-13,,
5:39.0,,,16-15,2,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart)
5:24.0,Turnover by B. Hield (bad pass; steal by I. Thomas),,16-15,,
5:17.0,,,16-15,,I. Thomas misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by J. Holiday,,16-15,,
5:09.0,J. Holiday makes 2-pt shot from 3 ft,2,18-15,,
4:49.0,,,18-15,,Turnover by M. Smart (lost ball; steal by J. Holiday)
4:40.0,B. Hield makes 3-pt shot from 27 ft,3,21-15,,
4:28.0,,,21-15,,Turnover by A. Horford (bad pass)
4:17.0,D. Cunningham misses 3-pt shot from 22 ft,,21-15,,
4:17.0,,,21-15,,Defensive rebound by J. Crowder
4:01.0,,,21-15,,Turnover by A. Horford (bad pass; steal by S. Hill)
3:51.0,S. Hill misses 2-pt shot from 2 ft (block by M. Smart),,21-15,,
