time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Gortat (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. M. Gortat (D. Augustin gains possession)
11:32.0,S. Ibaka makes 2-pt shot from 20 ft,2,2-0,,
11:13.0,,,2-0,,O. Porter misses 3-pt shot from 26 ft
11:12.0,Defensive rebound by S. Ibaka,,2-0,,
11:00.0,D. Augustin makes 2-pt shot from 6 ft,2,4-0,,
11:00.0,Shooting foul by J. Wall (drawn by D. Augustin),,4-0,,
11:00.0,D. Augustin makes free throw 1 of 1,1,5-0,,
10:51.0,,,5-0,,M. Gortat misses 2-pt shot at rim
10:49.0,Defensive rebound by B. Biyombo,,5-0,,
10:30.0,S. Ibaka misses 2-pt shot from 5 ft,,5-0,,
10:29.0,,,5-0,,Defensive rebound by M. Gortat
10:18.0,,,5-0,,M. Morris misses 2-pt shot from 11 ft
10:17.0,,,5-0,,Offensive rebound by M. Gortat
10:15.0,,,5-0,,M. Gortat misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by A. Gordon,,5-0,,
10:05.0,B. Biyombo makes 2-pt shot from 6 ft (assist by A. Gordon),2,7-0,,
9:50.0,,,7-2,2,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall)
9:29.0,E. Fournier misses 2-pt shot from 19 ft,,7-2,,
9:28.0,,,7-2,,Defensive rebound by M. Morris
9:20.0,,,7-4,2,J. Wall makes 2-pt shot from 19 ft
8:56.0,S. Ibaka makes 2-pt shot from 16 ft,2,9-4,,
8:48.0,,,9-4,,Turnover by J. Wall (bad pass)
8:24.0,S. Ibaka misses 2-pt shot from 17 ft,,9-4,,
8:24.0,Offensive rebound by Team,,9-4,,
8:24.0,Turnover by Team (shot clock),,9-4,,
8:12.0,,,9-4,,M. Morris misses 2-pt shot from 2 ft (block by A. Gordon)
8:11.0,Defensive rebound by D. Augustin,,9-4,,
8:06.0,E. Fournier misses 3-pt shot from 26 ft,,9-4,,
8:03.0,,,9-4,,Defensive rebound by M. Gortat
7:59.0,,,9-4,,J. Wall misses 2-pt shot from 17 ft
7:57.0,Defensive rebound by A. Gordon,,9-4,,
7:47.0,A. Gordon misses 2-pt shot from 10 ft,,9-4,,
7:46.0,,,9-4,,Defensive rebound by M. Gortat
7:39.0,,,9-6,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
7:23.0,Turnover by E. Fournier (bad pass; steal by M. Gortat),,9-6,,
7:16.0,,,9-6,,B. Beal misses 2-pt shot from 6 ft
7:15.0,,,9-6,,Offensive rebound by M. Morris
7:14.0,,,9-6,,M. Morris misses 2-pt shot from 7 ft
7:13.0,Defensive rebound by A. Gordon,,9-6,,
7:09.0,D. Augustin misses 3-pt shot from 26 ft,,9-6,,
7:06.0,,,9-6,,Defensive rebound by O. Porter
7:00.0,,,9-8,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
6:44.0,D. Augustin misses 3-pt shot from 24 ft,,9-8,,
6:43.0,,,9-8,,Defensive rebound by M. Gortat
6:29.0,,,9-8,,M. Gortat misses 2-pt shot at rim (block by B. Biyombo)
6:27.0,Defensive rebound by Team,,9-8,,
6:25.0,Orlando full timeout,,9-8,,
6:10.0,A. Gordon misses 2-pt shot from 19 ft,,9-8,,
6:09.0,,,9-8,,Defensive rebound by M. Gortat
5:58.0,,,9-10,2,J. Wall makes 2-pt shot from 1 ft
5:45.0,S. Ibaka misses 2-pt shot from 8 ft,,9-10,,
5:44.0,,,9-10,,Defensive rebound by M. Morris
5:39.0,,,9-10,,J. Wall misses 2-pt shot from 1 ft (block by S. Ibaka)
5:37.0,,,9-10,,Offensive rebound by M. Morris
5:36.0,,,9-12,2,M. Morris makes 2-pt shot from 1 ft
5:20.0,A. Gordon makes 2-pt shot from 11 ft,2,11-12,,
4:57.0,Personal foul by B. Biyombo (drawn by B. Beal),,11-12,,
4:57.0,,,11-12,,A. Nicholson enters the game for M. Morris
4:57.0,N. Vucevic enters the game for B. Biyombo,,11-12,,
